time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 02:35:53,"Cathie Wood Dumps AMD Shares, Loads Up On Nvidia With $17 Million Buy Amid Earnings Buzz: Ark Scoops Up These Crypto Stocks As Bitcoin, Ethereum Crash - Advanced Micro Devices  ( NASDAQ:AMD ) ",0.286981,Somewhat-Bullish,EXAS
2025-11-20 21:44:00,"Biggest Stock Movers Today, Nov. 20: PACS, BBWI, & More",0.141351,Neutral,EXAS
2025-11-20 20:31:22,Why Exact Sciences Rallied Over 50% This Week,0.248592,Somewhat-Bullish,EXAS
2025-11-20 20:13:03,SHAREHOLDER NOTICE: Brodsky & Smith Announces an Investigation of Exact Sciences Corporation  ( Nasdaq - EXAS ) ,0.172318,Somewhat-Bullish,EXAS
2025-11-20 20:01:04,Why Exact Sciences Stock Surged Today,0.124028,Neutral,EXAS
2025-11-20 16:36:00,"Nutex Health Posts Strong Q3 Results, Joins PACS Group, Walmart, Cerence And Other Big Stocks Moving Higher On Thursday - Cipher Mining  ( NASDAQ:CIFR ) , Aduro Clean Technologies  ( NASDAQ:ADUR ) ",0.350021,Bullish,EXAS
2025-11-20 14:37:44,"Abbott's $21 Billion Exact Sciences Buyout Reshapes Cancer Diagnostics - Abbott Laboratories  ( NYSE:ABT ) , Exact Sciences  ( NASDAQ:EXAS ) ",0.195997,Somewhat-Bullish,EXAS
2025-11-20 00:21:13,Why Exact Sciences Stock Blasted Nearly 24% Higher Today,0.078166,Neutral,EXAS
2025-11-17 18:13:00,Molina Secures Deal From AHCA to Serve Florida's Medicaid Members,0.314403,Somewhat-Bullish,EXAS
2025-11-14 12:57:00,TEM Continues to Strengthen Its Genomics Leadership With New Products,0.036274,Neutral,EXAS
2025-11-13 17:03:42,MDxHealth  ( MDXH )  Q3 2025 Earnings Call Transcript,0.28278,Somewhat-Bullish,EXAS
2025-11-13 16:07:00,Ensign Group Shares Decline 2.2% Despite Q3 Earnings Beat,0.212429,Somewhat-Bullish,EXAS
2025-11-13 02:14:42,"Cathie Wood Dumps $30 Million Worth Of Tesla Stock Amid China Sales Slump, Loads Up Circle And This Hot Chinese AI Stock - Tesla  ( NASDAQ:TSLA ) ",0.291773,Somewhat-Bullish,EXAS
2025-11-12 14:33:00,"RGTI Stock Down Despite Q3 Earnings Top Estimates, Revenues Decline Y/Y",0.100769,Neutral,EXAS
2025-11-12 02:12:58,"Cathie Wood Goes Big On Alibaba With $25 Million Share Purchase, Scales Back On This Social Media Stock - Alibaba Gr Hldgs  ( NYSE:BABA ) ",0.43689,Bullish,EXAS
2025-11-11 17:24:00,Encompass Health Shares Down 8% Despite Q3 Earnings & Revenue Beat,0.172773,Somewhat-Bullish,EXAS
2025-11-10 17:55:00,Tenet Healthcare Shares Down 5% Despite Q3 Earnings Beat,0.242288,Somewhat-Bullish,EXAS
2025-11-10 14:40:03,Is Exact Sciences  ( EXAS )  Stock Outpacing Its Medical Peers This Year?,0.232611,Somewhat-Bullish,EXAS
2025-11-08 15:45:00,2 Brilliant Growth Stocks to Buy Now and Hold for the Long Term,0.297873,Somewhat-Bullish,EXAS
2025-11-07 17:46:00,"AMN Stock Gains Following Q3 Earnings & Revenue Beat, Margins Down",0.002398,Neutral,EXAS
2025-11-07 17:41:00,"Doximity Stock Down Despite Q2 Earnings Beat, Revenues Up Y/Y",0.126515,Neutral,EXAS
2025-11-06 18:25:00,"QuidelOrtho Q3 Earnings and Revenues Beat Estimates, Margins Expand",0.069021,Neutral,EXAS
2025-11-06 18:22:00,"Inogen Stock Dips Despite Q3 Earnings Beat, Revenues Up Y/Y",0.074253,Neutral,EXAS
2025-11-06 18:19:00,"PACB Stock Down Despite Q3 Earnings Beat Estimates, Revenues Down Y/Y",0.090672,Neutral,EXAS
2025-11-06 18:00:00,"CONMED Q3 Earnings and Revenues Beat Estimates, Margins Contract",0.138113,Neutral,EXAS
2025-11-06 17:58:00,"BD Stock Slips in Pre-Market Despite Q4 Earnings Beat, Margins Up",0.152715,Somewhat-Bullish,EXAS
2025-11-05 17:20:01,Earnings Estimates Rising for Exact Sciences  ( EXAS ) : Will It Gain?,0.418495,Bullish,EXAS
2025-11-05 17:12:00,"Hims & Hers Stock Slips Post Y/Y Q3 Earnings Decline, Margins Contract",0.129124,Neutral,EXAS
2025-11-05 17:09:00,"MASI Stock Gains Post Q3 Earnings and Revenue Beat, Margins Expand",0.116887,Neutral,EXAS
2025-11-05 15:08:00,"Amicus' Q3 Earnings Beat, Higher Product Sales Drive Y/Y Revenues",0.281444,Somewhat-Bullish,EXAS
2025-11-05 14:45:01,Here's Why Exact Sciences  ( EXAS )  is a Strong Growth Stock,0.319988,Somewhat-Bullish,EXAS
2025-11-05 01:05:37,Why Exact Sciences Stock Blasted Higher on Tuesday,0.26256,Somewhat-Bullish,EXAS
2025-11-05 00:20:00,Exact Sciences  ( EXAS )  is an Intriguing Medical Stock to Watch After Q3 Earnings,0.215019,Somewhat-Bullish,EXAS
2025-11-04 14:25:10,These Analysts Raise Their Forecasts On Exact Sciences Following Better-Than-Expected Q3 Results - Exact Sciences  ( NASDAQ:EXAS ) ,0.182308,Somewhat-Bullish,EXAS
2025-11-04 14:04:30,"Amazon To Rally Around 24%? Here Are 10 Top Analyst Forecasts For Tuesday - CrowdStrike Holdings  ( NASDAQ:CRWD ) , Amazon.com  ( NASDAQ:AMZN ) ",0.298702,Somewhat-Bullish,EXAS
2025-11-03 23:27:41,Exact Sciences  ( EXAS )  Q3 2025 Earnings Transcript,0.263872,Somewhat-Bullish,EXAS
2025-11-03 23:05:03,Exact Sciences  ( EXAS )  Q3 Earnings and Revenues Beat Estimates,0.174009,Somewhat-Bullish,EXAS
2025-11-02 11:53:00,Should You Buy Exact Sciences Stock Before Nov. 3?,0.269692,Somewhat-Bullish,EXAS
2025-10-31 18:53:00,Rigel Gears Up to Report Q3 Earnings: Here's What to Expect,0.249708,Somewhat-Bullish,EXAS
2025-10-31 18:52:00,Coupang Set to Report Q3 Earnings: What's in Store for the Stock?,0.211178,Somewhat-Bullish,EXAS
2025-10-31 17:53:00,Rigel Gears Up to Report Q3 Earnings: Here's What to Expect,0.249708,Somewhat-Bullish,EXAS
2025-10-31 17:52:00,Coupang Set to Report Q3 Earnings: What's in Store for the Stock?,0.211178,Somewhat-Bullish,EXAS
2025-10-31 13:15:02,"Arcutis Biotherapeutics, Inc.  ( ARQT )  Hits Fresh High: Is There Still Room to Run?",0.34016,Somewhat-Bullish,EXAS
2025-10-29 17:47:00,Zoetis Gears Up to Report Q3 Earnings: Here's What to Expect,0.129434,Neutral,EXAS
2025-10-29 12:57:00,TEM vs. EXAS: Which Genomics Player Offers Greater Upside?,0.213818,Somewhat-Bullish,EXAS
2025-10-28 15:52:00,Vertex Gears Up to Report Q3 Earnings: Is a Beat in the Cards?,0.150905,Somewhat-Bullish,EXAS
2025-10-28 14:00:13,Exelixis  ( EXEL )  Reports Next Week: Wall Street Expects Earnings Growth,0.185844,Somewhat-Bullish,EXAS
2025-10-28 13:17:00,Avidity Biosciences  ( RNA )  Moves 42.4% Higher: Will This Strength Last?,0.239449,Somewhat-Bullish,EXAS
2025-10-27 16:44:00,ANI Pharmaceuticals to Report Q3 Earnings: Is a Beat in the Cards?,0.256355,Somewhat-Bullish,EXAS
2025-10-27 14:00:13,Exact Sciences  ( EXAS )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.167686,Somewhat-Bullish,EXAS
