time_published,title,sentiment_score,sentiment_label,ticker
2025-11-19 18:00:39,Looking Into FuboTV Inc's Recent Short Interest - FuboTV  ( NYSE:FUBO ) ,0.278426,Somewhat-Bullish,FUBO
2025-11-17 16:57:00,Meet the Tiny Publicly Traded Winner in the YouTube TV and Disney Dispute,-0.002382,Neutral,FUBO
2025-11-11 19:30:11,Disney Q4 Preview: Will Investors Ignore YouTube Dispute? - Walt Disney  ( NYSE:DIS ) ,0.052476,Neutral,FUBO
2025-11-11 17:29:00,Top Streaming Stocks Positioned to Gain From Expanding Content Trends,0.399217,Bullish,FUBO
2025-11-11 14:40:02,Is Alto Ingredients  ( ALTO )  Outperforming Other Consumer Discretionary Stocks This Year?,0.250294,Somewhat-Bullish,FUBO
2025-11-05 16:56:53,"Johnson Controls, Babcock & Wilcox, Lemonade, Lumentum, Teva Pharmaceutical And Other Big Stocks Moving Higher On Wednesday - Babcock & Wilcox  ( NYSE:BW ) , Digital Turbine  ( NASDAQ:APPS ) ",0.466679,Bullish,FUBO
2025-11-04 20:43:34,What's Going On With FuboTV Stock Tuesday? - FuboTV  ( NYSE:FUBO ) ,0.02426,Neutral,FUBO
2025-11-03 17:14:33,FuboTV Q3 2025 Earnings Call Transcript - FuboTV  ( NYSE:FUBO ) ,0.291276,Somewhat-Bullish,FUBO
2025-11-03 15:16:00,"ERIKA KIRK TO RECEIVE INAUGURAL ""CHARLIE KIRK LEGACY AWARD"" AT 2025 FOX NATION PATRIOT AWARDS ON THURSDAY, NOVEMBER 6th",0.481486,Bullish,FUBO
2025-11-03 14:33:42,Why Is FuboTV Stock Gaining Monday? - FuboTV  ( NYSE:FUBO ) ,-0.063493,Neutral,FUBO
2025-11-03 14:14:07,"Top Stocks With Earnings This Week: Joby, IonQ, AMD and More - Palantir Technologies  ( NASDAQ:PLTR ) ",0.11162,Neutral,FUBO
2025-10-30 19:16:25,Disney Stock Climbs Following FuboTV Combination - Walt Disney  ( NYSE:DIS ) ,0.22522,Somewhat-Bullish,FUBO
2025-10-30 14:57:00,"FOX NATION TO PREMIERE SEASON II OF ""MARTIN SCORSESE PRESENTS: THE SAINTS"" ON SUNDAY, NOVEMBER 16",0.19394,Somewhat-Bullish,FUBO
2025-10-29 17:17:27,FuboTV Shares Are Trading Higher Wednesday: What's Going On? - FuboTV  ( NYSE:FUBO ) ,0.305563,Somewhat-Bullish,FUBO
2025-10-21 19:09:00,"FOX NATION TO PREMIERE ""SCAMMED: GETTING EVEN"" ON OCTOBER 22",0.0,Neutral,FUBO
2025-10-21 13:23:00,TTD vs. PUBM: Which Ad-Tech Stock Is the Smarter Pick for Now?,0.277246,Somewhat-Bullish,FUBO
2025-10-09 16:19:00,ESPN's Streaming Expansion in Focus: Can It Power Disney's DTC Growth?,0.23534,Somewhat-Bullish,FUBO
2025-10-03 16:11:00,"FOX NATION SECURES EXCLUSIVE U.S. RIGHTS TO DOCUSERIES ""ELIZABETH TAYLOR: REBEL SUPERSTAR""",0.159789,Somewhat-Bullish,FUBO
2025-10-03 14:15:00,2 Stocks Under $5 to Buy in October,0.041175,Neutral,FUBO
2025-09-26 20:01:40,A Look Into FuboTV Inc's Price Over Earnings - FuboTV  ( NYSE:FUBO ) ,0.040289,Neutral,FUBO
