time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 11:50:45,"Palo Alto To Rally Around 30%? Here Are 10 Top Analyst Forecasts For Friday - BrightView Hldgs  ( NYSE:BV ) , Bath & Body Works  ( NYSE:BBWI ) ",0.201237,Somewhat-Bullish,KLIC
2025-11-21 01:01:04,Why Kulicke & Soffa Industries Stock Triumphed on Thursday,0.386973,Bullish,KLIC
2025-11-20 11:10:25,"Why Nvidia Shares Are Trading Higher By Over 5%; Here Are 20 Stocks Moving Premarket - Founder Group  ( NASDAQ:FGL ) , Cerence  ( NASDAQ:CRNC ) ",0.105607,Neutral,KLIC
2025-10-10 15:46:00,3 Electronics Stocks to Watch From a Challenging Industry,0.190405,Somewhat-Bullish,KLIC
2025-10-10 14:09:47,"Alibaba To Rally Around 15%? Here Are 10 Top Analyst Forecasts For Friday - Alibaba Gr Hldgs  ( NYSE:BABA ) , Applied Mat  ( NASDAQ:AMAT ) ",0.227831,Somewhat-Bullish,KLIC
2025-07-11 08:44:00,"Zacks Industry Outlook Highlights Entegris, Kulicke and Soffa and Axcelis Technologies",0.231692,Somewhat-Bullish,KLIC
2025-07-10 14:24:00,3 Electronics Stocks to Watch From a Prospering Industry,0.24539,Somewhat-Bullish,KLIC
2025-07-01 13:09:00,ONTO Inks Deal to Buy Semilab's Materials Analysis Business for $545M,0.22649,Somewhat-Bullish,KLIC
2025-04-16 08:52:00,"Zacks Industry Outlook Kulicke and Soffa, Axcelis and Veeco",0.228324,Somewhat-Bullish,KLIC
2025-04-15 16:00:00,3 Electronics Stocks to Watch From a Challenging Industry,0.221684,Somewhat-Bullish,KLIC
2025-02-04 14:12:00,ONTO Gears Up to Report Q4 Earnings: Key Factors at Play,0.222623,Somewhat-Bullish,KLIC
2025-01-23 14:57:00,Onto Stock Surges 30% in a Month: Will the Uptrend Continue?,0.209621,Somewhat-Bullish,KLIC
2024-11-15 16:56:00,"Kulicke and Soffa Q4 Earnings Miss Estimates, Revenues Decrease Y/Y",0.054616,Neutral,KLIC
2024-11-15 15:45:23,"Kulicke And Soffa Industries Likely To Win Order From Leading Semiconductor Company, Says Bullish Analyst - Kulicke & Soffa Indus  ( NASDAQ:KLIC ) ",0.180466,Somewhat-Bullish,KLIC
2024-11-15 13:12:26,This InterContinental Hotels Analyst Turns Bullish; Here Are Top 5 Upgrades For Friday - InterContinental Hotels  ( NYSE:IHG ) ,0.330205,Somewhat-Bullish,KLIC
2024-11-01 12:56:00,"Onto Innovation's Q3 Earnings & Revenues Beat, Up Y/Y on Solid Demand",0.267911,Somewhat-Bullish,KLIC
2024-08-30 13:30:00,"Axcelis Stock Plunges 16% YTD: Should You Buy, Hold or Sell?",-0.029346,Neutral,KLIC
2024-08-19 08:55:00,3 Top Bargain Stocks Ready for a Bull Run,0.133828,Neutral,KLIC
2024-07-05 10:00:00,Goldman Sachs: 89 stocks expected to be winners as they build out AI infrastructure,0.172131,Somewhat-Bullish,KLIC
2024-05-16 10:42:00,Zacks Industry Outlook Highlights Entegris  ( ENTG )  and Kulicke and Soffa,0.2727,Somewhat-Bullish,KLIC
2024-05-15 14:08:00,2 Electronics Stocks to Watch From a Challenging Industry,0.264082,Somewhat-Bullish,KLIC
2024-05-02 10:52:51,"Nasdaq, S&P 500 Futures Rise Ahead Of Apple Earnings: What's Going On With Stock Market? - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",0.081907,Neutral,KLIC
2024-05-01 17:07:02,"US Stocks Mixed Ahead Of Fed Meeting, Chipmakers Tumble After AMD Earnings, Bitcoin Sinks: What's Driving Markets Wednesday? - Albemarle  ( NYSE:ALB ) ",0.050881,Neutral,KLIC
2024-05-01 10:44:10,"Nasdaq, S&P 500 Futures Signal Weaker Open As Fed Decision Looms: What's Going On With Markets? - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",-0.012028,Neutral,KLIC
2024-04-29 05:51:21,"Will Earnings Cheer Continue To Buoy Markets? Apple, Amazon, Pfizer, Coinbase Lead Flurry Of Q1 Reports This Week - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",0.260382,Somewhat-Bullish,KLIC
2024-02-11 14:37:00,Straight From the CEO's Mouth: How 3 Innovators Are Shaping the Future of AI,0.220685,Somewhat-Bullish,KLIC
2024-01-31 21:05:00,Kulicke & Soffa Reports First Quarter 2024 Results,0.222249,Somewhat-Bullish,KLIC
2024-01-31 12:47:00,"Why Nasdaq Futures Are Diving Today - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",0.007157,Neutral,KLIC
2024-01-29 10:51:00,"Tech Titans Microsoft, Apple Lead 'Magnificent Seven' Earnings Wave This Week: Can Mega-Caps Ignite Market Optimism? - SPDR S&P 500  ( ARCA:SPY ) ",0.116237,Neutral,KLIC
2023-11-20 12:12:28,"This Analyst With 84% Accuracy Rate Sees Around 22% Upside In NVIDIA - Here Are 5 Stock Picks For Last Week From Wall Street's Most Accurate Analysts - Advance Auto Parts  ( NYSE:AAP ) , GoodRx Holdings  ( NASDAQ:GDRX ) ",0.211244,Somewhat-Bullish,KLIC
2023-11-17 15:59:00,Kulicke and Soffa  ( KLIC )  Q4 Earnings & Revenues Top Estimates,0.156505,Somewhat-Bullish,KLIC
2023-11-16 16:05:31,"Sonos Reports Upbeat Results, Joins Macy's, NICE And Other Big Stocks Moving Higher On Thursday - Arcos Dorados Holdings  ( NYSE:ARCO ) , Gyre Therapeutics  ( NASDAQ:GYRE ) ",0.32686,Somewhat-Bullish,KLIC
2023-11-15 21:05:00,Kulicke & Soffa Reports Fourth Quarter 2023 Results,0.25882,Somewhat-Bullish,KLIC
2023-11-15 12:09:06,"US Stocks On Track To Build On Gains As Traders Await A Batch Of Data; Can Market Resist Profit Taking? - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",0.08109,Neutral,KLIC
2023-09-27 07:35:00,"SMT Placement Equipment Market size to increase by USD 905.05 million between 2022 to 2027, Amistar Automation ... - PR Newswire",0.244408,Somewhat-Bullish,KLIC
2023-09-17 11:41:00,3 Small Artificial Intelligence  ( AI )  Stocks With More Than a Fighting Chance to Win Big,0.164392,Somewhat-Bullish,KLIC
