time_published,title,sentiment_score,sentiment_label,ticker
2025-11-21 07:00:42,"Tesla Rival Lucid Falls 6% To All-Time Low Amid $79,900 Gravity SUV Rollout, Earnings Miss - Lucid Group  ( NASDAQ:LCID ) ",-0.076338,Neutral,LCID
2025-11-19 16:50:27,Here's Why Lucid Group Stock Is Sliding Again Wednesday - Lucid Group  ( NASDAQ:LCID ) ,-0.041279,Neutral,LCID
2025-11-19 09:05:00,4 Stocks With Scary Valuations to Avoid Right Now,0.046359,Neutral,LCID
2025-11-19 01:41:00,Better EV Stock: Lucid vs. Tesla,0.173266,Somewhat-Bullish,LCID
2025-11-18 16:04:02,Lucid Stock Hits New Lows - Can the EV Maker Turn It Around? - Lucid Group  ( NASDAQ:LCID ) ,-0.091229,Neutral,LCID
2025-11-17 15:38:31,Why Lucid Group Stock Hit A New All-Time Low Today - Lucid Group  ( NASDAQ:LCID ) ,-0.022011,Neutral,LCID
2025-11-17 08:06:00,"Wall Street's Biggest Stock Split of the Year Has Arrived -- and This Nearly 97,000%-Gainer Is Miles Ahead of Its Competition",0.106422,Neutral,LCID
2025-11-16 08:23:00,"The Good, the Bad, and the Ugly From Earnings Season",0.10085,Neutral,LCID
2025-11-15 08:14:00,"Lucid Dips Its Toes in Driverless Vehicles, But Is the Stock a Buy Now?",0.093742,Neutral,LCID
2025-11-14 18:36:29,What's Going On With Lucid Group Stock Today? - Lucid Group  ( NASDAQ:LCID ) ,0.007321,Neutral,LCID
2025-11-12 15:04:20,What's Going On With Lucid Group Stock Today? - Lucid Group  ( NASDAQ:LCID ) ,0.130859,Neutral,LCID
2025-11-10 19:10:26,What's Going On With Lucid Group Stock Monday? - Lucid Group  ( NASDAQ:LCID ) ,0.114758,Neutral,LCID
2025-11-10 08:30:00,Rivian Stock Just Surged 25% in 1 Day. Here's Why Shares Are Still a Buy.,0.155561,Somewhat-Bullish,LCID
2025-11-08 23:14:00,Prediction: EV Stocks Will Be Your Best Investment in 2026. Here's Why.,0.27757,Somewhat-Bullish,LCID
2025-11-07 21:11:58,"Lucid Group  ( LCID )  Stock Down As Q3 Revenue Misses, Key Engineer Departs - Lucid Group  ( NASDAQ:LCID ) ",0.081969,Neutral,LCID
2025-11-07 17:56:05,Rivian Loses Steam on Mixed Signals; Trades Below Tesla - Rivian Automotive  ( NASDAQ:RIVN ) ,0.127175,Neutral,LCID
2025-11-07 15:00:00,Why I'm Watching Lucid Group Stock Closely Even If Experts Think It's Overvalued,0.12775,Neutral,LCID
2025-11-06 17:45:11,"AI Stocks Slide Again, Bitcoin Dips Near $100,000: Markets Today - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) ",-0.109516,Neutral,LCID
2025-11-06 14:29:35,Lucid Group  ( LCID )  Q3 2025 Earnings Transcript,0.269908,Somewhat-Bullish,LCID
2025-11-06 14:10:00,Lucid Wants to Be the First Automaker to Sell Driverless Cars. That's Easier Said Than Done.,0.12814,Neutral,LCID
2025-11-05 22:30:03,"Lucid Group  ( LCID )  Reports Q3 Loss, Beats Revenue Estimates",0.140025,Neutral,LCID
2025-11-05 22:03:01,Lucid Stock Slides On Q3 Earnings As EV Maker Announces Organizational Changes - Lucid Group  ( NASDAQ:LCID ) ,0.042962,Neutral,LCID
2025-11-05 21:06:39,Lucid misses Wall Street expectations as problems continue with SUV launch,0.138801,Neutral,LCID
2025-11-05 10:14:08,"Grab To Launch Autonomous Robobuses In Singapore In 2026, Retrain Drivers For New Tech Roles: 'We See New Kinds Of Jobs Emerging' - Grab Holdings  ( NASDAQ:GRAB ) ",0.204389,Somewhat-Bullish,LCID
2025-11-04 23:10:02,"Rivian Automotive  ( RIVN )  Reports Q3 Loss, Beats Revenue Estimates",0.102994,Neutral,LCID
2025-11-04 18:15:43,"Pure EV automakers Rivian, Lucid face growing challenges amid Q3 results",0.131393,Neutral,LCID
2025-11-04 16:52:33,Lucid Group  ( LCID )  Stock Sees Continued Weakness Ahead Of Q3 Earnings - Lucid Group  ( NASDAQ:LCID ) ,0.147239,Neutral,LCID
2025-11-04 14:35:02,"After Plunging 30.7% in 4 Weeks, Here's Why the Trend Might Reverse for Lucid Group  ( LCID ) ",0.13598,Neutral,LCID
2025-11-04 09:21:29,Tesla Robotaxi Rival WeRide Raises $308 Million In Hong Kong Listing - WeRide  ( NASDAQ:WRD ) ,0.204312,Somewhat-Bullish,LCID
2025-11-04 08:51:00,"1 Sensational Stock-Split Stock to Buy in November, and 1 That's Rife With Red Flags to Avoid",0.133965,Neutral,LCID
2025-11-04 08:41:00,"1 Reason Tesla Stock Is Called a ""Strong Buy"" Before 2026",0.270681,Somewhat-Bullish,LCID
2025-11-04 08:10:15,"Ahead Of Uber's Q3 Earnings, Mark Mahaney Predicts Investors Will Be Looking Out For This Major Update - Outlines Tesla, Waymo's Role - Uber Technologies  ( NYSE:UBER ) ",0.186098,Somewhat-Bullish,LCID
2025-11-03 17:06:13,Lucid Stock Is Sliding Monday: What's Going On? - Lucid Group  ( NASDAQ:LCID ) ,0.259805,Somewhat-Bullish,LCID
2025-11-03 14:14:07,"Top Stocks With Earnings This Week: Joby, IonQ, AMD and More - Palantir Technologies  ( NASDAQ:PLTR ) ",0.11162,Neutral,LCID
2025-11-02 18:54:00,2 Reasons to Buy Rivian While It's Below $70.49,0.311064,Somewhat-Bullish,LCID
2025-11-01 08:10:00,1 Surprising Reason I'm Keeping My Eye on Lucid Group Stock Right Now,0.089198,Neutral,LCID
2025-10-30 08:21:52,"Amid Nvidia Partnership, Uber CEO Dara Khosrowshahi Makes Bold Autonomous Driving Prediction: 'Should We Allow Humans To Drive…' - Uber Technologies  ( NYSE:UBER ) ",0.195359,Somewhat-Bullish,LCID
2025-10-29 14:00:19,Lucid Group  ( LCID )  Expected to Beat Earnings Estimates: Should You Buy?,0.151729,Somewhat-Bullish,LCID
2025-10-29 06:07:44,"Uber Partners With Nvidia To Scale Autonomous Driving Globally, CEO Dara Khosrowshahi Calls Chipmaker 'Backbone Of The AI Era' - Uber Technologies  ( NYSE:UBER ) ",0.1658,Somewhat-Bullish,LCID
2025-10-28 18:58:26,"Why Is Lucid Group Stock Gaining Today? - Lucid Group  ( NASDAQ:LCID ) , NVIDIA  ( NASDAQ:NVDA ) ",0.404078,Bullish,LCID
2025-10-28 18:30:01,Lucid targets industry-first self-driving car technology with Nvidia,0.207377,Somewhat-Bullish,LCID
2025-10-28 14:31:00,Lucid Gears Up to Report Q3 Earnings: What's in the Cards?,0.088292,Neutral,LCID
2025-10-28 14:07:00,Prediction: This Will Be Lucid Group's Stock Price in 2026,0.221627,Somewhat-Bullish,LCID
2025-10-28 12:45:00,UBER vs. WRD: Which Stock Is Better Placed in the Promising AV Space?,0.370471,Bullish,LCID
2025-10-27 22:15:03,Lucid Group  ( LCID )  Stock Slides as Market Rises: Facts to Know Before You Trade,0.255708,Somewhat-Bullish,LCID
2025-10-27 15:52:00,Carvana Gears Up to Report Q3 Earnings: Here's What to Expect,0.228799,Somewhat-Bullish,LCID
2025-10-27 01:00:00,Is SoundHound AI Stock a Buy Now?,0.223421,Somewhat-Bullish,LCID
2025-10-26 11:15:00,Should You Buy Lucid Stock While It's Below $23?,0.161814,Somewhat-Bullish,LCID
2025-10-23 21:15:02,Ford Motor Company  ( F )  Q3 Earnings and Revenues Beat Estimates,0.161862,Somewhat-Bullish,LCID
2025-10-21 14:30:00,BorgWarner to Report Q3 Earnings: Here's What to Expect,0.252322,Somewhat-Bullish,LCID
