time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 16:35:00,What is Driving Trade Desk's Rapid CTV and Retail Media Growth?,0.352943,Bullish,MGNI
2025-11-13 16:32:00,Can Audio Advertising Become Trade Desk's Next Big Growth Driver?,0.255459,Somewhat-Bullish,MGNI
2025-11-13 14:05:48,Roubaix Capital Sells Off 261K Magnite Shares in Full Exit: Should Investors Follow Suit?,0.162372,Somewhat-Bullish,MGNI
2025-11-12 12:42:00,Can The Trade Desk Dominate the Open Internet With its AI Advantage?,0.427232,Bullish,MGNI
2025-11-11 15:15:00,TTD Stock Post Q3 Earnings: Should Investors Hold or Fold?,0.267678,Somewhat-Bullish,MGNI
2025-11-11 11:30:10,"Top 3 Tech And Telecom Stocks Which Could Rescue Your Portfolio In Q4 - Magnite  ( NASDAQ:MGNI ) , Charter Communications  ( NASDAQ:CHTR ) ",0.154371,Somewhat-Bullish,MGNI
2025-11-06 20:21:08,Why Magnite Stock Was Falling Today,0.224021,Somewhat-Bullish,MGNI
2025-11-06 14:55:09,Magnite  ( MGNI )  Q3 2025 Earnings Call Transcript,0.30721,Somewhat-Bullish,MGNI
2025-11-06 00:15:03,Magnite  ( MGNI )  Q3 Earnings Match Estimates,0.163365,Somewhat-Bullish,MGNI
2025-11-02 17:19:22,"Leading Adtech Stock Dumped by Major Backer, According to Recent Filing",0.224066,Somewhat-Bullish,MGNI
2025-10-31 12:10:26,Roku  ( ROKU )  Q3 2025 Earnings Call Transcript,0.336768,Somewhat-Bullish,MGNI
2025-10-29 12:53:00,TTD's Global Growth Surges: Can it Outpace the U.S. Expansion?,0.331102,Somewhat-Bullish,MGNI
2025-10-27 15:47:00,"Netflix Plunges 12% Post Q3 Earnings: Buy, Sell or Hold the Stock?",0.266509,Somewhat-Bullish,MGNI
2025-10-21 13:23:00,TTD vs. PUBM: Which Ad-Tech Stock Is the Smarter Pick for Now?,0.277246,Somewhat-Bullish,MGNI
2025-10-16 12:55:00,Is Trade Desk's Strong Cash Position Its Hidden Competitive Moat?,0.28611,Somewhat-Bullish,MGNI
2025-10-13 14:40:00,"The Zacks Analyst Blog Highlights AppLovin, The Trade Desk and Magnite",0.18118,Somewhat-Bullish,MGNI
2025-10-10 17:40:00,AppLovin Reinvents Itself: Betting Big on AI-Powered Advertising,0.171969,Somewhat-Bullish,MGNI
2025-10-08 20:30:23,Here's How Much $1000 Invested In Magnite 5 Years Ago Would Be Worth Today - Magnite  ( NASDAQ:MGNI ) ,0.158543,Somewhat-Bullish,MGNI
2025-10-08 13:47:00,The Trade Desk Registers 55% YTD Decline: Is the Stock Still a Hold?,0.201549,Somewhat-Bullish,MGNI
2025-10-08 04:30:00,Digital News Publishers Association  ( DNPA )  Adopts Magnite Access to Streamline Access to Premium Inventory and Audience Data,0.519215,Bullish,MGNI
2025-10-08 04:30:00,Digital News Publishers Association  ( DNPA )  Adopts Magnite Access to Streamline Access to Premium Inventory and Audience Data - Magnite  ( NASDAQ:MGNI ) ,0.490124,Bullish,MGNI
2025-10-06 18:38:10,Why Magnite Stock Lost 16% in September,-0.019406,Neutral,MGNI
