time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 13:48:00,Top 3 Genomics Stocks to Consider for Your Portfolio,0.201482,Somewhat-Bullish,NTLA
2025-11-18 13:45:00,"Longevity-Focused Health Fueling U.S. Anti-Aging Products Market Projected to Reach $27 Billion By 2033 - Avant Technologies  ( OTC:AVAI ) , Annovis Bio  ( NYSE:ANVS ) ",0.273098,Somewhat-Bullish,NTLA
2025-11-15 14:35:00,2 Beaten-Down Stocks to Avoid Right Now,-0.08292,Neutral,NTLA
2025-11-14 13:58:00,Can NTLA Stock Bounce Back in 2026 After Recent Pipeline Setbacks?,0.110883,Neutral,NTLA
2025-11-12 14:00:27,"This Bath & Body Works Analyst Is No Longer Bullish; Here Are Top 4 Downgrades For Wednesday - Brighthouse Finl  ( NASDAQ:BHF ) , Bath & Body Works  ( NYSE:BBWI ) ",0.328676,Somewhat-Bullish,NTLA
2025-11-11 12:05:53,"This SPS Commerce Analyst Is No Longer Bullish; Here Are Top 3 Downgrades For Tuesday - SPS Commerce  ( NASDAQ:SPSC ) , Intellia Therapeutics  ( NASDAQ:NTLA ) ",0.160784,Somewhat-Bullish,NTLA
2025-11-10 20:17:00,Intellia Therapeutics Presents Positive Longer-Term Phase 1 Data of Nexiguran Ziclumeran  ( nex-z )  in Patients with Transthyretin  ( ATTR )  Amyloidosis with Cardiomyopathy - Intellia Therapeutics  ( NASDAQ:NTLA ) ,0.155172,Somewhat-Bullish,NTLA
2025-11-10 20:17:00,Intellia Therapeutics Presents Positive Longer-Term Phase 1 Data of Nexiguran Ziclumeran  ( nex-z )  in Patients with Transthyretin  ( ATTR )  Amyloidosis with Cardiomyopathy,0.183269,Somewhat-Bullish,NTLA
2025-11-08 22:13:00,Intellia Therapeutics Presents Positive Pooled Phase 1/2 Data of Lonvoguran Ziclumeran  ( lonvo-z )  in Patients with Hereditary Angioedema,0.098152,Neutral,NTLA
2025-11-07 14:56:00,"Intellia Q3 Loss Narrower Than Expected, Stock Down on Pipeline Trouble",0.107087,Neutral,NTLA
2025-11-07 13:45:00,"2 Small-Cap Stocks With Far More Upside Than Any ""Magnificent Seven"" Stock, According to Wall Street",0.098961,Neutral,NTLA
2025-11-07 11:29:18,"Block Posts Downbeat Q3 Results, Joins Archer Aviation, DraftKings And Other Big Stocks Moving Lower In Friday's Pre-Market Session - Archer Aviation  ( NYSE:ACHR ) , AirSculpt Technologies  ( NASDAQ:AIRS ) ",-0.288006,Somewhat-Bearish,NTLA
2025-11-06 22:20:03,"Intellia Therapeutics, Inc.  ( NTLA )  Reports Q3 Loss, Misses Revenue Estimates",0.130723,Neutral,NTLA
2025-11-05 16:35:00,VRTX's New Drugs Performance Mixed in Q3: Can Their Sales Improve?,0.274175,Somewhat-Bullish,NTLA
2025-11-05 16:27:00,"MIRM's Q3 Earnings & Revenues Beat Estimates, 2025 View Tightened",0.176024,Somewhat-Bullish,NTLA
2025-11-04 15:41:00,"Vertex Q3 Earnings Beat, Stock Down as Casgevy Sales Disappoint",0.185186,Somewhat-Bullish,NTLA
2025-11-04 15:28:00,"AXSM Q3 Loss Wider Than Expected, Revenues Surge Y/Y on Auvelity Sales",0.120561,Neutral,NTLA
2025-11-04 15:26:00,"TGTX's Q3 Earnings & Revenues Trump Estimates, 2025 View Raised",0.255118,Somewhat-Bullish,NTLA
2025-11-03 15:11:00,Should CRSP Stock Be in Your Portfolio Pre-Q3 Earnings?,0.222324,Somewhat-Bullish,NTLA
2025-11-02 14:25:00,Meet the Beaten-Down Biotech Stock Cathie Wood Loves and Wall Street Says May Soar More Than 130%,0.211835,Somewhat-Bullish,NTLA
2025-10-31 18:44:00,"AGIO's Q3 Loss Narrower Than Expected, Pyrukynd Drives Y/Y Revenues",0.13346,Neutral,NTLA
2025-10-31 17:44:00,"AGIO's Q3 Loss Narrower Than Expected, Pyrukynd Drives Y/Y Revenues",0.13346,Neutral,NTLA
2025-10-31 15:00:03,ANI Pharmaceuticals  ( ANIP )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.154034,Somewhat-Bullish,NTLA
2025-10-31 14:00:03,ANI Pharmaceuticals  ( ANIP )  Earnings Expected to Grow: What to Know Ahead of Next Week's Release,0.154034,Somewhat-Bullish,NTLA
2025-10-31 01:26:59,"Cathie Wood Just Dumped $7.4 Million Worth Of Palantir And AMD Shares - Here's What Ark Is Buying Instead - Advanced Micro Devices  ( NASDAQ:AMD ) , ARK Innovation ETF  ( BATS:ARKK ) ",0.319571,Somewhat-Bullish,NTLA
