time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 11:20:00,Read This Before Buying Opendoor Stock,0.128394,Neutral,OPEN
2025-11-20 10:18:00,"If You'd Invested $1,000 in Opendoor Technologies Stock 1 Year Ago, Here's How Much You'd Have Today",0.167714,Somewhat-Bullish,OPEN
2025-11-20 01:05:00,Is Opendoor Stock Your Ticket to Becoming a Millionaire?,0.132755,Neutral,OPEN
2025-11-19 21:37:59,Why Opendoor Technologies Stock Plummeted 11% Today,-0.091644,Neutral,OPEN
2025-11-18 16:18:00,Can Opendoor 2.0 Redefine iBuying Through AI and Automation?,0.038327,Neutral,OPEN
2025-11-17 11:32:00,Opendoor Technologies Is Doing Everything It Can to Make Life Tough For Short Sellers,0.143736,Neutral,OPEN
2025-11-17 07:02:32,"Eric Jackson Says This Mortgage Finance Stock Could Soar 21,200% Over The Next 3 Years: 'Mathematically Plausible' - Finance of America  ( NYSE:FOA ) , Better Home & Finance  ( NASDAQ:BETR ) ",0.131687,Neutral,OPEN
2025-11-16 23:14:00,"Opendoor CEO Admits He Wants to ""Ruin the Night""of Short Sellers With This Controversial Move",0.10642,Neutral,OPEN
2025-11-16 16:11:00,Opendoor Stock Is Climbing Again: Value Trap or Amazing Opportunity?,0.29198,Somewhat-Bullish,OPEN
2025-11-16 09:31:00,Is It Too Late to Buy Opendoor Technologies Stock?,-0.02667,Neutral,OPEN
2025-11-15 13:48:30,"SoFi Tech, Opendoor, Rivian- Investors Couldn't Stop Talking About These And More Stocks This Week - NVIDIA  ( NASDAQ:NVDA ) , BigBear.ai Hldgs  ( NYSE:BBAI ) ",0.210098,Somewhat-Bullish,OPEN
2025-11-15 12:05:00,1 Reason Opendoor Technologies' Recent Move Is a Major Red Flag,0.295733,Somewhat-Bullish,OPEN
2025-11-15 10:35:00,Is Opendoor Technologies on a Path to Profitability?,0.104669,Neutral,OPEN
2025-11-14 14:00:00,Massive News: Opendoor Just Announced a Major Pivot,0.101998,Neutral,OPEN
2025-11-14 12:29:00,"If You'd Invested $100 in Opendoor Stock 1 Year Ago, Here's How Much You'd Have Today",0.051068,Neutral,OPEN
2025-11-14 12:07:00,"2 Growth Stocks to Invest $1,000 in Right Now",0.175829,Somewhat-Bullish,OPEN
2025-11-14 10:05:00,Is There a Future for Opendoor Technologies?,0.056514,Neutral,OPEN
2025-11-13 20:05:05,Looking For A Squeeze? Here Are The Top 10 Most Shorted Stocks - Lucid Group  ( NASDAQ:LCID ) ,0.152244,Somewhat-Bullish,OPEN
2025-11-13 16:15:28,What's Going On With Opendoor Technologies  ( OPEN )  Stock? - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.190256,Somewhat-Bullish,OPEN
2025-11-13 15:02:00,"Zacks Investment Ideas feature highlights: Opendoor Technologies, Carvana, Shopify and Meta Platforms",0.255664,Somewhat-Bullish,OPEN
2025-11-13 14:18:20,"Better Home  ( BETR )  Misses Q3 Earnings, Company Eyes 'Next Chapter Of Growth' - Better Home & Finance  ( NASDAQ:BETR ) ",0.213284,Somewhat-Bullish,OPEN
2025-11-13 09:25:00,"Opendoor Stock Jumps 22% as CEO Declares War on Short Sellers, but Is This a Red Flag?",0.16658,Somewhat-Bullish,OPEN
2025-11-12 19:31:00,OPEN's Turnaround Story Gains Momentum Amid Fresh Catalysts,0.273697,Somewhat-Bullish,OPEN
2025-11-12 18:37:51,Opendoor Stock Gains Ground: What's Behind The Recent Momentum? - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.165099,Somewhat-Bullish,OPEN
2025-11-12 07:45:00,Robinhood Markets and Ethan Allen Interiors have been highlighted as Zacks Bull and Bear of the Day,0.15879,Somewhat-Bullish,OPEN
2025-11-11 20:47:27,What's Going On With The Jump In Opendoor Stock Today? - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.061756,Neutral,OPEN
2025-11-11 17:40:00,Can Opendoor's AI Turnaround Drive Profitability by 2026?,0.206832,Somewhat-Bullish,OPEN
2025-11-11 17:12:21,Opendoor CEO Pledges $1 Million Stock Buy - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.173265,Somewhat-Bullish,OPEN
2025-11-10 22:56:34,Why Opendoor Technologies Stock Skyrocketed 21.5% Today,0.088518,Neutral,OPEN
2025-11-10 14:00:46,"Opendoor's 'Major Transformation Is Underway' - With 2026 Breakeven In Sight, JPMorgan Says - Opendoor Technologies  ( NASDAQ:OPEN ) ",0.15669,Somewhat-Bullish,OPEN
2025-11-10 12:12:22,"Quantum Computer That Could 'Hack Everyone's Crypto': Why Eric Jackson Is Betting On BTQ Technologies As His Next 100-Bagger - CrowdStrike Holdings  ( NASDAQ:CRWD ) , BTQ Technologies  ( NASDAQ:BTQ ) ",0.047981,Neutral,OPEN
2025-11-07 17:38:00,"Opendoor Q3 Revenues Beat, Earnings Miss Amid Transition to AI Model",-0.002436,Neutral,OPEN
2025-11-07 16:08:23,Opendoor Stock Falls After Mixed Q3 Results - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.057277,Neutral,OPEN
2025-11-07 11:29:18,"Block Posts Downbeat Q3 Results, Joins Archer Aviation, DraftKings And Other Big Stocks Moving Lower In Friday's Pre-Market Session - Archer Aviation  ( NYSE:ACHR ) , AirSculpt Technologies  ( NASDAQ:AIRS ) ",-0.288006,Somewhat-Bearish,OPEN
2025-11-07 11:14:33,Opendoor Stock Plunges 21% In Friday Pre-Market: What's Going On? - Opendoor Technologies  ( NASDAQ:OPEN ) ,-0.07228,Neutral,OPEN
2025-11-07 01:15:02,"Opendoor Technologies Inc.  ( OPEN )  Reports Q3 Loss, Tops Revenue Estimates",0.116966,Neutral,OPEN
2025-11-06 21:54:11,Opendoor Q3 Earnings: 'We Are Refounding Opendoor As A Software And AI Company' - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.106967,Neutral,OPEN
2025-11-06 21:36:43,Opendoor Announces Shareholder‑First Dividend of Tradable Warrants Aligning Shareholders and Management - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.140223,Neutral,OPEN
2025-11-06 21:36:00,Opendoor Announces Shareholder‑First Dividend of Tradable Warrants Aligning Shareholders and Management,0.140322,Neutral,OPEN
2025-11-06 17:45:11,"AI Stocks Slide Again, Bitcoin Dips Near $100,000: Markets Today - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) ",-0.109516,Neutral,OPEN
2025-11-06 17:28:07,Opendoor Brings 'Earnings and Chill' To Robinhood - Opendoor Technologies  ( NASDAQ:OPEN ) ,0.021257,Neutral,OPEN
2025-11-06 01:02:00,Diamond Hands vs. Paper Hands: Beyond Meat Stock,0.063506,Neutral,OPEN
2025-11-05 12:32:11,"What's Next for Opendoor? $39M Settlement, Investor Concerns, And Margin Pressure - Opendoor Technologies  ( NASDAQ:OPEN ) ",0.043996,Neutral,OPEN
2025-11-04 13:23:00,"Opendoor to Post Q3 Earnings: Buy, Sell or Hold the Stock?",0.264672,Somewhat-Bullish,OPEN
