time_published,title,sentiment_score,sentiment_label,ticker
2025-11-06 15:21:30,Skillz  ( SKLZ )  Q3 2025 Earnings Call Transcript,0.238217,Somewhat-Bullish,SKLZ
2025-11-06 13:30:04,"Skillz Inc.  ( SKLZ )  Reports Q3 Loss, Misses Revenue Estimates",0.121678,Neutral,SKLZ
2025-09-24 20:39:00,INVESTOR ALERT: Pomerantz Law Firm Investigates Claims On Behalf of Investors of Skillz Inc.- SKLZ - Skillz  ( NYSE:SKLZ ) ,0.048715,Neutral,SKLZ
2025-09-23 16:00:02,Skillz  ( SKLZ )  Moves to Buy: Rationale Behind the Upgrade,0.30553,Somewhat-Bullish,SKLZ
2025-09-03 13:40:01,Is Boyd Gaming  ( BYD )  Outperforming Other Consumer Discretionary Stocks This Year?,0.237807,Somewhat-Bullish,SKLZ
2025-09-03 09:27:17,Skillz Stock Plunges Nearly 7% Pre-Market As Gaming Platform Faces Legal Battle Over Tether Studios Termination - Skillz  ( NYSE:SKLZ ) ,0.137276,Neutral,SKLZ
2025-08-07 23:20:02,"Skillz Inc.  ( SKLZ )  Reports Q2 Loss, Tops Revenue Estimates",0.128597,Neutral,SKLZ
2025-08-07 22:03:03,Skillz  ( SKLZ )  Q2 Revenue Jumps 8%,0.23458,Somewhat-Bullish,SKLZ
2025-07-31 14:00:28,Earnings Preview: Skillz Inc.  ( SKLZ )  Q2 Earnings Expected to Decline,0.091277,Neutral,SKLZ
2025-07-25 17:58:42,"S&P 500 Is The New Meme Stock As Retail Torches Wall Street - GoPro  ( NASDAQ:GPRO ) , Krispy Kreme  ( NASDAQ:DNUT ) ",0.111575,Neutral,SKLZ
2025-07-23 13:45:00,Skillz  ( SKLZ )  Surges 10.1%: Is This an Indication of Further Gains?,0.329124,Somewhat-Bullish,SKLZ
2025-07-11 13:40:03,Is Liberty Media Corporation - Liberty Formula One Series C  ( FWONK )  Stock Outpacing Its Consumer Discretionary Peers This Year?,0.359414,Bullish,SKLZ
2025-05-08 21:55:11,"Skillz Inc.  ( SKLZ )  Reports Q1 Loss, Tops Revenue Estimates",0.089328,Neutral,SKLZ
2025-05-07 23:35:05,Flutter Entertainment  ( FLUT )  Tops Q1 Earnings and Revenue Estimates,0.151184,Somewhat-Bullish,SKLZ
2025-04-30 22:35:04,"Rush Street Interactive, Inc.  ( RSI )  Q1 Earnings Surpass Estimates",0.112384,Neutral,SKLZ
2025-04-24 21:15:08,Boyd Gaming  ( BYD )  Tops Q1 Earnings and Revenue Estimates,0.123795,Neutral,SKLZ
2025-03-14 11:36:15,"Skillz Earnings Miss, User Base Shrinks",0.241053,Somewhat-Bullish,SKLZ
2025-03-13 21:55:04,"Skillz Inc.  ( SKLZ )  Reports Q4 Loss, Lags Revenue Estimates",0.103103,Neutral,SKLZ
2025-03-10 14:48:00,Skillz Gears Up for Q4 Earnings: What's in Store for the Stock?,0.245609,Somewhat-Bullish,SKLZ
2025-02-27 13:20:05,"PENN Entertainment  ( PENN )  Reports Q4 Loss, Misses Revenue Estimates",0.126364,Neutral,SKLZ
2025-02-24 14:03:00,GDEV Inc.  ( GDEV )  Moves 46.6% Higher: Will This Strength Last?,0.271892,Somewhat-Bullish,SKLZ
2024-11-08 00:10:07,"Skillz Inc.  ( SKLZ )  Reports Q3 Loss, Misses Revenue Estimates",0.096205,Neutral,SKLZ
2024-10-31 13:10:07,"Roblox  ( RBLX )  Reports Q3 Loss, Tops Revenue Estimates",0.128714,Neutral,SKLZ
2024-09-24 14:15:00,Skillz Inc.  ( NYSE: SKLZ )  Lawsuit Updated: Investors who purchased Flying Eagle Acquisition Corp.  ( formerly NYSE: FEAC )  shares should contact the Shareholders Foundation - Skillz  ( NYSE:SKLZ ) ,0.124243,Neutral,SKLZ
2024-09-11 16:07:00,GameStop Q2 Earnings Beat Amid Y/Y Sales Dips Across All Categories,-0.00719,Neutral,SKLZ
2024-09-05 15:15:00,PROFESSIONAL FIGHTERS LEAGUE ANNOUNCES MULTI YEAR PARTNERSHIP WITH FANUP TO LAUNCH FREE-TO-PLAY FANTASY CONTESTS FOR BELLATOR CHAMPIONS SERIES,0.557526,Bullish,SKLZ
2024-08-29 11:39:00,Bet on 4 Top-Ranked Stocks With Rising P/E,0.26145,Somewhat-Bullish,SKLZ
2024-08-06 16:00:10,Skillz  ( SKLZ )  Upgraded to Buy: Here's Why,0.298509,Somewhat-Bullish,SKLZ
2024-08-02 17:50:51,"Skillz Mixed Results: EPS Up, Revenue Down",0.37701,Bullish,SKLZ
2024-08-01 22:25:12,"Skillz Inc.  ( SKLZ )  Reports Q2 Loss, Misses Revenue Estimates",0.109958,Neutral,SKLZ
2024-07-29 17:05:00,Live Nation  ( LYV )  Gears Up for Q2 Earnings: What's in Store?,0.263163,Somewhat-Bullish,SKLZ
2024-07-29 15:29:00,Caesars Entertainment  ( CZR )  to Post Q2 Earnings: What's in Store?,0.149167,Neutral,SKLZ
2024-07-15 13:08:00,Las Vegas Sands  ( LVS )  to Post Q2 Earnings: What's in Store?,0.269265,Somewhat-Bullish,SKLZ
2024-05-09 22:00:04,"Skillz Inc.  ( SKLZ )  Reports Q1 Loss, Lags Revenue Estimates",0.105361,Neutral,SKLZ
2024-05-08 22:05:04,"Golden Entertainment  ( GDEN )  Reports Q1 Loss, Tops Revenue Estimates",0.148347,Neutral,SKLZ
2024-05-01 22:30:04,"Rush Street Interactive, Inc.  ( RSI )  Tops Q1 Earnings and Revenue Estimates",0.162934,Somewhat-Bullish,SKLZ
2024-04-26 16:24:24,"Boyd Gaming Q1 Earnings Miss Estimates - Skillz  ( NYSE:SKLZ ) , Boyd Gaming  ( NYSE:BYD ) ",0.173496,Somewhat-Bullish,SKLZ
2024-04-25 21:45:07,Boyd Gaming  ( BYD )  Q1 Earnings Miss Estimates,0.159483,Somewhat-Bullish,SKLZ
2024-03-15 12:50:00,"Skillz  ( SKLZ )  Q4 Earnings Top Estimates, Revenues Lag, Down Y/Y",0.069862,Neutral,SKLZ
2024-03-14 21:50:02,"Skillz Inc.  ( SKLZ )  Reports Q4 Loss, Misses Revenue Estimates",0.131023,Neutral,SKLZ
2024-03-11 15:03:00,Skillz  ( SKLZ )  to Report Q4 Earnings: What's in the Offing?,0.175379,Somewhat-Bullish,SKLZ
2024-02-13 15:09:00,Skillz Inc.  ( SKLZ )  Moves 14.5% Higher: Will This Strength Last?,0.24354,Somewhat-Bullish,SKLZ
2024-01-24 17:30:20, ( SKLZ )  - Analyzing Skillz's Short Interest - Skillz  ( NYSE:SKLZ ) ,0.24389,Somewhat-Bullish,SKLZ
2024-01-09 15:40:00,"The Zacks Analyst Blog Highlights JAKKS Pacific, Hooker Furniture, Netflix, Skillz and Acushnet",0.143053,Neutral,SKLZ
2024-01-08 13:21:00,Raise a Toast to These 5 Consumer Discretionary Stocks in 2024,0.152828,Somewhat-Bullish,SKLZ
2023-12-22 15:13:55,Lionsgate Will Spin Off From Starz In Deal Valuing Business At $4.6 Billion,0.028738,Neutral,SKLZ
2023-12-12 13:50:06,Skillz Inc.  ( SKLZ )  Shows Fast-paced Momentum But Is Still a Bargain Stock,0.25569,Somewhat-Bullish,SKLZ
2023-11-29 14:55:10,Wall Street Analysts Think Skillz Inc.  ( SKLZ )  Could Surge 47.02%: Read This Before Placing a Bet,0.197443,Somewhat-Bullish,SKLZ
2023-11-13 14:55:18,Wall Street Analysts Believe Skillz Inc.  ( SKLZ )  Could Rally 125.56%: Here's is How to Trade,0.240573,Somewhat-Bullish,SKLZ
2023-10-05 17:22:02,"Stocks That Hit 52-Week Lows On Thursday - PRA Group  ( NASDAQ:PRAA ) , Perimeter Solutions  ( NYSE:PRM ) ",-0.11524,Neutral,SKLZ
