time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 21:15:00,TEGNA Announces Quarterly Dividend - Tegna  ( NYSE:TGNA ) ,-0.091041,Neutral,TGNA
2025-11-18 21:15:00,TEGNA Announces Quarterly Dividend,-0.08901,Neutral,TGNA
2025-11-18 14:23:55,TEGNA Shareholders Approve Merger Agreement with Nexstar Media Group - Tegna  ( NYSE:TGNA ) ,0.002424,Neutral,TGNA
2025-11-18 14:23:00,TEGNA Shareholders Approve Merger Agreement with Nexstar Media Group,0.007291,Neutral,TGNA
2025-11-10 19:23:00,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: TreeHouse Foods Inc.  ( NYSE - THS ) , Movano Inc.  ( Nasdaq - MOVE ) , Gulf Island Inc.  ( Nasdaq - GIFI ) , TEGNA Inc.  ( NYSE - TGNA ) ",0.210673,Somewhat-Bullish,TGNA
2025-11-10 13:10:02,TEGNA Inc.  ( TGNA )  Q3 Earnings and Revenues Lag Estimates,0.139561,Neutral,TGNA
2025-10-29 21:30:00,"$HAREHOLDER ALERT: The M&A Class Action Firm Encourages $hareholders to Act Before the Vote - CYBR, PNFP, TGNA, and MTSR",0.254169,Somewhat-Bullish,TGNA
2025-10-15 23:21:27,Why Newsmax CEO Speaks Out Against About TV Merger - Newsmax  ( NYSE:NMAX ) ,0.103582,Neutral,TGNA
2025-10-13 21:30:00,"$HAREHOLDER ALERT: The M&A Class Action Firm Continues to Investigate the Merger - TGNA, PBBK, FSFG, and SMLR",0.222813,Somewhat-Bullish,TGNA
2025-10-08 21:30:00,"$HAREHOLDER ALERT: The M&A Class Action Launches Legal Inquiry for the Merger - SHCO, TGNA, WOW, EFIN",0.209478,Somewhat-Bullish,TGNA
2025-10-05 08:40:00,Has President Trump Made Disney Stock a Lose-Lose Proposition for Investors After the Jimmy Kimmel Controversy?,0.08469,Neutral,TGNA
2025-10-02 13:15:00,Can Free-to-Air Sports Deals Strengthen TEGNA's Local Market Reach?,0.321978,Somewhat-Bullish,TGNA
2025-09-24 06:35:51,"Elizabeth Warren Says Kimmel Is Back But Many Americans Can't Watch Him: Senator Demands Answers On Business Deals That Need Trump Approval - Comcast  ( NASDAQ:CMCSA ) , Walt Disney  ( NYSE:DIS ) ",-0.026633,Neutral,TGNA
