time_published,title,sentiment_score,sentiment_label,ticker
2025-11-17 12:19:29,"Top 3 Financial Stocks That May Explode In Q4 - Manhattan Bridge Capital  ( NASDAQ:LOAN ) , LendingTree  ( NASDAQ:TREE ) ",0.209556,Somewhat-Bullish,TRUP
2025-11-07 01:05:03,Trupanion  ( TRUP )  Beats Q3 Earnings and Revenue Estimates,0.121416,Neutral,TRUP
2025-11-06 21:00:00,"BMO Insurance and Trupanion Join Forces to Bring Simple, Trusted Pet Insurance to More Canadians - Trupanion  ( NASDAQ:TRUP ) ",0.419451,Bullish,TRUP
2025-11-04 22:15:01,Aflac  ( AFL )  Q3 Earnings and Revenues Beat Estimates,0.141706,Neutral,TRUP
2025-11-03 23:15:04,Unum  ( UNM )  Lags Q3 Earnings Estimates,0.148502,Neutral,TRUP
2025-10-30 20:15:00,"Trupanion Appoints Bradley Powell to Board of Directors - Trupanion  ( NASDAQ:TRUP ) , Expeditors International  ( NYSE:EXPD ) ",0.300807,Somewhat-Bullish,TRUP
2025-10-30 14:00:41,Trupanion  ( TRUP )  Reports Next Week: Wall Street Expects Earnings Growth,0.140332,Neutral,TRUP
2025-10-29 21:40:02,Amerisafe  ( AMSF )  Q3 Earnings Meet Estimates,0.107462,Neutral,TRUP
2025-10-29 20:15:00,Trupanion Publishes 2025 Corporate Social Responsibility Report,0.205726,Somewhat-Bullish,TRUP
2025-10-29 20:15:00,Trupanion Publishes 2025 Corporate Social Responsibility Report - Trupanion  ( NASDAQ:TRUP ) ,0.163098,Somewhat-Bullish,TRUP
2025-10-22 21:25:03,Globe Life  ( GL )  Surpasses Q3 Earnings Estimates,0.139684,Neutral,TRUP
2025-10-22 12:30:00,Ready for the Spotlight: Trupanion Announces 2025 truFame Winners,0.296299,Somewhat-Bullish,TRUP
2025-10-21 20:15:24,Trupanion Announces Third Quarter 2025 Earnings Release and Conference Call - Trupanion  ( NASDAQ:TRUP ) ,0.185382,Somewhat-Bullish,TRUP
2025-10-21 20:15:00,Trupanion Announces Third Quarter 2025 Earnings Release and Conference Call,0.220996,Somewhat-Bullish,TRUP
2025-09-30 15:00:00,Trupanion Grows in Pet Insurance Amid Rising Veterinary Care Costs,0.418552,Bullish,TRUP
2025-09-30 14:30:00,Unum Group to Benefit From Growing Premium Amid Cost Woes,0.48199,Bullish,TRUP
2025-09-12 12:34:00,Are Options Traders Betting on a Big Move in Trupanion Stock?,0.031119,Neutral,TRUP
2025-09-08 19:16:04,Strike a Paws! Trupanion's truFame Contest Starts Now - Trupanion  ( NASDAQ:TRUP ) ,0.430805,Bullish,TRUP
2025-09-08 19:16:00,Strike a Paws! Trupanion's truFame Contest Starts Now,0.452421,Bullish,TRUP
2025-09-08 14:37:00,"Zacks Industry Outlook Highlights Aflac, Trupanion and Globe Life",0.231159,Somewhat-Bullish,TRUP
2025-09-05 16:28:00,3 Accident & Health Insurance Stocks to Watch Amid Pricing Pressure,0.226851,Somewhat-Bullish,TRUP
2025-09-01 19:00:24,Price Over Earnings Overview: Trupanion - Trupanion  ( NASDAQ:TRUP ) ,0.064001,Neutral,TRUP
2025-08-07 22:45:02,Trupanion  ( TRUP )  Q2 Earnings and Revenues Top Estimates,0.091725,Neutral,TRUP
2025-08-07 21:37:52,Trupanion  ( TRUP )  Q2 Profit Surges 124%,0.290194,Somewhat-Bullish,TRUP
2025-08-06 21:40:03,Howard Hughes Holdings  ( HHH )  Q2 Earnings and Revenues Lag Estimates,0.173822,Somewhat-Bullish,TRUP
2025-08-05 21:45:02,Aflac  ( AFL )  Q2 Earnings and Revenues Top Estimates,0.139974,Neutral,TRUP
2025-07-31 20:30:00,Trupanion to Participate in the Canaccord Genuity 45th Annual Growth Conference,0.185056,Somewhat-Bullish,TRUP
2025-07-31 14:00:29,Trupanion  ( TRUP )  May Report Negative Earnings: Know the Trend Ahead of Next Week's Release,0.098302,Neutral,TRUP
2025-07-30 21:40:01,Employers Holdings  ( EIG )  Q2 Earnings Lag Estimates,0.112227,Neutral,TRUP
2025-07-17 20:15:00,Trupanion Announces Second Quarter 2025 Earnings Release and Conference Call,0.220996,Somewhat-Bullish,TRUP
2025-07-17 20:15:00,Trupanion Announces Second Quarter 2025 Earnings Release and Conference Call - Trupanion  ( NASDAQ:TRUP ) ,0.185664,Somewhat-Bullish,TRUP
2025-07-14 16:38:00,"UNM Outperforms Industry, Trades at a Premium: Should You Buy the Stock?",0.387254,Bullish,TRUP
2025-06-26 20:15:36,Trupanion to Host 2025 Annual Investor Day on September 17 - Trupanion  ( NASDAQ:TRUP ) ,0.262719,Somewhat-Bullish,TRUP
2025-06-26 20:15:00,Trupanion to Host 2025 Annual Investor Day on September 17,0.267982,Somewhat-Bullish,TRUP
2025-06-18 20:05:00,Trupanion Announces Winners of the Veterinary Appreciation Day™ Awards,0.48535,Bullish,TRUP
2025-06-16 12:14:00,"Zacks Industry Outlook Highlights Aflac, Unum, Trupanion, Globe Life and AMERISAFE",0.286682,Somewhat-Bullish,TRUP
2025-06-13 17:33:00,5 Accident & Health Insurance Stocks to Watch as Exposure Increases,0.287006,Somewhat-Bullish,TRUP
2025-06-09 19:29:17,"MUSE Microscopy, Inc. Launches Veterinary Digital Pathology with the First-of-Its-Kind Tissue-to-Direct Digital Imaging for the Veterinary Market",0.198784,Somewhat-Bullish,TRUP
2025-06-09 16:00:08,Trupanion  ( TRUP )  Upgraded to Buy: What Does It Mean for the Stock?,0.307388,Somewhat-Bullish,TRUP
2025-05-05 13:00:00,Top Animal Health Experts Address H5N1 Bird Flu in Trupanion Webinar,0.052412,Neutral,TRUP
2025-05-02 14:36:47,"Trupanion Posts Better-Than-Expected Results, Joins Duolingo, DexCom, Exact Sciences And Other Big Stocks Moving Higher On Friday - Archer Aviation  ( NYSE:ACHR ) , Adaptive Biotechnologies  ( NASDAQ:ADPT ) ",0.436967,Bullish,TRUP
2025-05-02 13:55:14,Wall Street Analysts Believe Trupanion  ( TRUP )  Could Rally 50.25%: Here's is How to Trade,0.233723,Somewhat-Bullish,TRUP
2025-05-01 21:25:11,"Trupanion  ( TRUP )  Reports Q1 Loss, Tops Revenue Estimates",0.11022,Neutral,TRUP
