time_published,title,sentiment_score,sentiment_label,ticker
2025-11-20 19:09:00,Pagaya Shares Gain 56.8% in 6 Months: How to Play the Stock?,0.367685,Bullish,UPST
2025-11-18 16:11:00,Upstart's Push Into Auto and Home Loans: Will Diversification Pay Off?,0.297876,Somewhat-Bullish,UPST
2025-11-17 18:47:00,SoFi's Upgraded Outlook Driven by Strengthening Scalable Profitability,0.465922,Bullish,UPST
2025-11-17 13:25:00,"Down 58%, This Fast-Growing Fintech Stock Could Be a Brilliant Buy Right Now",0.17614,Somewhat-Bullish,UPST
2025-11-16 11:45:00,2 Stocks That Would Benefit From President Trump's 50-Year Mortgage Proposal,0.315593,Somewhat-Bullish,UPST
2025-11-14 13:07:00,"Is Upstart Stock a Buy, Hold or Sell After a Steep 41% 3-Month Drop?",0.242404,Somewhat-Bullish,UPST
2025-11-13 14:51:00,Could Upstart 10X by 2030?,0.106121,Neutral,UPST
2025-11-12 14:00:04,"Is Most-Watched Stock Upstart Holdings, Inc.  ( UPST )  Worth Betting on Now?",0.206136,Somewhat-Bullish,UPST
2025-11-11 18:33:00,Is Pagaya Stock's Low Valuation a Bargain or a Warning Sign?,0.312424,Somewhat-Bullish,UPST
2025-11-11 10:44:00,My 3 Favorite Stocks to Buy Right Now,0.202697,Somewhat-Bullish,UPST
2025-11-07 14:44:52,Should Investors Buy Upstart Stock Right Now?,-0.407858,Bearish,UPST
2025-11-06 13:56:00,Future-Ready Fintech Stocks Set for Sustainable Long-Term Growth,0.366314,Bullish,UPST
2025-11-05 16:25:30,Why Is Upstart Stock Down Today? - Upstart Hldgs  ( NASDAQ:UPST ) ,-0.036512,Neutral,UPST
2025-11-05 13:45:15,"Super Micro Computer Posts Downbeat Q1 Results, Joins Pinterest, Axon Enterprise And Other Big Stocks Moving Lower In Wednesday's Pre-Market Session - Arista Networks  ( NYSE:ANET ) , Advanced Micro Devices  ( NASDAQ:AMD ) ",-0.098385,Neutral,UPST
2025-11-05 12:15:06,"AMD To Rally Around 12%? Here Are 10 Top Analyst Forecasts For Wednesday - Advanced Micro Devices  ( NASDAQ:AMD ) , Archer-Daniels-Midland  ( NYSE:ADM ) ",0.190915,Somewhat-Bullish,UPST
2025-11-05 01:21:20,"AMD, Super Micro Computer, Upstart Holdings, Pinterest And Rivian: Why These 5 Stocks Are On Investors' Radars Today - Advanced Micro Devices  ( NASDAQ:AMD ) ",-0.021755,Neutral,UPST
2025-11-04 23:35:04,"Upstart Holdings, Inc.  ( UPST )  Q3 Earnings Top Estimates",0.121704,Neutral,UPST
2025-11-04 21:47:31,Upstart Stock Slides After Mixed Q3 Results: Details - Upstart Hldgs  ( NASDAQ:UPST ) ,0.179381,Somewhat-Bullish,UPST
2025-11-03 15:07:00,UPST Q3 Earnings Preview: Should You Buy the Stock Now or Wait?,0.312223,Somewhat-Bullish,UPST
2025-11-02 19:00:00,This Fintech Stock Is Rebranding. Here's Why It Could Help the Stock Take Off,0.24527,Somewhat-Bullish,UPST
2025-11-02 06:12:50,"Is Upstart Stock a Buy, Sell, or Hold After the Chief Legal Officer Sold Shares?",0.358806,Bullish,UPST
2025-11-01 13:18:00,Prediction: Upstart Will Be Worth More Than Affirm by 2035,0.224036,Somewhat-Bullish,UPST
2025-10-31 17:17:00,"AI Lending Push, New Verticals Rise: Will Upstart Stay Ahead in Q3?",0.35319,Bullish,UPST
2025-10-31 17:12:14,"How Direct Lenders Are Capturing A New Credit Market, And Why Investors Are Paying Attention - Enova International  ( NYSE:ENVA ) , OneMain Holdings  ( NYSE:OMF ) ",0.297815,Somewhat-Bullish,UPST
