time_published,title,sentiment_score,sentiment_label,ticker
2025-11-10 16:07:30,Aggressive Accumulation: Fund Manager Backs Up the Truck for Software Stock,0.275056,Somewhat-Bullish,WK
2025-11-09 09:28:00,"1 Glorious Growth Stock Down 48% to Buy Hand Over Fist, According to Wall Street",0.16984,Somewhat-Bullish,WK
2025-11-05 23:40:03,Workiva  ( WK )  Q3 Earnings and Revenues Beat Estimates,0.146088,Neutral,WK
2025-11-05 23:22:39,Workiva  ( WK )  Q3 2025 Earnings Call Transcript,0.351353,Bullish,WK
2025-10-29 12:05:02,Automatic Data Processing  ( ADP )  Q1 Earnings and Revenues Top Estimates,0.146202,Neutral,WK
2025-10-07 10:00:00,1 Glorious Growth Stock Down 49% to Buy Hand Over Fist in October,0.187873,Somewhat-Bullish,WK
2025-10-04 12:43:47,"Activist Irenic builds a stake in Workiva, hoping to gain a voice on the software company's board",0.185723,Somewhat-Bullish,WK
2025-08-05 08:19:00,"1 Glorious Growth Stock Down 47% to Buy on the Dip, According to Wall Street",0.192818,Somewhat-Bullish,WK
2025-08-01 20:20:06,Why Workiva Stock Rocketed More Than 31% Higher Today,0.383821,Bullish,WK
2025-08-01 14:44:18,"Monolithic Power Systems, Workiva, Interface, AppFolio And Other Big Stocks Moving Higher On Friday - Rich Sparkle Holdings  ( NASDAQ:ANPA ) , AppFolio  ( NASDAQ:APPF ) ",0.435462,Bullish,WK
2025-07-31 22:10:03,Workiva  ( WK )  Q2 Earnings and Revenues Top Estimates,0.162139,Somewhat-Bullish,WK
2025-07-04 15:31:00,Olo  ( OLO )  Surges 13.6%: Is This an Indication of Further Gains?,0.247047,Somewhat-Bullish,WK
2025-06-19 08:49:00,"2 Glorious Growth Stocks Down 36% and 57% You'll Wish You'd Bought on the Dip, According to Wall Street",0.139479,Neutral,WK
2025-05-27 20:01:36,"Waystar, OneStream, Vertex Among Analyst Favorites As Solid Guidance Fuel Bullish Outlook - Guidewire Software  ( NYSE:GWRE ) , BlackLine  ( NASDAQ:BL ) ",0.210268,Somewhat-Bullish,WK
2025-05-05 11:45:00,"1 Overlooked Growth Stock Down 55% to Buy on the Dip, According to Wall Street",0.241177,Somewhat-Bullish,WK
2025-05-01 22:25:08,Workiva  ( WK )  Tops Q1 Earnings and Revenue Estimates,0.100634,Neutral,WK
2025-04-29 23:05:02,Snap  ( SNAP )  Q1 Earnings Match Estimates,0.127413,Neutral,WK
2025-04-17 14:00:00,"The Rise of US ESG Reporting Software Market: A $0.71 billion Industry Dominated by Tech Giants -Nasdaq, Workiva, and Diligent | MarketsandMarkets™",0.266055,Somewhat-Bullish,WK
2025-04-16 15:08:00,"Federal Mandates Drive Workiva: Buy, Sell or Hold the Stock?",0.268004,Somewhat-Bullish,WK
2025-04-10 20:38:30,WORKIVA STOCKHOLDER ALERT: Kaskela Law LLC Announces Investigation of Workiva Inc.  ( NYSE: WK )  and Encourages Long-Term Investors to Contact the Firm - Workiva  ( NYSE:WK ) ,0.149739,Neutral,WK
