time_published,title,sentiment_score,sentiment_label,ticker
2025-11-18 15:00:00,Workhorse Shareholders: The Time to Vote for the Motiv Transaction is NOW,0.127271,Neutral,WKHS
2025-11-13 15:30:00,Workhorse Group Reminds Shareholders of Extended Deadline to Vote FOR Motiv Transaction and All Annual Meeting Proposals,0.111089,Neutral,WKHS
2025-11-12 14:10:00,Workhorse Group Provides Additional Time To Vote For Motiv Transaction,0.158242,Somewhat-Bullish,WKHS
2025-11-10 22:30:00,Workhorse Group Reports Third Quarter 2025 Results,0.201212,Somewhat-Bullish,WKHS
2025-11-10 13:38:37,"Top Stocks With Earnings This Week: Plug, Oklo, Circle And More - Rigetti Computing  ( NASDAQ:RGTI ) ",0.046858,Neutral,WKHS
2025-11-05 13:00:02,Adient  ( ADNT )  Q4 Earnings Miss Estimates,0.180336,Somewhat-Bullish,WKHS
2025-11-04 21:05:00,Workhorse Group Recommends Shareholders Follow Recommendations of Leading Independent Proxy Advisory Firms to Vote FOR Motiv Transaction Today - Workhorse Gr  ( NASDAQ:WKHS ) ,0.183532,Somewhat-Bullish,WKHS
2025-11-03 13:00:00,Workhorse Expands W56 Platform with Industry-Standard Utilimaster Body for Fleet Standardization - Workhorse Gr  ( NASDAQ:WKHS ) ,0.278416,Somewhat-Bullish,WKHS
2025-10-23 12:05:02,Garrett Motion  ( GTX )  Tops Q3 Earnings and Revenue Estimates,0.207719,Somewhat-Bullish,WKHS
2025-09-24 16:00:01,Workhorse  ( WKHS )  Upgraded to Buy: Here's What You Should Know,0.284982,Somewhat-Bullish,WKHS
2025-09-10 12:30:00,"Workhorse W56 Eligible for California HVIP Vouchers of $85,000 and Higher; Dealers Submit Voucher Requests as Company Showcases Step Van at FedEx Forward Summit",0.161058,Somewhat-Bullish,WKHS
2025-09-09 15:51:51,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: Tourmaline Bio, Inc.  ( Nasdaq - TRML ) , BT Brands, Inc.  ( Nasdaq - BTBD ) , WideOpenWest, Inc.  ( NYSE - WOW ) , Workhorse Group Inc.  ( Nasdaq - WKHS ) ",0.161596,Somewhat-Bullish,WKHS
2025-09-03 18:56:36,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates BTBD, WOW, SHCO, WKHS on Behalf of Shareholders - Soho House  ( NYSE:SHCO ) , BT Brands  ( NASDAQ:BTBD ) ",0.090207,Neutral,WKHS
2025-09-03 17:54:31,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: BT Brands, Inc.  ( Nasdaq - BTBD ) , WideOpenWest, Inc.  ( NYSE - WOW ) , Soho House & Co Inc.  ( NYSE - SHCO ) , Workhorse Group Inc.  ( Nasdaq - WKHS ) ",0.177539,Somewhat-Bullish,WKHS
2025-09-03 14:22:30,Why Is BT Brands Stock Skyrocketing Wednesday? - BT Brands  ( NASDAQ:BTBD ) ,0.23892,Somewhat-Bullish,WKHS
2025-08-20 12:06:52,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates WOW, SHCO, WKHS on Behalf of Shareholders - Soho House  ( NYSE:SHCO ) , Workhorse Gr  ( NASDAQ:WKHS ) ",0.100023,Neutral,WKHS
2025-08-18 19:45:41,"SHAREHOLDER INVESTIGATION: Halper Sadeh LLC Investigates SHCO, WKHS, HBI, SPNS on Behalf of Shareholders - Hanesbrands  ( NYSE:HBI ) , Soho House  ( NYSE:SHCO ) ",0.125741,Neutral,WKHS
2025-08-18 19:00:41,"BRODSKY & SMITH SHAREHOLDER UPDATE: Notifying Investors of the Following Investigations: Soho House & Co Inc.  ( NYSE - SHCO ) , Workhorse Group Inc.  ( Nasdaq - WKHS ) , HanesBrands Financial Corp.  ( NYSE - HBI ) , Sapiens International Corporation N.V.  ( Nasdaq - SPNS ) ",0.21881,Somewhat-Bullish,WKHS
2025-08-18 12:30:00,"Workhorse Group and Motiv Electric Trucks Remind Shareholders to Submit Questions for Joint Conference Call on Tuesday, August 19, 2025 at 10:00 a.m. ET",0.148813,Neutral,WKHS
2025-08-18 12:30:00,"Workhorse Group and Motiv Electric Trucks Remind Shareholders to Submit Questions for Joint Conference Call on Tuesday, August 19, 2025 at 10:00 a.m. ET - Workhorse Gr  ( NASDAQ:WKHS ) ",0.148671,Neutral,WKHS
2025-08-15 17:26:42,Why Is Workhorse Group Stock Falling Friday? - Workhorse Gr  ( NASDAQ:WKHS ) ,0.113158,Neutral,WKHS
2025-08-15 13:08:32,Workhorse Sales Beat Estimates,0.188468,Somewhat-Bullish,WKHS
2025-08-15 13:02:00,Workhorse Group Reports Second Quarter 2025 Results,0.204594,Somewhat-Bullish,WKHS
2025-08-15 13:00:00,"Workhorse Group and Motiv Electric Trucks Executed Definitive Agreement to Combine, Creating a Leading Medium-Duty Electric Truck OEM in North America - Workhorse Gr  ( NASDAQ:WKHS ) ",0.241675,Somewhat-Bullish,WKHS
2025-08-11 22:55:04,Dana  ( DAN )  Q2 Earnings and Revenues Miss Estimates,0.17384,Somewhat-Bullish,WKHS
2025-08-05 12:15:04,LCI  ( LCII )  Q2 Earnings and Revenues Top Estimates,0.157911,Somewhat-Bullish,WKHS
2025-08-04 14:54:26,Workhorse Stock Jumps After Reviving Merger Talks With Electric Vehicle Maker - Workhorse Gr  ( NASDAQ:WKHS ) ,0.232601,Somewhat-Bullish,WKHS
2025-08-04 10:30:00,Workhorse Reenters Exclusivity Period in Connection with Potential Transaction,0.169332,Somewhat-Bullish,WKHS
2025-08-04 10:30:00,Workhorse Reenters Exclusivity Period in Connection with Potential Transaction - Workhorse Gr  ( NASDAQ:WKHS ) ,0.164513,Somewhat-Bullish,WKHS
2025-07-14 14:37:36,Why Is Workhorse Stock Tumbling On Monday? - Workhorse Gr  ( NASDAQ:WKHS ) ,0.107202,Neutral,WKHS
2025-07-14 11:00:00,Workhorse Discloses Update on Potential Transaction - Workhorse Gr  ( NASDAQ:WKHS ) ,0.159676,Somewhat-Bullish,WKHS
2025-07-14 11:00:00,Workhorse Discloses Update on Potential Transaction,0.166764,Somewhat-Bullish,WKHS
2025-07-09 17:04:05,What's Going On With Workhorse Group Stock Wednesday? - Workhorse Gr  ( NASDAQ:WKHS ) ,0.121097,Neutral,WKHS
2025-05-17 13:01:21,"Bulls And Bears: Virgin Galactic, Duolingo, Alibaba - And Stocks Close Up Five Days In A Row Bulls And Bears: Virgin Galactic, Duolingo, Alibaba - And Stocks Close Up Five Days In A Row - Archer Aviation  ( NYSE:ACHR ) , American Eagle Outfitters  ( NYSE:AEO ) ",0.080564,Neutral,WKHS
2025-05-15 15:36:37,Workhorse To Cut Workforce As Shares Slides After Q1 Miss - Workhorse Gr  ( NASDAQ:WKHS ) ,0.019546,Neutral,WKHS
