open,high,low,close,volume,Date
210.86,211.92,208.81,210.15,2431126,2020-01-02
208.5,210.63,207.0,209.8,1802086,2020-01-03
208.27,208.79,206.81,208.43,2840016,2020-01-06
203.2,206.26,203.19,203.93,3098262,2020-01-07
204.0,205.45,203.53,204.33,2271348,2020-01-08
205.5,207.28,205.16,206.15,2910618,2020-01-09
206.93,208.31,206.73,207.66,1573055,2020-01-10
207.49,209.84,207.49,209.59,2202783,2020-01-13
209.55,211.0,207.03,207.73,2499113,2020-01-14
208.0,208.44,206.73,207.26,1985994,2020-01-15
208.14,209.1,207.9,208.98,2691614,2020-01-16
210.0,210.65,208.35,209.2,2584508,2020-01-17
207.5,210.16,207.0,209.15,2687176,2020-01-21
210.2,211.86,209.35,209.41,1873641,2020-01-22
209.4,210.81,208.87,210.68,2368412,2020-01-23
211.0,211.59,208.05,208.57,2348904,2020-01-24
205.18,207.84,204.85,206.55,1381344,2020-01-27
207.87,210.96,207.25,210.24,1810188,2020-01-28
210.68,211.21,207.79,207.96,1491605,2020-01-29
207.5,208.93,205.2,208.37,1579621,2020-01-30
208.5,209.63,204.0,205.21,1793599,2020-01-31
205.34,208.42,205.25,207.8,2345722,2020-02-03
210.0,213.79,209.75,212.53,2242773,2020-02-04
213.89,214.46,210.41,212.22,2102467,2020-02-05
213.0,214.38,212.31,214.16,1611464,2020-02-06
213.34,213.39,211.09,211.58,1447728,2020-02-07
210.19,212.97,210.19,212.55,1421563,2020-02-10
213.38,213.98,211.76,212.14,1321019,2020-02-11
212.2,212.87,211.54,211.99,1801311,2020-02-12
209.87,213.54,209.34,212.4,1721214,2020-02-13
213.25,213.54,211.35,212.37,2096562,2020-02-14
212.5,214.06,211.2,213.76,1699427,2020-02-18
215.0,216.39,214.38,215.92,1806042,2020-02-19
215.88,216.32,211.61,213.9,1481699,2020-02-20
212.59,213.55,210.49,211.89,2088805,2020-02-21
204.47,207.87,203.45,204.36,2600382,2020-02-24
204.78,205.48,195.86,197.1,2882885,2020-02-25
198.67,201.45,194.79,195.67,2671068,2020-02-26
192.2,194.35,186.37,186.44,3040123,2020-02-27
180.26,183.2,175.3,180.59,5785204,2020-02-28
182.0,189.82,178.02,189.55,4317868,2020-03-02
189.77,191.9,180.62,182.22,3514000,2020-03-03
185.8,189.71,184.3,188.86,3875395,2020-03-04
185.09,187.46,180.92,182.56,3548239,2020-03-05
177.45,180.31,173.92,178.75,3284386,2020-03-06
165.4,170.88,160.1,164.11,5112245,2020-03-09
171.08,174.74,166.04,174.56,4349451,2020-03-10
169.32,171.17,162.65,165.11,5076118,2020-03-11
153.0,158.75,147.08,152.53,6357919,2020-03-12
160.62,166.71,152.93,166.51,5741835,2020-03-13
148.29,166.51,143.51,152.54,5324860,2020-03-16
154.0,160.66,152.48,157.71,6081140,2020-03-17
151.57,159.8,142.0,151.15,5858322,2020-03-18
151.36,177.8,151.36,158.5,6338232,2020-03-19
157.53,159.47,147.42,149.94,6449664,2020-03-20
148.01,148.01,137.15,143.69,6173727,2020-03-23
152.26,157.63,149.49,156.85,4684046,2020-03-24
156.44,159.69,148.11,151.82,4795480,2020-03-25
153.4,171.6,150.0,171.34,5194360,2020-03-26
165.0,169.29,160.61,162.88,3802436,2020-03-27
164.12,170.37,163.78,169.82,2731326,2020-03-30
167.43,169.88,162.16,163.26,2956536,2020-03-31
158.57,160.82,152.58,154.68,2973074,2020-04-01
154.05,160.5,153.55,156.27,3030044,2020-04-02
155.6,158.72,148.28,152.15,3766617,2020-04-03
158.98,166.75,157.04,166.05,3089966,2020-04-06
171.08,171.49,163.93,164.12,3002465,2020-04-07
166.58,172.69,165.07,171.73,2466219,2020-04-08
173.23,179.87,172.51,177.92,3743653,2020-04-09
176.18,177.01,169.56,172.57,1918370,2020-04-13
177.0,178.89,176.02,178.1,2874967,2020-04-14
174.3,174.31,168.89,169.45,2504567,2020-04-15
171.26,172.05,167.52,167.95,3051135,2020-04-16
172.52,175.16,172.05,175.09,4759062,2020-04-17
172.59,176.9,171.76,174.74,2511654,2020-04-20
170.82,172.8,165.71,166.24,2711361,2020-04-21
170.04,173.34,169.21,172.31,1921217,2020-04-22
173.36,175.32,172.14,172.9,3027900,2020-04-23
176.4,176.4,172.57,175.46,2121074,2020-04-24
176.23,180.54,176.2,179.43,2457808,2020-04-27
182.08,183.26,176.91,178.36,2160130,2020-04-28
182.31,188.17,181.7,187.56,2957573,2020-04-29
185.53,186.48,184.19,185.19,2740796,2020-04-30
181.71,182.99,179.26,180.09,2064179,2020-05-01
177.98,180.64,176.88,179.53,1710855,2020-05-04
182.08,183.89,181.0,181.62,1621909,2020-05-05
182.1,182.5,179.05,180.38,1474938,2020-05-06
182.99,187.43,182.5,187.11,2295363,2020-05-07
188.99,189.85,187.68,188.56,1778596,2020-05-08
186.49,189.53,185.29,187.75,2013769,2020-05-11
187.84,189.99,185.69,185.72,1912253,2020-05-12
185.04,185.14,178.75,181.0,2349306,2020-05-13
178.7,180.01,174.94,179.99,2773299,2020-05-14
178.37,183.96,177.83,183.88,3630025,2020-05-15
189.0,194.14,188.11,192.75,2254666,2020-05-18
192.5,194.51,189.92,190.09,1784090,2020-05-19
192.5,195.67,192.23,195.18,2294760,2020-05-20
194.7,195.52,192.7,193.5,1372961,2020-05-21
194.08,194.89,191.13,193.71,1317507,2020-05-22
199.42,199.99,196.03,196.4,2408717,2020-05-26
198.38,199.95,196.21,199.93,2000474,2020-05-27
200.01,204.18,200.01,201.67,2280638,2020-05-28
201.49,202.41,198.69,201.62,2535390,2020-05-29
201.54,203.75,199.87,203.38,1530749,2020-06-01
204.09,205.79,202.34,205.78,1939145,2020-06-02
204.42,207.83,204.31,207.28,1605416,2020-06-03
206.09,207.79,202.33,203.1,2451436,2020-06-04
205.99,209.72,204.79,208.49,2537902,2020-06-05
207.51,211.32,207.0,211.28,1626898,2020-06-08
209.39,209.79,205.5,207.34,2269473,2020-06-09
207.26,210.83,205.9,209.43,2076570,2020-06-10
205.52,205.95,195.88,195.95,4046634,2020-06-11
201.1,202.43,197.31,201.59,2590091,2020-06-12
196.49,200.74,194.83,199.79,2310793,2020-06-15
203.36,206.88,202.12,204.4,2153965,2020-06-16
206.03,206.33,203.65,205.2,1594775,2020-06-17
201.73,203.17,199.29,202.93,2227265,2020-06-18
207.54,208.29,201.52,201.55,3710043,2020-06-19
200.8,204.08,199.47,202.6,2453578,2020-06-22
205.37,209.68,205.37,207.4,2203796,2020-06-23
205.51,207.4,200.5,201.84,2752563,2020-06-24
213.0,217.89,211.5,217.32,4689669,2020-06-25
216.78,216.93,211.07,212.47,3348420,2020-06-26
210.15,213.39,210.15,212.72,2247887,2020-06-29
212.37,215.64,212.13,214.72,3136355,2020-06-30
214.5,216.9,213.88,214.59,2125991,2020-07-01
216.57,218.45,214.9,215.72,2003413,2020-07-02
217.76,219.66,216.31,217.55,1934517,2020-07-06
216.32,219.87,216.12,216.33,1783774,2020-07-07
217.47,219.15,216.34,218.89,1750701,2020-07-08
218.47,220.61,216.23,219.31,1756734,2020-07-09
219.0,220.86,217.67,220.26,1373649,2020-07-10
221.33,221.87,215.23,215.74,2089958,2020-07-13
214.8,219.37,213.51,219.16,1747824,2020-07-14
220.0,222.75,218.46,219.76,2193526,2020-07-15
219.78,220.63,218.6,219.11,1408354,2020-07-16
219.69,222.64,218.3,221.94,2069734,2020-07-17
222.0,224.11,220.11,223.43,1371783,2020-07-20
224.9,225.74,222.44,222.75,1546138,2020-07-21
222.75,224.74,222.44,224.23,1488034,2020-07-22
224.08,225.51,221.37,222.3,1444898,2020-07-23
220.21,223.17,220.21,221.44,1542280,2020-07-24
221.5,224.52,220.825,223.32,1523192,2020-07-27
223.04,224.76,221.9,222.18,1422267,2020-07-28
221.98,225.4,221.93,224.38,1474142,2020-07-29
220.81,223.99,219.78,223.98,1408580,2020-07-30
223.89,224.95,220.9,224.78,1495514,2020-07-31
225.0,228.0043,224.46,227.18,1631729,2020-08-03
226.29,227.78,225.55,227.15,1260453,2020-08-04
227.94,229.4,227.46,228.7,1155421,2020-08-05
227.68,230.97,227.68,230.89,1318042,2020-08-06
229.25,231.87,228.72,231.56,1275413,2020-08-07
229.69,231.26,229.52,230.34,1315745,2020-08-10
230.58,232.51,228.16,228.57,1757172,2020-08-11
230.3,231.32,229.25,229.75,1512854,2020-08-12
229.59,232.3784,228.93,231.73,1745756,2020-08-13
230.57,231.93,229.41,230.25,1130457,2020-08-14
231.45,233.77,230.98,232.62,1393451,2020-08-17
233.35,234.93,232.58,234.23,1475804,2020-08-18
233.8,236.5034,233.8,234.63,1671516,2020-08-19
233.94,236.95,233.58,236.61,1279294,2020-08-20
236.86,238.3,235.0003,237.49,1976079,2020-08-21
238.06,239.36,235.85,237.75,1293235,2020-08-24
237.93,238.73,236.71,238.21,1501748,2020-08-25
238.67,241.2548,238.11,240.45,2322181,2020-08-26
242.37,242.77,240.0,240.87,1295301,2020-08-27
241.97,243.22,240.26,242.99,1212222,2020-08-28
243.3,243.535,239.1,239.93,2001139,2020-08-31
238.49,240.02,237.2,240.02,1914529,2020-09-01
241.9,247.82,240.84,247.18,1702838,2020-09-02
245.1,246.1438,237.13,238.98,2350609,2020-09-03
240.17,240.87,231.905,236.07,1946413,2020-09-04
231.05,236.0,230.621,232.65,2361218,2020-09-08
236.8,241.36,234.81,238.91,1670232,2020-09-09
241.0,243.99,232.11,233.65,2024101,2020-09-10
236.43,237.76,233.2454,234.77,1301052,2020-09-11
237.6,240.99,236.81,238.83,1576394,2020-09-14
240.37,242.8,239.0,240.2,1297452,2020-09-15
241.46,244.9,239.17,239.42,1800765,2020-09-16
237.4,239.09,233.8786,236.82,2002494,2020-09-17
234.62,238.4,233.43,236.18,3676439,2020-09-18
232.84,233.98,230.03,233.91,2305943,2020-09-21
234.14,237.07,231.79,236.92,1786180,2020-09-22
238.53,239.35,230.37,230.65,2688126,2020-09-23
218.87,220.45,213.15,214.42,4828701,2020-09-24
213.03,215.065,210.42,214.63,3691103,2020-09-25
219.09,223.89,218.3005,222.78,2587689,2020-09-28
223.37,225.17,222.31,224.08,2589025,2020-09-29
225.27,228.295,224.62,225.99,2250157,2020-09-30
227.36,229.24,224.03,225.18,1928782,2020-10-01
222.05,224.92,221.35,222.4,1936069,2020-10-02
224.37,224.94,222.04,223.49,1446008,2020-10-05
223.59,225.27,220.09,220.35,2286278,2020-10-06
221.9,224.63,220.05,223.45,2005752,2020-10-07
226.04,226.79,223.97,225.61,1394410,2020-10-08
225.86,229.09,225.8,228.69,1312471,2020-10-09
229.69,231.765,227.58,230.59,1524276,2020-10-12
230.72,231.9,228.81,229.38,1634008,2020-10-13
228.88,231.9,228.32,229.43,1443841,2020-10-14
225.59,230.68,225.26,228.77,1273410,2020-10-15
229.03,231.94,228.68,230.05,1796451,2020-10-16
230.23,233.25,225.72,226.24,1904489,2020-10-19
226.7,232.285,226.45,230.39,1783836,2020-10-20
229.9,234.38,229.055,233.1,1701797,2020-10-21
233.1,234.705,227.85,228.14,1661281,2020-10-22
227.7,229.8,226.93,229.7,1187637,2020-10-23
225.36,227.99,218.35,219.23,2162125,2020-10-26
220.63,223.0,220.21,220.66,1567844,2020-10-27
216.81,217.93,212.92,213.94,2412275,2020-10-28
215.51,218.53,212.45,216.44,1499126,2020-10-29
215.28,217.81,213.64,216.91,1972663,2020-10-30
219.17,223.16,218.32,220.19,2087153,2020-11-02
222.0,227.77,221.43,225.71,1544039,2020-11-03
225.0,230.9,224.4,227.92,1724972,2020-11-04
233.37,236.12,232.415,233.99,1954847,2020-11-05
235.01,237.0,231.07,236.29,1417555,2020-11-06
239.89,248.0,239.665,240.22,3052075,2020-11-09
238.61,239.605,235.58,238.71,2818014,2020-11-10
240.96,244.08,240.13,242.75,1757203,2020-11-11
242.0,243.09,236.89,238.15,1672162,2020-11-12
239.99,242.42,238.09,241.78,1456207,2020-11-13
243.88,246.69,242.64,244.95,1631516,2020-11-16
243.37,245.49,241.28,243.82,1318080,2020-11-17
243.36,243.82,239.55,239.73,1613201,2020-11-18
241.51,243.465,238.69,243.2,1611716,2020-11-19
243.95,246.0,242.256,243.44,1771895,2020-11-20
244.71,246.67,242.57,246.2,1288696,2020-11-23
247.41,250.09,245.895,250.0,1825083,2020-11-24
250.0,250.405,248.32,249.33,1433966,2020-11-25
250.08,250.91,248.51,250.12,888139,2020-11-27
249.06,250.44,246.29,249.09,2441581,2020-11-30
251.51,253.93,250.22,252.27,1973638,2020-12-01
250.71,251.82,248.13,249.66,1671131,2020-12-02
250.0,251.71,248.86,249.93,1552320,2020-12-03
250.22,253.46,250.05,253.44,1852700,2020-12-04
249.85,251.0,248.36,249.3,1973409,2020-12-07
249.0,250.555,247.2,249.86,1825620,2020-12-08
250.12,250.52,245.56,246.77,2201530,2020-12-09
245.87,247.82,244.62,246.16,1873986,2020-12-10
245.89,246.92,244.55,245.83,1839033,2020-12-11
247.1,249.39,243.55,243.75,2412569,2020-12-14
248.91,248.91,245.0622,247.05,2415774,2020-12-15
247.02,248.285,246.22,247.45,2247981,2020-12-16
263.78,271.1752,263.3,264.47,4855599,2020-12-17
263.89,266.96,258.62,266.25,5948251,2020-12-18
261.12,263.33,257.74,261.42,2680524,2020-12-21
260.86,261.12,258.35,259.47,1602940,2020-12-22
260.83,261.92,257.325,257.44,1455854,2020-12-23
258.0,259.78,256.28,257.3,528132,2020-12-24
259.73,260.37,258.39,259.68,1051429,2020-12-28
260.89,261.0261,257.225,257.76,1065161,2020-12-29
258.67,259.2451,257.19,257.54,992768,2020-12-30
257.6,261.32,257.475,261.21,1325331,2020-12-31
261.0,261.658,254.05,256.46,2505131,2021-01-04
256.4,258.64,255.14,257.92,1809333,2021-01-05
259.2,263.59,256.95,260.74,2535648,2021-01-06
260.36,264.92,260.34,263.2,2068188,2021-01-07
263.81,266.53,261.29,264.16,2010661,2021-01-08
262.83,264.71,260.27,260.35,1745183,2021-01-11
260.12,261.22,256.02,258.4,1874934,2021-01-12
256.45,259.09,256.45,257.08,1870727,2021-01-13
257.25,257.25,254.12,255.0,2253238,2021-01-14
253.62,255.97,253.03,253.65,1915109,2021-01-15
254.41,257.295,253.75,255.84,2249461,2021-01-19
257.99,262.38,257.0,261.67,2081643,2021-01-20
260.46,261.81,256.91,257.94,1625568,2021-01-21
255.37,256.37,253.57,254.77,2049627,2021-01-22
251.86,253.79,249.06,252.04,1921644,2021-01-25
253.19,254.4096,251.14,252.99,1345509,2021-01-26
248.66,251.22,244.39,246.1,1833069,2021-01-27
249.24,252.8,248.14,249.34,1794214,2021-01-28
248.24,249.23,241.73,241.92,2494447,2021-01-29
246.1,248.9,243.97,247.57,1559691,2021-02-01
250.0,251.43,248.625,248.75,2007709,2021-02-02
248.19,250.11,246.59,248.37,2470492,2021-02-03
249.56,253.03,246.91,253.01,1702175,2021-02-04
254.09,255.75,252.16,253.54,1497684,2021-02-05
253.92,257.35,253.76,257.31,1508696,2021-02-08
256.31,258.81,255.61,257.68,1542437,2021-02-09
258.02,259.19,255.86,256.94,1425420,2021-02-10
258.0,259.99,257.04,258.97,1285423,2021-02-11
257.45,258.59,255.41,257.47,1219178,2021-02-12
257.65,259.49,256.27,257.05,1606694,2021-02-16
256.65,261.61,255.77,258.78,1880034,2021-02-17
255.59,258.1,254.695,257.63,1664305,2021-02-18
258.46,258.5,254.16,254.29,2038413,2021-02-19
252.69,254.17,250.09,252.63,1474943,2021-02-22
251.56,257.9299,250.59,256.19,2191308,2021-02-23
253.21,260.47,252.82,259.27,2476293,2021-02-24
258.98,259.105,252.58,253.78,2065145,2021-02-25
255.24,255.85,249.81,250.9,2620982,2021-02-26
254.0,259.8,254.0,258.16,1954679,2021-03-01
258.16,261.115,257.11,259.23,2099800,2021-03-02
259.9,260.0,254.05,254.18,2114420,2021-03-03
252.83,254.64,245.17,247.0,2590392,2021-03-04
249.24,250.68,244.44,249.51,3236464,2021-03-05
254.6,255.786,249.23,249.39,2856067,2021-03-08
252.52,257.46,251.64,254.37,2729187,2021-03-09
256.29,258.235,254.61,257.14,2045992,2021-03-10
260.0,268.11,260.0,266.37,2972037,2021-03-11
264.98,266.25,262.7,264.95,1828588,2021-03-12
263.69,266.59,263.4778,266.26,2295775,2021-03-15
267.22,267.26,263.1,263.52,2185561,2021-03-16
