open,high,low,close,volume,Date
319.32,322.5,317.32,322.39,1966411,2020-01-02
317.51,320.0,314.08,314.19,2287663,2020-01-03
310.85,313.92,309.63,313.72,2081081,2020-01-06
315.25,316.58,312.25,312.64,1863062,2020-01-07
312.98,313.49,308.41,308.74,3207546,2020-01-08
312.32,312.99,303.05,306.26,4245089,2020-01-09
305.45,305.55,298.8,299.22,4071143,2020-01-10
300.02,303.8,299.67,301.18,1980060,2020-01-13
302.0,309.15,301.59,308.18,2891287,2020-01-14
307.31,307.88,300.7,303.14,2273260,2020-01-15
305.0,307.86,304.21,307.05,2150771,2020-01-16
308.66,308.94,304.07,308.79,2689804,2020-01-17
307.8,309.51,306.33,308.07,2171118,2020-01-21
310.8,317.92,310.5,312.97,2926382,2020-01-22
315.18,319.8,310.82,319.65,3026645,2020-01-23
330.5,331.58,320.77,324.0,5578152,2020-01-24
316.41,319.88,308.64,309.03,3884315,2020-01-27
313.53,319.23,312.77,318.31,2316594,2020-01-28
320.82,325.43,317.14,317.51,2367301,2020-01-29
314.32,315.52,308.59,315.2,2112818,2020-01-30
314.16,314.58,303.62,305.16,2212297,2020-01-31
305.63,306.6,303.64,305.23,2128994,2020-02-03
311.79,314.57,309.65,311.6,2255873,2020-02-04
317.5,319.81,315.86,317.38,2482475,2020-02-05
318.84,319.88,314.23,319.69,2268311,2020-02-06
318.32,318.52,314.87,315.23,1588405,2020-02-07
312.37,314.6,310.3,314.2,1921810,2020-02-10
316.65,320.79,316.01,320.16,1552703,2020-02-11
322.04,325.09,321.63,324.7,1531020,2020-02-12
321.48,325.46,320.95,323.97,1385663,2020-02-13
324.84,325.7,317.1,317.77,1913664,2020-02-14
315.0,315.01,308.05,310.75,2670324,2020-02-18
313.0,316.83,311.7,315.69,2052525,2020-02-19
313.96,315.69,306.12,309.24,2552088,2020-02-20
308.5,309.45,302.29,304.5,2453090,2020-02-21
294.2,298.8,290.06,291.6,3684871,2020-02-24
294.11,295.73,281.07,282.68,3189198,2020-02-25
284.35,288.2,284.0,285.88,2308856,2020-02-26
280.3,285.31,273.54,273.95,3483709,2020-02-27
263.33,274.13,262.74,272.62,4460424,2020-02-28
276.76,285.4,271.15,284.97,3197647,2020-03-02
284.65,288.48,271.57,274.25,2992968,2020-03-03
277.54,285.72,274.77,285.45,2347789,2020-03-04
277.26,283.09,272.45,274.04,2437413,2020-03-05
266.98,270.93,262.5,269.45,3016877,2020-03-06
251.08,260.27,244.25,247.72,4393360,2020-03-09
256.59,263.68,243.4,262.9,5507531,2020-03-10
253.88,256.49,242.49,245.97,3604372,2020-03-11
226.99,242.76,216.32,218.78,6428111,2020-03-12
225.51,234.47,201.16,234.22,8471369,2020-03-13
208.18,218.8,180.23,187.58,7693502,2020-03-16
191.82,200.01,181.48,199.51,7066156,2020-03-17
185.66,187.48,155.67,167.87,9868583,2020-03-18
167.64,207.47,165.0,194.45,7443821,2020-03-19
202.0,208.68,187.91,192.22,7404367,2020-03-20
192.88,195.97,177.75,193.47,4692052,2020-03-23
205.64,218.71,201.29,212.76,6296977,2020-03-24
212.19,244.0,209.22,217.55,6444245,2020-03-25
226.03,244.8,226.03,243.17,6023343,2020-03-26
233.0,242.09,230.0,230.69,3944771,2020-03-27
232.2,241.36,228.44,240.11,5234349,2020-03-30
238.0,252.71,236.06,237.1,5021531,2020-03-31
227.99,234.41,219.68,223.63,4185832,2020-04-01
222.4,237.95,221.45,237.06,4504883,2020-04-02
236.64,242.55,230.55,234.26,2896148,2020-04-03
244.58,253.41,243.56,252.44,3886786,2020-04-06
261.84,265.5,252.53,253.27,4589207,2020-04-07
256.77,262.2,253.64,261.1,2756546,2020-04-08
265.79,267.5,251.31,254.3,3482759,2020-04-09
253.5,261.52,252.8,259.92,2572858,2020-04-13
266.12,268.38,262.32,267.63,2309632,2020-04-14
261.0,262.32,256.16,257.44,2592648,2020-04-15
261.76,261.76,254.11,258.29,2689592,2020-04-16
263.22,267.43,258.94,265.88,3408880,2020-04-17
