open,high,low,close,volume,Date
227.51,228.39,226.71,228.39,3764000,2020-01-02
225.69,227.43,225.48,226.18,3023900,2020-01-03
224.99,227.13,224.7,226.99,4263000,2020-01-06
227.26,227.26,225.44,225.92,3517000,2020-01-07
226.03,227.84,225.87,225.99,3780300,2020-01-08
226.92,228.85,226.92,228.65,3497300,2020-01-09
228.5,228.53,226.59,226.62,2572900,2020-01-10
227.05,228.47,226.13,228.45,3286700,2020-01-13
227.85,228.39,226.88,227.17,3355400,2020-01-14
226.8,228.64,226.78,228.35,2662500,2020-01-15
229.34,230.03,228.52,229.73,3036400,2020-01-16
230.13,231.61,229.55,230.2,6603800,2020-01-17
229.85,231.13,227.95,228.63,5840700,2020-01-21
229.0,230.38,228.41,229.54,3164300,2020-01-22
229.43,229.77,227.35,229.38,4750000,2020-01-23
229.4,229.41,226.04,226.86,4022500,2020-01-24
223.7,223.9,221.11,222.45,5454000,2020-01-27
223.44,225.35,223.16,224.03,3609300,2020-01-28
224.75,226.4,224.31,224.5,2310400,2020-01-29
223.11,228.08,222.48,227.88,3350235,2020-01-30
226.49,226.97,223.43,224.43,3948200,2020-01-31
225.48,226.32,223.0,223.47,3525000,2020-02-03
226.15,226.94,224.79,225.08,3642600,2020-02-04
226.91,228.68,226.75,228.65,3360489,2020-02-05
229.56,230.08,228.53,229.61,2799400,2020-02-06
228.07,228.62,226.67,227.38,2882800,2020-02-07
227.17,227.75,225.13,227.11,2944600,2020-02-10
228.59,228.59,227.02,227.33,2916400,2020-02-11
227.6,228.84,226.91,227.44,3785200,2020-02-12
226.53,227.4,226.1,226.47,2838500,2020-02-13
226.49,227.14,225.52,226.8,2506200,2020-02-14
226.39,227.38,225.27,226.77,3153000,2020-02-18
227.68,229.71,226.93,229.24,3187000,2020-02-19
229.76,229.79,227.15,228.17,3547700,2020-02-20
227.53,230.07,226.98,229.33,4699100,2020-02-21
221.31,223.94,220.27,221.69,7932400,2020-02-24
222.2,223.24,216.76,218.05,8558600,2020-02-25
219.65,220.63,215.94,216.06,6901700,2020-02-26
212.9,214.38,207.28,207.67,10941800,2020-02-27
201.92,206.44,199.68,206.34,15147200,2020-02-28
207.25,218.8,204.43,217.63,10395800,2020-03-02
217.39,218.15,206.2,208.81,10716100,2020-03-03
212.14,218.34,209.26,217.86,7408700,2020-03-04
212.55,212.75,207.01,208.96,8112700,2020-03-05
203.48,207.41,202.35,205.98,9443500,2020-03-06
195.0,198.48,192.26,193.13,13950500,2020-03-09
201.35,202.86,195.05,202.73,10929200,2020-03-10
197.32,198.13,192.87,194.64,9573900,2020-03-11
183.6,187.67,175.0,175.97,22293800,2020-03-12
187.45,196.5,178.41,196.4,14859100,2020-03-13
174.0,188.38,173.62,177.77,14168600,2020-03-16
181.88,187.81,177.0,187.6,15072400,2020-03-17
177.29,181.39,167.0,172.44,16669300,2020-03-18
170.21,176.18,166.0,174.68,12488100,2020-03-19
176.3,177.18,167.29,170.06,15213600,2020-03-20
165.3,166.69,159.5,162.13,16501500,2020-03-23
170.91,179.14,169.53,178.2,14075100,2020-03-24
180.01,189.07,175.17,180.47,13851200,2020-03-25
181.29,184.96,179.59,183.9,14131400,2020-03-26
178.5,184.24,176.72,179.66,10259500,2020-03-27
180.04,184.11,178.0,183.18,7672600,2020-03-30
182.05,186.17,180.57,182.83,8996800,2020-03-31
176.18,178.67,174.19,175.95,8682700,2020-04-01
175.0,180.31,174.23,179.73,7271900,2020-04-02
178.59,180.22,175.44,178.34,6643700,2020-04-03
184.61,186.41,180.49,185.24,9935500,2020-04-06
191.99,192.0,184.9,185.25,8148200,2020-04-07
187.55,191.42,185.14,191.01,6109900,2020-04-08
194.0,197.23,191.45,193.84,10519600,2020-04-09
193.85,193.85,186.08,188.77,7888600,2020-04-13
193.32,194.16,190.82,192.94,7032000,2020-04-14
188.56,189.59,187.47,188.57,6138300,2020-04-15
188.9,188.99,185.8,187.96,6228200,2020-04-16
192.89,192.9,189.02,191.2,8272200,2020-04-17
188.72,189.35,187.3,188.75,6474700,2020-04-20
184.17,185.78,183.28,183.48,5882500,2020-04-21
186.46,187.37,185.34,186.58,5470000,2020-04-22
186.99,187.35,184.5,185.63,6211900,2020-04-23
187.08,187.28,184.42,186.52,5205500,2020-04-24
187.78,189.37,186.35,187.46,6622400,2020-04-27
190.54,191.0,187.0,187.12,6674600,2020-04-28
190.64,192.68,188.93,189.61,7645000,2020-04-29
188.3,189.87,186.71,187.36,8217800,2020-04-30
185.21,185.89,181.64,182.67,7513700,2020-05-01
179.78,180.36,176.34,177.95,9448600,2020-05-04
180.05,180.23,175.93,176.03,9016300,2020-05-05
176.94,177.04,172.34,172.38,9003000,2020-05-06
173.4,175.38,173.05,173.48,6698000,2020-05-07
176.71,177.26,174.28,176.83,5793600,2020-05-08
175.23,175.96,173.61,174.64,9235700,2020-05-11
175.2,175.71,172.73,172.81,6470900,2020-05-12
172.0,172.61,169.44,170.57,10258900,2020-05-13
168.8,171.4,167.04,170.93,7013600,2020-05-14
169.82,170.66,168.52,169.25,5937500,2020-05-15
174.0,176.87,172.31,175.46,7458900,2020-05-18
174.12,174.87,172.34,172.49,5574800,2020-05-19
174.61,176.87,174.29,176.02,5455600,2020-05-20
175.74,176.65,174.47,174.94,4059900,2020-05-21
174.86,175.12,173.21,174.93,3584800,2020-05-22
179.99,181.69,178.68,180.34,7107600,2020-05-26
184.67,185.98,183.8,185.77,7410500,2020-05-27
187.24,187.28,183.92,185.1,6313100,2020-05-28
183.08,185.87,182.53,185.58,10630200,2020-05-29
185.53,185.71,183.19,183.84,5718800,2020-06-01
183.99,186.44,183.99,185.94,5803000,2020-06-02
188.75,191.62,187.81,190.82,6706700,2020-06-03
190.41,192.11,189.69,192.05,5809800,2020-06-04
197.88,201.49,196.22,200.66,10390400,2020-06-05
202.34,203.33,199.56,201.56,6695100,2020-06-08
197.15,198.79,195.83,196.07,7711800,2020-06-09
195.85,196.34,191.37,191.51,7337400,2020-06-10
185.0,186.93,177.93,178.02,15372400,2020-06-11
184.02,184.02,178.22,181.21,9476800,2020-06-12
177.0,181.77,176.05,181.55,8105200,2020-06-15
186.55,186.7,179.75,182.3,9407600,2020-06-16
183.03,183.15,180.11,180.86,6448500,2020-06-17
179.9,181.36,179.04,180.73,4920900,2020-06-18
183.5,183.88,179.01,179.72,8767900,2020-06-19
179.55,181.8,178.87,180.17,5816900,2020-06-22
181.87,182.39,180.4,181.01,6378100,2020-06-23
179.61,179.65,177.26,177.53,8081200,2020-06-24
176.58,179.72,176.06,178.85,6380000,2020-06-25
176.71,178.7,174.63,175.37,14772100,2020-06-26
175.9,177.22,175.33,177.19,5222730,2020-06-29
176.75,179.12,176.51,178.51,6763800,2020-06-30
178.41,180.45,177.34,177.99,4619800,2020-07-01
180.45,180.94,178.24,178.83,5163100,2020-07-02
183.1,183.52,181.59,182.72,6443300,2020-07-06
182.02,182.49,180.6,181.15,4952100,2020-07-07
180.42,182.31,179.77,181.2,5547800,2020-07-08
181.79,181.88,177.77,178.8,5420600,2020-07-09
178.26,182.96,178.09,182.9,5482300,2020-07-10
183.81,185.82,183.31,184.13,7885600,2020-07-13
182.42,190.08,182.42,189.71,14683400,2020-07-14
192.64,193.05,188.75,190.56,7558200,2020-07-15
188.32,191.93,188.32,191.01,4771300,2020-07-16
191.77,192.12,190.47,190.76,5186800,2020-07-17
190.02,191.23,189.48,190.48,4089400,2020-07-20
190.4,193.45,190.4,192.27,5256300,2020-07-21
191.78,192.24,190.63,192.1,4184472,2020-07-22
191.71,193.39,191.48,193.25,6039644,2020-07-23
193.25,196.28,193.05,194.52,5143693,2020-07-24
193.83,193.99,191.77,192.14,4312003,2020-07-27
190.9,194.46,190.61,194.12,4412796,2020-07-28
194.03,196.67,193.73,196.41,4069954,2020-07-29
193.43,194.57,192.25,194.3,4834570,2020-07-30
195.06,196.0,193.33,195.78,5943185,2020-07-31
197.28,200.68,196.0,199.26,6253519,2020-08-03
198.97,200.31,198.11,200.24,3839089,2020-08-04
201.44,204.69,201.0,203.62,5269199,2020-08-05
203.0,205.39,202.7,205.02,3387477,2020-08-06
204.2,209.75,204.0,209.48,6191783,2020-08-07
211.34,212.92,209.4,212.58,6635745,2020-08-10
214.74,215.6,212.24,212.66,5689794,2020-08-11
213.1,214.39,212.31,213.24,4792657,2020-08-12
212.93,213.33,211.66,211.98,4537189,2020-08-13
211.04,211.97,210.25,210.96,3444703,2020-08-14
210.05,210.82,206.34,206.78,5474150,2020-08-17
206.95,209.76,206.8,208.33,3501913,2020-08-18
209.19,210.21,206.66,207.21,5831268,2020-08-19
205.17,206.79,204.51,206.12,4134384,2020-08-20
205.52,208.4,205.52,207.43,4786825,2020-08-21
209.23,213.3,208.91,212.61,5040022,2020-08-24
213.56,214.0,212.85,213.35,3676863,2020-08-25
212.98,215.83,212.3,214.66,4640785,2020-08-26
214.99,217.98,214.76,216.87,4814583,2020-08-27
217.51,218.81,215.7297,218.55,4291213,2020-08-28
218.62,219.45,217.65,218.04,6134606,2020-08-31
216.92,218.59,216.62,218.55,4134939,2020-09-01
218.13,222.09,218.13,221.68,5495005,2020-09-02
222.0,223.2399,216.43,218.15,7095354,2020-09-03
219.95,221.48,215.06,218.32,6042649,2020-09-04
217.28,219.19,215.3393,217.8,7001501,2020-09-08
218.95,221.62,218.52,219.63,5418297,2020-09-09
220.54,220.68,217.15,217.8,3838665,2020-09-10
218.0,219.265,216.92,217.93,3437465,2020-09-11
219.0,221.32,218.3,219.94,4070857,2020-09-14
220.08,221.57,218.45,218.94,3864321,2020-09-15
220.28,222.26,219.19,219.59,5663404,2020-09-16
218.46,218.68,216.5,218.05,6942515,2020-09-17
219.08,221.01,217.83,218.21,11864010,2020-09-18
214.0,215.45,208.73,213.02,8342537,2020-09-21
212.54,214.75,211.7,214.16,5291711,2020-09-22
213.94,214.88,209.38,209.61,4424597,2020-09-23
209.14,210.23,206.58,208.72,3963496,2020-09-24
207.0,211.11,206.82,210.45,3563345,2020-09-25
213.22,215.47,212.0206,213.54,5043931,2020-09-28
213.59,213.59,210.24,210.44,4037925,2020-09-29
211.11,213.7,210.7522,212.94,5822458,2020-09-30
214.3,214.385,210.62,212.02,4758944,2020-10-01
209.84,213.68,209.53,211.18,4421401,2020-10-02
213.09,213.9,212.05,212.36,3649194,2020-10-05
212.65,213.48,209.65,210.26,5315644,2020-10-06
212.33,214.67,211.36,213.29,3759814,2020-10-07
214.39,215.69,213.44,215.15,3612138,2020-10-08
215.88,216.2924,214.16,215.68,3091717,2020-10-09
216.74,217.43,215.12,216.41,3903098,2020-10-12
215.76,216.38,212.0,212.31,4850195,2020-10-13
212.02,212.35,210.54,210.91,5026903,2020-10-14
209.27,211.99,208.22,211.65,3063809,2020-10-15
211.84,213.8253,211.81,211.91,3630992,2020-10-16
212.16,212.32,208.2,208.99,3413786,2020-10-19
209.63,211.45,209.41,210.06,3888817,2020-10-20
208.97,211.38,208.6103,210.18,3196330,2020-10-21
209.63,211.78,209.23,211.61,2949963,2020-10-22
212.43,213.87,211.73,212.71,2831432,2020-10-23
209.64,210.26,207.0,208.49,4717982,2020-10-26
208.0,208.48,206.58,206.88,3039192,2020-10-27
202.68,203.88,199.79,200.7,7538290,2020-10-28
200.03,202.955,197.81,201.51,5227943,2020-10-29
200.51,202.271,198.7,201.9,5755622,2020-10-30
204.84,206.18,203.06,204.31,5940592,2020-11-02
206.93,209.8007,206.36,206.63,5472813,2020-11-03
206.59,210.15,204.78,206.17,5978686,2020-11-04
208.69,210.86,206.97,207.45,5940982,2020-11-05
208.45,210.26,207.5875,208.85,4324663,2020-11-06
221.97,225.23,218.01,221.5,11343436,2020-11-09
221.82,228.61,220.94,228.48,7059371,2020-11-10
228.5,228.98,225.4701,227.37,4789221,2020-11-11
225.01,225.88,223.18,224.72,5111764,2020-11-12
226.5,228.145,225.29,227.42,4790845,2020-11-13
230.58,233.46,229.86,233.1,5768612,2020-11-16
231.93,234.97,230.01,233.16,5040020,2020-11-17
233.57,234.476,230.0,230.07,4741785,2020-11-18
229.67,229.97,227.6154,229.53,4623632,2020-11-19
228.78,229.72,226.771,227.01,4028442,2020-11-20
229.77,230.5,228.0442,229.54,3632543,2020-11-23
232.45,234.99,231.24,233.92,4593186,2020-11-24
233.92,234.0,232.0104,233.13,3249877,2020-11-25
233.1,234.17,230.45,231.55,1935806,2020-11-27
231.19,231.29,228.165,228.91,5989549,2020-11-30
230.23,231.98,229.34,229.68,4336615,2020-12-01
229.8,230.59,228.31,230.42,4681526,2020-12-02
230.0,231.5,228.87,231.02,4699041,2020-12-03
230.24,231.89,230.24,231.35,4753002,2020-12-04
231.26,231.26,228.1,229.24,4743430,2020-12-07
227.46,228.735,226.61,228.19,4590686,2020-12-08
228.57,228.9,226.635,227.51,4874314,2020-12-09
226.45,227.87,225.728,227.35,4567434,2020-12-10
225.2,226.73,224.595,226.39,4028353,2020-12-11
227.68,228.06,222.36,222.85,6545455,2020-12-14
224.83,225.86,222.73,224.38,5169074,2020-12-15
225.48,225.48,221.82,221.91,7994869,2020-12-16
222.51,225.02,221.6673,224.68,7390467,2020-12-17
224.79,225.2,221.68,223.43,20672799,2020-12-18
222.02,224.2,221.26,223.49,7376589,2020-12-21
223.58,223.75,221.76,221.88,6165628,2020-12-22
222.63,224.91,222.61,224.24,4984149,2020-12-23
224.6,227.125,224.21,226.53,2386994,2020-12-24
228.09,230.15,227.36,228.41,3499183,2020-12-28
230.5,231.1,229.1,229.57,3800358,2020-12-29
229.54,230.585,229.08,229.65,3257957,2020-12-30
229.28,232.28,228.89,231.87,4228870,2020-12-31
231.73,231.87,226.85,228.45,7405706,2021-01-04
228.21,230.1,226.847,227.47,5531573,2021-01-05
229.49,232.68,227.55,230.27,9012829,2021-01-06
232.78,233.9643,231.33,232.88,4693848,2021-01-07
233.54,234.6,231.72,234.03,4850601,2021-01-08
231.22,233.92,231.02,233.43,3882330,2021-01-11
233.31,233.98,231.7,233.03,5609241,2021-01-12
232.0,234.95,231.71,234.51,3828413,2021-01-13
234.79,235.7,233.8372,235.02,4530181,2021-01-14
234.1,234.59,231.91,233.49,5226415,2021-01-15
234.64,236.24,231.7,234.55,5503127,2021-01-19
234.0,235.2,233.24,234.76,4876514,2021-01-20
235.22,236.2,234.08,234.16,4319793,2021-01-21
232.5,233.83,232.21,232.92,4465090,2021-01-22
231.67,233.52,230.45,233.01,5098897,2021-01-25
233.0,233.5,231.33,231.57,3945915,2021-01-26
230.0,230.0,226.1,227.36,8230374,2021-01-27
229.76,233.51,228.16,230.95,5943918,2021-01-28
229.45,229.97,227.21,227.87,6388092,2021-01-29
229.9699,230.5,228.04,229.32,4068409,2021-02-01
231.21,233.43,230.665,232.24,5030932,2021-02-02
232.4,233.16,231.28,232.68,3807540,2021-02-03
232.84,235.905,232.41,235.77,4452386,2021-02-04
236.98,236.98,234.83,235.16,3812966,2021-02-05
236.0,237.56,235.35,237.42,3329703,2021-02-08
237.07,240.78,235.66,239.91,4766929,2021-02-09
241.43,241.52,239.04,239.92,3488816,2021-02-10
239.36,240.44,238.88,239.76,2909640,2021-02-11
238.07,242.76,238.03,242.46,3422107,2021-02-12
244.14,247.26,242.82,245.28,4726101,2021-02-16
244.14,246.19,244.0,245.25,3896102,2021-02-17
244.73,245.49,241.67,243.5,4049896,2021-02-18
244.2,244.95,241.36,241.85,4254656,2021-02-19
240.89,245.9801,240.8,244.97,3984488,2021-02-22
245.56,246.57,243.29,245.53,5455367,2021-02-23
245.15,249.55,245.15,248.45,5106898,2021-02-24
248.07,250.56,242.927,243.69,6375193,2021-02-25
245.15,245.15,240.25,240.51,7994696,2021-02-26
246.86,250.55,246.09,249.21,6334166,2021-03-01
249.12,251.34,248.37,249.22,4686124,2021-03-02
249.73,254.81,249.29,251.55,6093204,2021-03-03
251.08,252.55,243.23,245.48,7843543,2021-03-04
