open,high,low,close,volume,Date
219.08,219.76,217.84,219.66,3935698,2020-01-02
217.14,219.68,216.75,218.93,3423202,2020-01-03
216.49,220.0,216.4,219.96,5679889,2020-01-06
219.5,220.56,216.9,218.52,5685960,2020-01-07
218.8,222.97,218.67,221.79,4915627,2020-01-08
222.64,225.55,221.85,225.19,4843482,2020-01-09
224.75,225.49,223.03,224.22,4226615,2020-01-10
224.5,224.51,222.68,223.34,6060844,2020-01-13
222.48,224.95,222.31,222.81,3915031,2020-01-14
222.28,224.98,222.13,224.59,3441455,2020-01-15
225.93,228.86,225.4,228.82,5383598,2020-01-16
229.61,232.6,228.91,231.91,7979018,2020-01-17
231.53,233.66,231.06,232.95,4872355,2020-01-21
233.79,236.53,232.88,232.9,4030174,2020-01-22
232.13,234.82,230.64,233.65,4617854,2020-01-23
234.46,235.43,230.56,232.0,4467479,2020-01-24
228.2,232.47,228.2,231.19,3595449,2020-01-27
231.82,235.25,231.35,233.86,3621594,2020-01-28
234.9,235.88,233.4,234.02,2563996,2020-01-29
232.0,233.3,231.57,232.79,4684934,2020-01-30
232.96,233.23,227.89,228.1,5303673,2020-01-31
230.3,233.53,229.35,231.54,5100944,2020-02-03
234.03,236.36,234.03,235.0,3503743,2020-02-04
237.1,238.32,235.86,238.11,3868548,2020-02-05
238.0,239.41,237.48,238.84,3930271,2020-02-06
238.84,239.53,236.52,237.3,2456067,2020-02-07
236.6,240.61,236.18,240.61,2567670,2020-02-10
240.61,242.45,240.2,241.64,2692367,2020-02-11
242.13,242.3,238.84,241.59,3591155,2020-02-12
240.97,243.6,240.4,242.36,2468126,2020-02-13
243.44,245.2,242.63,245.03,2840208,2020-02-14
244.84,246.11,243.16,243.94,2892579,2020-02-18
244.91,245.5,243.01,243.64,2712025,2020-02-19
243.69,247.12,242.15,247.02,3700448,2020-02-20
246.5,247.36,244.0,245.34,3878893,2020-02-21
238.48,243.11,237.7,239.7,5346183,2020-02-24
246.1,246.97,236.48,237.38,8054286,2020-02-25
239.1,241.04,234.32,235.28,6962833,2020-02-26
231.07,234.82,224.57,224.73,7609380,2020-02-27
218.63,221.06,212.33,217.84,11809495,2020-02-28
219.98,230.0,218.49,229.94,7147605,2020-03-02
230.03,235.82,225.57,227.94,8431298,2020-03-03
233.01,241.32,231.8,241.08,6768549,2020-03-04
236.6,239.61,233.15,234.81,6471781,2020-03-05
227.57,230.29,222.25,228.51,7399640,2020-03-06
213.87,216.18,207.25,210.46,10107296,2020-03-09
217.21,225.83,211.0,225.7,7200063,2020-03-10
217.3,219.15,210.5,212.89,7092111,2020-03-11
195.41,206.58,184.84,190.59,10912964,2020-03-12
200.45,205.82,190.0,205.67,10286818,2020-03-13
181.97,186.1,163.11,164.96,12495130,2020-03-16
168.21,174.78,155.3,173.64,16228254,2020-03-17
159.8,162.33,140.63,155.63,14652037,2020-03-18
153.16,162.91,142.0,161.13,13494407,2020-03-19
162.78,170.22,151.81,152.15,12596894,2020-03-20
150.06,164.93,146.34,162.39,12230768,2020-03-23
173.39,185.67,172.01,184.72,14665006,2020-03-24
184.42,191.55,180.0,181.76,11493750,2020-03-25
183.49,198.2,182.5,195.21,10169884,2020-03-26
188.49,196.38,186.5,190.55,7119380,2020-03-27
190.57,198.2,187.61,196.1,6936189,2020-03-30
194.8,195.49,185.45,186.71,7333680,2020-03-31
175.91,182.76,175.0,178.63,7855902,2020-04-01
174.95,182.72,174.0,181.31,6048827,2020-04-02
179.56,181.35,174.94,178.7,7298938,2020-04-03
188.0,192.41,185.13,191.33,7447335,2020-04-06
202.92,204.11,191.85,192.29,6435094,2020-04-07
194.21,196.77,191.54,194.82,6092884,2020-04-08
199.8,205.99,196.5,201.53,7125052,2020-04-09
200.45,200.45,195.37,198.79,4413201,2020-04-13
201.88,209.73,200.13,207.17,5650956,2020-04-14
198.67,202.24,196.61,198.48,5687221,2020-04-15
199.12,202.21,196.82,199.85,7245375,2020-04-16
207.17,210.25,206.16,209.42,6716035,2020-04-17
206.13,211.03,205.36,206.05,4750179,2020-04-20
200.75,204.34,199.51,200.61,4843294,2020-04-21
201.89,205.71,201.14,204.17,4067484,2020-04-22
203.32,206.97,202.19,202.32,3561333,2020-04-23
204.73,212.93,203.85,212.18,5025152,2020-04-24
215.04,220.94,214.01,217.76,5470954,2020-04-27
223.99,224.22,216.91,217.63,5077886,2020-04-28
221.34,224.17,219.82,221.81,4375037,2020-04-29
216.79,222.11,216.52,219.83,5147859,2020-04-30
216.77,219.7,215.77,218.57,3818384,2020-05-01
216.68,222.66,215.21,221.84,4074247,2020-05-04
224.94,228.85,223.61,225.61,4647952,2020-05-05
227.37,228.44,223.8,223.92,3311188,2020-05-06
226.51,231.63,226.42,229.45,4500971,2020-05-07
232.7,235.55,231.15,234.43,4364940,2020-05-08
231.77,238.77,231.25,236.56,4375326,2020-05-11
238.57,239.25,232.9,232.9,4394133,2020-05-12
233.04,236.3,228.54,230.1,6233439,2020-05-13
226.37,234.66,226.2,234.48,6431275,2020-05-14
232.79,243.23,232.7,239.33,16172476,2020-05-15
245.84,248.32,244.04,245.35,8314413,2020-05-18
240.45,242.46,237.8,238.1,9380042,2020-05-19
242.0,242.27,234.95,238.19,7532303,2020-05-20
237.62,241.18,235.79,240.88,4794254,2020-05-21
240.7,242.34,238.66,241.88,3041253,2020-05-22
248.15,248.22,242.07,242.48,4533878,2020-05-26
242.69,247.39,240.78,247.36,4663279,2020-05-27
249.52,252.23,244.43,245.14,5258905,2020-05-28
245.06,249.71,244.73,248.48,5341463,2020-05-29
249.41,249.78,245.87,247.29,3407037,2020-06-01
248.63,252.72,247.0,252.71,5298976,2020-06-02
251.8,252.83,250.39,251.0,4635602,2020-06-03
249.77,252.17,247.47,248.95,4756241,2020-06-04
252.34,255.85,250.38,254.9,5052994,2020-06-05
252.49,256.81,252.26,256.77,3809737,2020-06-08
255.33,258.29,253.86,256.76,3715562,2020-06-09
257.45,259.29,254.22,254.45,3550444,2020-06-10
248.86,250.62,238.74,239.47,6557277,2020-06-11
243.07,246.39,237.05,242.45,5237248,2020-06-12
237.62,242.22,234.31,241.36,6250209,2020-06-15
249.4,251.65,242.87,249.95,5291506,2020-06-16
252.77,254.62,250.08,250.85,4232366,2020-06-17
249.36,251.75,247.13,249.21,3344278,2020-06-18
253.1,254.3,246.38,246.65,11113460,2020-06-19
245.7,250.06,245.51,249.16,3810556,2020-06-22
253.0,253.44,250.13,250.31,3101037,2020-06-23
247.81,250.29,242.73,246.13,3870650,2020-06-24
244.8,246.35,242.2,245.38,2936752,2020-06-25
245.35,246.1,240.25,241.01,4998294,2020-06-26
242.66,246.5,240.3401,246.12,3468293,2020-06-29
247.0,251.65,246.09,250.51,4523479,2020-06-30
249.65,250.33,246.93,248.15,3678259,2020-07-01
251.94,252.3,247.92,248.5,3368678,2020-07-02
250.27,251.5,247.04,249.55,3131189,2020-07-06
247.37,250.78,247.07,247.35,2927220,2020-07-07
247.87,249.79,246.22,249.17,2291574,2020-07-08
249.66,250.51,246.35,247.96,2993172,2020-07-09
248.29,250.33,246.64,250.11,2744751,2020-07-10
251.92,257.86,249.09,249.62,4435370,2020-07-13
249.0,258.18,248.46,257.79,4619477,2020-07-14
260.14,261.29,255.15,257.8,4341924,2020-07-15
256.76,260.5,256.0,258.08,2510569,2020-07-16
260.03,260.65,257.72,260.38,3091263,2020-07-17
259.04,261.2,258.02,260.17,2449024,2020-07-20
261.62,263.87,260.72,262.42,2439923,2020-07-21
262.59,265.59,262.0,265.17,2749966,2020-07-22
267.8,267.8,261.8,263.81,2680102,2020-07-23
265.04,266.89,262.99,265.31,2984507,2020-07-24
265.09,268.68,265.09,267.42,2412476,2020-07-27
268.56,269.07,264.6694,265.28,2226974,2020-07-28
