open,high,low,close,volume,Date
135.0,135.92,134.77,135.42,3148461,2020-01-02
133.57,134.86,133.56,134.34,2373470,2020-01-03
133.42,134.24,133.2,134.1,2421128,2020-01-06
133.69,134.96,133.4,134.19,3267592,2020-01-07
134.51,135.86,133.92,135.31,4345952,2020-01-08
135.74,136.79,135.31,136.74,3730549,2020-01-09
137.0,137.87,136.31,136.69,3255398,2020-01-10
135.48,136.64,135.07,136.6,3162843,2020-01-13
136.28,137.14,135.55,135.82,3680958,2020-01-14
136.0,138.06,135.71,136.62,4045591,2020-01-15
137.32,138.19,137.01,137.98,4319896,2020-01-16
136.54,138.33,136.16,138.31,5622251,2020-01-17
137.81,139.35,137.6,139.17,7130819,2020-01-21
143.32,145.79,142.55,143.89,16464948,2020-01-22
144.2,144.41,142.15,142.87,5654308,2020-01-23
143.39,143.92,140.46,140.56,5579292,2020-01-24
138.5,140.07,138.1,138.62,4165146,2020-01-27
139.5,140.47,138.75,139.55,3449000,2020-01-28
139.17,139.58,137.6,137.69,3053189,2020-01-29
136.76,136.97,134.97,136.77,5007038,2020-01-30
142.9,144.05,140.79,143.73,18987138,2020-01-31
144.25,147.28,143.9,146.27,8886414,2020-02-03
147.78,149.38,146.88,149.11,5619700,2020-02-04
150.21,157.44,150.15,156.33,14379714,2020-02-05
156.82,158.75,155.42,156.76,8394374,2020-02-06
154.55,155.54,152.92,153.41,6414553,2020-02-07
152.97,154.44,151.58,154.43,5237553,2020-02-10
155.12,155.22,152.73,153.48,3833574,2020-02-11
153.75,155.6,153.52,155.31,4437792,2020-02-12
154.37,154.83,153.41,154.31,3819757,2020-02-13
154.42,154.56,149.77,150.7,6095081,2020-02-14
149.79,151.38,149.64,151.1,3343038,2020-02-18
151.54,151.89,150.31,150.86,2732905,2020-02-19
150.81,151.62,149.51,151.22,2880483,2020-02-20
151.04,151.04,148.84,149.84,3536740,2020-02-21
145.51,148.05,145.38,146.43,5447948,2020-02-24
146.51,147.07,141.26,141.71,6210878,2020-02-25
142.9,144.06,139.6,139.75,5407690,2020-02-26
137.24,138.69,133.01,133.11,8404903,2020-02-27
129.98,131.09,126.36,130.15,13009236,2020-02-28
130.75,134.44,127.95,134.3,8528971,2020-03-02
134.48,136.1,127.8,128.9,7893390,2020-03-03
131.58,134.28,129.0,134.22,4994682,2020-03-04
130.5,132.29,128.45,129.55,5445193,2020-03-05
126.7,128.33,124.52,127.73,8192525,2020-03-06
120.16,122.41,117.28,117.81,10750357,2020-03-09
122.78,124.88,115.76,124.77,11403865,2020-03-10
121.01,122.58,116.38,117.97,8446480,2020-03-11
109.65,109.8,102.28,102.81,12485925,2020-03-12
108.68,109.16,100.81,107.95,12493419,2020-03-13
98.0,107.41,95.0,99.08,10564044,2020-03-16
100.61,107.4,97.1,106.65,8887501,2020-03-17
99.41,106.93,99.4,103.55,8751994,2020-03-18
102.33,103.69,98.24,100.34,8391294,2020-03-19
100.92,100.99,94.71,95.39,10543213,2020-03-20
94.6,97.74,90.56,94.77,9718602,2020-03-23
99.99,106.04,99.26,105.48,7967768,2020-03-24
105.48,112.48,102.83,105.85,8646557,2020-03-25
106.91,113.15,105.57,112.89,7153135,2020-03-26
108.58,111.5,107.65,108.03,6421470,2020-03-27
108.09,113.46,107.81,112.93,5562501,2020-03-30
112.0,113.81,110.17,110.93,6342167,2020-03-31
106.36,109.92,104.52,105.14,6111890,2020-04-01
105.37,110.32,105.14,110.0,6327540,2020-04-02
108.92,110.07,104.92,106.34,4538113,2020-04-03
110.35,115.63,110.13,114.82,7026457,2020-04-06
118.8,119.57,114.87,114.94,5592463,2020-04-07
116.31,119.96,115.07,119.29,5155987,2020-04-08
120.48,122.92,120.17,121.5,5576210,2020-04-09
121.63,121.8,118.04,121.15,5118777,2020-04-13
123.46,125.18,122.62,123.91,5087292,2020-04-14
119.12,120.19,116.76,118.69,5632156,2020-04-15
119.01,119.75,114.42,115.73,6438128,2020-04-16
119.3,120.39,117.92,120.12,4964018,2020-04-17
119.15,122.86,118.14,120.41,7965530,2020-04-20
114.0,117.15,112.06,116.76,14341304,2020-04-21
119.87,120.33,117.55,119.31,7085901,2020-04-22
119.57,123.03,119.12,121.35,6873899,2020-04-23
122.41,125.0,120.76,124.72,4985575,2020-04-24
125.56,126.99,125.47,125.92,4920443,2020-04-27
128.03,128.2,125.38,126.27,4775867,2020-04-28
128.88,129.31,127.53,128.69,5252734,2020-04-29
126.52,127.27,125.22,125.56,6630032,2020-04-30
123.19,123.47,121.39,121.87,4923913,2020-05-01
120.82,121.97,119.39,121.68,4016551,2020-05-04
123.39,124.32,122.47,122.58,3897761,2020-05-05
123.24,124.05,122.41,123.17,3861081,2020-05-06
122.98,123.26,120.85,121.23,4412047,2020-05-07
122.67,123.23,121.06,122.99,5002450,2020-05-08
121.81,123.45,120.67,122.59,3533382,2020-05-11
123.01,124.32,120.26,120.26,4779635,2020-05-12
119.95,119.99,114.85,115.73,5874676,2020-05-13
114.57,117.09,111.81,116.95,5255607,2020-05-14
115.93,117.39,115.25,116.98,4785773,2020-05-15
119.88,122.36,119.75,121.56,4205425,2020-05-18
121.19,122.17,120.14,120.29,3239964,2020-05-19
120.93,122.47,120.6,121.38,3840563,2020-05-20
120.99,121.72,118.97,119.12,4018329,2020-05-21
119.37,119.47,117.59,118.39,4179906,2020-05-22
121.3,122.62,121.01,121.76,5467436,2020-05-26
123.94,125.83,123.47,125.54,5725163,2020-05-27
126.87,126.97,124.22,124.53,3915224,2020-05-28
123.67,125.13,122.24,124.9,7929905,2020-05-29
124.64,125.75,124.03,124.89,2867306,2020-06-01
125.67,126.0,124.66,126.0,2976908,2020-06-02
127.15,129.6,127.0,129.05,3913804,2020-06-03
127.78,128.95,127.02,128.89,3864131,2020-06-04
133.89,134.23,131.75,132.06,5892718,2020-06-05
132.27,135.88,132.27,135.75,5368387,2020-06-08
133.52,133.6,131.02,131.87,5391520,2020-06-09
132.15,132.23,129.8,129.87,4725055,2020-06-10
126.03,126.1,117.84,118.01,11753674,2020-06-11
121.25,123.12,119.28,121.91,6218003,2020-06-12
119.19,122.37,118.29,121.65,5148756,2020-06-15
125.0,127.5,123.16,125.15,5605791,2020-06-16
125.83,126.25,123.4,124.15,3153862,2020-06-17
123.0,124.4,122.33,124.16,2860286,2020-06-18
126.17,126.82,122.25,122.47,8098994,2020-06-19
122.12,122.5,120.53,121.07,4762601,2020-06-22
122.01,122.9,119.23,119.41,6628278,2020-06-23
118.32,118.32,115.88,116.42,6747421,2020-06-24
116.76,119.21,116.1,119.03,6128720,2020-06-25
118.26,118.99,116.26,117.19,10749166,2020-06-26
117.98,119.78,117.37,119.75,4159488,2020-06-29
119.19,121.2,119.0,120.77,3916381,2020-06-30
120.27,121.23,118.37,118.54,4657168,2020-07-01
119.69,121.42,119.26,119.7,3745663,2020-07-02
121.25,121.85,119.46,120.19,4044188,2020-07-06
