open,high,low,close,volume,Date
213.58,214.45,210.46,210.74,2604065,2020-01-02
207.4,209.05,205.17,205.26,2899274,2020-01-03
204.6,206.35,204.19,204.39,2395327,2020-01-06
204.81,206.75,204.25,204.83,2591055,2020-01-07
205.27,208.19,205.1,207.39,1327341,2020-01-08
208.08,209.74,207.81,208.85,1086061,2020-01-09
210.74,211.83,208.93,209.08,1217575,2020-01-10
209.79,211.93,209.33,211.8,1225710,2020-01-13
211.27,212.12,209.14,209.96,2107343,2020-01-14
210.99,212.08,210.35,211.44,1078220,2020-01-15
212.88,213.07,211.78,213.06,1302600,2020-01-16
213.19,214.42,212.84,214.1,1903666,2020-01-17
211.7,212.74,211.18,211.73,1384531,2020-01-21
211.2,211.95,210.45,211.08,966943,2020-01-22
208.42,209.65,207.52,209.62,1400735,2020-01-23
210.0,212.3,208.82,209.99,1541574,2020-01-24
205.22,206.3,204.09,204.88,1947799,2020-01-27
205.43,208.93,205.18,207.88,1229441,2020-01-28
208.13,209.44,207.66,208.23,982718,2020-01-29
206.47,208.57,205.46,208.23,1381321,2020-01-30
205.63,206.34,202.97,203.13,1909667,2020-01-31
203.77,210.05,203.58,209.44,2911531,2020-02-03
210.81,214.85,210.62,213.5,2369442,2020-02-04
217.12,217.12,213.26,216.74,2970077,2020-02-05
216.79,217.42,215.07,216.75,2234119,2020-02-06
214.78,215.69,212.73,214.16,995283,2020-02-07
214.89,215.73,214.12,215.44,1434873,2020-02-10
217.58,218.84,215.98,216.22,1385518,2020-02-11
217.12,217.42,215.51,217.2,1237957,2020-02-12
222.3,227.85,221.14,221.26,2231849,2020-02-13
221.64,223.1,221.22,222.64,1280266,2020-02-14
224.04,224.59,222.87,223.55,1524665,2020-02-18
223.02,223.55,221.87,222.48,1590105,2020-02-19
220.45,222.36,218.03,221.2,1534661,2020-02-20
219.99,220.3,218.24,218.34,1660085,2020-02-21
211.15,212.32,209.6,210.55,2020406,2020-02-24
209.18,209.7,200.85,201.65,2743145,2020-02-25
203.3,206.92,202.58,203.41,2711168,2020-02-26
199.87,203.37,194.9,194.95,3685484,2020-02-27
190.81,192.83,185.95,191.01,5555304,2020-02-28
191.3,198.3,189.41,198.15,3489615,2020-03-02
198.02,201.84,192.34,195.39,4063276,2020-03-03
198.4,205.75,197.37,205.53,2755568,2020-03-04
197.74,199.48,195.07,196.51,3204347,2020-03-05
192.13,192.66,185.76,189.2,4466755,2020-03-06
175.06,180.38,172.32,173.13,4822719,2020-03-09
176.48,177.42,167.52,176.21,5604105,2020-03-10
173.46,176.66,172.54,173.92,4315255,2020-03-11
163.4,169.95,157.0,158.02,6154655,2020-03-12
173.38,177.15,161.35,176.5,6386889,2020-03-13
148.72,163.64,146.71,158.35,7078397,2020-03-16
156.76,165.64,155.66,163.88,4956576,2020-03-17
153.39,160.16,149.64,157.51,4723882,2020-03-18
151.47,158.81,148.81,154.01,4296002,2020-03-19
154.1,157.94,148.05,151.3,4687222,2020-03-20
149.78,155.36,146.8,150.0,4434035,2020-03-23
159.29,166.84,157.0,164.81,3423122,2020-03-24
163.07,175.46,161.34,165.3,3258379,2020-03-25
169.27,175.0,168.69,174.19,2725978,2020-03-26
167.33,171.06,166.21,167.34,2301588,2020-03-27
172.26,177.29,170.84,176.8,2480547,2020-03-30
172.7,177.25,170.61,173.0,3142295,2020-03-31
165.62,168.51,160.22,160.87,3822029,2020-04-01
160.15,166.74,159.41,164.09,3369845,2020-04-02
163.25,165.75,161.26,162.13,2665745,2020-04-03
169.61,177.05,169.52,175.92,3603962,2020-04-06
181.54,185.45,178.64,179.94,3097612,2020-04-07
180.59,187.43,178.75,186.94,2495445,2020-04-08
183.31,190.05,183.25,189.48,3206758,2020-04-09
186.45,188.53,183.76,186.11,2087741,2020-04-13
188.75,190.91,187.73,189.84,2372791,2020-04-14
182.15,183.45,179.32,181.15,2025477,2020-04-15
181.79,183.7,178.88,183.13,1806724,2020-04-16
187.82,188.9,185.97,188.55,2634373,2020-04-17
184.87,189.6,184.41,185.0,1597620,2020-04-20
181.67,182.67,176.6,178.88,2010014,2020-04-21
180.88,182.89,180.02,181.6,1376381,2020-04-22
180.73,185.22,180.35,181.3,1249879,2020-04-23
182.04,182.76,178.85,181.47,1187658,2020-04-24
182.64,185.62,181.94,184.58,1542004,2020-04-27
187.96,188.11,185.48,186.88,1896699,2020-04-28
188.01,190.2,187.67,188.69,1282302,2020-04-29
185.38,186.19,183.14,183.99,2104417,2020-04-30
184.25,185.1,179.78,180.33,1169238,2020-05-01
179.48,183.22,178.61,182.66,1827986,2020-05-04
183.0,185.05,181.86,182.01,1171908,2020-05-05
182.41,182.98,178.8,178.95,1335027,2020-05-06
178.03,185.9,177.45,184.79,2295086,2020-05-07
184.91,188.41,184.75,188.41,1843094,2020-05-08
184.57,187.38,184.45,186.86,1894671,2020-05-11
185.04,186.49,182.99,183.09,1741110,2020-05-12
182.63,182.7,177.71,178.78,1857261,2020-05-13
173.8,179.36,172.76,179.25,2442366,2020-05-14
178.01,182.7,177.92,182.59,2829439,2020-05-15
187.91,193.68,187.68,192.25,2105201,2020-05-18
191.45,192.25,189.86,190.25,1774436,2020-05-19
192.8,197.34,192.66,195.99,2300438,2020-05-20
195.38,195.82,192.51,193.67,1891572,2020-05-21
192.42,192.71,190.35,190.87,1675961,2020-05-22
194.0,195.0,192.31,193.0,2214285,2020-05-26
194.7,194.75,191.51,193.13,1603387,2020-05-27
197.89,201.93,196.73,200.04,1740236,2020-05-28
201.54,203.12,198.98,202.34,2354678,2020-05-29
202.49,205.92,202.25,205.22,1658267,2020-06-01
205.03,207.06,204.44,206.26,1675139,2020-06-02
211.0,213.65,208.92,212.89,2155288,2020-06-03
213.31,214.25,210.66,212.56,1951502,2020-06-04
220.03,224.32,219.47,221.28,3525600,2020-06-05
220.54,221.99,214.81,216.43,2970417,2020-06-08
215.33,217.65,213.71,214.23,2499401,2020-06-09
216.53,216.58,211.98,213.36,1748178,2020-06-10
209.37,209.9,198.69,199.11,2924958,2020-06-11
204.59,204.88,198.31,201.94,1711890,2020-06-12
198.33,204.51,197.26,203.24,2142055,2020-06-15
208.12,209.68,204.63,208.28,1878116,2020-06-16
210.08,210.28,206.84,207.48,1577362,2020-06-17
208.97,210.2,207.0,208.16,1563768,2020-06-18
211.72,211.75,205.27,208.05,4634976,2020-06-19
208.81,210.7,207.73,209.97,1510764,2020-06-22
214.84,215.2,212.24,212.37,2044290,2020-06-23
208.99,210.16,204.8,206.07,2068460,2020-06-24
205.7,209.39,204.02,209.14,1163272,2020-06-25
208.86,209.11,204.59,206.82,2794645,2020-06-26
209.92,212.23,208.21,211.28,1406077,2020-06-29
209.64,213.57,209.45,212.11,1697400,2020-06-30
211.55,215.65,210.73,214.77,2127115,2020-07-01
218.52,222.03,218.52,221.26,2837761,2020-07-02
225.0,225.59,221.62,224.65,2860650,2020-07-06
222.74,225.88,222.38,224.53,2171644,2020-07-07
226.31,227.49,218.64,221.52,3063612,2020-07-08
225.66,226.33,220.27,221.95,2312408,2020-07-09
224.21,226.59,223.11,225.95,1448283,2020-07-10
227.92,230.89,225.78,225.82,1498000,2020-07-13
225.73,233.89,225.49,233.13,2554829,2020-07-14
240.73,241.18,235.6,237.63,2616114,2020-07-15
245.17,245.52,237.47,238.89,3295691,2020-07-16
241.32,243.67,240.98,242.6,1900940,2020-07-17
242.56,243.88,239.84,240.32,1966455,2020-07-20
243.7,245.99,243.01,244.0,1686879,2020-07-21
244.55,246.35,242.36,245.34,1390578,2020-07-22
245.54,248.25,244.6,245.98,1068908,2020-07-23
242.99,244.86,242.53,244.07,1304378,2020-07-24
246.05,248.875,245.245,246.86,1469155,2020-07-27
247.11,247.59,243.58,243.7,1677387,2020-07-28
244.71,245.62,243.64,244.71,1968067,2020-07-29
240.75,242.98,237.05,242.02,1855498,2020-07-30
246.84,247.1,241.45,245.11,2755384,2020-07-31
247.6,248.11,244.09,244.31,2577723,2020-08-03
