open,high,low,close,volume,Date
91.08,92.14,90.37,92.04,7873461,2020-01-02
90.68,92.07,90.51,91.25,5633278,2020-01-03
91.23,91.74,90.99,91.64,7173087,2020-01-06
90.8,91.12,89.12,89.2,10623821,2020-01-07
89.09,89.5,88.41,88.6,14504271,2020-01-08
88.95,90.05,88.78,89.38,9269753,2020-01-09
89.72,90.11,89.45,89.53,5672992,2020-01-10
89.52,89.63,89.02,89.51,9791473,2020-01-13
89.27,89.93,88.87,89.93,8230637,2020-01-14
90.1,91.61,90.09,91.54,9173658,2020-01-15
91.86,92.06,91.05,91.18,6919832,2020-01-16
91.28,91.63,90.86,90.97,9667156,2020-01-17
90.72,90.97,89.71,89.97,9562330,2020-01-21
90.17,90.46,89.62,89.65,7443157,2020-01-22
89.66,89.66,88.26,88.56,12593559,2020-01-23
88.63,88.83,85.58,85.98,14270030,2020-01-24
85.1,86.51,84.71,86.1,10349705,2020-01-27
86.44,86.71,85.9,86.25,9061116,2020-01-28
86.6,88.16,86.43,87.24,8121430,2020-01-29
86.95,87.13,86.2,86.5,10511124,2020-01-30
86.38,86.67,85.0,85.44,9180295,2020-01-31
86.04,88.22,86.04,87.34,9283673,2020-02-03
88.43,89.2,88.06,88.36,14378897,2020-02-04
84.68,86.74,84.0,85.83,27947716,2020-02-05
86.02,86.23,85.26,85.68,15369229,2020-02-06
85.89,85.94,84.83,85.08,10896339,2020-02-07
85.08,85.98,84.94,85.66,10105867,2020-02-10
85.86,86.0,84.95,85.25,9782087,2020-02-11
85.04,85.23,82.9,83.25,18728206,2020-02-12
82.93,82.93,81.45,81.97,18492849,2020-02-13
82.23,82.8,81.67,82.65,8340508,2020-02-14
82.88,83.11,82.26,82.46,9558539,2020-02-18
83.08,83.11,81.57,82.0,11199002,2020-02-19
82.22,82.83,81.72,82.49,10440021,2020-02-20
82.19,82.63,81.71,82.34,8869662,2020-02-21
80.61,82.59,80.57,81.33,13105097,2020-02-24
81.53,81.94,79.85,80.27,12566934,2020-02-25
80.66,81.63,79.77,79.94,11393447,2020-02-26
80.71,81.75,78.0,78.08,15012657,2020-02-27
76.68,77.49,74.18,76.56,27906598,2020-02-28
77.13,81.55,77.08,81.37,17976241,2020-03-02
81.4,82.4,77.91,79.13,16597867,2020-03-03
81.5,83.07,79.88,82.97,19297894,2020-03-04
81.53,82.77,80.94,81.58,14329429,2020-03-05
79.97,82.62,79.43,82.2,13553147,2020-03-06
78.0,80.72,76.99,78.96,18067897,2020-03-09
80.48,82.18,77.5,82.02,16722028,2020-03-10
79.83,80.16,78.03,79.25,13570010,2020-03-11
74.4,78.06,73.26,74.45,21531655,2020-03-12
76.22,77.23,72.26,76.75,24669532,2020-03-13
70.77,76.09,67.12,69.92,19852681,2020-03-16
71.65,76.07,71.38,74.48,23602837,2020-03-17
71.45,74.66,68.83,71.63,16847497,2020-03-18
71.35,72.86,68.91,70.73,18373586,2020-03-19
69.55,72.5,68.5,71.36,22018957,2020-03-20
70.27,71.61,65.25,66.4,17527779,2020-03-23
68.99,69.75,67.19,69.05,18986681,2020-03-24
68.41,70.38,66.75,68.22,17471176,2020-03-25
68.14,74.18,68.1,73.53,17224876,2020-03-26
71.8,73.43,71.25,71.73,11894981,2020-03-27
73.62,77.59,72.88,76.95,15077431,2020-03-30
76.25,77.6,75.52,76.94,14388678,2020-03-31
74.66,75.47,72.99,73.8,11133204,2020-04-01
75.98,77.12,74.03,76.87,12254918,2020-04-02
76.28,77.44,75.32,76.25,9579376,2020-04-03
78.33,80.85,77.9,80.31,13657079,2020-04-06
81.68,81.97,78.4,78.56,10169214,2020-04-07
79.18,83.0,78.34,81.62,10952629,2020-04-08
81.17,83.29,80.18,82.49,13241001,2020-04-09
81.82,82.47,79.83,80.54,7348940,2020-04-13
82.33,83.2,80.73,82.84,11590464,2020-04-14
81.23,82.96,80.56,82.07,10312632,2020-04-15
82.65,83.33,82.26,83.0,8715648,2020-04-16
83.95,84.16,82.44,83.46,14725813,2020-04-17
82.82,84.13,80.76,83.1,11140487,2020-04-20
81.62,82.3,78.21,78.56,17055178,2020-04-21
79.2,80.65,78.83,79.98,11386870,2020-04-22
80.19,81.88,80.17,80.88,7778327,2020-04-23
81.6,82.1,81.02,81.43,7334311,2020-04-24
81.23,84.67,80.83,83.98,12195710,2020-04-27
81.18,82.23,80.17,81.18,19342011,2020-04-28
82.19,82.19,79.03,80.77,13054902,2020-04-29
79.82,80.4,79.14,79.34,11101384,2020-04-30
78.86,78.86,76.93,77.67,9082596,2020-05-01
78.02,78.03,76.22,76.86,8444853,2020-05-04
77.25,78.8,76.77,78.01,7060457,2020-05-05
78.35,78.64,77.08,77.12,11845289,2020-05-06
77.0,77.12,75.43,75.6,12025094,2020-05-07
76.5,76.96,75.97,76.4,8389026,2020-05-08
76.03,78.07,75.92,77.91,10134455,2020-05-11
78.15,78.7,77.12,77.19,9104590,2020-05-12
76.66,78.8,76.58,77.89,10428878,2020-05-13
77.28,80.13,77.26,80.05,10883086,2020-05-14
80.11,80.55,78.83,79.78,8937027,2020-05-15
81.0,81.0,79.23,79.72,11977378,2020-05-18
79.47,79.73,77.35,77.55,10106292,2020-05-19
78.03,78.24,76.68,76.89,10519413,2020-05-20
76.76,77.03,76.27,76.55,8586456,2020-05-21
76.17,76.66,76.07,76.37,6064231,2020-05-22
78.26,78.6,76.91,77.26,18246755,2020-05-26
77.0,77.64,76.0,77.55,12233800,2020-05-27
78.6,80.29,78.51,79.04,12577234,2020-05-28
79.46,80.94,78.31,80.72,12896597,2020-05-29
80.18,80.46,79.13,79.56,5981980,2020-06-01
79.54,80.86,78.83,80.84,10824229,2020-06-02
81.0,82.35,80.86,82.06,13038684,2020-06-03
81.27,82.16,80.84,81.55,8866287,2020-06-04
82.11,83.13,81.49,82.26,9932540,2020-06-05
81.15,83.2,81.15,82.9,9499159,2020-06-08
83.19,83.51,82.12,82.26,8439541,2020-06-09
82.44,82.78,80.99,81.77,8660053,2020-06-10
80.81,81.66,77.35,77.35,13642394,2020-06-11
77.89,77.93,75.47,76.3,16218182,2020-06-12
74.91,75.37,73.57,74.02,16873678,2020-06-15
75.38,77.41,74.83,76.97,20455051,2020-06-16
77.36,77.45,75.63,76.29,13341024,2020-06-17
75.63,76.28,75.36,76.22,7320954,2020-06-18
77.13,77.98,75.81,77.9,16880999,2020-06-19
77.37,77.63,76.43,76.75,7129085,2020-06-22
77.5,78.62,76.89,77.12,10904265,2020-06-23
76.73,76.89,75.45,75.87,7710139,2020-06-24
75.65,76.96,75.31,76.57,7234697,2020-06-25
76.35,76.73,75.0,75.19,11764211,2020-06-26
75.9,76.51,75.52,76.12,6899781,2020-06-29
76.75,77.66,76.2,77.33,9483835,2020-06-30
77.43,78.94,77.12,78.12,9496313,2020-07-01
78.57,79.31,78.22,78.78,6513311,2020-07-02
79.24,80.02,78.9,79.58,7686855,2020-07-06
79.0,79.68,78.59,78.72,6637753,2020-07-07
78.63,78.96,77.48,77.92,7835155,2020-07-08
77.94,78.35,76.04,76.69,7599882,2020-07-09
76.75,77.35,76.4,76.73,4924149,2020-07-10
77.0,78.58,76.73,77.35,7742394,2020-07-13
77.54,78.61,77.36,78.25,8054003,2020-07-14
79.24,79.97,78.84,79.44,7354885,2020-07-15
79.78,79.81,78.75,79.4,5582830,2020-07-16
79.72,80.25,79.31,79.87,7815403,2020-07-17
79.87,80.2,79.07,79.41,5183897,2020-07-20
79.72,80.12,78.79,78.89,8626195,2020-07-21
