open,high,low,close,volume,Date
326.1,329.98,324.78,329.81,4348493,2020-01-02
326.78,329.86,325.53,325.9,3795466,2020-01-03
323.12,336.36,321.2,335.83,5668577,2020-01-06
336.47,336.7,330.3,330.75,4742458,2020-01-07
331.49,342.7,331.05,339.26,7109117,2020-01-08
342.0,343.42,334.61,335.66,4717430,2020-01-09
337.13,338.5,327.27,329.05,4720540,2020-01-10
331.8,340.85,331.51,338.92,6216564,2020-01-13
344.4,345.38,335.52,338.69,7201544,2020-01-14
338.68,343.17,336.6,339.07,5158035,2020-01-15
343.5,343.56,335.85,338.62,5015997,2020-01-16
341.0,341.57,337.38,339.67,6066547,2020-01-17
340.0,341.0,332.59,338.11,12705288,2020-01-21
332.55,336.3,323.6,326.0,21729959,2020-01-22
326.04,349.88,325.01,349.6,18200293,2020-01-23
348.46,359.85,345.88,353.16,17939681,2020-01-24
345.95,351.9,341.02,342.88,7709482,2020-01-27
345.88,352.4,342.78,348.52,6821581,2020-01-28
349.0,349.4,338.55,343.16,7649183,2020-01-29
341.1,348.2,339.25,347.74,5328136,2020-01-30
347.39,347.39,340.98,345.09,5230001,2020-01-31
347.24,359.63,346.28,358.0,6674885,2020-02-03
361.0,369.57,356.1,369.01,7161451,2020-02-04
375.13,375.25,362.3,369.67,6437026,2020-02-05
369.6,371.55,362.51,366.95,3920428,2020-02-06
365.04,371.8,363.57,366.77,4385227,2020-02-07
365.0,374.8,362.52,371.07,5294138,2020-02-10
373.75,378.11,369.72,373.69,4772870,2020-02-11
377.18,380.62,375.88,380.01,4624772,2020-02-12
376.96,385.37,376.51,381.4,4485383,2020-02-13
381.47,385.15,379.43,380.4,3736266,2020-02-14
379.3,389.54,379.19,387.78,5180400,2020-02-18
388.12,392.95,384.9,386.19,4896368,2020-02-19
386.56,389.7,376.68,386.0,4079425,2020-02-20
385.33,387.32,377.9,380.07,3935618,2020-02-21
364.76,372.82,361.0,368.7,6936418,2020-02-24
372.0,375.65,357.72,360.09,6481243,2020-02-25
366.31,382.0,365.0,379.24,8961126,2020-02-26
371.46,391.56,370.6,371.71,10967699,2020-02-27
364.21,376.77,356.8,369.03,11178572,2020-02-28
373.11,381.36,364.5,381.05,6997891,2020-03-02
381.03,393.52,367.4,368.77,8364623,2020-03-03
377.77,384.01,370.51,383.79,5487340,2020-03-04
381.0,391.4,368.64,372.78,8746985,2020-03-05
367.7,371.31,356.85,368.97,8147165,2020-03-06
343.86,357.47,341.72,346.49,7405458,2020-03-09
356.43,364.54,347.85,364.13,7604444,2020-03-10
358.92,362.98,344.79,349.92,6058782,2020-03-11
326.5,335.72,307.32,315.25,12071591,2020-03-12
330.51,336.42,307.39,336.3,9458197,2020-03-13
306.63,334.35,294.75,298.84,10559940,2020-03-16
306.19,322.9,290.25,319.75,10013913,2020-03-17
302.4,331.58,300.0,315.47,12560908,2020-03-18
324.33,348.51,316.82,332.03,10615957,2020-03-19
342.31,350.49,332.0,332.83,10853846,2020-03-20
347.89,366.11,340.88,360.27,13449378,2020-03-23
369.99,372.93,353.03,357.32,11638683,2020-03-24
361.02,362.0,339.17,342.39,8767171,2020-03-25
344.0,363.84,341.73,362.99,7235016,2020-03-26
359.09,368.56,353.0,357.12,7948775,2020-03-27
363.0,377.8,361.17,370.96,8621964,2020-03-30
367.93,383.01,366.44,375.5,9366464,2020-03-31
376.05,380.23,361.02,364.08,6672454,2020-04-01
364.08,370.99,360.06,370.08,4592477,2020-04-02
367.47,370.9,357.51,361.76,4860768,2020-04-03
365.22,380.29,361.71,379.96,8183921,2020-04-06
