open,high,low,close,volume,Date
238.75,239.91,236.72,239.91,5941969,2020-01-02
235.1,237.83,234.1,236.07,5144308,2020-01-03
232.32,237.27,231.27,237.06,6572812,2020-01-06
238.2,241.77,236.39,239.93,7980144,2020-01-07
239.76,242.04,238.15,240.38,6931017,2020-01-08
243.85,245.93,240.86,243.02,6386053,2020-01-09
247.33,248.55,243.75,244.32,7911560,2020-01-10
247.66,252.99,246.75,251.98,7739168,2020-01-13
250.26,251.28,246.75,247.28,8989483,2020-01-14
247.79,248.69,244.53,245.57,6577636,2020-01-15
247.72,249.17,246.78,248.93,7104791,2020-01-16
249.7,250.0,247.37,249.28,6344764,2020-01-17
247.81,249.29,246.57,247.94,5321260,2020-01-21
249.76,253.59,249.0,250.11,5980967,2020-01-22
251.72,253.2,248.15,252.86,6112861,2020-01-23
257.5,259.5,248.3,250.48,9337839,2020-01-24
238.24,242.25,232.23,240.2,11763354,2020-01-27
242.85,249.27,240.71,247.97,7774401,2020-01-28
247.39,248.84,243.94,245.54,6486279,2020-01-29
241.61,246.35,239.4,245.81,7262590,2020-01-30
243.97,244.45,234.75,236.43,9260493,2020-01-31
235.7,241.11,235.45,240.33,6398205,2020-02-03
246.03,247.9,244.02,247.13,6788589,2020-02-04
251.99,252.4,247.41,250.76,5205502,2020-02-05
252.14,254.25,248.88,254.25,5457051,2020-02-06
252.64,253.53,250.57,251.59,4743803,2020-02-07
252.5,263.0,252.3,262.97,13240194,2020-02-10
267.32,272.5,264.83,267.89,15963922,2020-02-11
270.01,272.8,268.45,272.54,9366118,2020-02-12
270.21,273.48,269.11,270.78,13200384,2020-02-13
287.26,294.97,286.0,289.79,26048093,2020-02-14
285.64,297.31,284.86,296.57,15547025,2020-02-18
301.49,315.41,301.49,314.7,17358281,2020-02-19
312.77,316.32,296.35,308.7,20251259,2020-02-20
304.19,305.2,290.66,294.07,19232331,2020-02-21
270.19,281.87,268.0,273.28,21422873,2020-02-24
276.3,278.79,257.96,262.05,26387442,2020-02-25
262.06,275.45,262.0,267.65,18741536,2020-02-26
