open,high,low,close,volume,Date
136.87,137.23,135.14,135.82,3596407,2020-01-02
135.46,136.79,135.13,135.63,4000070,2020-01-03
135.3,136.32,135.2,136.15,4085432,2020-01-06
136.0,136.07,133.95,134.01,5722453,2020-01-07
134.46,135.36,134.07,134.7,3681357,2020-01-08
135.29,135.38,134.53,134.79,3954737,2020-01-09
135.17,135.42,134.39,134.53,3100675,2020-01-10
134.65,136.59,134.63,136.53,4680021,2020-01-13
136.18,136.94,135.7,136.85,4161493,2020-01-14
137.04,139.25,136.8,139.2,5002877,2020-01-15
139.35,140.16,138.6,139.61,4977937,2020-01-16
140.1,141.32,139.9,141.26,6909002,2020-01-17
140.61,142.12,140.34,141.86,4249377,2020-01-21
141.81,143.57,141.72,143.38,5366139,2020-01-22
143.09,143.85,142.37,143.65,3916109,2020-01-23
143.83,144.15,142.45,142.92,2791516,2020-01-24
141.65,143.36,141.05,142.14,3895268,2020-01-27
142.13,142.92,141.76,142.44,2908401,2020-01-28
142.0,142.45,141.17,141.73,3263305,2020-01-29
142.32,143.96,141.52,143.83,4058489,2020-01-30
143.81,144.65,141.57,142.02,4753380,2020-01-31
142.77,143.07,141.84,142.51,3978171,2020-02-03
143.2,144.06,142.1,143.22,3494609,2020-02-04
143.68,144.59,143.43,144.3,3504869,2020-02-05
144.64,145.3,144.07,144.33,3571487,2020-02-06
144.26,145.72,143.83,145.37,3138839,2020-02-07
145.93,146.42,145.13,145.66,3775732,2020-02-10
146.21,146.36,144.87,146.08,3870894,2020-02-11
146.68,146.74,145.35,146.08,4217415,2020-02-12
145.25,147.13,143.52,146.47,5041366,2020-02-13
146.57,147.15,145.94,146.99,3555977,2020-02-14
147.11,147.2,145.4,145.6,4938697,2020-02-18
145.62,146.48,145.49,145.53,2978831,2020-02-19
145.77,145.8,143.95,145.16,2806193,2020-02-20
145.06,145.92,144.81,145.85,4271865,2020-02-21
145.86,147.15,142.56,142.64,5027743,2020-02-24
142.59,144.38,140.57,141.1,7586027,2020-02-25
142.44,143.75,141.16,141.98,6159441,2020-02-26
141.41,143.14,136.31,136.37,8604968,2020-02-27
133.24,133.75,128.35,132.03,14169964,2020-02-28
132.0,137.77,131.72,137.58,8504547,2020-03-02
137.19,139.67,134.74,135.58,8728649,2020-03-03
136.19,142.71,136.01,142.39,7635948,2020-03-04
138.81,141.42,136.67,138.1,6579119,2020-03-05
131.56,138.17,131.45,137.26,6755028,2020-03-06
130.18,133.35,128.18,130.16,8716252,2020-03-09
132.05,134.57,126.86,134.14,8258624,2020-03-10
130.58,132.54,127.63,129.75,7468850,2020-03-11
122.1,125.0,113.59,115.34,12808252,2020-03-12
120.68,127.59,115.07,127.45,12007673,2020-03-13
114.69,123.82,112.0,113.09,10733314,2020-03-16
116.7,127.86,116.39,127.72,14242319,2020-03-17
120.84,127.72,113.77,120.92,14906447,2020-03-18
121.43,122.09,116.06,117.34,9393486,2020-03-19
118.24,118.45,101.42,103.93,13093153,2020-03-20
106.0,112.87,102.87,105.18,13926832,2020-03-23
109.93,114.43,109.37,113.84,11446957,2020-03-24
112.74,116.36,111.04,112.5,9485483,2020-03-25
112.71,121.8,112.58,120.26,10377946,2020-03-26
118.57,124.65,117.99,120.46,9852459,2020-03-27
121.61,125.84,121.51,125.48,6917153,2020-03-30
124.94,125.7,119.53,120.1,7093100,2020-03-31
117.27,122.3,115.67,118.12,6872957,2020-04-01
117.22,125.18,116.48,123.86,6181755,2020-04-02
123.19,125.37,122.44,124.59,5552050,2020-04-03
128.66,132.13,125.29,131.16,8242235,2020-04-06
132.71,135.08,130.29,130.48,6254249,2020-04-07
129.64,133.29,129.13,132.61,5241109,2020-04-08
132.09,135.08,131.51,133.63,5502555,2020-04-09
131.69,133.35,129.43,130.89,3785013,2020-04-13
133.22,138.63,132.35,138.4,6278696,2020-04-14
137.14,137.56,133.7,135.03,5773136,2020-04-15
136.9662,136.9662,133.85,135.64,4563973,2020-04-16
137.73,138.0,134.91,137.55,4866512,2020-04-17
136.94,137.38,134.51,134.55,3995378,2020-04-20
132.14,132.94,130.59,130.94,4359534,2020-04-21
132.44,133.67,131.22,132.62,4085122,2020-04-22
132.5,134.14,130.03,130.26,5527717,2020-04-23
130.87,134.82,130.65,134.36,4065533,2020-04-24
134.42,135.21,133.89,134.46,4009205,2020-04-27
136.78,137.68,134.66,136.32,6674220,2020-04-28
136.77,136.98,132.9,133.36,6706841,2020-04-29
132.41,133.17,130.42,132.29,6782989,2020-04-30
131.12,132.23,129.52,130.14,4488160,2020-05-01
130.17,131.35,129.32,130.92,5245315,2020-05-04
131.64,133.33,130.77,131.67,3580084,2020-05-05
131.58,132.23,130.69,130.78,4192492,2020-05-06
131.55,132.0,130.12,131.55,5529573,2020-05-07
133.07,135.16,132.46,134.23,4209378,2020-05-08
133.43,136.2,133.17,134.38,3591078,2020-05-11
134.76,136.38,132.86,132.94,3914614,2020-05-12
133.18,134.47,131.45,132.96,5168826,2020-05-13
132.71,133.56,130.15,133.08,5522343,2020-05-14
133.77,137.66,132.79,135.95,20338620,2020-05-15
136.85,137.99,135.06,135.52,8480600,2020-05-18
134.43,134.76,131.4,131.73,6640343,2020-05-19
132.54,132.68,130.34,131.26,8213135,2020-05-20
130.98,131.44,129.61,130.21,4839651,2020-05-21
129.61,130.63,129.17,130.48,3429228,2020-05-22
131.94,132.05,129.4,129.75,5579269,2020-05-26
129.72,130.84,128.58,130.81,5686547,2020-05-27
131.21,132.73,130.11,132.29,4976408,2020-05-28
132.01,132.24,130.32,131.55,13338796,2020-05-29
131.6,133.95,131.19,132.99,4050410,2020-06-01
133.05,133.81,131.12,132.63,5327465,2020-06-02
133.24,134.28,132.6,132.82,5421190,2020-06-03
131.59,133.56,130.18,130.57,5229737,2020-06-04
131.0,133.52,130.77,132.44,7075650,2020-06-05
131.38,132.47,131.24,132.21,5613020,2020-06-08
131.83,133.15,131.05,132.97,6447278,2020-06-09
133.28,135.16,133.17,134.13,7069852,2020-06-10
134.22,135.14,127.46,127.84,8540975,2020-06-11
129.15,129.93,127.43,129.0,7039513,2020-06-12
128.29,130.96,126.53,130.48,5482111,2020-06-15
132.68,133.06,130.12,131.67,5198806,2020-06-16
131.89,133.04,131.49,131.76,3309878,2020-06-17
131.42,133.13,130.63,132.78,3417168,2020-06-18
134.41,134.82,131.22,131.28,8296892,2020-06-19
130.55,131.76,129.95,131.05,3379894,2020-06-22
131.62,132.68,130.98,131.36,3625580,2020-06-23
130.52,131.07,128.68,129.56,4853490,2020-06-24
129.14,131.73,128.05,131.41,4442112,2020-06-25
131.68,132.37,128.06,128.93,7372682,2020-06-26
130.18,131.4,129.43,131.08,4173863,2020-06-29
131.83,132.82,130.85,132.26,4626817,2020-06-30
132.53,133.62,131.94,132.36,3636043,2020-07-01
133.54,134.17,132.54,132.85,2770984,2020-07-02
133.08,133.95,132.31,133.3,4221605,2020-07-06
132.27,134.62,132.17,133.57,4424469,2020-07-07
134.16,134.69,133.16,134.22,3798260,2020-07-08
132.9,133.94,131.73,132.71,4005280,2020-07-09
132.37,134.89,131.28,134.46,5932824,2020-07-10
136.77,138.07,134.47,134.91,8960130,2020-07-13
134.59,136.95,134.25,135.52,6766849,2020-07-14
135.35,136.19,133.25,133.69,5564681,2020-07-15
134.06,134.36,133.05,133.88,3788127,2020-07-16
134.65,135.06,133.55,134.66,3229486,2020-07-17
134.61,134.61,132.18,133.11,3568265,2020-07-20
134.0,136.41,133.79,134.43,5426038,2020-07-21
135.56,136.25,133.68,136.01,3522313,2020-07-22
136.59,137.25,135.49,137.08,5011384,2020-07-23
136.99,138.64,135.39,136.06,3300145,2020-07-24
135.53,137.76,134.85,137.67,3607669,2020-07-27
137.98,138.59,137.09,137.38,3787724,2020-07-28
137.38,139.0,137.04,137.93,3179281,2020-07-29
137.24,138.22,136.48,137.69,2817632,2020-07-30
