open,high,low,close,volume,Date
293.98,295.7,289.79,292.5,2543430,2020-01-02
287.27,291.88,284.36,289.54,2711442,2020-01-03
288.0,291.66,287.22,291.55,3075610,2020-01-06
290.7,291.49,287.58,289.79,2496065,2020-01-07
291.5,297.38,290.04,295.9,3379131,2020-01-08
294.29,297.2,293.72,294.22,2838201,2020-01-09
296.07,296.07,292.21,295.13,2477918,2020-01-10
294.37,294.45,285.02,285.85,6994688,2020-01-13
285.6,288.24,284.25,288.24,6052841,2020-01-14
289.02,299.64,289.0,296.41,6081200,2020-01-15
298.0,300.99,295.93,300.74,3709349,2020-01-16
300.01,300.7,295.88,298.47,4363150,2020-01-17
296.89,302.54,296.01,300.53,4962781,2020-01-21
301.99,302.13,297.35,300.59,3117557,2020-01-22
300.01,300.58,296.65,299.46,3169596,2020-01-23
298.34,299.93,291.56,292.81,3677979,2020-01-24
288.0,288.08,280.07,284.09,4399151,2020-01-27
283.91,288.37,283.3,285.87,4340903,2020-01-28
284.0,286.19,280.89,282.9,3962202,2020-01-29
281.84,281.84,275.92,280.98,4211121,2020-01-30
278.17,278.78,271.18,272.45,5532583,2020-01-31
275.13,276.85,270.82,274.02,5646834,2020-02-03
277.28,283.5,276.88,280.84,4290155,2020-02-04
285.6,297.0,285.44,295.73,5760323,2020-02-05
297.0,297.27,290.0,292.46,3043940,2020-02-06
292.87,293.39,288.91,289.22,3425916,2020-02-07
286.23,289.29,285.45,287.03,3145784,2020-02-10
286.85,291.57,285.9,290.79,2990166,2020-02-11
295.0,305.0,294.01,303.48,6701787,2020-02-12
300.14,305.9,300.14,302.2,3565456,2020-02-13
302.21,303.97,297.31,298.78,2485560,2020-02-14
299.67,303.35,299.0,302.14,3241661,2020-02-18
303.37,306.71,302.73,305.31,3020954,2020-02-19
303.2,304.16,297.89,302.13,2883665,2020-02-20
300.47,302.51,298.61,301.43,2987070,2020-02-21
286.89,288.99,277.64,277.79,8783911,2020-02-24
280.15,281.98,262.01,263.39,8167844,2020-02-25
264.72,269.83,258.71,263.0,6806558,2020-02-26
258.42,262.15,252.07,253.92,7600729,2020-02-27
246.2,257.1,245.3,254.96,9959339,2020-02-28
257.34,273.24,250.32,273.11,8863396,2020-03-02
275.35,280.35,259.23,261.4,9179952,2020-03-03
290.0,295.84,282.21,289.42,14530318,2020-03-04
281.6,289.42,279.94,282.96,5907644,2020-03-05
275.42,284.97,271.9,283.87,5361322,2020-03-06
264.46,281.44,259.24,273.44,8057145,2020-03-09
279.72,283.9,272.5,280.0,7363915,2020-03-10
274.76,285.24,273.26,277.78,7724616,2020-03-11
260.0,272.23,250.0,250.41,10361301,2020-03-12
260.99,273.22,242.27,272.04,9302268,2020-03-13
243.92,245.68,223.95,225.04,10294054,2020-03-16
230.82,248.76,228.29,244.22,9640576,2020-03-17
225.75,231.45,200.19,217.06,12655441,2020-03-18
216.98,226.12,208.94,219.8,8062892,2020-03-19
223.18,232.64,203.46,206.59,9362637,2020-03-20
202.04,205.75,187.72,194.86,10651402,2020-03-23
202.14,220.27,199.0,219.8,8885537,2020-03-24
219.09,247.51,216.0,234.49,10012757,2020-03-25
234.03,257.96,232.3,255.39,7517518,2020-03-26
242.94,251.6,238.24,242.45,4879463,2020-03-27
242.64,254.09,242.64,251.28,5327921,2020-03-30
243.48,254.53,243.0,249.38,5449215,2020-03-31
238.69,246.61,235.44,237.32,4546746,2020-04-01
235.3,242.0,226.03,240.44,4336650,2020-04-02
238.32,239.34,227.27,229.49,4649266,2020-04-03
240.0,249.29,235.12,248.34,6365311,2020-04-06
259.81,266.71,246.54,248.04,4982587,2020-04-07
247.69,269.16,246.26,267.83,6385882,2020-04-08
265.0,270.4,261.6,264.13,4922000,2020-04-09
262.06,264.96,258.18,263.51,2964686,2020-04-13
269.0,273.07,267.0,270.5,4772207,2020-04-14
276.33,282.99,270.68,281.68,7839788,2020-04-15
283.44,300.0,280.01,298.43,7735550,2020-04-16
300.99,304.0,287.1,290.56,5856978,2020-04-17
285.3,289.01,281.27,282.14,4071143,2020-04-20
274.95,280.0,273.25,274.19,3975331,2020-04-21
279.58,283.82,276.71,277.02,3663332,2020-04-22
279.06,288.46,278.54,285.33,4417842,2020-04-23
287.29,291.9,284.0,291.29,3264950,2020-04-24
293.21,296.86,290.63,293.98,3705579,2020-04-27
298.0,298.25,285.62,288.36,3861362,2020-04-28
292.0,292.75,286.1,287.65,4254069,2020-04-29
286.65,295.0,285.52,292.47,7629191,2020-04-30
288.39,289.0,279.6,284.51,3526099,2020-05-01
284.49,287.94,282.11,287.54,2894192,2020-05-04
289.96,296.0,287.29,293.04,2500455,2020-05-05
295.1,297.68,288.44,288.77,2578448,2020-05-06
291.06,292.29,284.52,285.0,3162328,2020-05-07
289.49,290.0,285.66,287.0,3199949,2020-05-08
285.56,290.1,285.26,288.69,3490697,2020-05-11
291.77,293.15,287.7,287.7,4211716,2020-05-12
284.49,286.4,275.56,278.0,5472173,2020-05-13
275.93,292.45,275.64,290.61,5704273,2020-05-14
292.41,300.0,290.72,290.96,12182186,2020-05-15
298.48,299.72,292.02,293.36,4014769,2020-05-18
290.74,294.63,288.88,289.05,3058582,2020-05-19
292.9,292.9,286.7,287.99,3199609,2020-05-20
286.04,290.13,284.93,286.91,3604782,2020-05-21
287.3,290.24,284.79,289.94,2922192,2020-05-22
296.5,297.03,292.5,294.89,4567935,2020-05-26
297.42,303.8,290.8,303.77,5617624,2020-05-27
305.95,309.66,303.29,303.97,4387457,2020-05-28
304.72,308.37,300.85,304.85,6251466,2020-05-29
304.02,305.98,300.56,305.93,2893945,2020-06-01
305.58,308.1,301.73,306.31,2756763,2020-06-02
307.85,310.12,302.74,305.35,4360043,2020-06-03
303.18,304.47,294.29,298.08,4373644,2020-06-04
304.0,314.28,300.5,311.85,5553228,2020-06-05
308.64,315.84,307.93,309.48,4633521,2020-06-08
309.9,312.65,307.33,309.21,3061520,2020-06-09
308.94,310.31,302.86,305.75,3293695,2020-06-10
303.36,303.36,280.8,283.73,6637443,2020-06-11
290.65,294.1,278.7,285.15,5416185,2020-06-12
278.02,287.0,273.71,286.28,4494376,2020-06-15
295.44,297.57,287.44,293.0,4245320,2020-06-16
295.1,295.1,291.23,292.6,2537809,2020-06-17
290.43,291.78,286.6,291.48,2922872,2020-06-18
294.43,296.52,290.91,291.24,5172840,2020-06-19
289.79,293.0,286.26,292.67,2170290,2020-06-22
294.01,299.28,291.07,297.6,4023359,2020-06-23
293.99,297.1,285.57,289.18,3398554,2020-06-24
288.28,296.78,286.06,296.22,3111352,2020-06-25
295.14,296.58,285.82,286.88,5043217,2020-06-26
288.45,292.28,286.615,289.76,2356713,2020-06-29
288.57,296.45,287.66,294.95,2931403,2020-06-30
295.83,300.4,295.24,297.73,2306448,2020-07-01
300.5,303.08,297.18,298.26,1971686,2020-07-02
303.0,303.49,299.33,302.81,2394544,2020-07-06
300.66,303.56,295.95,296.65,2075305,2020-07-07
297.35,300.87,295.68,298.36,1986571,2020-07-08
295.1,298.55,287.5,291.16,3061029,2020-07-09
294.24,294.24,287.1,291.23,2391551,2020-07-10
292.09,304.52,291.77,299.71,4261793,2020-07-13
297.81,309.74,296.71,308.52,4225643,2020-07-14
301.12,310.69,298.66,304.07,5114764,2020-07-15
305.01,310.85,303.16,307.15,3843930,2020-07-16
309.09,310.97,306.25,306.53,3016515,2020-07-17
306.79,308.6,302.38,303.46,2374932,2020-07-20
