open,high,low,close,volume,Date
118.86,119.89,118.7,118.94,6764370,2020-01-02
118.27,118.79,117.59,117.89,5399237,2020-01-03
117.4,118.09,116.77,117.65,6438004,2020-01-06
117.26,117.52,116.2,116.56,6849343,2020-01-07
116.3,116.73,115.68,116.16,5875310,2020-01-08
116.15,117.37,116.08,117.36,5563504,2020-01-09
117.24,117.34,115.98,116.38,6054752,2020-01-10
116.38,116.55,115.37,115.88,6112067,2020-01-13
115.47,116.21,115.13,116.18,6585652,2020-01-14
114.63,115.87,114.52,115.28,7452152,2020-01-15
115.5,115.93,115.28,115.9,5367367,2020-01-16
116.05,116.3,114.64,114.96,10043330,2020-01-17
114.59,115.69,114.52,115.59,7352220,2020-01-21
115.22,116.53,115.18,116.1,4926077,2020-01-22
116.21,116.31,115.04,115.81,4304458,2020-01-23
116.0,116.03,114.15,114.37,4382488,2020-01-24
113.19,116.23,112.68,115.86,7017261,2020-01-27
115.98,116.9,115.95,116.6,5270207,2020-01-28
116.56,117.12,115.89,115.89,3775540,2020-01-29
115.61,116.72,115.3314,116.58,4581478,2020-01-30
115.8,116.26,113.9,114.49,7773757,2020-01-31
114.9,115.39,114.1,114.27,4347022,2020-02-03
115.24,116.24,114.89,115.27,5230874,2020-02-04
115.6,116.95,114.85,116.81,5681974,2020-02-05
116.83,117.23,116.06,116.31,5351667,2020-02-06
116.11,116.76,115.76,116.45,3689627,2020-02-07
115.75,116.98,115.05,115.25,6137946,2020-02-10
115.43,115.5,114.44,115.4,5796817,2020-02-11
115.5,116.42,115.41,115.85,4730714,2020-02-12
115.85,117.54,115.58,117.44,5330650,2020-02-13
117.67,118.57,117.16,117.89,8099958,2020-02-14
118.47,119.95,117.36,119.63,11513005,2020-02-18
119.5,119.94,117.68,117.68,7184841,2020-02-19
117.21,118.11,116.86,117.69,5022949,2020-02-20
117.44,118.75,117.31,118.58,6242101,2020-02-21
117.46,118.46,115.95,116.32,6615762,2020-02-24
116.35,117.07,114.05,114.39,7762461,2020-02-25
114.7,115.17,113.65,113.78,6673301,2020-02-26
112.56,114.07,110.35,110.4,9487907,2020-02-27
107.69,108.52,104.37,107.68,17455568,2020-02-28
107.6,116.4,107.29,115.88,17071512,2020-03-02
116.08,117.53,112.34,112.91,11111451,2020-03-03
114.24,116.84,113.47,116.77,8206578,2020-03-04
114.4,117.25,113.91,115.92,8545981,2020-03-05
113.87,117.91,113.01,117.23,9802931,2020-03-06
113.82,120.63,112.73,117.16,19739772,2020-03-09
118.1,120.68,114.92,119.79,12595922,2020-03-10
117.51,119.03,112.8,114.43,10594044,2020-03-11
106.02,111.49,102.98,104.05,18636442,2020-03-12
108.24,114.59,103.88,114.1,14314503,2020-03-13
105.2,111.33,102.0,106.76,12244052,2020-03-16
112.77,119.27,110.46,119.26,17594605,2020-03-17
115.0,128.08,114.5,122.58,25775231,2020-03-18
124.46,127.0,117.63,119.45,19026770,2020-03-19
119.5,122.79,111.89,113.97,18468231,2020-03-20
114.17,117.54,112.21,114.28,13111039,2020-03-23
115.87,117.37,111.31,115.03,14219120,2020-03-24
112.97,114.0,108.05,109.4,17729810,2020-03-25
109.4,110.87,106.85,109.82,19415259,2020-03-26
110.11,112.28,108.6,109.58,12046174,2020-03-27
111.86,115.8,110.94,115.19,9734383,2020-03-30
114.31,116.19,112.64,113.62,8750490,2020-03-31
112.15,115.53,111.8,114.14,9409399,2020-04-01
113.18,119.11,112.34,118.65,9833460,2020-04-02
117.21,119.91,117.03,119.48,9538119,2020-04-03
119.06,126.39,118.94,126.07,15915420,2020-04-06
123.98,126.49,121.64,121.99,13785434,2020-04-07
123.69,123.81,120.59,121.84,9285834,2020-04-08
118.22,122.87,117.66,121.8,10942776,2020-04-09
121.27,125.67,121.17,125.3,8054436,2020-04-13
127.1,129.79,126.04,129.0,11354477,2020-04-14
129.0,129.88,127.12,128.76,7473419,2020-04-15
129.0,132.92,128.25,132.33,10592346,2020-04-16
131.48,132.97,129.73,132.12,10304035,2020-04-17
132.39,133.38,129.76,129.85,8126456,2020-04-20
130.07,131.03,128.16,129.21,9297850,2020-04-21
130.0,132.38,128.9,131.59,6482584,2020-04-22
129.85,131.09,127.73,128.53,9607114,2020-04-23
129.35,129.89,128.56,129.44,5781068,2020-04-24
130.0,130.31,128.17,128.3,5969286,2020-04-27
128.28,130.24,127.7,128.0,6908658,2020-04-28
125.57,125.76,122.55,123.6,14852412,2020-04-29
123.08,123.44,121.04,121.55,13488703,2020-04-30
121.48,123.69,120.78,122.92,10376950,2020-05-01
123.84,124.4,121.71,123.7,5932765,2020-05-04
123.8,125.26,123.26,124.73,6444262,2020-05-05
125.21,125.49,122.85,123.3,5763576,2020-05-06
123.46,123.98,121.5,121.89,9114899,2020-05-07
122.75,123.01,121.62,122.94,6943512,2020-05-08
123.04,124.31,123.01,123.67,8444748,2020-05-11
124.48,125.66,123.78,123.78,6359134,2020-05-12
123.5,126.24,123.09,123.71,9719727,2020-05-13
124.85,125.13,121.3,123.42,7406341,2020-05-14
123.47,125.94,123.09,125.94,10572857,2020-05-15
127.5,128.56,126.1,127.66,12874143,2020-05-18
131.75,131.99,124.81,124.95,24887982,2020-05-19
126.49,126.59,124.63,125.45,10743039,2020-05-20
124.89,126.14,124.25,124.99,7506494,2020-05-21
125.1,125.35,123.77,124.33,7450636,2020-05-22
124.34,125.51,123.63,123.86,7903797,2020-05-26
123.97,124.49,121.03,122.48,10351764,2020-05-27
123.72,124.95,123.16,123.69,8141315,2020-05-28
124.24,124.71,121.93,124.06,9770135,2020-05-29
