open,high,low,close,volume,Date
61.66,61.86,60.98,61.67,410408,2020-01-02
60.6,61.56,60.38,61.18,532214,2020-01-03
60.65,61.1,60.5,60.75,448662,2020-01-06
60.66,61.27,60.51,60.65,596163,2020-01-07
60.74,61.07,60.56,60.65,598375,2020-01-08
60.88,61.04,60.61,60.97,589623,2020-01-09
60.88,61.16,60.35,60.53,628897,2020-01-10
60.67,61.29,60.6,61.29,461210,2020-01-13
61.12,61.6,60.92,61.16,620114,2020-01-14
61.01,61.44,60.53,61.44,381615,2020-01-15
61.78,62.61,61.78,62.53,425064,2020-01-16
62.66,62.89,62.17,62.35,347607,2020-01-17
62.02,62.17,60.63,60.72,1220436,2020-01-21
61.15,61.56,60.84,60.85,694013,2020-01-22
60.58,61.11,59.47,61.11,401177,2020-01-23
61.01,61.24,59.77,60.09,888443,2020-01-24
59.04,59.2,57.99,58.1,642746,2020-01-27
58.27,59.1,57.89,58.83,681054,2020-01-28
59.12,59.72,58.44,58.53,908912,2020-01-29
57.75,58.54,57.0,58.52,871196,2020-01-30
58.14,58.14,56.35,56.61,860568,2020-01-31
56.86,57.35,56.57,57.1,740184,2020-02-03
58.14,59.62,57.68,59.07,931908,2020-02-04
59.9,60.2,59.53,59.8,731613,2020-02-05
60.0,60.42,58.68,58.72,980614,2020-02-06
58.33,58.52,57.86,58.16,719309,2020-02-07
57.9,58.83,57.85,58.83,424705,2020-02-10
58.94,60.15,58.94,60.04,825922,2020-02-11
60.43,60.91,60.11,60.77,697088,2020-02-12
63.44,64.86,62.05,62.45,1884151,2020-02-13
62.67,63.25,61.96,62.52,1255990,2020-02-14
61.82,62.42,60.87,62.0,1508646,2020-02-18
62.01,62.73,61.74,62.71,1004598,2020-02-19
62.48,62.85,62.07,62.6,1088171,2020-02-20
62.12,62.36,61.01,61.65,1795204,2020-02-21
59.87,59.87,57.23,57.99,2176407,2020-02-24
58.12,58.2,54.52,54.54,2063653,2020-02-25
55.0,55.31,53.83,54.35,1757171,2020-02-26
53.33,53.84,51.46,52.14,2239647,2020-02-27
50.6,53.04,50.5,52.08,1896954,2020-02-28
52.46,52.67,50.7,52.63,1547116,2020-03-02
52.74,53.24,50.88,51.2,1307240,2020-03-03
52.01,52.02,49.6,51.67,2031835,2020-03-04
49.8,50.13,46.39,47.56,3029879,2020-03-05
46.0,47.81,45.32,47.45,3716231,2020-03-06
44.37,45.17,42.16,42.19,2567396,2020-03-09
43.93,45.29,42.27,45.26,2338816,2020-03-10
43.74,43.88,39.83,40.01,2251391,2020-03-11
35.97,36.44,26.79,26.83,6164306,2020-03-12
30.25,30.26,22.21,24.5,7894715,2020-03-13
20.01,22.14,19.11,20.84,6374171,2020-03-16
21.0,21.31,17.43,17.46,4119011,2020-03-17
15.8,16.09,10.42,15.14,7205225,2020-03-18
14.96,17.74,12.22,17.24,6650640,2020-03-19
17.67,22.82,17.0,18.51,5351707,2020-03-20
17.54,18.91,16.0,16.28,3992190,2020-03-23
17.91,21.85,17.91,21.79,5902148,2020-03-24
23.97,27.58,21.91,25.56,5367268,2020-03-25
26.84,29.42,24.42,24.92,4730003,2020-03-26
24.46,24.48,21.0,21.39,2812361,2020-03-27
21.31,23.5,18.97,22.78,2619263,2020-03-30
22.78,24.28,22.35,22.79,1949051,2020-03-31
21.19,21.53,19.5,20.08,2047767,2020-04-01
20.0,21.46,19.1,19.46,1883186,2020-04-02
19.6,20.26,17.79,18.91,2861829,2020-04-03
20.8,23.0,20.2,21.55,2105863,2020-04-06
23.71,26.99,23.18,23.78,2992154,2020-04-07
24.17,25.26,23.61,24.44,1915611,2020-04-08
25.74,26.75,24.83,25.76,2223475,2020-04-09
26.1,26.48,23.72,24.75,1320756,2020-04-13
25.31,26.27,24.0,24.42,1362446,2020-04-14
23.28,24.36,22.62,24.21,2324576,2020-04-15
24.2,24.39,22.52,22.73,1966641,2020-04-16
