open,high,low,close,volume,Date
85.62,85.75,84.98,85.75,328985,2020-01-02
83.8,84.17,83.17,83.34,280911,2020-01-03
82.17,82.68,81.03,82.05,247057,2020-01-06
81.81,82.33,81.53,81.99,323760,2020-01-07
81.39,82.61,80.98,82.08,428800,2020-01-08
82.21,82.37,80.79,80.97,420180,2020-01-09
80.19,80.49,79.21,79.29,859097,2020-01-10
78.45,79.24,78.09,78.34,1084954,2020-01-13
78.47,80.26,78.47,79.44,1576720,2020-01-14
79.34,80.3,79.34,79.74,630862,2020-01-15
79.6,81.72,79.49,81.69,633712,2020-01-16
81.29,81.77,81.0,81.24,817198,2020-01-17
80.29,80.55,78.89,79.72,1083939,2020-01-21
79.06,80.67,79.06,79.78,545024,2020-01-22
79.38,79.75,77.79,79.64,386964,2020-01-23
78.62,78.8,76.62,77.35,567931,2020-01-24
75.36,75.43,74.11,74.27,1094442,2020-01-27
77.19,79.0,76.57,78.24,1837960,2020-01-28
79.07,79.76,77.99,78.13,772460,2020-01-29
77.27,78.25,77.14,78.23,447815,2020-01-30
77.44,77.48,76.4,76.63,629074,2020-01-31
76.34,77.52,76.08,76.19,352171,2020-02-03
77.89,78.11,77.41,77.58,323531,2020-02-04
79.31,79.69,78.53,79.13,356469,2020-02-05
79.16,79.25,76.84,76.93,288575,2020-02-06
75.83,76.03,75.15,75.16,273086,2020-02-07
75.0,75.54,74.54,74.62,297318,2020-02-10
74.98,76.32,74.69,75.87,303255,2020-02-11
77.61,79.05,77.61,78.73,475722,2020-02-12
77.61,79.25,77.47,79.0,581158,2020-02-13
78.47,78.62,76.43,77.26,327740,2020-02-14
76.78,77.48,76.22,77.37,296098,2020-02-18
76.19,77.0,75.67,76.63,714830,2020-02-19
75.96,76.23,74.91,75.22,579537,2020-02-20
74.63,74.76,73.27,73.57,524594,2020-02-21
69.36,70.89,69.06,70.14,842097,2020-02-24
70.15,70.43,68.47,68.75,698338,2020-02-25
69.98,70.69,69.07,69.63,666878,2020-02-26
68.52,69.95,67.51,67.51,545732,2020-02-27
66.19,67.92,65.4,66.73,1149330,2020-02-28
66.63,67.43,64.87,67.37,1077510,2020-03-02
67.53,68.64,65.64,66.45,1002959,2020-03-03
66.91,67.3,65.47,67.25,486037,2020-03-04
64.44,65.08,62.75,63.2,745009,2020-03-05
62.17,63.22,61.73,62.68,1207578,2020-03-06
58.58,60.4,57.54,57.71,835405,2020-03-09
60.68,62.68,59.39,62.59,722442,2020-03-10
62.22,63.24,59.92,61.06,997710,2020-03-11
55.43,56.04,52.79,53.58,1147828,2020-03-12
59.31,59.31,53.74,56.73,854189,2020-03-13
47.52,50.05,46.31,47.36,1465349,2020-03-16
46.76,48.88,45.92,48.03,1304500,2020-03-17
45.63,45.63,40.87,41.82,889378,2020-03-18
38.17,42.86,38.16,41.93,1253587,2020-03-19
43.47,44.36,39.34,40.18,1488963,2020-03-20
40.07,42.0,38.67,40.41,965237,2020-03-23
44.55,47.33,44.16,45.96,1384062,2020-03-24
47.58,50.23,44.88,48.8,1029895,2020-03-25
49.17,50.42,48.77,49.84,767653,2020-03-26
47.3,48.21,46.08,47.14,497251,2020-03-27
46.99,47.3,46.08,46.72,809898,2020-03-30
47.02,48.28,45.93,46.01,912396,2020-03-31
44.71,45.88,42.81,43.34,606325,2020-04-01
42.2,43.8,40.97,42.06,850787,2020-04-02
42.05,42.43,39.83,40.47,915774,2020-04-03
43.82,47.85,43.62,47.56,1342335,2020-04-06
51.14,52.32,49.21,49.84,1234079,2020-04-07
51.47,54.5,51.14,54.42,842022,2020-04-08
55.65,58.06,54.93,57.66,886023,2020-04-09
57.54,57.54,54.63,56.07,733167,2020-04-13
55.78,56.61,54.83,55.61,1414012,2020-04-14
53.25,54.26,52.2,54.13,522383,2020-04-15
53.11,53.26,51.71,52.39,557506,2020-04-16
55.35,56.47,55.13,56.25,491130,2020-04-17
53.67,56.44,53.16,55.42,894010,2020-04-20
54.43,55.76,54.1,54.46,665977,2020-04-21
