open,high,low,close,volume,Date
228.78,229.68,227.02,229.18,558225,2020-01-02
227.44,229.41,227.08,228.73,330360,2020-01-03
226.72,233.18,226.72,231.86,807647,2020-01-06
231.81,234.93,231.02,234.04,492708,2020-01-07
234.07,236.02,232.63,233.13,544253,2020-01-08
233.04,235.455,232.29,233.0,561030,2020-01-09
233.15,233.45,230.19,231.33,661274,2020-01-10
230.89,232.82,229.81,231.32,422333,2020-01-13
231.12,232.26,229.51,229.79,491736,2020-01-14
229.62,231.12,224.0601,224.11,852033,2020-01-15
225.29,225.88,223.68,224.98,1208645,2020-01-16
225.9,228.655,224.38,226.97,910862,2020-01-17
226.5,228.96,225.57,226.86,470093,2020-01-21
226.94,229.81,226.83,227.18,432696,2020-01-22
226.55,227.54,224.57,225.16,508221,2020-01-23
225.23,225.95,220.42,220.74,456504,2020-01-24
217.64,222.72,216.79,222.26,630980,2020-01-27
220.8,222.98,219.2517,221.95,579261,2020-01-28
223.15,224.88,220.78,223.84,569679,2020-01-29
222.08,223.13,217.7301,218.28,940114,2020-01-30
218.01,219.88,216.59,217.47,686113,2020-01-31
218.55,224.36,218.3,222.47,461639,2020-02-03
224.83,229.19,224.34,227.55,449915,2020-02-04
228.88,233.05,228.88,231.64,612828,2020-02-05
231.65,232.73,230.0,231.45,429159,2020-02-06
231.11,231.48,226.69,229.82,388853,2020-02-07
229.85,230.57,228.0,228.5,303448,2020-02-10
235.99,244.64,233.23,243.45,1174687,2020-02-11
243.26,244.27,238.375,241.32,749591,2020-02-12
240.41,244.2,240.0,244.14,524323,2020-02-13
245.02,246.72,243.26,245.68,439921,2020-02-14
245.52,248.89,245.52,246.97,362617,2020-02-18
247.33,249.29,247.19,248.09,275175,2020-02-19
250.0,250.89,243.115,245.8,492054,2020-02-20
245.22,246.75,240.14,241.31,454725,2020-02-21
237.09,238.87,234.47,238.16,634385,2020-02-24
238.96,240.975,234.415,235.24,1008934,2020-02-25
236.93,241.46,233.95,233.97,838963,2020-02-26
229.22,230.56,221.14,221.24,1009173,2020-02-27
215.42,220.41,210.69,216.26,1089337,2020-02-28
217.17,219.225,210.32,218.41,853150,2020-03-02
218.25,223.04,213.0,215.45,746847,2020-03-03
217.55,219.37,211.83,219.37,1296100,2020-03-04
216.79,227.7,216.79,218.46,1908434,2020-03-05
213.46,217.37,208.86,214.23,1547966,2020-03-06
202.7,209.1,198.95,201.56,1074709,2020-03-09
205.15,207.41,193.91,207.17,1551633,2020-03-10
203.7,207.84,194.86,195.43,1321667,2020-03-11
181.96,185.98,173.89,182.31,1419474,2020-03-12
190.0,193.4771,172.99,187.8,1409930,2020-03-13
166.35,166.35,131.03,131.78,1829702,2020-03-16
133.36,143.61,121.79,139.45,2044501,2020-03-17
125.03,126.02,106.385,120.45,2736935,2020-03-18
118.08,138.6,105.67,130.51,2303507,2020-03-19
132.91,147.25,130.5401,138.01,1951248,2020-03-20
136.53,139.74,126.93,134.6,983334,2020-03-23
139.6,156.29,139.6,154.54,1648392,2020-03-24
158.58,178.98,155.4102,162.0,1450309,2020-03-25
165.0,169.76,160.3,169.76,1322719,2020-03-26
162.56,163.37,153.36,155.83,1125663,2020-03-27
155.87,164.555,152.9701,162.53,801019,2020-03-30
162.77,164.6,157.68,158.46,877038,2020-03-31
154.37,156.0,142.27,146.0,787803,2020-04-01
144.83,151.59,141.09,145.44,813531,2020-04-02
143.87,144.76,137.65,140.56,868742,2020-04-03
148.66,159.83,146.13,159.21,1312405,2020-04-06
170.4,175.88,163.72,166.75,940863,2020-04-07
168.64,177.98,166.54,175.71,501193,2020-04-08
179.86,187.85,175.65,176.89,710623,2020-04-09
168.02,170.895,162.01,166.17,2703756,2020-04-13
171.62,178.15,168.33,177.18,2622841,2020-04-14
172.64,176.43,169.0,173.48,1427370,2020-04-15
175.41,179.47,172.58,175.51,835736,2020-04-16
181.96,185.0,175.94,182.61,955479,2020-04-17
178.23,180.97,176.31,177.16,764218,2020-04-20
172.69,177.3,170.92,172.59,842518,2020-04-21
173.99,175.865,170.42,174.3,563559,2020-04-22
173.11,175.935,170.5668,171.02,443176,2020-04-23
173.16,176.47,169.501,174.49,696992,2020-04-24
176.47,185.27,174.0,182.44,1165534,2020-04-27
188.31,191.59,186.02,186.79,818884,2020-04-28
191.03,198.45,188.94,194.6,634433,2020-04-29
191.23,194.11,182.69,182.69,822937,2020-04-30
178.83,180.04,175.14,179.46,519995,2020-05-01
175.59,179.18,174.78,178.35,578784,2020-05-04
180.06,183.24,178.37,178.82,892808,2020-05-05
180.33,180.8,174.33,175.67,526907,2020-05-06
178.81,181.74,178.15,178.33,671392,2020-05-07
181.69,182.07,177.025,179.07,760913,2020-05-08
178.03,179.29,174.83,176.09,569420,2020-05-11
178.12,178.22,167.25,167.4,883237,2020-05-12
167.06,167.06,159.365,162.55,1232482,2020-05-13
160.42,166.59,155.03,166.28,925664,2020-05-14
164.2,170.74,161.75,167.78,874597,2020-05-15
177.01,185.0,176.55,178.67,864430,2020-05-18
178.25,183.43,175.5,177.97,764368,2020-05-19
179.79,184.87,179.79,183.93,828127,2020-05-20
193.99,203.73,192.38,202.38,2052335,2020-05-21
197.78,202.91,197.18,202.35,822047,2020-05-22
211.39,214.53,206.55,208.84,1413517,2020-05-26
211.0,214.515,204.42,210.32,1515167,2020-05-27
209.35,223.5799,208.01,213.42,2250358,2020-05-28
212.5,214.8,207.0,209.67,1598053,2020-05-29
207.0,214.24,206.51,206.77,1209965,2020-06-01
208.93,212.69,206.03,211.94,903944,2020-06-02
214.47,219.775,212.53,216.99,840655,2020-06-03
214.83,216.99,208.7,210.05,903771,2020-06-04
215.48,219.82,210.89,216.05,911504,2020-06-05
216.22,218.11,212.255,214.13,903251,2020-06-08
