open,high,low,close,volume,Date
78.5,78.5,76.91,77.83,1258782,2020-01-02
77.11,77.8,76.78,77.74,891956,2020-01-03
77.07,77.62,75.86,76.51,1098863,2020-01-06
76.61,78.44,76.21,78.32,1147060,2020-01-07
78.33,79.69,78.27,78.8,1132390,2020-01-08
79.23,79.63,78.31,79.43,816366,2020-01-09
79.32,80.41,79.32,80.12,1427079,2020-01-10
80.0,80.62,79.67,80.46,938653,2020-01-13
80.29,82.08,80.29,81.75,1377883,2020-01-14
83.61,83.8,82.3,83.5,2229506,2020-01-15
83.82,84.93,83.54,84.1,2758140,2020-01-16
82.01,83.58,80.4,80.74,2780349,2020-01-17
80.48,81.05,79.93,80.2,1497209,2020-01-21
80.51,80.82,79.42,80.31,1045587,2020-01-22
80.18,80.22,78.87,79.8,1078002,2020-01-23
79.71,80.12,79.08,79.62,930219,2020-01-24
78.65,79.56,78.01,78.47,1462152,2020-01-27
78.48,78.99,77.85,77.88,2107412,2020-01-28
72.53,75.19,71.76,73.41,4850524,2020-01-29
72.15,73.49,71.8,72.64,1931556,2020-01-30
72.56,73.29,71.83,72.22,2216489,2020-01-31
72.93,73.14,71.73,72.01,1542940,2020-02-03
72.68,72.75,71.74,72.23,1328895,2020-02-04
72.75,73.44,72.29,72.74,1106260,2020-02-05
73.14,73.95,72.36,73.58,1699747,2020-02-06
73.61,75.66,73.61,74.38,1656617,2020-02-07
74.08,74.47,72.7,72.92,1092013,2020-02-10
73.1,73.66,72.64,72.72,741485,2020-02-11
73.0,73.49,72.66,73.32,1240175,2020-02-12
73.09,73.36,71.99,72.13,965603,2020-02-13
72.03,72.4,71.7,72.01,904813,2020-02-14
71.86,72.46,71.75,72.45,731804,2020-02-18
72.6,73.93,72.59,73.48,814557,2020-02-19
73.63,74.96,73.26,74.82,1579119,2020-02-20
74.09,75.6,73.7,74.55,1497184,2020-02-21
73.21,74.0,71.62,72.14,1657926,2020-02-24
72.31,72.97,70.48,71.85,2344924,2020-02-25
72.53,72.93,71.2,71.66,1107354,2020-02-26
70.31,72.24,69.87,69.87,2325614,2020-02-27
68.94,69.77,67.35,68.9,3375806,2020-02-28
69.03,70.12,68.38,70.09,1786155,2020-03-02
69.63,70.7,67.14,68.27,1442683,2020-03-03
69.12,70.88,67.59,70.79,1394055,2020-03-04
68.32,69.42,65.9,66.38,2230209,2020-03-05
64.61,66.39,64.1,66.08,4034109,2020-03-06
61.92,64.53,61.76,62.67,3181247,2020-03-09
64.3,65.04,62.42,64.78,1552329,2020-03-10
63.55,64.84,62.93,64.11,2163195,2020-03-11
60.54,62.96,57.25,60.11,3143080,2020-03-12
62.41,64.28,59.18,62.37,2217481,2020-03-13
58.18,61.82,56.94,61.06,2906283,2020-03-16
62.0,66.91,58.25,64.6,3415685,2020-03-17
62.24,66.26,61.01,64.85,3761440,2020-03-18
64.69,67.29,60.56,64.06,3296772,2020-03-19
64.57,69.93,63.75,63.91,2945248,2020-03-20
64.58,64.92,60.92,63.24,3002997,2020-03-23
65.45,67.05,62.24,63.55,2409522,2020-03-24
63.89,64.63,60.37,62.29,3852586,2020-03-25
62.49,66.95,62.01,65.89,3038632,2020-03-26
63.0,65.37,62.21,62.51,2576559,2020-03-27
62.57,65.36,61.94,65.19,1658682,2020-03-30
64.79,66.72,64.23,66.2,2481650,2020-03-31
64.92,68.85,64.7,66.57,2847459,2020-04-01
65.79,69.56,65.79,68.92,2834575,2020-04-02
68.63,69.77,67.63,68.15,2166501,2020-04-03
69.73,73.08,69.45,72.39,2201161,2020-04-06
73.5,74.76,71.45,71.84,2132930,2020-04-07
72.3,73.45,71.05,72.82,1748933,2020-04-08
72.93,74.32,71.95,73.22,1584325,2020-04-09
72.93,73.95,70.54,71.27,1618157,2020-04-13
72.24,73.34,70.4,70.99,2097483,2020-04-14
69.94,71.09,68.61,70.92,2478110,2020-04-15
71.07,74.26,70.93,74.22,2002858,2020-04-16
73.98,74.72,72.3,74.23,1907462,2020-04-17
73.71,74.97,72.15,72.32,1728140,2020-04-20
71.52,72.25,70.37,70.96,1614685,2020-04-21
72.06,72.47,71.24,71.58,1230081,2020-04-22
71.63,72.43,70.17,70.48,1557800,2020-04-23
71.01,72.33,70.61,72.28,1768938,2020-04-24
72.85,74.64,72.12,74.04,1191677,2020-04-27
74.06,75.49,73.56,74.01,1710829,2020-04-28
73.4,73.49,68.46,71.26,3867464,2020-04-29
72.03,72.16,70.74,70.9,3136145,2020-04-30
70.11,70.89,69.41,70.83,1785413,2020-05-01
71.54,71.69,69.13,69.94,1886476,2020-05-04
70.62,71.91,70.34,71.13,1237204,2020-05-05
71.7,71.75,69.85,70.43,1288834,2020-05-06
71.1,72.31,70.8,71.95,1380462,2020-05-07
72.5,74.04,72.23,73.8,1466743,2020-05-08
73.45,75.17,73.23,74.4,1414343,2020-05-11
74.92,75.28,72.51,72.72,2097151,2020-05-12
72.98,73.36,71.01,71.79,2241239,2020-05-13
71.23,72.27,70.42,72.18,2162157,2020-05-14
72.65,73.5,71.98,72.5,3587864,2020-05-15
74.12,78.25,73.91,77.84,3280724,2020-05-18
77.82,78.28,75.69,75.96,1810215,2020-05-19
76.89,79.86,76.59,77.62,2144057,2020-05-20
77.23,78.3,77.0,77.9,1395500,2020-05-21
77.74,78.19,77.37,77.86,1098327,2020-05-22
78.87,79.78,78.13,78.25,1491066,2020-05-26
78.31,80.25,78.1,80.16,2337255,2020-05-27
80.22,81.85,80.22,80.86,2001703,2020-05-28
80.92,82.88,79.56,81.13,7262217,2020-05-29
80.9,81.12,80.05,80.66,1115405,2020-06-01
81.39,82.32,78.94,82.18,1291199,2020-06-02
83.0,84.06,82.5,83.81,1706671,2020-06-03
82.88,83.33,81.72,82.3,1540233,2020-06-04
83.12,84.66,82.78,83.06,1512675,2020-06-05
82.92,85.24,82.92,85.1,1418702,2020-06-08
84.87,84.87,82.94,83.09,1238427,2020-06-09
83.5,83.62,82.06,82.2,1517322,2020-06-10
81.5,81.87,78.03,78.77,1677968,2020-06-11
80.31,80.58,76.94,77.73,1323111,2020-06-12
76.27,78.39,75.65,78.13,1391327,2020-06-15
80.0,80.54,77.71,78.09,1456443,2020-06-16
78.65,79.47,78.18,78.64,1189691,2020-06-17
78.27,78.86,77.05,77.86,1770738,2020-06-18
78.82,78.82,77.17,77.75,3577889,2020-06-19
77.22,77.31,75.58,77.04,1277267,2020-06-22
78.0,78.0,77.0,77.31,1819094,2020-06-23
77.0,79.11,76.63,78.54,1318094,2020-06-24
78.54,78.6,76.44,77.32,1238483,2020-06-25
77.12,77.78,75.95,76.66,3362182,2020-06-26
77.21,77.99,76.835,77.76,1753365,2020-06-29
77.79,79.4,77.54,79.06,1647872,2020-06-30
79.31,80.17,78.29,79.09,1579255,2020-07-01
79.84,79.84,78.47,79.18,2571870,2020-07-02
80.99,81.2,79.9,80.21,2028459,2020-07-06
78.6,80.65,78.56,80.2,1517724,2020-07-07
80.11,80.9,79.91,80.5,1561581,2020-07-08
80.4,81.51,80.4,80.87,1292865,2020-07-09
