open,high,low,close,volume,Date
39.39,39.39,37.765,38.28,3771063,2020-01-02
37.5,37.97,37.16,37.38,1873935,2020-01-03
36.71,37.345,36.71,37.07,2047658,2020-01-06
37.16,38.48,36.8127,37.58,2349130,2020-01-07
37.52,38.27,37.12,38.01,2232451,2020-01-08
38.2,38.2,36.53,36.72,1912760,2020-01-09
36.6,36.7,35.73,35.84,1869676,2020-01-10
36.0,36.55,35.64,36.34,1905646,2020-01-13
36.0,36.65,35.95,36.0,2340722,2020-01-14
35.73,36.08,35.3,35.85,2223753,2020-01-15
36.29,37.98,36.12,37.31,2255926,2020-01-16
37.4,37.5,36.63,36.79,1541503,2020-01-17
36.44,36.84,36.1,36.67,1799345,2020-01-21
36.89,37.19,36.39,36.42,1534150,2020-01-22
35.94,36.65,35.32,36.5,1330133,2020-01-23
36.6,36.6,34.97,35.38,1542574,2020-01-24
34.29,34.66,33.35,33.39,2130377,2020-01-27
33.69,33.905,32.51,32.69,3012355,2020-01-28
32.99,33.22,31.96,32.01,4490987,2020-01-29
31.48,31.85,31.05,31.38,2359021,2020-01-30
31.12,31.34,29.59,29.96,3292906,2020-01-31
29.99,30.17,29.735,29.82,3642383,2020-02-03
30.8,31.27,30.7,30.76,3264221,2020-02-04
33.21,34.42,32.79,33.31,5504617,2020-02-05
33.48,33.59,31.33,31.34,5358179,2020-02-06
30.89,31.01,30.26,30.5,2680194,2020-02-07
30.43,30.76,29.9,30.07,1924207,2020-02-10
30.07,30.76,29.85,30.31,1757874,2020-02-11
30.54,31.525,30.51,30.85,3195286,2020-02-12
30.55,30.64,29.525,29.7,3218367,2020-02-13
29.73,29.74,28.52,28.62,3135679,2020-02-14
28.34,28.685,27.79,28.19,3483210,2020-02-18
27.73,28.03,27.45,27.65,2832102,2020-02-19
27.56,29.012,27.53,28.86,3945009,2020-02-20
28.34,28.4532,27.29,27.66,3582073,2020-02-21
26.11,26.91,25.57,26.54,3923731,2020-02-24
26.72,26.82,25.0,25.65,4029345,2020-02-25
25.98,26.08,24.455,24.74,4268243,2020-02-26
24.0,25.5,23.88,24.64,4207041,2020-02-27
23.95,25.82,23.95,25.82,4951870,2020-02-28
25.82,25.85,24.45,25.43,4461939,2020-03-02
25.27,25.84,23.86,24.4,3918699,2020-03-03
24.59,25.17,24.03,25.14,3476965,2020-03-04
24.01,24.26,22.75,23.36,4797701,2020-03-05
22.19,23.37,21.7,22.93,5494187,2020-03-06
21.37,21.71,20.0005,20.21,4819136,2020-03-09
21.16,21.48,19.55,20.87,3737703,2020-03-10
20.13,20.42,18.63,18.83,3828989,2020-03-11
17.43,17.67,14.07,14.34,6199321,2020-03-12
15.51,15.65,12.78,13.93,8303470,2020-03-13
10.75,11.3626,9.0,9.66,10068689,2020-03-16
9.82,9.83,7.54,8.15,11293397,2020-03-17
7.56,8.52,5.42,7.52,10490592,2020-03-18
7.58,10.16,7.0,10.02,7906306,2020-03-19
10.3,11.08,9.36,9.87,9510720,2020-03-20
9.85,10.2,9.01,9.22,4996591,2020-03-23
10.14,11.2624,9.76,11.11,7130152,2020-03-24
11.97,13.52,10.84,12.89,6812117,2020-03-25
12.89,14.1,12.45,13.44,4223642,2020-03-26
12.42,12.7,11.485,11.67,3956984,2020-03-27
11.6,11.6,10.595,11.25,3709356,2020-03-30
11.14,11.59,10.61,10.79,2981467,2020-03-31
10.09,10.195,8.75,8.91,5027208,2020-04-01
8.75,9.18,7.75,8.13,7929572,2020-04-02
8.33,8.85,7.81,8.53,4060183,2020-04-03
9.38,11.35,9.04,10.74,7111878,2020-04-06
11.81,14.41,11.81,12.79,9542482,2020-04-07
12.96,14.1,12.92,13.79,4255195,2020-04-08
14.94,15.42,13.19,13.38,9963016,2020-04-09
13.34,13.6005,11.97,13.03,5075290,2020-04-13
13.45,14.48,13.33,14.41,4743549,2020-04-14
13.55,13.698,12.9001,13.36,7503823,2020-04-15
13.55,13.55,12.18,12.24,4089853,2020-04-16
13.09,14.2,12.55,12.93,5515213,2020-04-17
12.5,13.37,12.16,12.2,4017104,2020-04-20
11.73,12.16,11.37,11.48,4310340,2020-04-21
11.85,11.96,11.04,11.12,4030903,2020-04-22
11.12,12.145,11.07,11.74,3892406,2020-04-23
11.8,12.87,11.75,12.5,6218247,2020-04-24
12.76,13.92,12.5,13.86,3315838,2020-04-27
14.53,15.23,14.05,15.04,4550741,2020-04-28
15.92,16.97,15.675,16.56,6245873,2020-04-29
16.09,16.28,14.96,15.25,5560940,2020-04-30
14.26,14.58,13.37,13.96,4588056,2020-05-01
13.17,14.01,12.701,13.88,2268862,2020-05-04
14.46,15.005,13.715,13.81,2643459,2020-05-05
13.81,14.21,13.155,13.24,2419308,2020-05-06
13.8,14.49,13.7,14.03,6057521,2020-05-07
14.46,15.205,14.23,15.01,3516205,2020-05-08
14.62,14.73,13.81,14.31,42562538,2020-05-11
14.5,14.865,13.395,13.4,4734643,2020-05-12
13.17,13.3,12.5825,12.9,4079558,2020-05-13
12.37,13.07,11.605,13.01,4385971,2020-05-14
12.7,13.35,12.55,12.87,3262323,2020-05-15
13.62,14.78,13.47,14.38,5078034,2020-05-18
14.34,14.5,13.27,13.45,3152707,2020-05-19
13.82,14.31,13.56,13.98,3819803,2020-05-20
13.94,15.195,13.89,15.06,3663721,2020-05-21
15.04,15.35,14.375,14.5,2385803,2020-05-22
15.5,16.73,15.5,16.4,4274797,2020-05-26
17.36,18.46,17.19,17.85,5478020,2020-05-27
17.99,18.035,16.302,16.37,4328793,2020-05-28
15.92,16.19,14.97,15.04,12720485,2020-05-29
15.07,17.21,14.98,16.8,4972227,2020-06-01
17.19,17.58,16.34,17.46,4208178,2020-06-02
18.16,18.54,17.6644,17.89,7949829,2020-06-03
17.77,20.24,17.48,20.04,7634182,2020-06-04
22.04,23.09,20.8,20.86,5803525,2020-06-05
22.44,23.74,22.0,23.29,6811699,2020-06-08
22.24,22.42,20.8,21.02,4395333,2020-06-09
21.02,21.05,19.36,19.48,3733082,2020-06-10
17.49,18.12,16.38,16.65,5535815,2020-06-11
17.9,18.07,16.345,17.21,4225653,2020-06-12
16.2,17.185,15.64,17.01,4046459,2020-06-15
18.59,19.13,17.875,18.4,4589518,2020-06-16
18.03,18.23,16.545,16.77,3237324,2020-06-17
16.35,17.33,16.27,16.53,2852283,2020-06-18
16.82,16.9,15.34,15.75,4589276,2020-06-19
15.56,15.96,15.2201,15.78,3812979,2020-06-22
15.96,16.46,15.6692,16.3,2580179,2020-06-23
15.91,15.98,14.875,15.32,3458552,2020-06-24
14.84,15.54,14.56,15.11,2324248,2020-06-25
15.08,15.28,14.2001,14.37,5083716,2020-06-26
14.41,15.66,14.14,15.66,3863329,2020-06-29
15.49,15.93,15.12,15.63,3024997,2020-06-30
16.2,16.83,14.91,15.34,5782509,2020-07-01
15.97,16.46,15.16,15.23,3390231,2020-07-02
15.82,16.0,14.88,15.71,3956266,2020-07-06
15.38,15.85,14.91,15.53,3506777,2020-07-07
15.42,15.95,15.16,15.93,3089440,2020-07-08
15.76,15.84,14.72,14.89,2974782,2020-07-09
14.76,15.42,14.64,15.35,2502938,2020-07-10
15.55,16.32,14.75,15.59,3067855,2020-07-13
15.4,16.16,15.09,15.68,2206585,2020-07-14
16.46,17.1,16.26,16.97,3808936,2020-07-15
16.69,17.39,16.48,17.07,2487930,2020-07-16
16.95,17.11,16.16,16.34,2123890,2020-07-17
16.24,16.33,15.29,15.43,2532882,2020-07-20
15.59,16.58,15.59,16.31,2314910,2020-07-21
16.16,16.595,15.97,16.38,2982235,2020-07-22
16.36,16.8759,15.57,15.69,9988918,2020-07-23
15.65,15.8,15.05,15.2,5296138,2020-07-24
15.25,15.29,14.385,14.72,6695282,2020-07-27
14.76,15.17,14.645,14.84,5278202,2020-07-28
14.96,16.06,14.96,16.04,4255728,2020-07-29
15.52,15.58,14.895,15.29,2605405,2020-07-30
15.17,15.33,14.515,14.98,2746182,2020-07-31
14.98,15.015,13.99,14.01,3284838,2020-08-03
14.04,14.32,13.8,14.04,3793263,2020-08-04
15.55,16.16,15.095,15.64,6597042,2020-08-05
15.42,15.56,14.64,15.05,4875092,2020-08-06
14.87,15.89,14.66,15.84,2974075,2020-08-07
15.79,16.99,15.79,16.86,3301701,2020-08-10
17.43,17.98,17.065,17.17,3311573,2020-08-11
17.43,17.55,16.77,17.38,2163557,2020-08-12
17.24,17.42,17.04,17.08,1922660,2020-08-13
16.89,17.415,16.56,17.21,1892304,2020-08-14
17.09,17.31,16.76,17.27,2095625,2020-08-17
17.1,17.1,15.71,15.81,3462835,2020-08-18
15.82,16.25,15.7,15.84,1505497,2020-08-19
15.58,15.81,15.205,15.25,1822166,2020-08-20
15.14,15.45,14.98,14.99,1475210,2020-08-21
15.1,16.39,15.01,16.35,3498046,2020-08-24
16.54,16.66,15.915,16.24,2044673,2020-08-25
16.29,16.81,16.035,16.06,1480837,2020-08-26
16.1,16.65,16.1,16.53,2113295,2020-08-27
16.69,16.98,16.25,16.94,1626486,2020-08-28
16.74,16.82,15.82,15.84,2720309,2020-08-31
15.67,16.08,15.46,15.82,1902210,2020-09-01
16.09,16.42,15.86,16.35,1887556,2020-09-02
16.5,17.09,15.95,16.27,2317938,2020-09-03
16.8,17.46,16.07,17.16,3047336,2020-09-04
16.7,18.345,16.49,17.87,4023508,2020-09-08
17.87,18.04,17.25,17.96,2502776,2020-09-09
18.75,20.88,18.51,19.97,15889118,2020-09-10
20.06,20.5697,19.53,20.39,4802827,2020-09-11
20.48,21.43,20.44,21.3,3556388,2020-09-14
21.6,21.87,21.11,21.15,4604464,2020-09-15
22.17,23.12,21.88,21.89,8631483,2020-09-16
21.45,22.23,21.14,21.65,3673266,2020-09-17
21.5,21.555,20.31,20.84,5469951,2020-09-18
21.01,21.09,20.18,20.42,3632536,2020-09-21
20.22,20.64,19.86,20.5,2387239,2020-09-22
20.67,21.12,20.005,20.08,3453607,2020-09-23
19.71,20.01,18.95,19.71,3704993,2020-09-24
19.56,19.78,19.24,19.46,2105621,2020-09-25
19.98,20.49,18.575,18.92,4088214,2020-09-28
18.88,18.88,17.66,17.69,4452284,2020-09-29
17.74,18.345,17.74,18.0,3265545,2020-09-30
18.11,18.6,17.91,18.11,2586706,2020-10-01
17.29,18.58,17.11,18.46,3302169,2020-10-02
18.8,19.665,18.66,19.56,4755539,2020-10-05
19.89,20.35,19.37,19.51,4205529,2020-10-06
19.9,20.585,19.9,20.49,3320799,2020-10-07
20.6,21.3399,20.52,21.12,3317371,2020-10-08
21.36,21.77,20.66,21.66,4120385,2020-10-09
21.74,22.005,21.48,21.64,3281061,2020-10-12
21.35,21.48,20.48,20.62,3498563,2020-10-13
20.41,21.08,20.41,20.75,2472829,2020-10-14
20.32,21.73,20.175,21.73,2470851,2020-10-15
21.8,22.03,21.19,21.33,2228560,2020-10-16
21.57,22.41,21.36,21.52,3028776,2020-10-19
21.8,22.28,21.71,21.89,2528309,2020-10-20
21.8,22.29,21.67,22.13,1996447,2020-10-21
22.24,22.84,21.99,22.56,2603939,2020-10-22
22.78,22.88,21.85,22.52,2316773,2020-10-23
22.3,22.69,21.72,22.34,4782244,2020-10-26
22.33,22.82,22.11,22.62,3109204,2020-10-27
21.71,22.1,21.17,21.25,3795922,2020-10-28
21.65,22.24,21.14,22.19,5539173,2020-10-29
22.01,22.23,21.0,21.22,3660258,2020-10-30
21.73,22.455,21.49,22.04,3845560,2020-11-02
22.39,23.15,21.83,22.92,3309749,2020-11-03
23.01,23.45,22.33,23.28,4319414,2020-11-04
24.79,25.75,24.565,25.27,6481153,2020-11-05
25.08,26.08,24.725,24.95,3174372,2020-11-06
27.99,29.33,26.64,27.0,7981449,2020-11-09
27.03,28.69,26.91,28.12,6865302,2020-11-10
28.42,28.52,27.035,27.65,4080532,2020-11-11
27.46,28.66,27.0,27.82,3784233,2020-11-12
28.29,29.74,28.19,29.38,4180024,2020-11-13
30.25,30.5,29.29,30.14,7126379,2020-11-16
30.58,32.99,30.11,32.74,6365683,2020-11-17
32.14,33.092,31.88,32.06,3137042,2020-11-18
31.73,33.45,31.67,33.33,2885903,2020-11-19
33.81,34.74,33.36,34.71,4301244,2020-11-20
35.59,36.68,35.04,36.11,7431700,2020-11-23
36.97,38.0,36.22,37.27,4826332,2020-11-24
36.33,37.67,35.71,37.15,3242444,2020-11-25
37.26,37.26,35.92,36.0,3072740,2020-11-27
36.09,36.31,35.0571,35.38,5305288,2020-11-30
36.055,36.8,34.81,35.55,3638009,2020-12-01
34.79,37.2,34.41,37.1,3292351,2020-12-02
37.5,39.75,37.42,38.79,3291426,2020-12-03
39.0,39.92,38.66,39.13,2599761,2020-12-04
39.05,39.45,38.89,39.33,1973279,2020-12-07
38.61,39.815,38.555,38.71,2104252,2020-12-08
38.79,39.6181,38.43,39.03,1561886,2020-12-09
39.02,39.97,38.1,39.66,1785421,2020-12-10
39.78,39.78,37.95,38.14,2060605,2020-12-11
38.91,39.8545,38.06,38.4,2126404,2020-12-14
38.83,40.42,38.43,40.35,1899240,2020-12-15
40.32,41.09,39.59,40.21,5102332,2020-12-16
41.0,42.88,40.55,42.75,3456693,2020-12-17
42.54,42.91,41.5,41.83,2958984,2020-12-18
40.12,42.4,40.06,41.88,2013014,2020-12-21
42.0,42.52,41.21,42.39,2070076,2020-12-22
42.3,43.0499,41.86,42.63,1421858,2020-12-23
42.63,42.75,41.77,42.41,914680,2020-12-24
42.65,44.08,42.178,43.07,1487396,2020-12-28
43.15,43.56,41.96,43.11,2235193,2020-12-29
44.15,44.55,43.08,43.75,1987915,2020-12-30
42.0,42.98,41.5839,42.0,6737456,2020-12-31
44.75,44.75,40.33,40.59,4898548,2021-01-04
40.6,41.24,40.49,41.11,3398928,2021-01-05
40.29,44.03,40.25,42.7,38737002,2021-01-06
43.97,45.61,43.61,44.78,3397852,2021-01-07
44.96,45.77,44.3,45.09,2906910,2021-01-08
44.84,45.73,44.06,45.53,1992178,2021-01-11
45.29,46.67,44.9,46.54,1596672,2021-01-12
46.06,46.79,45.55,45.56,1658443,2021-01-13
46.08,46.5,43.5,43.61,2296948,2021-01-14
43.13,43.745,41.87,42.85,3002736,2021-01-15
42.6,43.32,41.5,42.58,3143586,2021-01-19
42.87,43.89,42.5,43.58,1846953,2021-01-20
44.99,45.364,43.6,43.64,2949619,2021-01-21
42.97,44.79,42.81,44.34,1867161,2021-01-22
43.8,44.55,42.13,43.22,2212111,2021-01-25
43.91,43.97,41.45,42.45,2365697,2021-01-26
41.07,42.5,40.45,40.91,3402518,2021-01-27
41.8,43.35,41.5008,42.56,2319669,2021-01-28
43.02,43.19,41.0501,41.66,2826281,2021-01-29
42.13,42.26,40.535,41.65,2112652,2021-02-01
41.73,43.0,41.73,42.73,2504485,2021-02-02
44.75,45.96,42.5,43.81,7448499,2021-02-03
44.11,46.77,44.01,45.56,4461623,2021-02-04
45.96,46.98,45.15,46.1,2300872,2021-02-05
46.18,47.09,45.54,46.56,2098717,2021-02-08
45.97,46.97,44.6,44.62,3009171,2021-02-09
44.81,45.71,43.85,45.19,2103838,2021-02-10
45.48,46.62,45.04,45.54,1538967,2021-02-11
44.88,46.05,44.64,46.01,2030033,2021-02-12
46.31,47.65,45.99,46.76,2760892,2021-02-16
46.8,46.8,44.75,45.86,1666284,2021-02-17
45.08,45.49,43.46,44.24,2485211,2021-02-18
44.74,45.915,44.37,45.89,2933158,2021-02-19
45.7,48.325,45.38,47.19,3162681,2021-02-22
46.59,47.25,44.59,46.86,2679662,2021-02-23
46.68,48.7,46.1442,47.79,2269020,2021-02-24
47.61,48.295,45.91,46.6,1838358,2021-02-25
46.86,47.45,45.24,46.67,1907545,2021-02-26
47.71,48.82,47.5,48.26,1452825,2021-03-01
47.91,48.52,47.49,47.92,1179225,2021-03-02
48.11,49.06,47.8,47.93,1532821,2021-03-03
48.0,48.88,44.88,46.44,2222046,2021-03-04
46.77,47.9178,44.253,47.7,1438519,2021-03-05
48.52,52.96,48.48,52.39,4831582,2021-03-08
52.34,54.36,51.595,53.57,2814107,2021-03-09
53.3,54.1,52.65,53.86,2404867,2021-03-10
54.0,54.43,53.03,54.26,1818323,2021-03-11
54.0,54.89,53.575,54.06,1420392,2021-03-12
54.37,56.94,54.35,56.64,1817395,2021-03-15
56.12,56.12,54.01,55.65,1962046,2021-03-16
55.84,56.9,55.32,56.34,1761569,2021-03-17
57.0,58.58,55.17,55.54,2955488,2021-03-18
55.39,56.79,54.0,55.19,2178093,2021-03-19
54.94,55.1599,52.86,53.29,2331759,2021-03-22
52.65,53.02,48.95,49.43,3446562,2021-03-23
50.48,51.9058,47.83,48.15,2671771,2021-03-24
46.5,49.86,45.7,49.3,2807528,2021-03-25
50.17,51.31,48.41,50.18,2186384,2021-03-26
49.75,50.31,46.85,47.31,2073241,2021-03-29
47.57,50.01,47.17,49.83,1680847,2021-03-30
49.95,51.48,49.78,51.0,1840417,2021-03-31
51.2,51.5,49.22,49.38,2238248,2021-04-01
50.1,50.72,48.6,50.2,1901290,2021-04-05
50.43,51.51,50.11,50.4,1432546,2021-04-06
50.36,51.1299,49.62,50.74,1461465,2021-04-07
50.52,52.44,49.76,52.18,2890562,2021-04-08
52.65,53.835,51.71,53.53,1648767,2021-04-09
53.0,54.42,52.79,53.9,1214926,2021-04-12
53.36,53.515,50.84,52.82,2459181,2021-04-13
52.78,54.02,52.4,52.51,868568,2021-04-14
53.21,54.63,52.54,53.6,2050845,2021-04-15
54.03,54.24,52.56,53.83,1580043,2021-04-16
53.24,53.55,51.88,52.18,1361935,2021-04-19
51.75,52.09,49.54,50.63,1423377,2021-04-20
50.08,52.43,49.84,52.36,2834848,2021-04-21
53.02,54.31,52.46,52.54,1983551,2021-04-22
53.15,54.11,52.65,53.8,921240,2021-04-23
53.73,54.88,52.57,52.82,978867,2021-04-26
53.02,55.5,53.02,55.31,2281407,2021-04-27
55.0,56.48,54.65,55.28,1023232,2021-04-28
55.99,56.31,54.38,55.37,1200941,2021-04-29
55.02,55.73,54.65,55.08,1108149,2021-04-30
56.66,58.05,56.22,57.41,1890964,2021-05-03
57.04,57.84,55.89,57.56,1510828,2021-05-04
58.2,59.35,58.165,58.74,1012154,2021-05-05
58.8,58.8,56.4322,57.53,1054991,2021-05-06
57.32,59.53,57.0,59.5,1208416,2021-05-07
59.4,59.6,56.61,56.75,1248055,2021-05-10
55.61,56.05,53.11,55.58,1662335,2021-05-11
55.0,55.73,52.4,52.66,1886982,2021-05-12
53.16,54.93,52.62,53.68,1609274,2021-05-13
53.98,56.97,53.58,56.86,1711310,2021-05-14
56.83,58.1,55.95,57.88,1794784,2021-05-17
58.39,58.99,56.71,56.79,2036082,2021-05-18
55.83,55.86,54.38,55.07,1680409,2021-05-19
55.62,55.69,52.16,53.61,4068983,2021-05-20
54.06,54.5,52.32,52.34,2594634,2021-05-21
52.75,53.69,51.85,53.15,3080880,2021-05-24
53.92,54.93,52.57,52.94,3545949,2021-05-25
53.04,55.48,52.3022,54.6,5089231,2021-05-26
55.06,56.615,54.63,56.41,2524965,2021-05-27
56.7,57.19,55.56,56.71,2302077,2021-05-28
57.35,57.43,55.82,56.27,1583663,2021-06-01
56.11,56.4,53.68,54.52,2702741,2021-06-02
53.87,54.31,53.26,53.69,1593318,2021-06-03
53.8,54.27,51.96,53.85,1765624,2021-06-04
54.19,55.0,53.77,54.93,1091616,2021-06-07
54.84,56.0,54.16,55.85,1306298,2021-06-08
55.79,55.96,54.48,54.55,1107587,2021-06-09
54.85,55.415,52.96,53.26,1688268,2021-06-10
54.0,55.94,53.68,55.9,1278557,2021-06-11
55.69,56.3094,53.91,54.44,1842749,2021-06-14
54.57,55.0,53.45,54.83,1092835,2021-06-15
