open,high,low,close,volume,Date
377.0,383.17,375.25,382.92,145848,2020-01-02
378.66,383.38,378.66,381.92,171966,2020-01-03
377.96,384.0,377.96,384.0,245979,2020-01-06
383.01,390.0,381.97,388.49,157425,2020-01-07
391.25,395.5,389.14,391.33,200251,2020-01-08
396.01,405.0,394.91,401.51,273525,2020-01-09
404.42,408.01,402.05,404.01,327459,2020-01-10
405.05,410.43,405.05,408.92,214442,2020-01-13
407.93,408.8,400.09,402.77,214903,2020-01-14
404.24,407.59,402.16,403.87,237172,2020-01-15
406.95,408.74,403.24,407.84,158305,2020-01-16
408.54,408.54,402.2,404.97,202182,2020-01-17
402.95,410.71,402.95,407.53,189167,2020-01-21
410.68,413.255,408.085,410.97,197935,2020-01-22
410.61,418.1,409.19,415.08,184270,2020-01-23
417.67,420.2,407.13,409.3,144031,2020-01-24
400.61,406.385,400.04,403.75,173773,2020-01-27
404.68,411.02,402.3,408.94,231139,2020-01-28
410.65,413.865,408.734,409.35,195862,2020-01-29
405.86,411.36,403.9459,409.89,244809,2020-01-30
397.58,409.61,390.01,402.38,411266,2020-01-31
405.04,417.88,405.04,415.83,305915,2020-02-03
420.02,426.98,417.96,421.58,352922,2020-02-04
421.68,422.43,405.76,410.81,235043,2020-02-05
412.77,415.0,408.68,413.72,203710,2020-02-06
413.41,418.17,410.675,417.6,147808,2020-02-07
416.37,421.14,414.36,419.72,232644,2020-02-10
421.0,421.0,410.29,411.75,171796,2020-02-11
411.5,413.87,405.82,410.57,157733,2020-02-12
409.0,420.54,409.0,418.09,205490,2020-02-13
420.0,425.21,417.05,424.58,142949,2020-02-14
423.96,430.76,419.87,430.55,192254,2020-02-18
434.32,436.69,430.24,431.78,191096,2020-02-19
430.0,430.77,413.3059,420.12,225014,2020-02-20
416.46,416.46,402.58,409.48,300467,2020-02-21
391.28,405.99,391.28,402.71,290635,2020-02-24
407.35,408.97,387.28,390.38,220002,2020-02-25
390.38,398.91,384.5301,390.36,249753,2020-02-26
378.1,389.11,366.1,366.1,456738,2020-02-27
357.85,380.42,351.99,376.03,634293,2020-02-28
380.68,387.18,371.12,387.06,284247,2020-03-02
388.38,394.14,367.151,372.61,305869,2020-03-03
380.64,392.745,377.15,391.57,239499,2020-03-04
381.93,389.745,377.17,380.4,217379,2020-03-05
369.11,370.885,345.32,357.93,404520,2020-03-06
330.65,339.43,315.242,315.86,390026,2020-03-09
325.37,336.64,311.89,336.56,450855,2020-03-10
326.84,333.46,306.36,314.54,319335,2020-03-11
293.2,298.69,274.6,279.13,623651,2020-03-12
294.03,304.03,255.7,303.55,496269,2020-03-13
250.0,294.16,238.04,240.68,842229,2020-03-16
247.27,251.4,212.94,245.69,559436,2020-03-17
226.23,234.33,177.65,212.0,596725,2020-03-18
210.71,254.0,202.25,244.78,502445,2020-03-19
