open,high,low,close,volume,Date
159.51,162.57,159.1,162.57,449928,2020-01-02
161.62,164.4,160.8,164.0,497359,2020-01-03
162.69,167.14,162.3331,167.0,504659,2020-01-06
167.4,168.63,165.85,168.5,462215,2020-01-07
169.1,173.67,168.99,173.0,849065,2020-01-08
175.18,178.0783,173.52,177.28,874946,2020-01-09
179.92,181.3,175.3,175.77,609260,2020-01-10
176.89,181.7,176.64,179.42,581909,2020-01-13
179.29,180.19,175.8,179.54,572451,2020-01-14
180.15,185.5,179.36,182.6,743597,2020-01-15
183.06,184.43,180.24,181.71,465633,2020-01-16
181.84,182.5,179.01,181.72,409812,2020-01-17
181.67,184.8,181.32,181.84,428508,2020-01-21
183.34,186.175,182.32,183.43,429754,2020-01-22
184.14,186.1,182.6,185.41,377346,2020-01-23
186.87,188.85,183.06,184.85,478935,2020-01-24
180.63,184.24,178.51,182.56,387152,2020-01-27
183.5,185.4077,182.45,184.41,210868,2020-01-28
185.89,185.89,182.25,182.52,335014,2020-01-29
181.07,185.48,180.75,183.91,601120,2020-01-30
183.1,183.46,178.75,180.94,335612,2020-01-31
181.0,183.63,180.1,182.91,415185,2020-02-03
184.48,186.72,184.01,185.72,471767,2020-02-04
187.78,187.78,176.74,177.18,522662,2020-02-05
177.52,179.6894,174.14,179.24,382244,2020-02-06
178.62,182.83,177.0,179.47,284590,2020-02-07
179.08,184.71,178.9,183.44,539617,2020-02-10
184.94,185.07,180.895,181.9,404445,2020-02-11
182.1,184.89,177.01,184.17,867275,2020-02-12
180.0,201.49,180.0,197.34,1818864,2020-02-13
197.15,200.44,195.58,197.78,544418,2020-02-14
196.4,198.04,193.1,196.97,485060,2020-02-18
198.15,201.375,197.34,198.53,428571,2020-02-19
197.81,200.14,190.5,194.24,441055,2020-02-20
193.41,193.45,185.01,185.93,568331,2020-02-21
175.2,181.13,171.56,180.1,917638,2020-02-24
181.35,182.4826,175.43,178.83,629880,2020-02-25
179.04,183.37,178.21,180.85,577135,2020-02-26
172.59,181.385,171.25,175.66,582695,2020-02-27
169.94,179.68,168.79,179.45,782960,2020-02-28
181.31,182.34,174.01,180.61,439417,2020-03-02
180.62,182.63,169.27,175.22,830914,2020-03-03
178.65,179.77,172.98,179.53,346076,2020-03-04
175.74,177.5,169.99,172.22,563615,2020-03-05
167.05,167.49,158.775,165.64,885094,2020-03-06
152.52,153.05,136.25,142.62,1958581,2020-03-09
146.2,149.19,140.954,147.57,995950,2020-03-10
143.76,144.31,133.94,137.31,945927,2020-03-11
127.26,129.99,120.83,122.51,1500568,2020-03-12
128.02,134.67,116.1,134.42,1214511,2020-03-13
121.0,124.2643,108.95,110.01,1289507,2020-03-16
112.82,123.98,104.3325,111.52,1678881,2020-03-17
104.66,105.66,90.835,104.71,1949875,2020-03-18
102.9,118.15,95.7495,117.0,1340811,2020-03-19
120.4,127.7,116.01,117.79,2002432,2020-03-20
117.3,119.6027,105.02,108.02,1023066,2020-03-23
113.16,129.45,112.72,129.36,1441408,2020-03-24
131.7,148.41,131.57,136.36,1952811,2020-03-25
137.64,148.67,137.64,141.89,1176993,2020-03-26
136.9,137.165,130.57,131.73,1533143,2020-03-27
132.12,139.885,130.33,139.28,661269,2020-03-30
138.15,142.01,131.74,133.19,959998,2020-03-31
127.5,129.655,124.25,125.1,1126782,2020-04-01
122.81,124.4,112.21,116.86,1963390,2020-04-02
116.43,121.415,110.575,113.26,1111068,2020-04-03
119.19,125.42,119.19,122.47,683650,2020-04-06
129.28,135.3,123.36,127.37,1222611,2020-04-07
130.19,139.79,129.0,139.52,863333,2020-04-08
142.71,154.09,136.135,141.9,1468709,2020-04-09
141.9,142.99,135.24,142.59,787279,2020-04-13
146.97,149.77,141.16,143.02,865290,2020-04-14
137.5,139.085,133.23,134.98,922141,2020-04-15
136.57,137.87,133.465,136.03,816573,2020-04-16
141.14,150.21,141.13,146.08,1038256,2020-04-17
144.15,149.13,140.905,142.41,720711,2020-04-20
139.3,142.0737,133.89,134.84,840687,2020-04-21
136.53,144.4599,136.53,141.03,583131,2020-04-22
140.54,142.36,137.155,139.78,470908,2020-04-23
141.0,147.42,139.86,145.35,490709,2020-04-24
145.89,152.795,144.12,151.99,633929,2020-04-27
154.91,156.24,147.425,155.01,774264,2020-04-28
158.4,170.29,158.05,169.66,1318145,2020-04-29
168.81,173.295,166.15,168.63,1091186,2020-04-30
163.52,165.0,154.29,160.56,1267165,2020-05-01
158.09,161.985,154.21,159.94,612535,2020-05-04
161.15,172.65,161.15,171.42,811212,2020-05-05
173.5,179.055,173.285,175.21,1161352,2020-05-06
180.0,194.97,180.0,188.53,1807123,2020-05-07
189.02,190.79,183.81,184.25,1085132,2020-05-08
180.0,185.24,179.141,183.54,1801787,2020-05-11
184.2,185.875,175.32,179.25,847822,2020-05-12
179.37,182.73,170.05,175.92,714940,2020-05-13
173.58,181.17,167.6521,181.03,523598,2020-05-14
179.86,187.47,178.65,183.62,869794,2020-05-15
189.9,193.98,186.38,188.02,502120,2020-05-18
187.65,193.87,187.65,188.66,487984,2020-05-19
192.0,195.18,188.96,190.86,356319,2020-05-20
190.94,192.83,187.88,190.45,283424,2020-05-21
191.18,196.5,190.03,194.29,384023,2020-05-22
197.84,200.78,189.81,190.3,524000,2020-05-26
