open,high,low,close,volume,Date
98.12,98.12,96.72,97.96,188500,2020-01-02
96.5,97.51,95.96,97.33,191051,2020-01-03
96.69,96.97,95.93,96.82,250114,2020-01-06
96.5,97.15,96.06,96.35,254713,2020-01-07
96.51,97.34,96.36,96.85,321249,2020-01-08
97.44,98.73,96.45,98.48,463283,2020-01-09
98.51,98.61,97.07,97.79,268609,2020-01-10
97.92,97.92,96.69,97.17,343810,2020-01-13
99.0,100.99,97.97,99.14,695399,2020-01-14
99.04,100.85,98.78,99.27,594019,2020-01-15
100.05,100.5,98.91,99.11,510349,2020-01-16
99.56,99.84,98.37,98.76,266111,2020-01-17
98.4,98.76,96.57,96.92,480342,2020-01-21
97.52,98.14,96.36,96.72,744105,2020-01-22
96.2,96.71,95.02,96.37,489731,2020-01-23
96.62,96.98,94.32,95.25,530993,2020-01-24
93.43,94.56,92.94,93.58,322945,2020-01-27
93.94,95.12,93.41,94.3,412780,2020-01-28
94.37,94.65,93.27,93.35,515007,2020-01-29
92.79,94.19,92.34,93.93,585107,2020-01-30
97.48,99.72,91.11,91.49,925140,2020-01-31
91.91,93.99,91.79,92.5,708763,2020-02-03
94.03,94.92,93.39,94.16,444667,2020-02-04
95.09,97.9,95.01,97.51,388802,2020-02-05
97.64,97.7,94.03,94.09,519972,2020-02-06
93.39,94.05,92.76,92.79,265935,2020-02-07
92.35,92.74,91.23,91.85,403321,2020-02-10
92.21,93.5,91.93,92.71,365376,2020-02-11
93.31,93.74,92.59,93.3,362810,2020-02-12
92.77,93.52,92.23,93.0,367704,2020-02-13
93.13,93.29,91.83,92.7,310288,2020-02-14
92.21,92.78,91.02,91.33,289371,2020-02-18
91.57,93.08,91.57,92.54,299783,2020-02-19
91.95,93.68,91.95,92.38,271590,2020-02-20
91.79,92.25,91.26,91.83,371881,2020-02-21
88.66,89.5,86.91,87.21,611440,2020-02-24
87.35,87.84,81.65,81.93,579125,2020-02-25
82.49,82.74,78.79,78.84,581033,2020-02-26
76.85,79.8,75.28,76.22,683514,2020-02-27
73.65,75.99,73.47,75.94,975098,2020-02-28
76.31,76.63,73.0,76.54,875081,2020-03-02
76.23,77.98,72.11,73.07,475698,2020-03-03
74.43,76.04,73.43,76.03,594825,2020-03-04
73.79,73.79,70.51,71.42,679221,2020-03-05
