open,high,low,close,volume,Date
48.2,48.41,47.64,48.27,2145612,2020-01-02
47.46,47.92,47.42,47.9,2127757,2020-01-03
47.24,47.63,47.01,47.53,3313628,2020-01-06
47.27,47.54,47.07,47.08,2025872,2020-01-07
47.23,47.93,47.12,47.46,2549060,2020-01-08
47.49,47.66,47.27,47.42,1598514,2020-01-09
47.44,47.85,47.12,47.28,1934838,2020-01-10
47.4,47.84,47.33,47.76,2597326,2020-01-13
47.73,47.8,47.34,47.56,1997327,2020-01-14
47.55,48.02,47.46,48.01,2700291,2020-01-15
48.24,48.91,48.21,48.9,3335923,2020-01-16
49.21,49.5,49.0,49.09,2353277,2020-01-17
48.89,49.43,48.89,49.32,2311985,2020-01-21
49.5,49.9,49.23,49.29,2017977,2020-01-22
49.03,49.56,48.84,49.41,2405619,2020-01-23
49.41,49.52,48.21,48.55,2834957,2020-01-24
47.73,48.56,47.25,47.96,2189354,2020-01-27
48.27,48.89,48.01,48.73,1767625,2020-01-28
49.0,49.08,47.97,48.0,1685076,2020-01-29
47.57,48.72,47.56,48.69,1978421,2020-01-30
48.52,48.57,47.29,47.52,2796533,2020-01-31
47.78,48.51,47.77,48.2,1872019,2020-02-03
49.0,49.17,48.69,49.09,1615970,2020-02-04
49.41,49.935,49.14,49.9,2087584,2020-02-05
50.0,50.06,49.44,49.53,2092654,2020-02-06
49.19,49.33,48.54,48.81,2470423,2020-02-07
48.62,49.66,48.62,49.65,3332632,2020-02-10
46.3,48.04,45.15,47.53,8008200,2020-02-11
47.9,48.02,46.7,47.06,2739695,2020-02-12
46.78,46.82,46.21,46.49,5013961,2020-02-13
46.26,46.45,45.38,45.61,4298575,2020-02-14
45.43,45.65,44.98,45.55,2354752,2020-02-18
45.6,45.8,45.0,45.03,1594754,2020-02-19
44.86,45.46,44.63,45.4,2093611,2020-02-20
45.07,45.37,44.94,45.18,2480155,2020-02-21
44.02,45.25,44.02,45.1,4675580,2020-02-24
45.13,45.23,44.01,44.3,5313618,2020-02-25
44.5,45.05,44.11,44.33,5367975,2020-02-26
43.57,44.59,42.86,43.1,4975711,2020-02-27
41.96,42.53,40.48,41.32,6453773,2020-02-28
41.59,43.39,41.48,43.35,4842986,2020-03-02
43.19,44.5,42.44,43.17,5081916,2020-03-03
43.83,45.25,43.56,45.19,2996940,2020-03-04
44.03,44.77,43.43,43.94,3824210,2020-03-05
42.68,42.82,41.09,42.1,4037459,2020-03-06
39.27,40.23,38.59,39.04,4787356,2020-03-09
40.33,40.87,38.29,40.82,4067465,2020-03-10
39.87,41.16,39.15,39.53,5259061,2020-03-11
36.88,39.94,35.86,37.38,7411673,2020-03-12
38.87,40.04,36.81,39.79,6812127,2020-03-13
36.3,38.3,34.77,35.14,5921587,2020-03-16
35.89,37.6,34.14,36.39,5464818,2020-03-17
34.4,35.41,32.31,33.61,4571245,2020-03-18
33.28,34.06,31.59,32.58,3639091,2020-03-19
32.62,32.62,29.26,29.47,5973384,2020-03-20
29.32,30.08,27.04,27.53,6273731,2020-03-23
28.71,31.84,28.68,31.62,5726101,2020-03-24
31.76,35.35,31.55,34.12,5396996,2020-03-25
34.18,36.1,34.09,35.7,5241770,2020-03-26
34.32,35.2,33.57,34.65,6443592,2020-03-27
34.75,35.56,34.06,35.27,3976578,2020-03-30
34.78,35.26,34.34,34.57,5034876,2020-03-31
33.07,34.17,32.87,33.2,4561580,2020-04-01
32.83,33.49,32.01,33.01,4024800,2020-04-02
33.41,33.54,32.18,32.41,4647758,2020-04-03
34.21,35.55,33.83,35.38,5637770,2020-04-06
37.03,38.29,36.91,37.41,5582675,2020-04-07
37.87,39.73,37.62,39.54,4781725,2020-04-08
39.68,40.9,39.68,40.37,3166091,2020-04-09
40.11,40.16,38.98,39.41,3309970,2020-04-13
40.11,40.37,39.08,39.71,3648990,2020-04-14
38.49,39.11,37.85,38.23,3293408,2020-04-15
38.22,39.28,37.72,39.09,4543551,2020-04-16
40.13,40.75,39.02,39.99,4563728,2020-04-17
39.23,39.94,38.84,39.05,3190237,2020-04-20
38.1,39.02,38.04,38.46,3064139,2020-04-21
39.23,39.52,38.47,39.25,3163859,2020-04-22
39.69,40.57,39.41,39.68,2995161,2020-04-23
39.9,40.24,39.37,40.05,3715641,2020-04-24
40.52,41.82,40.43,41.53,2747476,2020-04-27
42.18,42.92,41.65,41.72,4197882,2020-04-28
43.59,43.93,40.93,41.5,5899844,2020-04-29
40.98,41.78,40.84,41.04,4245356,2020-04-30
40.14,40.6,39.78,40.04,3075890,2020-05-01
39.62,39.94,39.33,39.84,3467240,2020-05-04
39.87,41.07,39.87,40.82,4067564,2020-05-05
40.99,41.48,40.61,41.29,3098042,2020-05-06
41.67,42.35,41.47,41.55,2775964,2020-05-07
41.83,42.45,41.83,42.14,3792203,2020-05-08
41.62,41.82,41.27,41.54,2398100,2020-05-11
41.55,41.7,40.13,40.15,2546162,2020-05-12
39.88,40.13,39.21,39.86,3383521,2020-05-13
39.34,41.43,38.98,41.39,3682589,2020-05-14
41.03,42.85,40.7,42.72,3177611,2020-05-15
44.1,44.83,43.98,44.43,5549077,2020-05-18
44.5,45.95,44.36,45.16,3446490,2020-05-19
45.77,47.13,45.77,45.92,3652260,2020-05-20
45.79,46.27,44.9,44.94,3347690,2020-05-21
45.13,45.15,44.45,44.82,2935074,2020-05-22
46.14,47.3,46.1,46.79,3912798,2020-05-26
47.32,47.71,46.49,47.07,4110318,2020-05-27
47.86,47.89,46.66,46.83,2353297,2020-05-28
45.6,46.79,45.54,46.65,3856841,2020-05-29
46.74,46.8,46.23,46.7,2194581,2020-06-01
46.92,47.63,46.74,47.5,2972918,2020-06-02
47.94,48.85,47.85,48.56,2594824,2020-06-03
48.33,48.51,47.68,47.8,3240243,2020-06-04
49.0,49.05,48.33,48.63,4219030,2020-06-05
48.53,49.21,48.12,48.31,2921455,2020-06-08
47.74,48.31,47.51,47.84,2448307,2020-06-09
47.88,48.17,47.02,47.76,2522843,2020-06-10
46.44,46.97,45.51,45.53,3340408,2020-06-11
46.72,46.79,44.63,45.79,2863574,2020-06-12
44.74,47.04,44.44,47.03,2850678,2020-06-15
48.76,49.21,47.33,48.33,3151043,2020-06-16
48.59,49.12,48.28,48.38,3485129,2020-06-17
48.26,48.6,47.94,48.26,2951721,2020-06-18
49.25,49.25,47.47,48.49,7482156,2020-06-19
48.25,49.37,47.74,49.21,3887539,2020-06-22
49.82,50.1,49.07,49.1,3314429,2020-06-23
48.76,49.17,47.68,47.73,2572639,2020-06-24
47.6,48.82,47.58,48.7,3286420,2020-06-25
48.6,48.77,47.83,48.3,4512308,2020-06-26
48.82,49.46,48.35,48.88,2481384,2020-06-29
48.85,50.48,48.61,50.21,3501283,2020-06-30
50.44,50.44,49.2,49.65,2276439,2020-07-01
50.26,50.96,49.82,50.14,2163106,2020-07-02
51.04,51.18,50.08,50.34,2511411,2020-07-06
50.09,50.78,49.88,50.02,2116766,2020-07-07
49.96,50.55,49.65,50.19,2176163,2020-07-08
50.12,50.25,49.31,49.69,1848533,2020-07-09
49.86,50.02,49.32,49.8,1674334,2020-07-10
50.12,50.98,49.88,49.95,2411508,2020-07-13
50.02,51.07,49.79,51.03,3162178,2020-07-14
51.6,51.83,51.21,51.53,2431267,2020-07-15
51.66,52.4,51.56,52.34,1838479,2020-07-16
52.54,53.41,52.38,53.31,2402762,2020-07-17
53.1,53.61,52.86,53.42,2166739,2020-07-20
53.84,53.99,53.55,53.9,1651819,2020-07-21
53.85,55.25,53.8,55.15,1744830,2020-07-22
55.36,55.36,53.98,54.3,2341883,2020-07-23
54.35,54.38,53.81,54.1,1806552,2020-07-24
54.02,56.03,54.02,55.89,2190669,2020-07-27
