open,high,low,close,volume
65.5,70.74,64.84,69.0,23791556
73.2,80.0,71.03,75.5,13263830
76.58,77.4008,72.57,74.84,3099535
76.15,82.44,75.7,80.81,3557344
82.4,83.4,75.1,75.37,2721944
76.58,77.89,75.41,75.41,811964
76.37,76.98,70.11,75.29,1901542
73.38,74.5,71.66,72.0,1230048
72.33,73.0,67.75,70.93,2526201
70.32,76.58,69.25,73.98,2600317
74.44,75.43,70.12,70.87,818909
70.07,70.485,65.56,69.29,2125286
69.29,71.94,68.31,69.02,1797504
68.6,68.9,62.01,65.4,3230956
62.28,77.25,61.5,74.81,5735793
71.61,74.56,70.25,71.76,3071109
71.76,72.59,64.27,66.42,4605783
68.51,71.23,67.4801,70.48,1543400
67.99,70.77,65.2,68.0,1543689
68.4,74.65,67.82,73.26,2029663
71.0,75.06,70.99,72.46,1381165
74.0,78.86,74.0,75.4,1282875
77.07,83.99,76.84,78.75,2107257
80.4,88.62,79.91,85.12,2852859
85.5,87.8099,80.22,84.0,1790008
84.19,86.0,82.67,85.0,1173809
85.49,88.4199,82.21,83.54,1828986
84.99,90.0,78.56,79.82,2344785
80.73,83.1091,77.54,80.81,1019989
80.02,82.3,77.76,81.0,881967
79.8,79.99,73.52,73.52,1571900
75.0,79.26,73.8,75.75,1828911
76.75,77.01,70.63,73.88,2469832
75.2,77.36,72.9,76.0,3033833
69.89,74.94,68.63,68.71,7334658
67.75,74.1,67.0,74.03,11847126
73.39,73.5,70.52,71.5,3487932
71.98,72.03,68.91,69.8,3666521
69.51,72.4,69.37,70.0,4126444
69.0,70.0,67.8,69.77,4763569
68.5,70.92,68.1,70.0,3834952
69.7,70.4,69.08,69.75,3175374
69.51,69.63,67.4,69.32,1746055
69.0,70.19,69.0,69.85,3710622
68.7,69.89,67.25,69.25,3643276
69.5,69.85,68.07,69.05,2191491
69.05,69.77,68.1601,69.77,2773107
69.78,72.9,69.38,71.28,7147206
70.51,70.51,66.0,68.9,7943386
69.02,69.0782,67.68,67.93,3116479
67.99,68.4,66.1809,67.38,3229734
67.38,68.13,66.55,66.55,1512602
66.65,66.79,63.86,64.75,3322877
65.41,67.55,64.88,66.61,2532275
64.0,68.5,63.65,68.38,3806949
68.41,69.6,67.09,68.49,2374350
