open,high,low,close,volume,Date
214.86,214.86,209.83,211.5,1012596,2020-01-02
210.0,210.782,206.53,209.4,708716,2020-01-03
207.27,213.79,205.68,212.77,1473069,2020-01-06
214.06,216.2,211.096,215.87,1121459,2020-01-07
215.62,216.6,211.15,211.32,1003377,2020-01-08
212.6,219.62,210.1,218.46,1356198,2020-01-09
217.95,218.26,207.09,207.63,2169721,2020-01-10
208.49,215.93,203.15,215.51,1555938,2020-01-13
214.97,225.2499,214.04,223.36,1345449,2020-01-14
223.13,224.1632,219.565,221.06,735430,2020-01-15
221.83,223.6699,218.2204,223.28,616909,2020-01-16
224.59,229.7,222.3,222.39,848006,2020-01-17
222.34,224.3899,219.52,221.23,887619,2020-01-21
223.92,228.16,222.3146,223.87,910236,2020-01-22
223.0,228.49,221.27,225.85,505922,2020-01-23
226.29,227.2,219.2042,221.11,520889,2020-01-24
216.43,217.46,213.01,213.93,782430,2020-01-27
216.19,222.64,214.84,220.74,668332,2020-01-28
223.33,224.7469,219.93,220.42,409199,2020-01-29
218.0,223.103,217.01,219.49,332166,2020-01-30
218.74,218.74,208.34,208.75,729273,2020-01-31
210.51,212.94,208.0,208.62,702400,2020-02-03
212.31,216.88,211.285,214.06,499506,2020-02-04
217.84,221.91,217.84,220.28,538722,2020-02-05
219.78,220.22,217.1106,218.65,437952,2020-02-06
218.06,219.81,215.28,215.96,330257,2020-02-07
214.91,230.49,214.82,227.84,1213295,2020-02-10
229.03,236.84,226.21,236.51,1052575,2020-02-11
237.0,241.98,236.52,241.53,992090,2020-02-12
240.0,243.4,237.81,238.65,774226,2020-02-13
239.03,240.5915,233.15,238.18,468517,2020-02-14
246.4,254.97,245.87,252.1,1187812,2020-02-18
255.37,256.2748,249.21,249.63,741226,2020-02-19
247.7,252.4,243.52,245.77,657356,2020-02-20
243.31,245.39,234.471,236.45,988800,2020-02-21
222.01,228.4,217.02,218.44,1126514,2020-02-24
222.03,224.0,210.39,211.77,962461,2020-02-25
212.97,219.0902,207.85,210.1,666079,2020-02-26
202.42,207.99,192.03,192.5,1287551,2020-02-27
184.8,189.64,177.3,181.4,1880331,2020-02-28
182.22,193.05,175.68,192.96,1448685,2020-03-02
193.24,199.74,182.01,183.44,1072724,2020-03-03
185.77,191.13,181.78,190.04,894270,2020-03-04
183.85,184.345,170.63,174.81,1372321,2020-03-05
169.05,176.63,161.12,167.22,1629996,2020-03-06
150.52,157.99,147.275,147.79,1411236,2020-03-09
155.66,155.66,140.07,146.07,1473099,2020-03-10
141.16,142.386,122.4301,126.24,2244665,2020-03-11
116.1,119.96,101.0,107.76,2511282,2020-03-12
117.38,123.5,105.5401,123.12,1884052,2020-03-13
105.1,113.38,93.29,94.0,2285460,2020-03-16
96.13,102.89,89.84,92.94,1958005,2020-03-17
83.96,93.39,78.06,81.34,1940875,2020-03-18
80.36,95.34,74.3,91.83,2560900,2020-03-19
93.4,95.34,80.05,82.13,1957951,2020-03-20
82.04,82.83,73.1359,80.43,2045938,2020-03-23
88.47,104.76,87.1301,104.06,2469719,2020-03-24
107.15,115.4609,96.48,106.12,2625633,2020-03-25
109.93,113.5,102.69,108.14,2165063,2020-03-26
101.91,113.0,97.11,110.93,1855697,2020-03-27
111.4,121.9031,109.99,118.0,3332264,2020-03-30
100.63,112.0,98.56,100.47,4947358,2020-03-31
94.6,98.33,86.41,88.63,2450030,2020-04-01
88.25,99.3,87.1125,89.11,1914287,2020-04-02
89.42,92.5,84.61,86.19,1752031,2020-04-03
93.6,104.03,92.1,103.84,2560412,2020-04-06
110.56,113.0,99.75,105.08,1674918,2020-04-07
106.21,115.33,105.08,112.28,1702290,2020-04-08
115.96,126.22,115.57,122.65,2062939,2020-04-09
119.68,129.09,116.62,128.42,1380209,2020-04-13
135.03,138.82,129.21,130.79,1610001,2020-04-14
124.0,126.48,120.57,122.87,1225719,2020-04-15
124.25,125.5179,119.0,121.9,1093809,2020-04-16
128.07,132.66,127.325,129.87,919979,2020-04-17
125.99,130.4599,123.1,124.51,1360667,2020-04-20
120.5,124.5,118.6,119.79,768737,2020-04-21
123.26,127.75,122.6425,127.43,778091,2020-04-22
125.98,130.4,124.14,125.19,1075218,2020-04-23
126.33,134.503,125.225,132.84,1237059,2020-04-24
136.43,144.99,135.833,144.58,1432595,2020-04-27
151.03,152.36,143.7401,148.94,1486592,2020-04-28
150.71,159.45,149.45,154.82,1098486,2020-04-29
152.22,152.22,143.78,143.78,941180,2020-04-30
138.98,141.5761,134.03,137.46,1047374,2020-05-01
132.54,143.35,129.11,142.28,865775,2020-05-04
150.0,151.4,143.18,143.28,1120325,2020-05-05
147.68,147.83,141.5,147.0,710861,2020-05-06
150.26,152.39,149.36,151.52,664218,2020-05-07
154.79,161.33,153.08,159.95,808268,2020-05-08
158.68,167.274,156.62,164.12,1089304,2020-05-11
165.5,166.6,156.14,156.4,961225,2020-05-12
156.3,157.98,143.788,146.61,1427271,2020-05-13
143.25,151.1,138.42,150.24,1211205,2020-05-14
148.0,156.77,145.96,154.63,807162,2020-05-15
161.46,176.23,161.46,174.88,1583271,2020-05-18
173.59,178.53,169.7,173.66,1008336,2020-05-19
180.04,182.2,173.75,174.32,1093006,2020-05-20
174.2,193.35,172.98,189.04,2220262,2020-05-21
187.9,199.249,185.38,198.15,1579796,2020-05-22
207.99,209.76,194.0,198.31,2606567,2020-05-26
201.44,210.805,195.92,208.57,1666121,2020-05-27
210.89,217.02,205.01,210.26,1488763,2020-05-28
215.05,221.25,210.72,216.89,1572722,2020-05-29
215.43,216.8,208.81,212.57,980280,2020-06-01
233.83,249.74,228.3,248.26,3488249,2020-06-02
251.56,257.69,242.9,255.26,2063701,2020-06-03
253.08,265.87,244.53,248.41,2453435,2020-06-04
261.01,265.0,235.3651,246.21,2575215,2020-06-05
250.0,257.31,248.09,253.92,1243548,2020-06-08
245.88,257.05,245.15,252.01,1173267,2020-06-09
251.52,253.2599,241.63,244.54,1020484,2020-06-10
232.3,238.6774,227.01,229.62,1321129,2020-06-11
238.86,243.45,226.82,235.82,933707,2020-06-12
229.0,249.955,229.0,245.8,1013142,2020-06-15
257.0,257.42,245.845,254.9,1205026,2020-06-16
253.84,259.55,249.91,251.82,755263,2020-06-17
250.12,259.5,249.665,254.26,759339,2020-06-18
258.59,261.75,245.21,250.12,955820,2020-06-19
251.17,257.06,247.5292,254.3,593250,2020-06-22
259.0,265.83,254.0,255.11,803421,2020-06-23
251.75,254.49,242.21,249.72,731302,2020-06-24
249.41,255.65,246.12,254.25,603906,2020-06-25
255.2,258.51,252.93,254.24,1266023,2020-06-26
253.64,255.74,246.5,252.94,540700,2020-06-29
253.28,256.0,247.14,248.9,664500,2020-06-30
250.29,264.46,248.76,259.66,1114800,2020-07-01
265.0,268.0,251.24,255.33,693200,2020-07-02
260.0,263.18,256.76,259.3,653500,2020-07-06
256.7,263.2,255.99,257.53,609500,2020-07-07
258.89,269.21,257.51,265.34,1008200,2020-07-08
264.94,266.89,256.53,260.59,741300,2020-07-09
261.03,262.38,257.94,261.23,510200,2020-07-10
263.41,275.63,258.4,258.43,1100300,2020-07-13
257.76,267.51,254.1,267.22,569300,2020-07-14
273.32,280.74,269.57,279.9,1003900,2020-07-15
278.92,287.51,275.6,281.89,928700,2020-07-16
285.06,286.46,279.03,285.63,526600,2020-07-17
284.61,287.66,277.0,280.28,492668,2020-07-20
282.76,285.75,280.0,281.13,392768,2020-07-21
280.1,286.49,280.1,285.03,427822,2020-07-22
285.7,288.45,277.855,282.93,496909,2020-07-23
280.0,286.68,277.02,284.65,520142,2020-07-24
284.65,292.525,282.03,291.86,366960,2020-07-27
291.08,292.6941,278.13,278.81,417240,2020-07-28
281.8,287.27,281.03,285.36,358226,2020-07-29
281.7,291.4,281.7,289.7,394600,2020-07-30
291.0,291.46,282.15,287.43,335520,2020-07-31
290.0,305.195,289.12,293.89,627114,2020-08-03
293.47,296.64,288.19,294.12,445769,2020-08-04
297.44,301.03,294.21,300.78,327957,2020-08-05
300.42,304.2957,298.16,302.3,276233,2020-08-06
303.09,317.605,303.09,311.33,650056,2020-08-07
313.0,316.867,305.97,311.64,404924,2020-08-10
314.28,314.28,302.78,304.5,390606,2020-08-11
306.91,312.2299,306.36,310.21,294204,2020-08-12
308.31,322.95,308.31,315.0,409571,2020-08-13
315.87,318.93,312.25,313.97,413416,2020-08-14
316.32,320.77,314.2,314.57,383986,2020-08-17
317.48,328.74,315.1196,321.47,596812,2020-08-18
326.37,328.62,319.23,322.9,409472,2020-08-19
315.96,326.31,315.6,324.03,337025,2020-08-20
323.15,327.87,316.87,321.11,382901,2020-08-21
326.28,327.76,317.5683,323.34,323496,2020-08-24
322.77,323.9951,313.1,319.06,440924,2020-08-25
319.09,324.66,319.0,324.62,399683,2020-08-26
324.47,329.09,319.0,326.31,577803,2020-08-27
329.64,335.54,327.32,331.54,495603,2020-08-28
331.22,333.2,324.66,330.55,519135,2020-08-31
333.75,345.46,332.5,340.84,594397,2020-09-01
343.23,345.24,327.0,335.86,621073,2020-09-02
332.46,334.78,308.3601,320.04,677483,2020-09-03
320.85,325.9999,292.0,316.73,687858,2020-09-04
313.09,327.02,310.3,311.94,781412,2020-09-08
314.15,324.15,312.0,321.08,1260682,2020-09-09
398.05,410.4899,381.4601,385.46,5230207,2020-09-10
388.25,392.05,367.8,381.45,1267462,2020-09-11
387.99,389.94,367.7,380.53,982509,2020-09-14
384.25,385.56,368.235,374.24,496780,2020-09-15
378.86,395.0,375.74,381.54,791906,2020-09-16
373.77,383.5082,371.51,379.54,441934,2020-09-17
384.33,386.0,371.05,378.42,1174906,2020-09-18
367.6,372.93,361.75,371.97,603240,2020-09-21
373.46,381.69,368.325,371.96,607212,2020-09-22
371.47,373.9,352.41,352.66,707881,2020-09-23
352.99,360.17,345.67,351.2,624765,2020-09-24
350.0,355.25,341.0546,354.59,412955,2020-09-25
363.61,363.9799,354.74,361.06,384160,2020-09-28
372.71,385.01,369.19,375.32,746267,2020-09-29
376.5,388.3,376.5,382.62,644435,2020-09-30
384.95,387.99,373.01,379.28,507953,2020-10-01
369.26,388.36,369.26,384.74,474805,2020-10-02
383.92,387.95,372.22,379.36,613735,2020-10-05
379.83,380.66,361.79,361.98,522803,2020-10-06
368.81,379.46,368.43,377.72,409649,2020-10-07
378.9,379.55,370.28,376.08,380758,2020-10-08
379.7,384.9,369.27,371.46,432072,2020-10-09
373.8,375.0,361.8749,365.46,452163,2020-10-12
368.04,393.5864,364.795,390.85,702889,2020-10-13
394.15,404.77,385.55,389.34,574105,2020-10-14
384.78,391.4999,381.94,389.65,364535,2020-10-15
390.82,398.74,384.7825,385.3,300919,2020-10-16
375.22,380.33,362.0,373.43,879781,2020-10-19
372.13,376.51,365.49,366.02,576468,2020-10-20
368.71,373.145,362.63,363.0,544344,2020-10-21
365.89,379.6,363.0,378.74,600377,2020-10-22
379.0,395.797,374.1201,394.08,640787,2020-10-23
387.5,391.0712,363.26,365.2,575591,2020-10-26
367.92,374.855,362.69,363.97,423264,2020-10-27
357.24,360.29,351.55,353.6,444616,2020-10-28
356.07,365.57,351.0,351.97,359503,2020-10-29
349.0,351.58,330.64,335.23,562344,2020-10-30
338.63,343.705,335.0,341.13,411019,2020-11-02
348.69,361.98,346.1,359.74,422537,2020-11-03
365.61,386.0,364.84,376.98,614997,2020-11-04
384.5,394.86,382.915,389.44,480723,2020-11-05
386.94,394.72,383.85,388.82,307641,2020-11-06
391.41,395.0,370.21,371.54,1203929,2020-11-09
371.54,387.0,366.9291,379.74,514978,2020-11-10
380.45,410.31,380.13,409.86,1035636,2020-11-11
415.25,439.7599,391.24,393.75,1401737,2020-11-12
397.0,415.455,394.36,408.08,556354,2020-11-13
408.44,424.4619,400.96,407.79,555463,2020-11-16
406.76,420.83,402.24,420.0,485789,2020-11-17
420.0,430.33,412.85,414.79,473421,2020-11-18
416.84,436.2,416.361,432.78,491943,2020-11-19
437.5,442.737,433.7,438.92,525832,2020-11-20
440.0,446.5,434.01,440.68,494121,2020-11-23
448.31,448.31,435.58,438.6,369429,2020-11-24
441.55,453.9499,428.89,449.45,562434,2020-11-25
451.45,462.92,451.01,462.92,445091,2020-11-27
465.31,467.37,436.86,453.16,660658,2020-11-30
457.82,457.87,442.75,453.9,388228,2020-12-01
449.19,462.53,442.9533,454.43,359999,2020-12-02
