open,high,low,close,volume,Date
135.99,137.33,133.58,137.1,9941860,2020-01-02
134.51,138.89,134.0,137.51,8645170,2020-01-03
136.26,144.55,135.7548,143.37,14432742,2020-01-06
144.01,144.23,137.91,138.19,11779530,2020-01-07
137.11,137.9299,132.85,134.64,11314840,2020-01-08
135.67,138.77,131.24,133.79,12642458,2020-01-09
132.64,133.0,128.1,128.4,13453463,2020-01-10
130.23,135.0,126.3,133.93,18365417,2020-01-13
134.04,137.13,131.12,133.42,11165066,2020-01-14
132.87,136.0599,132.1301,132.5,7642676,2020-01-15
132.87,134.27,128.4001,131.07,11227325,2020-01-16
131.25,131.6,128.38,130.38,9173506,2020-01-17
132.15,137.5,131.23,136.63,12734870,2020-01-21
137.52,140.5,132.31,132.43,11829947,2020-01-22
132.18,134.99,129.55,134.07,8818755,2020-01-23
133.92,135.66,128.79,130.09,8488058,2020-01-24
127.53,128.5165,123.78,126.21,9239393,2020-01-27
127.3,130.29,125.01,129.61,8173072,2020-01-28
130.44,131.8,128.62,128.88,5818648,2020-01-29
127.56,130.88,126.8,130.64,4472493,2020-01-30
129.1,129.53,120.35,120.95,16948043,2020-01-31
123.9,129.48,123.2,127.5,10128884,2020-02-03
129.1,132.79,128.77,131.03,7994370,2020-02-04
133.46,133.51,125.02,125.94,8797366,2020-02-05
126.4,129.02,124.2333,126.16,6425818,2020-02-06
126.3,127.6013,123.9,124.25,5447809,2020-02-07
124.99,133.37,124.8,132.21,13483879,2020-02-10
135.71,142.45,134.1,137.0,19907973,2020-02-11
140.28,141.3,137.03,138.29,12578188,2020-02-12
139.5,141.71,138.36,139.05,20641428,2020-02-13
149.19,151.2,127.4,130.25,63567842,2020-02-14
131.66,133.55,125.24,127.15,19482375,2020-02-18
129.22,131.6,126.4,126.56,17247330,2020-02-19
127.25,127.79,121.12,124.08,15397007,2020-02-20
122.95,123.75,118.24,119.38,12571066,2020-02-21
110.3,118.0,108.05,116.99,16435534,2020-02-24
119.48,120.4899,113.06,118.67,14532957,2020-02-25
118.29,119.36,112.33,112.71,9769336,2020-02-26
106.88,115.2,105.5685,110.03,15852128,2020-02-27
107.0,114.12,106.0,113.67,12392755,2020-02-28
115.49,116.16,111.33,114.67,9298131,2020-03-02
113.98,114.75,106.42,108.62,11612323,2020-03-03
110.01,110.45,105.6531,109.61,8881232,2020-03-04
108.2,110.0765,105.66,106.44,8623366,2020-03-05
104.35,105.3,98.6,102.02,11841524,2020-03-06
91.0,101.95,90.4,96.26,10503215,2020-03-09
101.06,101.06,92.75,97.3,9694177,2020-03-10
96.38,97.35,89.15,90.63,8764425,2020-03-11
80.65,86.6399,78.8,78.81,13580474,2020-03-12
82.71,83.48,74.25,80.95,11943993,2020-03-13
74.7,76.47,63.59,63.84,14455803,2020-03-16
60.3,75.79,58.22,69.46,24859201,2020-03-17
64.785,74.85,61.5,67.5,19466494,2020-03-18
69.47,75.5414,67.2201,74.12,13199827,2020-03-19
76.52,80.08,73.16,76.13,13755047,2020-03-20
77.37,90.44,74.77,89.46,18705860,2020-03-23
96.5,101.78,92.1001,97.2,17774347,2020-03-24
97.85,100.0,88.88,94.85,15629748,2020-03-25
93.2,96.437,87.0,89.75,15247800,2020-03-26
87.4,89.5,83.13,87.45,9820742,2020-03-27
88.95,90.8498,86.15,89.61,7899543,2020-03-30
89.16,94.7,87.08,87.48,9175507,2020-03-31
84.98,86.5,81.64,82.42,8694551,2020-04-01
81.41,84.6218,80.75,82.53,5268774,2020-04-02
82.28,83.34,79.38,81.46,4738109,2020-04-03
83.71,90.44,83.5,89.49,7148433,2020-04-06
92.85,93.68,86.56,87.8,6192990,2020-04-07
88.9004,92.15,87.52,87.81,6446886,2020-04-08
90.1,94.1016,89.13,92.45,7271763,2020-04-09
92.5,96.8,91.07,96.56,8648443,2020-04-13
107.99,108.6,102.42,106.53,22987861,2020-04-14
102.42,114.32,101.97,113.0,18210721,2020-04-15
117.0,132.4,115.1,128.0,38289480,2020-04-16
123.68,128.01,118.559,126.8,20691751,2020-04-17
127.85,135.47,127.35,130.04,18823122,2020-04-20
131.75,132.74,118.1201,123.56,19014497,2020-04-21
124.43,125.732,119.25,122.19,12271221,2020-04-22
123.0,128.4,122.2132,123.06,11360861,2020-04-23
124.86,126.02,121.64,124.83,7635995,2020-04-24
126.3,130.36,125.32,128.63,6580570,2020-04-27
126.05,127.26,118.5101,119.36,13001587,2020-04-28
119.185,122.86,116.65,119.52,8984944,2020-04-29
119.165,124.5,118.6993,121.23,8027682,2020-04-30
119.55,122.0,111.3601,114.02,9717854,2020-05-01
113.46,124.33,112.69,124.3,14551633,2020-05-04
126.3,126.77,121.77,123.49,9657805,2020-05-05
123.54,128.95,122.51,127.52,10567091,2020-05-06
131.2,138.79,130.28,137.5,22127781,2020-05-07
125.57,133.67,124.345,126.66,29648136,2020-05-08
125.02,132.88,124.6,132.18,14463853,2020-05-11
132.69,134.98,126.6801,127.16,11524266,2020-05-12
128.28,128.55,114.6,117.56,18672264,2020-05-13
117.5,120.7,115.06,116.6,12161100,2020-05-14
115.82,116.79,112.48,112.93,9708498,2020-05-15
114.53,120.09,114.5169,118.45,9362843,2020-05-18
118.87,119.99,115.03,116.02,6676783,2020-05-19
118.5,119.92,114.2494,117.04,8665556,2020-05-20
116.36,116.56,112.0701,114.7,7704453,2020-05-21
111.63,114.4,107.62,108.51,11992019,2020-05-22
110.21,111.6607,107.3,107.59,8255852,2020-05-26
107.34,109.09,101.56,106.56,7960772,2020-05-27
105.63,110.84,104.88,109.2,7472425,2020-05-28
109.85,112.12,107.31,109.51,6830394,2020-05-29
109.1653,114.2,108.4,112.95,6974119,2020-06-01
113.72,114.38,108.87,110.82,6356971,2020-06-02
111.0,111.35,103.9,103.96,13477493,2020-06-03
104.0,107.75,101.8,102.93,11763664,2020-06-04
103.95,104.5,100.19,104.38,10496236,2020-06-05
105.53,113.02,103.97,112.95,9120362,2020-06-08
112.44,115.17,108.6009,113.25,9760459,2020-06-09
114.49,116.28,110.22,113.8,8123735,2020-06-10
108.69,114.92,106.24,106.95,8314027,2020-06-11
108.81,110.16,105.3,108.07,7460366,2020-06-12
107.17,107.64,103.94,107.49,5940034,2020-06-15
109.81,120.85,107.7,120.81,17193425,2020-06-16
119.48,123.1,115.78,117.32,14462364,2020-06-17
117.75,129.19,117.73,127.79,19343497,2020-06-18
128.17,132.17,124.75,128.5,18937186,2020-06-19
129.5,134.81,128.51,129.78,13285637,2020-06-22
131.0,132.42,127.325,127.88,8997654,2020-06-23
127.13,129.9288,120.42,123.35,8242087,2020-06-24
123.0,125.0,120.57,123.6,4810116,2020-06-25
124.82,126.55,120.26,122.55,7984056,2020-06-26
122.4,123.2092,112.11,115.05,12073777,2020-06-29
115.1,117.87,113.88,116.53,5845926,2020-06-30
117.3,129.44,116.35,128.39,15001927,2020-07-01
128.47,132.5,125.195,128.65,12158069,2020-07-02
130.86,135.97,128.66,132.03,10413884,2020-07-06
131.69,135.81,129.4,130.42,7459207,2020-07-07
131.88,135.14,130.7,133.76,6409951,2020-07-08
136.5,149.98,136.28,149.69,25310442,2020-07-09
147.82,159.88,147.26,153.05,24628668,2020-07-10
158.99,166.184,147.42,149.06,18541467,2020-07-13
149.51,156.364,142.147,150.36,12712257,2020-07-14
150.98,155.88,147.59,154.21,9203160,2020-07-15
152.72,157.28,149.48,153.31,8910191,2020-07-16
150.99,153.71,147.95,148.36,6528409,2020-07-17
148.78,151.63,146.58,150.46,6132738,2020-07-20
152.78,159.06,150.22,153.36,9356505,2020-07-21
153.53,156.0,150.82,152.17,3576100,2020-07-22
152.22,158.47,148.04,150.16,7138757,2020-07-23
147.244,153.1,145.17,151.17,4891509,2020-07-24
153.34,156.58,151.55,155.97,5140619,2020-07-27
154.39,155.95,148.5,148.75,5496831,2020-07-28
150.0,154.42,149.2001,151.57,4599213,2020-07-29
150.16,154.02,149.24,150.35,3458186,2020-07-30
153.61,158.27,151.1203,154.89,8087277,2020-07-31
158.36,163.42,156.62,161.82,8886606,2020-08-03
164.23,168.15,163.305,166.44,8704308,2020-08-04
164.85,169.14,163.75,165.42,12796111,2020-08-05
159.57,160.5,150.0503,153.87,19647035,2020-08-06
154.45,164.73,153.39,156.39,15904116,2020-08-07
157.42,157.79,147.5558,150.41,6280343,2020-08-10
149.28,152.25,143.21,146.41,5630840,2020-08-11
151.45,153.85,146.66,146.98,10277180,2020-08-12
148.6185,152.005,146.81,149.97,5544661,2020-08-13
150.85,152.5,146.2,146.85,3854973,2020-08-14
147.77,148.27,143.36,145.71,4868264,2020-08-17
147.3,152.19,146.51,149.85,5945820,2020-08-18
149.0,150.8899,146.1727,147.37,4333671,2020-08-19
147.31,151.89,146.42,148.89,4492910,2020-08-20
148.95,150.5608,146.6,147.13,3544280,2020-08-21
149.5,149.7,145.6,148.58,4350896,2020-08-24
148.0,148.715,145.86,147.77,3577572,2020-08-25
151.61,167.17,151.1301,164.28,17714783,2020-08-26
162.59,166.15,157.86,160.97,7424980,2020-08-27
162.0,177.54,161.5,172.85,26709825,2020-08-28
172.51,175.5101,168.06,173.48,10227085,2020-08-31
176.9965,185.44,176.63,179.27,10575667,2020-09-01
183.76,183.76,171.03,178.32,8279562,2020-09-02
172.18,176.48,165.08,166.9,8175479,2020-09-03
165.0,167.42,150.38,159.91,7218555,2020-09-04
155.0842,170.44,155.0,162.63,11271261,2020-09-08
166.07,166.8,159.08,161.18,6125401,2020-09-09
162.24,168.6,158.9326,159.44,5310831,2020-09-10
160.7528,161.5,152.62,155.46,5037086,2020-09-11
157.06,160.2,155.4,157.73,5009864,2020-09-14
162.715,170.4399,161.77,168.52,10223589,2020-09-15
168.0,174.19,167.71,169.99,8092496,2020-09-16
165.86,168.1323,161.3601,164.67,6320792,2020-09-17
