open,high,low,close,volume
48.0,50.02,42.8201,43.65,5471014
44.01,51.16,43.75,49.87,2939035
50.0,53.0,49.0,49.56,2003334
51.49,54.42,50.5,54.3,1944132
53.94,55.88,53.1,54.51,2244272
54.3,54.98,53.58,54.93,249945
54.77,54.96,54.0,54.82,196569
54.22,54.61,51.835,52.63,163022
53.45,53.45,49.6,53.0,228151
53.0,53.0786,51.5001,51.92,86576
50.54,51.34,50.42,50.72,74932
51.14,51.93,50.5,51.56,292400
52.0,54.95,51.45,54.74,328628
54.8,56.15,54.3,56.13,573954
56.22,57.5,55.9801,57.03,300448
57.17,58.48,57.03,58.13,206789
58.23,59.98,58.23,59.9,467153
59.9,60.02,59.3515,60.0,571852
58.73,59.5,56.7001,57.82,425484
57.8,60.62,57.8,59.73,269018
59.77,62.45,59.471,61.85,408880
61.49,63.9786,61.095,63.55,457283
64.06,64.71,61.33,63.52,425480
63.0,64.66,62.61,64.05,312173
64.17,64.23,62.91,63.08,94806
63.5,63.5,61.66,63.0,419497
62.98,64.38,62.98,64.1,348576
64.12,64.69,62.89,62.99,292737
61.25,61.55,58.05,58.46,334736
58.99,59.825,55.89,59.41,339405
58.92,59.57,56.49,57.28,288359
56.98,58.48,56.64,57.01,334031
58.22,58.22,55.27,56.6,381370
56.71,57.7,55.1,55.98,408330
55.0,55.338,53.5027,54.05,248663
54.0,56.57,53.33,56.0,193308
56.45,56.74,54.14,55.21,121477
55.87,56.54,54.14,55.12,104267
55.14,56.69,54.5,56.21,188576
56.05,56.54,52.84,54.02,304043
54.14,54.67,52.22,52.27,134947
52.49,55.42,50.5,53.55,309834
54.0,54.18,52.33,53.52,149026
53.12,54.51,53.01,53.66,86133
54.11,56.95,53.65,56.62,170393
56.84,59.3699,56.15,58.52,134328
58.63,58.9871,56.6,57.58,122798
57.0,57.345,53.71,55.05,159282
55.5,56.7923,53.25,53.3,137640
53.49,54.04,52.65,52.86,155015
51.6,53.0,50.5,50.63,374349
50.85,52.85,50.85,50.9,291557
51.36,52.5502,50.775,51.65,333653
51.72,52.1,50.56,51.15,70200
51.16,52.158,50.7069,51.71,63826
51.77,52.335,48.21,48.46,249692
48.69,50.345,47.2,49.5,390734
44.9,46.63,43.0,45.0,841716
45.71,45.71,41.64,42.8,455364
42.94,45.15,42.8,45.0,178133
45.27,45.56,44.1,44.5,208397
44.0,44.32,42.76,43.11,256270
42.42,43.7495,42.0401,42.84,224639
42.81,43.76,42.22,43.16,155239
43.06,44.24,42.11,42.35,156959
42.22,43.44,42.17,43.36,102518
43.46,45.47,43.4,44.15,159380
44.5,47.16,44.17,46.68,236111
46.79,47.405,46.0,47.1,141009
46.87,47.04,44.27,44.63,217355
44.3,45.835,44.28,45.64,105266
46.0,46.0,44.5,44.89,115534
44.99,44.99,44.05,44.48,139204
44.61,46.98,44.42,46.38,170854
46.67,46.86,46.05,46.74,137359
46.37,47.29,46.36,46.88,96213
47.06,47.44,45.72,46.26,293824
46.36,46.89,44.81,45.05,180576
45.32,46.06,45.11,45.81,170795
46.24,47.35,46.0,46.65,227536
47.1,47.1,45.0,46.2,143319
46.19,47.0,45.7,46.0,165464
46.3,46.95,45.5,46.75,598093
46.37,47.969,46.07,46.68,314344
46.34,47.21,44.55,44.82,1759536
43.69,44.35,41.83,42.61,300468
43.0,43.84,42.69,42.7,359907
42.71,43.63,42.15,42.22,478091
42.51,43.54,42.04,43.02,199916
42.92,43.0058,41.19,41.29,168026
40.12,41.0,39.79,40.11,271394
39.74,40.875,39.6,40.55,248622
40.77,41.22,39.3,39.62,194312
39.75,40.55,38.4,38.64,196051
38.65,39.54,37.75,39.0,276421
39.1,39.1,37.75,38.02,133322
38.37,38.37,36.515,36.75,199702
36.35,36.63,35.43,36.0,312966
36.11,36.8797,35.64,35.86,312001
36.1,36.1,34.61,34.74,158017
34.35,34.84,33.15,33.25,171803
33.51,33.8824,33.12,33.4,121198
33.55,34.9868,33.48,34.76,159880
34.99,37.1871,34.69,36.59,243819
38.75,39.46,37.5,38.4,319089
38.3,39.315,37.71,38.61,172732
38.63,39.9,38.26,39.62,174044
39.84,39.9899,38.8,39.23,174458
39.42,41.0,39.39,39.73,231192
39.53,39.8674,37.56,38.75,210146
39.03,40.85,39.03,39.56,181528
39.85,40.0,37.8,38.32,122198
38.32,39.3299,37.87,37.87,132277
37.87,39.6,37.83,39.32,125320
39.21,39.67,38.5653,38.94,125495
38.16,39.4,37.59,39.09,210334
39.1,40.83,38.89,39.76,205239
39.51,39.96,39.06,39.35,66163
40.07,42.9198,40.0,42.25,395875
42.63,43.67,41.37,43.6,366972
43.91,46.62,43.0,46.32,678673
48.69,48.69,41.76,42.74,835584
42.65,45.409,42.2646,43.5,583464
43.57,45.49,43.57,44.92,255957
45.26,47.27,44.52,46.71,780528
47.0,48.89,46.3838,47.75,252817
47.65,48.74,47.4521,48.55,185325
48.08,48.75,46.73,46.86,338990
47.04,47.26,41.23,41.24,473529
40.68,40.78,36.405,36.85,729639
36.7,36.9,32.96,33.2,662844
33.37,35.11,32.605,35.04,306115
34.61,37.47,34.0058,37.33,346130
36.28,37.49,35.74,36.0,121960
36.59,36.99,35.39,35.92,291270
35.54,35.89,32.66,32.86,389843
33.7,34.84,31.73,32.05,180294
32.0,34.92,32.0,34.79,319465
34.83,35.2169,31.71,32.09,466229
32.01,32.47,30.655,31.36,235000
32.34,33.865,32.3264,33.26,306159
33.34,33.87,32.345,33.09,230369
32.64,33.19,31.31,31.46,195939
31.81,32.18,30.69,30.93,149950
30.66,31.735,29.34,29.86,357180
29.44,29.85,28.66,29.04,408484
28.81,29.32,27.77,28.8,379005
29.29,29.8,28.0,28.21,265421
27.49,28.7,26.8501,27.89,548810
27.63,29.12,27.03,28.67,335955
28.81,30.65,28.405,30.38,232241
30.35,31.165,30.23,30.91,192845
31.2,31.8,30.215,31.0,308071
31.37,32.775,30.71,31.5,251315
31.4,31.65,29.87,30.12,109612
30.0,30.0,28.492,28.87,106428
28.72,30.305,28.72,29.69,194339
29.7,30.24,29.45,29.5,109040
29.89,30.835,28.99,30.5,203558
30.75,30.79,27.36,28.32,331597
28.2,28.6,25.82,26.5,354747
26.4,27.55,25.68,26.82,429499
26.88,27.41,26.41,26.76,295472
26.47,28.65,25.75,28.55,538570
28.55,30.17,28.21,29.34,287985
30.06,30.93,29.27,30.21,272563
30.54,31.465,29.89,29.91,589288
29.48,30.0,28.44,29.55,373461
29.03,29.9744,28.79,28.83,300253
29.31,30.35,28.88,29.78,236237
30.39,32.0,30.11,30.28,308205
29.89,30.21,28.49,28.62,361752
27.84,32.26,27.461,31.79,609369
30.85,31.47,29.465,30.17,564712
30.73,32.09,30.16,30.6,372488
31.18,31.8,28.65,28.74,269465
28.69,30.38,28.07,30.22,280100
30.64,33.195,30.64,33.14,337748
33.14,34.0,32.05,33.26,265004
33.39,33.39,30.72,30.91,143986
29.18,29.92,28.54,29.02,191770
29.12,31.65,28.92,31.47,117759
31.46,32.56,30.47,30.74,224117
30.41,32.23,30.35,31.89,128026
32.39,32.64,31.01,32.4,210167
31.51,33.845,31.1902,32.57,249385
32.76,33.75,31.17,31.45,135022
31.83,34.7098,31.83,33.63,348415
34.04,34.97,32.66,34.31,353016
33.06,33.06,26.4,27.39,1136477
27.15,28.2066,25.83,25.92,640679
25.82,28.42,25.58,28.1,1771472
27.44,28.05,26.12,26.69,527831
27.16,27.71,26.54,27.36,365239
26.07,28.55,26.06,28.49,285381
28.34,28.66,26.76,28.65,273812
28.45,30.56,28.37,29.61,376524
29.31,29.935,28.155,28.26,259854
28.46,28.46,26.53,27.76,212546
27.9,28.03,25.81,26.29,398205
26.08,26.405,22.45,22.76,688431
18.755,24.6808,18.57,23.89,2046508
22.24,26.7,21.715,25.67,852638
26.31,27.14,25.49,25.69,464377
24.93,26.06,24.39,25.89,341828
26.04,26.5,24.745,24.87,383510
25.76,28.46,25.16,25.75,1190345
25.3,27.25,25.0712,27.14,644226
27.19,29.53,26.77,28.96,1092079
28.48,30.69,28.335,29.31,852421
28.0,28.695,25.87,26.5,4058980
26.51,27.395,25.91,26.63,841302
26.69,27.38,26.45,26.62,847815
26.35,27.42,25.755,26.31,475197
26.47,26.9,25.0,26.44,679201
26.48,26.52,25.54,25.87,228165
25.78,26.69,24.86,25.85,244379
26.33,27.72,25.855,27.33,551157
27.2,28.11,26.81,27.18,353546
26.95,27.12,25.51,25.62,310339
25.98,27.3,25.87,26.56,339573
26.6,27.78,26.6,27.52,440706
27.27,27.27,25.99,26.54,219466
26.2,26.56,25.22,26.26,300119
26.39,26.79,25.52,26.33,325166
26.27,26.27,25.01,25.92,302939
25.67,26.64,25.22,26.46,280957
26.8,27.4,25.71,25.99,309001
25.43,25.96,24.51,25.08,372683
24.95,25.06,23.51,23.52,300775
23.35,23.35,22.14,22.58,331418
22.56,23.71,22.22,23.09,563336
22.95,23.02,21.27,21.32,387313
21.59,22.48,20.64,20.91,354800
20.94,21.91,20.51,20.87,330533
20.03,21.59,19.78,21.38,490273
21.3,21.3,20.15,20.32,438424
20.2,21.3,19.57,20.18,418939
20.86,21.405,19.96,21.19,457848
21.05,21.61,19.9,19.97,362061
19.85,21.22,19.4,21.21,358718
20.82,21.94,20.55,21.71,453288
21.73,22.17,20.435,21.89,435916
21.69,21.69,19.73,20.0,560147
19.83,20.015,18.51,18.85,532886
18.41,18.72,15.36,15.5,613066
15.91,16.7,14.7601,16.49,1436370
16.49,16.5499,14.43,14.44,1204204
16.42,21.55,16.42,21.44,3663642
22.2,23.32,20.72,22.91,1402759
22.84,23.46,21.2,21.33,675395
21.57,22.25,20.29,21.4,538782
20.85,21.45,19.8705,20.3,615045
20.08,22.01,19.96,21.18,566454
21.5,21.81,20.5,21.71,377423
21.74,21.75,20.57,20.81,526843
20.09,20.58,18.88,19.58,559595
19.57,20.54,19.38,20.26,272904
20.35,21.11,19.96,20.34,399308
20.78,21.47,20.43,20.75,405367
20.87,20.87,19.91,20.59,1128982
20.18,21.41,19.83,20.2,524814
20.31,21.99,20.31,21.37,516451
20.97,21.14,20.08,20.26,341943
20.86,20.86,19.95,20.23,393840
19.83,20.58,19.67,20.31,482941
20.28,21.51,20.23,21.3,420053
