open,high,low,close,volume,Date
84.0,84.5,81.95,83.26,1417316,2020-01-02
81.61,83.52,81.3,82.96,551610,2020-01-03
82.37,86.96,82.275,86.94,1038135,2020-01-06
86.97,87.2,85.41,85.73,971075,2020-01-07
86.23,87.42,86.0,86.22,949214,2020-01-08
86.0,86.44,85.175,85.37,983576,2020-01-09
85.92,86.1941,84.78,85.16,1118782,2020-01-10
89.04,98.975,88.63,95.97,4248951,2020-01-13
95.72,98.95,94.34,96.87,1878212,2020-01-14
96.74,96.86,93.15,94.0,1565189,2020-01-15
94.05,97.34,94.04,96.91,1053392,2020-01-16
97.55,97.87,95.2,95.6,1229586,2020-01-17
96.89,101.275,96.52,98.25,1809244,2020-01-21
99.95,102.8,99.66,101.42,1704908,2020-01-22
101.22,103.24,100.6,102.8,1389034,2020-01-23
103.22,103.53,97.25,98.1,1330027,2020-01-24
95.28,97.31,93.56,95.97,1446948,2020-01-27
96.6,99.98,96.51,99.42,887011,2020-01-28
100.56,104.1704,99.23,103.48,1433448,2020-01-29
101.84,105.1671,101.19,104.75,1508469,2020-01-30
103.8,104.61,99.46,101.71,1001956,2020-01-31
102.69,103.3,101.39,101.99,891430,2020-02-03
103.92,107.45,103.42,107.15,1588673,2020-02-04
108.94,109.73,106.02,107.06,1364188,2020-02-05
107.39,110.76,106.96,108.74,1065909,2020-02-06
107.92,108.0682,105.51,105.84,1060295,2020-02-07
106.0,109.93,105.85,109.7,1027076,2020-02-10
110.5,112.09,109.85,110.43,1049804,2020-02-11
108.19,111.27,106.0,110.0,1337492,2020-02-12
109.62,113.08,108.94,112.02,1091228,2020-02-13
112.6,113.16,110.35,111.77,1089918,2020-02-14
111.0,117.87,110.8,117.24,1862178,2020-02-18
118.64,119.26,116.64,117.36,2198980,2020-02-19
117.0,117.15,111.75,115.9,1893732,2020-02-20
115.45,115.6,110.75,113.54,1581662,2020-02-21
107.5,115.71,106.05,114.26,1911919,2020-02-24
114.94,125.91,110.5,118.4,3649091,2020-02-25
120.0,120.26,113.01,116.86,3449351,2020-02-26
138.9,148.0,129.04,135.15,8974729,2020-02-27
139.7,145.0,120.15,124.96,6011328,2020-02-28
126.94,128.466,121.06,124.49,2966470,2020-03-02
124.5,124.63,119.37,123.58,2241277,2020-03-03
125.17,126.0,122.59,124.64,2351586,2020-03-04
123.4,138.07,122.76,134.33,3995304,2020-03-05
139.03,140.63,132.36,135.9,4197193,2020-03-06
125.81,136.09,120.0,133.54,2429399,2020-03-09
137.51,150.97,127.5607,146.07,5487892,2020-03-10
152.06,153.75,130.1001,137.4,6147545,2020-03-11
126.75,131.7099,117.6,118.8,3978114,2020-03-12
125.56,140.0,106.4156,127.95,5287825,2020-03-13
122.61,132.74,115.405,116.74,4458545,2020-03-16
119.96,132.78,102.01,118.24,5491997,2020-03-17
115.01,137.88,115.0,136.93,5080467,2020-03-18
140.15,148.49,132.07,139.63,4798588,2020-03-19
140.48,158.2,137.28,141.74,4083468,2020-03-20
146.48,168.0,143.79,167.44,5429752,2020-03-23
173.75,176.4,148.48,162.02,8004172,2020-03-24
159.31,160.7999,134.125,142.11,13365315,2020-03-25
148.01,160.0,143.0006,159.5,5849440,2020-03-26
157.91,170.98,156.0,164.16,3859134,2020-03-27
170.79,171.0,159.52,163.56,3623908,2020-03-30
159.86,161.9768,150.05,155.01,3186370,2020-03-31
153.5,166.85,151.1,162.53,3188159,2020-04-01
161.55,166.7499,154.47,159.32,2338325,2020-04-02
156.51,162.48,155.01,156.21,1464634,2020-04-03
150.0,151.7962,143.07,150.13,2676806,2020-04-06
143.88,147.11,138.2,141.25,3677076,2020-04-07
141.635,143.5,135.52,139.1,2797165,2020-04-08
138.27,148.25,136.405,146.66,2539442,2020-04-09
150.05,156.1099,149.16,154.13,2265749,2020-04-13
156.69,160.99,151.5631,157.33,2376397,2020-04-14
160.89,172.42,156.06,171.77,5330528,2020-04-15
166.5,174.43,165.0,174.25,3516363,2020-04-16
166.9965,174.07,165.38,173.27,3240634,2020-04-17
171.69,183.5,170.56,181.46,2844207,2020-04-20
184.76,189.465,165.6,172.39,3274505,2020-04-21
174.26,183.11,174.0,179.65,2116838,2020-04-22
181.0,189.97,179.65,187.73,2440684,2020-04-23
190.12,196.5099,187.75,193.53,2845818,2020-04-24
196.03,203.85,193.65,194.89,3630707,2020-04-27
195.61,195.81,172.68,181.15,5499995,2020-04-28
175.0,181.7498,173.0,175.1,3910973,2020-04-29
166.65,169.7899,155.25,164.59,5568160,2020-04-30
162.1,170.29,160.39,169.43,2630791,2020-05-01
170.71,175.18,167.065,174.3,2722121,2020-05-04
176.0,177.52,167.3,169.59,2442672,2020-05-05
171.18,180.13,169.62,176.01,1915076,2020-05-06
177.67,180.81,173.7,174.93,1631094,2020-05-07
175.0,178.45,168.479,176.5,2211829,2020-05-08
178.6,193.99,177.56,190.62,3257995,2020-05-11
191.88,194.36,183.7,184.15,2009192,2020-05-12
189.58,196.19,179.06,188.19,3374887,2020-05-13
185.01,185.95,172.36,179.54,5224060,2020-05-14
176.9,184.68,175.45,184.23,4279093,2020-05-15
180.5,185.55,170.18,172.2,4099906,2020-05-18
175.8,180.35,172.54,175.66,2533090,2020-05-19
177.96,179.94,168.83,171.27,2796793,2020-05-20
172.3,178.06,169.02,174.99,2330364,2020-05-21
176.34,176.34,171.22,174.18,1458141,2020-05-22
173.25,174.0,161.44,164.47,3442827,2020-05-26
158.42,162.95,147.71,162.64,4782875,2020-05-27
160.55,170.7399,160.405,166.9,2576453,2020-05-28
