open,high,low,close,volume,Date
210.99,213.76,210.99,213.74,260495,2020-01-02
211.68,214.8,210.87,213.98,302169,2020-01-03
212.03,214.99,211.725,214.99,275396,2020-01-06
214.99,216.37,213.66,214.24,312467,2020-01-07
215.13,215.99,212.82,213.11,292345,2020-01-08
215.1,217.6,214.15,217.46,191917,2020-01-09
218.12,218.49,216.0,217.43,234953,2020-01-10
218.53,221.0,217.06,220.16,172909,2020-01-13
220.23,221.595,219.01,219.92,254308,2020-01-14
220.1,222.69,219.6043,220.98,245167,2020-01-15
222.29,224.63,222.16,224.46,155015,2020-01-16
225.45,226.18,224.33,225.89,169746,2020-01-17
225.24,226.42,223.38,224.5,291997,2020-01-21
225.43,227.275,220.0,221.91,314616,2020-01-22
221.78,222.91,218.53,222.39,322854,2020-01-23
225.0,234.95,224.98,230.0,654067,2020-01-24
225.0,226.255,221.5,223.23,355393,2020-01-27
224.46,226.95,224.03,225.77,223164,2020-01-28
224.97,228.425,220.91,226.62,403244,2020-01-29
224.29,226.76,221.53,224.25,498802,2020-01-30
222.6,224.73,216.19,216.92,536719,2020-01-31
217.44,219.375,214.85,216.25,572518,2020-02-03
219.78,220.26,216.46,218.77,535253,2020-02-04
221.68,223.73,219.38,222.84,366068,2020-02-05
223.97,223.97,219.23,219.54,317848,2020-02-06
216.09,217.39,210.59,212.37,577228,2020-02-07
211.76,215.17,211.05,214.7,615197,2020-02-10
215.63,216.43,212.09,215.27,353872,2020-02-11
215.75,221.17,215.75,219.72,536443,2020-02-12
218.26,231.71,214.42,228.62,978734,2020-02-13
230.3,232.72,227.03,231.66,481385,2020-02-14
223.19,232.2,223.19,229.72,335727,2020-02-18
231.2,235.64,230.11,234.94,279586,2020-02-19
234.41,236.515,229.95,235.13,330754,2020-02-20
234.53,236.02,229.905,231.6,332852,2020-02-21
220.52,224.185,217.98,220.33,484025,2020-02-24
220.41,220.41,206.42,207.34,706674,2020-02-25
208.38,212.73,199.61,199.83,693757,2020-02-26
194.83,199.38,187.99,188.29,660694,2020-02-27
181.31,188.95,180.7,187.24,895506,2020-02-28
189.53,194.09,182.66,193.42,728162,2020-03-02
192.28,197.69,179.92,182.51,815633,2020-03-03
186.6,187.92,175.765,182.74,1241284,2020-03-04
176.6,176.6,166.57,173.19,1024696,2020-03-05
165.95,170.27,162.56,165.6,753585,2020-03-06
146.06,148.22,131.21,135.25,1437993,2020-03-09
142.47,153.64,136.68,149.39,1402599,2020-03-10
144.63,145.24,133.51,135.82,912709,2020-03-11
123.45,128.31,110.01,115.86,1304531,2020-03-12
124.85,136.71,120.125,135.3,1343651,2020-03-13
110.03,120.24,107.1,109.66,1093763,2020-03-16
112.22,121.01,100.635,118.86,1144216,2020-03-17
108.87,111.38,89.48,91.77,1099305,2020-03-18
90.1,102.38,83.0,100.42,1068944,2020-03-19
103.26,106.815,84.22,84.87,1044025,2020-03-20
84.56,86.75,71.12,83.23,1064623,2020-03-23
90.93,108.37,89.4,96.93,1317205,2020-03-24
98.83,124.78,97.175,114.65,1274319,2020-03-25
116.99,125.1,111.01,116.38,946240,2020-03-26
110.54,114.99,107.55,108.78,651540,2020-03-27
107.66,112.33,102.64,108.84,718441,2020-03-30
108.14,108.97,102.34,104.55,691752,2020-03-31
99.76,100.62,90.46,93.17,868863,2020-04-01
92.58,102.05,91.72,95.32,1045964,2020-04-02
97.22,102.68,89.44,93.83,859062,2020-04-03
98.51,104.975,98.51,102.71,843610,2020-04-06
112.24,113.8,103.92,104.93,866609,2020-04-07
108.91,117.93,105.97,116.63,571243,2020-04-08
122.0,129.94,119.3637,122.98,1193988,2020-04-09
122.15,122.15,113.37,115.41,539554,2020-04-13
118.59,119.825,111.36,112.48,696506,2020-04-14
106.51,109.0,104.18,108.74,418719,2020-04-15
110.09,110.99,102.54,106.72,454065,2020-04-16
112.8,115.39,110.48,114.69,473045,2020-04-17
109.6,115.19,106.5,109.81,580121,2020-04-20
105.2,106.76,100.53,102.43,544420,2020-04-21
105.89,107.93,102.7401,105.55,281402,2020-04-22
106.88,109.77,105.21,106.06,385457,2020-04-23
107.48,110.85,103.68,110.1,349316,2020-04-24
110.1,119.78,110.01,118.91,499618,2020-04-27
122.54,125.52,119.07,122.55,484675,2020-04-28
130.0,139.01,129.8301,137.57,841121,2020-04-29
135.41,135.41,129.34,132.32,624966,2020-04-30
126.87,127.91,123.99,127.2,531712,2020-05-01
124.86,125.97,121.99,125.83,483168,2020-05-04
129.16,132.53,127.19,128.01,397776,2020-05-05
130.63,132.41,125.94,130.15,525562,2020-05-06
134.3,143.64,132.9901,137.89,701699,2020-05-07
140.28,141.92,131.33,133.61,756588,2020-05-08
131.0,133.16,129.13,131.91,539212,2020-05-11
133.25,134.61,125.71,126.04,357183,2020-05-12
123.99,125.675,114.11,116.09,371634,2020-05-13
113.44,125.5,110.375,123.01,558403,2020-05-14
120.17,124.67,119.52,120.5,338099,2020-05-15
128.99,136.52,126.53,135.38,525676,2020-05-18
134.28,139.2,132.18,132.68,326266,2020-05-19
135.92,138.49,134.23,137.19,415663,2020-05-20
136.04,140.9,135.04,138.51,928500,2020-05-21
138.51,139.34,136.01,138.73,286985,2020-05-22
147.19,152.79,145.5,150.31,576204,2020-05-26
155.49,159.605,146.52,151.99,550195,2020-05-27
157.19,157.19,146.78,148.49,636034,2020-05-28
146.61,149.48,144.965,148.08,452202,2020-05-29
147.99,154.74,147.01,152.34,378706,2020-06-01
154.4,157.315,152.06,157.0,376106,2020-06-02
160.1,168.595,157.89,167.28,481042,2020-06-03
165.04,168.815,160.28,162.45,448110,2020-06-04
174.18,184.46,172.62,176.21,503760,2020-06-05
179.32,184.965,177.53,180.49,471134,2020-06-08
175.8,179.26,172.65,172.75,423945,2020-06-09
171.76,172.24,163.51,168.67,383964,2020-06-10
156.01,160.0,153.04,153.08,387621,2020-06-11
163.31,163.8113,153.3,158.8,302644,2020-06-12
151.03,161.3,150.67,160.18,286655,2020-06-15
170.33,172.8,162.51,167.68,503489,2020-06-16
168.04,169.41,160.81,161.27,302967,2020-06-17
159.23,180.54,159.02,171.53,2609596,2020-06-18
177.47,181.85,171.5,172.67,1907866,2020-06-19
175.23,175.99,170.405,171.36,898597,2020-06-22
174.65,176.32,172.18,173.15,874216,2020-06-23
171.82,172.25,159.26,160.14,1325957,2020-06-24
160.87,162.0,156.485,161.14,965462,2020-06-25
160.02,160.67,153.38,155.51,1481316,2020-06-26
157.63,166.03,155.62,162.66,696500,2020-06-29
161.45,165.33,158.78,165.01,666600,2020-06-30
165.33,169.25,162.59,162.83,544700,2020-07-01
166.24,168.22,159.63,159.85,411700,2020-07-02
163.74,165.13,160.19,161.02,379400,2020-07-06
160.38,162.09,156.62,156.71,383200,2020-07-07
157.81,160.91,155.65,158.06,462700,2020-07-08
158.5,158.88,152.13,154.6,585400,2020-07-09
153.88,155.64,152.26,154.37,432200,2020-07-10
155.92,157.07,151.72,152.82,593100,2020-07-13
152.03,152.78,147.56,152.55,438700,2020-07-14
157.15,166.13,156.01,165.65,616000,2020-07-15
163.32,165.86,161.08,163.6,332300,2020-07-16
164.44,164.44,160.87,163.61,379100,2020-07-17
163.29,163.65,160.64,162.49,247554,2020-07-20
163.84,165.78,163.25,164.66,265972,2020-07-21
163.83,167.75,163.57,165.97,271931,2020-07-22
164.9,167.62,162.94,164.95,328490,2020-07-23
163.99,165.66,160.92,161.6,283362,2020-07-24
161.5,164.07,159.7,163.31,281038,2020-07-27
163.0,165.66,162.45,162.79,285621,2020-07-28
164.03,171.695,163.19,170.27,582062,2020-07-29
160.0,162.39,152.6,160.03,963872,2020-07-30
160.01,160.01,155.125,158.37,411689,2020-07-31
155.89,159.58,151.56,159.09,450130,2020-08-03
158.59,162.88,158.17,161.08,197721,2020-08-04
163.04,167.115,161.35,165.78,304043,2020-08-05
166.23,169.32,164.31,168.55,326358,2020-08-06
166.01,166.16,159.38,162.81,404892,2020-08-07
162.9,164.805,162.18,163.0,223733,2020-08-10
164.97,171.9,164.97,165.51,418807,2020-08-11
167.67,168.045,162.32,164.14,345177,2020-08-12
163.37,165.54,161.12,161.91,332420,2020-08-13
161.19,163.0,160.5101,161.39,235503,2020-08-14
162.68,164.0799,160.87,161.65,285980,2020-08-17
162.05,162.74,157.03,157.3,320437,2020-08-18
157.26,159.84,157.03,157.84,222782,2020-08-19
156.11,157.71,153.79,154.05,280079,2020-08-20
154.0,154.375,151.43,152.19,347041,2020-08-21
153.55,160.46,153.11,160.18,490387,2020-08-24
161.01,161.88,156.905,158.65,282926,2020-08-25
158.72,158.95,156.285,158.0,208115,2020-08-26
159.31,164.785,158.85,162.27,299117,2020-08-27
162.4,164.62,162.08,164.04,180265,2020-08-28
163.8,163.8,159.7,159.71,286309,2020-08-31
159.1,163.91,158.13,163.46,279107,2020-09-01
163.93,169.045,161.01,168.33,342934,2020-09-02
167.61,169.76,163.33,164.66,378513,2020-09-03
165.36,166.73,155.78,159.46,314869,2020-09-04
155.75,157.93,152.92,153.24,340998,2020-09-08
155.2,155.495,151.68,153.83,238484,2020-09-09
155.0,157.99,150.545,151.18,248470,2020-09-10
151.94,151.94,145.39,147.17,371457,2020-09-11
149.07,150.3058,146.24,146.73,248971,2020-09-14
148.09,149.38,145.96,146.31,329699,2020-09-15
147.82,149.0,144.52,144.86,452525,2020-09-16
142.72,144.47,140.39,144.43,585048,2020-09-17
144.76,145.365,142.445,143.92,678623,2020-09-18
138.75,139.99,135.21,138.51,538152,2020-09-21
139.88,141.455,138.88,141.21,511156,2020-09-22
141.18,144.09,140.6,140.74,581477,2020-09-23
139.76,140.02,136.56,137.84,271229,2020-09-24
136.93,140.74,136.32,140.13,444921,2020-09-25
143.24,145.25,142.59,143.78,756868,2020-09-28
142.95,143.155,140.7001,141.24,500578,2020-09-29
140.65,144.2377,137.05,138.97,576139,2020-09-30
139.59,142.84,137.58,140.25,431500,2020-10-01
136.38,142.88,136.12,142.58,382478,2020-10-02
144.67,148.145,144.67,147.2,381449,2020-10-05
148.07,151.11,145.06,145.44,334328,2020-10-06
147.7,148.87,144.93,144.93,252070,2020-10-07
146.88,148.96,145.995,147.0,321377,2020-10-08
148.77,152.55,148.07,150.21,447846,2020-10-09
170.0,170.0,155.9,156.15,1501337,2020-10-12
154.94,156.0,151.36,152.24,405394,2020-10-13
152.01,153.46,146.705,149.4,422672,2020-10-14
146.02,149.64,145.33,149.35,275022,2020-10-15
150.3,151.31,148.23,149.83,194234,2020-10-16
150.22,152.24,146.64,147.15,482135,2020-10-19
148.78,151.16,145.46,145.53,249947,2020-10-20
145.09,146.02,142.72,143.83,275427,2020-10-21
144.81,148.93,143.18,148.27,451831,2020-10-22
149.99,150.04,145.79,146.49,386169,2020-10-23
144.48,144.48,138.35,140.04,444488,2020-10-26
140.39,142.22,137.82,138.25,385406,2020-10-27
135.0,136.38,131.3,133.58,749085,2020-10-28
128.75,130.27,124.0,126.0,1064877,2020-10-29
124.11,126.85,122.6394,126.55,517075,2020-10-30
128.49,129.97,125.75,128.01,355977,2020-11-02
