open,high,low,close,volume,Date
46.26,46.46,44.89,45.21,2183447,2020-01-02
44.72,45.625,44.31,44.72,2143934,2020-01-03
44.28,44.92,44.07,44.64,2514695,2020-01-06
44.79,46.12,44.72,45.77,2178044,2020-01-07
45.77,46.4,45.53,45.77,2738961,2020-01-08
46.19,46.37,45.36,45.78,1792018,2020-01-09
45.98,46.07,45.28,45.59,1409621,2020-01-10
45.68,46.865,45.6,46.58,1799184,2020-01-13
46.26,47.36,46.11,47.07,2837955,2020-01-14
47.08,47.92,46.58,46.68,2434917,2020-01-15
47.64,48.105,47.0,47.18,4476934,2020-01-16
47.26,48.01,47.02,47.96,3008477,2020-01-17
47.78,48.49,47.58,48.15,1573964,2020-01-21
48.2,48.84,47.93,48.09,1498948,2020-01-22
47.84,48.46,47.641,48.23,1493437,2020-01-23
48.5,49.02,47.8373,48.44,3082655,2020-01-24
47.38,47.87,46.7,47.18,2009971,2020-01-27
47.5,47.64,46.98,47.16,2070771,2020-01-28
47.59,48.03,46.92,47.73,2007200,2020-01-29
47.29,48.06,46.82,47.34,1268862,2020-01-30
47.4,47.4,45.48,46.21,1860767,2020-01-31
46.56,46.9305,45.98,46.58,1051369,2020-02-03
47.37,49.14,47.165,48.98,1612156,2020-02-04
49.44,49.71,48.67,49.11,2166504,2020-02-05
49.22,50.28,49.11,50.15,3462120,2020-02-06
50.31,51.56,49.79,50.17,2773072,2020-02-07
50.0,50.92,49.91,50.45,2055761,2020-02-10
50.67,51.75,50.47,50.83,2611653,2020-02-11
51.44,51.75,50.42,50.67,1706051,2020-02-12
50.43,52.71,50.405,51.71,3722383,2020-02-13
51.0,51.86,50.73,51.85,1319520,2020-02-14
51.77,53.24,51.5,52.28,4775065,2020-02-18
52.73,55.29,52.73,54.47,6917984,2020-02-19
62.47,66.68,61.93,63.63,19299008,2020-02-20
63.16,66.13,63.16,65.0,6756844,2020-02-21
61.09,61.45,58.51,59.69,8578559,2020-02-24
59.88,60.5,57.46,57.78,3249999,2020-02-25
57.9,59.4285,56.27,57.08,4725007,2020-02-26
55.0,57.22,54.06,54.62,3915378,2020-02-27
53.0,56.53,51.57,55.81,5709151,2020-02-28
55.84,56.29,51.97,54.4,3987146,2020-03-02
54.63,55.72,51.8,53.21,3029000,2020-03-03
54.07,54.73,53.14,54.25,1917920,2020-03-04
52.88,53.56,51.03,51.55,2322731,2020-03-05
49.94,51.115,47.76,49.35,3080644,2020-03-06
45.65,46.35,44.21,44.97,4511254,2020-03-09
46.18,46.91,41.21,45.39,4613357,2020-03-10
43.78,44.455,40.25,41.49,5098085,2020-03-11
38.0,38.36,33.615,35.53,7648397,2020-03-12
