open,high,low,close,volume,Date
46.87,47.9,46.51,47.33,1375114,2020-01-02
46.62,47.89,46.52,47.38,1166011,2020-01-03
46.9,48.96,46.81,48.7,1536130,2020-01-06
49.04,49.69,48.17,48.4,1721199,2020-01-07
48.14,51.75,47.8,50.75,3233729,2020-01-08
51.16,54.08,51.04,54.0,4280318,2020-01-09
54.0,55.35,53.95,55.0,4009450,2020-01-10
55.5,59.8,55.45,59.62,3969681,2020-01-13
59.61,59.89,57.0,59.54,3446285,2020-01-14
58.81,60.76,58.36,59.99,2909232,2020-01-15
60.01,61.84,59.76,61.82,2918778,2020-01-16
62.0,62.29,58.91,59.43,3098864,2020-01-17
59.29,61.0,58.33,60.51,2153294,2020-01-21
61.12,62.69,59.87,59.92,2726335,2020-01-22
59.99,60.38,59.0734,59.31,1825385,2020-01-23
59.7,60.45,57.13,57.8,2359443,2020-01-24
55.55,56.58,54.75,56.04,2068425,2020-01-27
56.52,56.91,56.02,56.5,1165726,2020-01-28
56.93,57.64,56.08,57.13,1360682,2020-01-29
56.91,58.2,56.51,57.69,1375663,2020-01-30
57.75,57.91,55.94,56.09,1823614,2020-01-31
56.56,57.09,55.85,56.82,951260,2020-02-03
58.19,59.63,57.68,58.88,1431662,2020-02-04
60.0,60.4,58.09,58.51,1636135,2020-02-05
59.0,59.0,57.01,58.4,1015340,2020-02-06
58.38,59.88,57.99,58.97,955861,2020-02-07
59.05,61.0,58.74,60.84,1130533,2020-02-10
61.26,61.6,59.66,60.92,1366172,2020-02-11
61.22,61.43,59.06,60.48,1569655,2020-02-12
60.09,62.255,59.9,61.9,1672221,2020-02-13
62.16,63.07,61.72,62.11,1334783,2020-02-14
62.0,65.5,61.65,63.86,2577368,2020-02-18
64.64,65.81,64.01,65.17,2236294,2020-02-19
65.47,66.5,62.55,65.18,4711048,2020-02-20
56.715,58.29,52.26,54.51,13207331,2020-02-21
50.17,53.48,50.0,51.86,3711366,2020-02-24
52.78,53.4,49.72,50.41,3310789,2020-02-25
51.0,52.12,50.75,51.33,2116682,2020-02-26
49.99,51.83,48.5,49.74,2617123,2020-02-27
48.145,52.0,48.04,51.99,3028058,2020-02-28
52.81,53.17,50.91,52.78,1990164,2020-03-02
52.66,53.15,50.2,51.33,1770991,2020-03-03
52.39,53.43,51.77,53.39,1491453,2020-03-04
52.62,53.81,52.04,53.36,1603091,2020-03-05
53.0,53.04,48.23,49.39,2984499,2020-03-06
44.95,46.4,43.62,43.94,2974613,2020-03-09
46.15,47.24,43.47,47.01,2989403,2020-03-10
45.79,46.45,42.2,42.88,3079677,2020-03-11
37.5,40.57,35.0,39.5,4014105,2020-03-12
41.96,42.14,37.28,41.89,3056041,2020-03-13
37.0,43.74,36.67,41.82,3220053,2020-03-16
40.97,47.9599,40.89,46.86,3358313,2020-03-17
44.0,50.645,44.0,50.17,4365617,2020-03-18
50.0,53.36,48.5918,51.805,3202669,2020-03-19
52.54,55.342,51.5909,53.64,4209532,2020-03-20
53.36,58.15,52.49,58.03,5662440,2020-03-23
58.55,64.28,58.45,62.14,4847225,2020-03-24
61.93,66.5,58.01,59.13,6478992,2020-03-25
60.29,62.0,59.44,60.55,3623228,2020-03-26
59.54,60.8397,57.94,58.63,3422271,2020-03-27
59.16,60.5,57.77,58.84,3802412,2020-03-30
58.5,62.33,58.29,60.86,3648192,2020-03-31
59.25,64.75,59.2,61.99,4603294,2020-04-01
61.65,64.0,59.64,61.18,3277098,2020-04-02
61.0,63.89,60.6,63.4,4136260,2020-04-03
64.76,65.0,62.15,63.31,2975255,2020-04-06
62.84,63.65,61.6,62.36,2827080,2020-04-07
62.43,65.02,62.07,64.93,2622017,2020-04-08
64.18,66.42,62.02,62.59,4588721,2020-04-09
64.01,64.04,61.88,62.17,2649826,2020-04-13
63.35,66.58,63.25,66.48,3513041,2020-04-14
65.95,70.1,65.525,69.96,4389145,2020-04-15
70.7,73.6,69.96,70.37,3440164,2020-04-16
70.41,70.41,67.8,68.0,2563803,2020-04-17
68.34,70.83,67.11,70.51,3187856,2020-04-20
70.78,71.425,64.28,65.18,5615274,2020-04-21
67.1,68.36,66.39,66.91,1815357,2020-04-22
66.0,66.8,64.86,66.24,3402131,2020-04-23
66.6,68.1,66.06,67.5,2608209,2020-04-24
68.505,71.26,68.2,70.47,2615622,2020-04-27
71.0,71.2,66.26,66.72,3035697,2020-04-28
66.71,68.07,64.9,66.63,2567522,2020-04-29
66.97,69.0,66.27,67.08,1828412,2020-04-30
66.23,67.75,65.51,66.85,1794158,2020-05-01
66.61,69.1,66.0,69.08,2026407,2020-05-04
70.0,71.67,69.66,71.23,2501268,2020-05-05
71.84,73.1,70.3,72.54,3089358,2020-05-06
73.5,75.15,73.11,74.88,2774063,2020-05-07
75.15,75.55,73.001,74.02,2091483,2020-05-08
73.99,77.5,73.66,76.96,2409006,2020-05-11
77.5,78.76,75.72,76.45,2006886,2020-05-12
76.95,78.195,73.2653,75.16,2089243,2020-05-13
73.72,75.89,73.21,75.62,2596568,2020-05-14
75.48,78.31,75.48,76.39,1855980,2020-05-15
77.87,77.87,73.5,73.81,2361886,2020-05-18
75.0,76.01,74.26,75.24,1644527,2020-05-19
76.83,77.78,75.96,77.06,1517687,2020-05-20
77.63,77.65,74.16,75.63,1621076,2020-05-21
76.67,77.14,75.1,76.94,1331034,2020-05-22
79.0,80.0,76.3,76.52,2485331,2020-05-26
76.86,76.91,69.83,74.53,3720091,2020-05-27
74.7,77.05,73.7877,75.8,4405385,2020-05-28
87.06,98.38,85.5,98.09,22809131,2020-05-29
96.8,112.73,96.5,109.98,17087804,2020-06-01
108.05,111.83,102.25,106.17,10192121,2020-06-02
105.54,108.88,104.24,107.41,3607572,2020-06-03
106.51,107.2,101.66,103.05,3989526,2020-06-04
100.38,101.05,96.59,99.31,4659181,2020-06-05
99.24,102.88,96.81,102.74,4852854,2020-06-08
103.22,105.95,102.11,103.59,2522534,2020-06-09
105.09,106.4684,103.405,105.72,2310151,2020-06-10
104.48,108.97,102.3,102.68,2662575,2020-06-11
104.81,106.47,100.53,102.47,2010543,2020-06-12
101.95,105.3,101.15,104.52,2666216,2020-06-15
99.86,103.8252,98.55,102.81,3336629,2020-06-16
103.18,108.37,103.01,106.18,2505684,2020-06-17
108.91,115.17,108.49,113.05,5456668,2020-06-18
114.8,114.8,108.2,108.57,3898071,2020-06-19
110.29,113.25,109.35,109.67,3734272,2020-06-22
109.6,112.0,107.71,110.31,4584788,2020-06-23
111.0,113.7,107.23,108.26,3018772,2020-06-24
109.89,112.45,108.25,111.61,2660776,2020-06-25
112.6,113.56,105.61,106.0,4791343,2020-06-26
106.86,107.0,103.05,105.39,2430800,2020-06-29
106.24,110.0,105.53,109.5,2959000,2020-06-30
109.3,111.8,107.02,111.51,2552400,2020-07-01
112.26,112.9,109.69,110.21,1897400,2020-07-02
113.02,121.46,112.5,114.78,5131400,2020-07-06
115.98,116.55,112.58,113.84,2241600,2020-07-07
115.68,121.01,115.41,120.85,3087000,2020-07-08
122.1,128.75,122.1,127.41,5372200,2020-07-09
126.51,127.0,123.14,125.49,2757000,2020-07-10
126.11,129.0,118.58,119.91,3936500,2020-07-13
119.0,123.25,115.68,122.43,3197900,2020-07-14
122.5,123.77,119.23,119.84,2389500,2020-07-15
118.75,119.5,113.81,117.15,2316500,2020-07-16
118.25,120.99,115.67,120.31,1861100,2020-07-17
121.2,128.13,121.2,127.6,2033715,2020-07-20
127.45,127.61,124.785,125.47,1535541,2020-07-21
126.59,128.35,123.71,125.11,1186534,2020-07-22
125.26,129.3,121.83,123.46,2186881,2020-07-23
121.24,124.82,118.53,121.72,1567694,2020-07-24
123.68,125.58,122.31,124.87,4152117,2020-07-27
124.59,126.49,121.45,124.38,3423116,2020-07-28
126.26,131.31,126.0,126.97,2966455,2020-07-29
127.36,129.94,126.184,129.29,1300627,2020-07-30
131.01,131.35,126.9,129.85,1672574,2020-07-31
131.05,133.125,130.26,132.58,1767631,2020-08-03
132.48,132.98,130.32,132.49,1186880,2020-08-04
132.49,135.21,131.33,134.53,1286907,2020-08-05
135.85,135.85,130.71,132.28,1570302,2020-08-06
131.33,131.79,125.2,125.85,2426204,2020-08-07
125.85,126.5,118.66,122.39,3014449,2020-08-10
119.5,121.48,116.88,117.51,2547617,2020-08-11
118.96,122.12,117.5,119.34,1950003,2020-08-12
121.0,124.29,120.94,122.07,2024220,2020-08-13
124.2,126.2099,120.83,122.89,3389365,2020-08-14
124.64,125.93,122.15,124.49,1549754,2020-08-17
125.71,128.098,125.01,127.97,1829242,2020-08-18
129.13,131.47,127.775,128.26,1738062,2020-08-19
129.0,137.03,129.0,136.42,3133569,2020-08-20
136.42,138.8,135.0,135.22,2137038,2020-08-21
137.02,137.5,132.79,135.74,1661830,2020-08-24
135.61,136.56,134.22,135.63,1195765,2020-08-25
137.5,142.24,137.02,140.0,2228529,2020-08-26
141.99,142.24,137.68,138.76,1906677,2020-08-27
139.52,143.55,139.44,141.13,2135403,2020-08-28
141.99,146.93,141.77,143.34,5861062,2020-08-31
147.6,159.81,146.2153,159.36,4524998,2020-09-01
162.99,163.8,152.83,158.52,3489201,2020-09-02
150.81,153.05,140.57,143.45,4213327,2020-09-03
140.0,143.0,127.5,134.34,4313272,2020-09-04
130.11,137.37,129.001,133.17,2558129,2020-09-08
137.0,139.59,132.07,134.19,4560184,2020-09-09
140.0,146.0,131.0401,132.61,5889849,2020-09-10
135.48,135.96,126.86,128.5,2400987,2020-09-11
130.75,130.9,125.78,130.1,2163512,2020-09-14
131.15,132.75,127.49,132.64,1818865,2020-09-15
133.0,135.1,129.27,131.06,2223124,2020-09-16
127.0,128.4583,124.0,127.21,2718486,2020-09-17
128.23,130.18,125.56,129.1,3113049,2020-09-18
127.69,135.0,126.51,134.93,2540980,2020-09-21
135.05,138.0,130.255,137.99,2328139,2020-09-22
137.0,140.51,134.9,135.61,2042677,2020-09-23
134.97,136.35,131.42,134.56,1718110,2020-09-24
135.04,139.14,134.865,138.27,1710531,2020-09-25
139.08,139.95,136.1,138.42,1733767,2020-09-28
138.79,141.4191,138.49,140.49,2123013,2020-09-29
139.47,142.3,138.72,140.69,1946207,2020-09-30
142.2,146.45,141.0,144.295,3491108,2020-10-01
141.42,145.56,140.61,142.05,1924687,2020-10-02
143.01,145.71,141.5,145.31,1636644,2020-10-05
145.0,148.34,144.1055,145.51,1985395,2020-10-06
147.16,149.45,146.0,147.68,1830222,2020-10-07
149.35,150.4109,146.96,147.66,1513677,2020-10-08
148.0,152.73,147.705,151.96,1641727,2020-10-09
153.0,155.51,150.86,151.15,1798052,2020-10-12
153.1,155.14,152.11,154.42,1764818,2020-10-13
155.52,157.45,152.71,155.09,2904608,2020-10-14
152.41,155.25,149.69,154.97,1871729,2020-10-15
155.66,156.71,152.51,154.85,1710426,2020-10-16
156.0,158.7362,152.37,153.17,2135659,2020-10-19
153.0,155.29,150.51,150.8,1100458,2020-10-20
151.97,151.97,145.45,146.85,1369138,2020-10-21
147.79,150.78,144.8,146.58,1088892,2020-10-22
145.7,147.05,143.18,147.05,972269,2020-10-23
148.27,154.6,147.26,149.0,2071304,2020-10-26
151.54,154.58,147.951,148.64,1596067,2020-10-27
147.49,147.8,142.3,144.06,1471772,2020-10-28
145.38,146.5999,140.93,142.56,1312013,2020-10-29
140.76,141.384,133.8101,135.75,1741685,2020-10-30
136.75,137.87,132.79,134.43,1355052,2020-11-02
135.02,136.1766,132.83,134.65,1041678,2020-11-03
139.99,145.48,139.1285,145.35,2022880,2020-11-04
148.55,151.61,147.17,150.07,1911031,2020-11-05
151.0,151.79,146.46,150.06,1225360,2020-11-06
145.62,146.45,128.76,128.77,3936343,2020-11-09
132.23,132.23,120.34,127.76,3787680,2020-11-10
133.04,138.17,129.8,135.49,2463218,2020-11-11
137.62,140.41,137.275,140.06,1643760,2020-11-12
140.04,140.3168,131.67,131.92,2315499,2020-11-13
128.99,134.17,127.0,133.52,2651107,2020-11-16
135.08,137.85,132.5,136.64,1347441,2020-11-17
136.99,139.0,132.93,135.38,1272798,2020-11-18
136.15,141.5,136.08,138.54,1474669,2020-11-19
139.99,144.96,139.01,143.01,1491455,2020-11-20
142.39,144.42,140.46,143.04,1515591,2020-11-23
143.4,143.61,138.675,141.19,1613937,2020-11-24
145.11,149.78,144.51,146.94,2329712,2020-11-25
150.0,150.4,146.429,149.74,939557,2020-11-27
151.68,155.75,148.5,155.75,3377424,2020-11-30
155.51,157.33,147.82,151.68,2275437,2020-12-01
149.0332,149.0332,143.4,146.79,2924064,2020-12-02
163.45,189.645,163.29,185.61,15382828,2020-12-03
181.73,183.37,175.6,180.75,4358562,2020-12-04
180.0,181.895,176.55,178.11,2135670,2020-12-07
178.5,189.56,178.5,184.6,2852379,2020-12-08
183.03,185.0,173.4501,176.7,2295953,2020-12-09
173.0,182.5,172.075,179.75,2566467,2020-12-10
181.6,184.47,178.24,181.91,1851874,2020-12-11
182.344,187.43,181.8,183.45,2162531,2020-12-14
184.98,185.0,178.665,181.24,1677680,2020-12-15
180.92,186.0,179.84,184.03,2119706,2020-12-16
186.0,194.7,185.81,187.76,4202606,2020-12-17
191.98,198.16,190.52,195.88,4657239,2020-12-18
196.65,200.3999,194.22,199.62,2790423,2020-12-21
202.23,208.065,200.01,206.78,3590613,2020-12-22
208.83,212.585,203.13,207.47,2297363,2020-12-23
208.0,209.98,204.0,205.27,908851,2020-12-24
207.48,209.45,197.47,199.37,2547428,2020-12-28
198.51,199.3899,194.01,197.84,2225482,2020-12-29
198.8,201.37,197.07,201.31,1126500,2020-12-30
202.25,202.9999,198.62,199.71,1469917,2020-12-31
199.72,200.495,192.52,196.09,3510703,2021-01-04
192.37,197.9399,189.54,193.48,2365470,2021-01-05
187.53,190.3,183.25,184.42,2131091,2021-01-06
188.0953,193.7,185.28,193.05,1734637,2021-01-07
196.75,199.95,194.1,197.37,2024813,2021-01-08
196.99,204.99,191.6,198.7,2493851,2021-01-11
201.14,206.5,200.01,205.9,2109312,2021-01-12
209.3,214.83,206.49,207.08,3481200,2021-01-13
209.25,213.57,207.46,209.87,1594261,2021-01-14
212.12,213.9265,207.33,211.06,2009326,2021-01-15
215.77,217.1513,208.37,212.0,1643221,2021-01-19
215.09,217.45,212.53,214.76,1641457,2021-01-20
217.99,218.0,211.5351,213.63,1196102,2021-01-21
211.9,217.73,211.06,217.36,1446342,2021-01-22
220.76,224.0,206.0,207.66,2885620,2021-01-25
209.48,209.85,196.53,197.0,3030374,2021-01-26
195.87,203.3,187.76,199.22,2640020,2021-01-27
199.33,208.2,199.22,206.28,1489608,2021-01-28
204.99,205.04,196.8,199.7,1746555,2021-01-29
202.52,206.85,199.93,204.47,1434756,2021-02-01
207.06,217.44,207.06,216.71,1877647,2021-02-02
217.9,218.21,207.0591,209.56,2395922,2021-02-03
210.11,214.245,207.3301,213.75,1235944,2021-02-04
215.45,219.99,211.88,216.78,2018385,2021-02-05
219.31,221.25,214.08,215.87,1163591,2021-02-08
218.5764,220.85,215.99,220.0,1108586,2021-02-09
221.0,224.49,216.4877,223.09,2093179,2021-02-10
225.0,227.04,217.97,222.89,1486075,2021-02-11
224.76,228.38,221.5806,226.48,1522799,2021-02-12
230.8808,230.8808,217.75,223.63,1919514,2021-02-16
223.155,225.9,217.665,224.83,1468478,2021-02-17
222.06,224.2,216.2,223.38,1418768,2021-02-18
225.55,228.09,223.41,226.03,1487082,2021-02-19
225.13,225.25,212.9001,213.45,2418893,2021-02-22
203.26,206.84,190.6,206.51,3704415,2021-02-23
208.38,210.79,203.55,207.81,1684116,2021-02-24
204.0,210.91,194.34,195.79,2509486,2021-02-25
213.1,224.08,197.0821,205.03,3709126,2021-02-26
208.75,211.14,202.18,210.16,1918108,2021-03-01
212.0,212.0,202.27,202.61,1788701,2021-03-02
202.11,202.12,187.46,187.83,2703792,2021-03-03
184.33,190.96,175.68,180.9,3184255,2021-03-04
185.54,185.54,165.57,175.37,3941636,2021-03-05
175.76,181.7,166.8864,167.84,2751327,2021-03-08
178.715,182.79,175.0,181.43,2824687,2021-03-09
185.05,188.98,178.81,180.07,2427320,2021-03-10
187.0,189.75,183.09,188.87,2080627,2021-03-11
184.5411,185.21,179.88,184.61,1521424,2021-03-12
184.98,185.0,180.55,184.27,1436401,2021-03-15
187.0,187.92,178.0233,182.18,2178775,2021-03-16
178.61,188.49,177.0,185.33,2333030,2021-03-17
184.4039,184.67,177.4,178.21,2676671,2021-03-18
178.66,182.03,175.75,181.56,2320547,2021-03-19
183.5,185.16,181.4,182.61,1710901,2021-03-22
182.46,185.45,180.0,183.0,1619751,2021-03-23
186.4,186.4,174.99,175.1,2133786,2021-03-24
171.45,175.3,168.4,172.85,1557191,2021-03-25
170.92,174.0,164.67,169.78,1816660,2021-03-26
169.01,174.86,163.45,165.75,2372305,2021-03-29
164.24,166.86,160.6586,165.79,1336031,2021-03-30
168.49,173.17,167.2,171.67,1918753,2021-03-31
174.8,180.0,174.3,175.77,2097352,2021-04-01
176.61,178.95,172.32,175.19,1368813,2021-04-05
175.43,184.96,173.53,182.12,2282918,2021-04-06
180.81,183.32,179.0,180.02,1242122,2021-04-07
183.0,187.17,181.8,185.19,1926418,2021-04-08
183.99,185.26,180.8733,185.04,1122778,2021-04-09
185.58,189.5,183.55,188.38,2056651,2021-04-12
190.15,199.5,189.59,196.65,2487406,2021-04-13
198.04,198.9,192.08,192.39,1369076,2021-04-14
195.31,197.52,193.0378,195.92,1258889,2021-04-15
196.81,196.81,189.74,192.49,1319416,2021-04-16
