open,high,low,close,volume,Date
1.87,1.94,1.83,1.89,217897,2020-01-02
1.89,2.06,1.88,1.93,344153,2020-01-03
1.93,1.98,1.87,1.91,184473,2020-01-06
1.92,1.95,1.86,1.9127,93322,2020-01-07
1.89,1.92,1.8709,1.89,101728,2020-01-08
1.88,1.9,1.87,1.88,131122,2020-01-09
1.89,2.0,1.88,1.975,243169,2020-01-10
1.99,2.0,1.9,1.93,158036,2020-01-13
1.93,2.08,1.93,2.03,379867,2020-01-14
2.05,2.12,2.02,2.09,253032,2020-01-15
2.09,2.15,2.09,2.14,180316,2020-01-16
2.14,2.1499,2.04,2.05,238281,2020-01-17
2.05,2.1,2.03,2.1,169661,2020-01-21
2.1,2.13,2.05,2.05,142622,2020-01-22
2.06,2.14,2.05,2.12,222192,2020-01-23
2.13,2.14,2.04,2.04,117110,2020-01-24
2.01,2.02,1.91,1.95,189940,2020-01-27
1.95,1.97,1.948,1.95,71482,2020-01-28
1.95,1.98,1.89,1.9327,208959,2020-01-29
1.94,1.95,1.9,1.92,84039,2020-01-30
1.91,1.92,1.8405,1.89,154418,2020-01-31
1.88,2.14,1.85,2.07,567231,2020-02-03
2.12,2.7,2.1,2.49,4419828,2020-02-04
2.44,2.48,2.0601,2.25,873742,2020-02-05
2.35,3.4,2.3,2.68,9271572,2020-02-06
2.69,2.8294,2.4,2.55,1770720,2020-02-07
2.59,2.6681,2.28,2.39,1118912,2020-02-10
2.45,2.45,2.22,2.28,742732,2020-02-11
2.3,2.38,2.25,2.33,577300,2020-02-12
2.36,2.43,2.3,2.31,487208,2020-02-13
2.55,3.07,2.47,2.67,7700754,2020-02-14
2.71,3.05,2.68,2.94,3084772,2020-02-18
3.07,3.23,3.0,3.16,2329607,2020-02-19
3.11,3.35,2.9,3.12,1708819,2020-02-20
3.06,3.0798,2.86,3.01,755454,2020-02-21
2.76,2.95,2.7,2.86,652175,2020-02-24
2.9,3.1,2.81,2.86,730600,2020-02-25
2.81,2.86,2.52,2.59,1073360,2020-02-26
2.46,2.5,2.16,2.36,1002114,2020-02-27
2.18,2.3295,2.15,2.27,527538,2020-02-28
2.34,2.54,2.2509,2.49,535445,2020-03-02
2.46,2.5,2.33,2.41,391024,2020-03-03
2.49,2.5,2.3822,2.4,234678,2020-03-04
2.4,2.5599,2.3603,2.52,446100,2020-03-05
2.46,2.58,2.385,2.49,700272,2020-03-06
2.24,2.397,2.2,2.28,458166,2020-03-09
2.38,2.48,2.17,2.35,434271,2020-03-10
2.31,2.33,2.11,2.12,335307,2020-03-11
1.9,2.0,1.78,1.78,508652,2020-03-12
1.92,1.96,1.8,1.91,401917,2020-03-13
1.75,1.75,1.53,1.56,681012,2020-03-16
1.8149,1.8149,1.56,1.61,281276,2020-03-17
1.5,1.6,1.25,1.31,464695,2020-03-18
1.32,1.45,1.3,1.43,265167,2020-03-19
1.5,1.57,1.4,1.41,299693,2020-03-20
1.46,1.46,1.3,1.41,204519,2020-03-23
1.51,1.56,1.42,1.54,307668,2020-03-24
1.6,1.8,1.56,1.69,799042,2020-03-25
1.72,1.9699,1.69,1.91,574415,2020-03-26
1.88,1.89,1.71,1.89,284259,2020-03-27
2.02,2.02,1.75,1.76,220091,2020-03-30
1.75,1.85,1.7,1.73,112076,2020-03-31
1.65,1.7224,1.56,1.64,203094,2020-04-01
1.65,1.7,1.5863,1.62,120529,2020-04-02
1.62,1.62,1.46,1.54,149751,2020-04-03
1.63,1.69,1.55,1.62,234244,2020-04-06
1.7,1.78,1.68,1.71,236626,2020-04-07
1.75,1.8161,1.68,1.8,110198,2020-04-08
1.87,1.88,1.75,1.8,160897,2020-04-09
