open,high,low,close,volume,Date
42.78,42.85,41.76,42.02,234677,2020-01-02
41.75,42.59,41.62,42.45,319299,2020-01-03
38.04,39.17,37.0,39.11,3683999,2020-01-06
39.21,39.21,37.53,38.1,1392163,2020-01-07
37.85,38.3,37.64,38.03,1161208,2020-01-08
38.17,38.52,37.81,38.0,562228,2020-01-09
38.1,38.29,37.88,38.26,376551,2020-01-10
38.22,38.72,37.81,38.7,526767,2020-01-13
38.85,38.94,38.09,38.25,361621,2020-01-14
38.21,38.73,38.15,38.38,366321,2020-01-15
38.36,39.31,38.27,39.26,379163,2020-01-16
39.44,39.89,38.91,39.21,398997,2020-01-17
39.1,39.59,38.9,39.21,441128,2020-01-21
39.45,39.82,38.64,39.1,372420,2020-01-22
39.0,39.23,38.44,38.89,367844,2020-01-23
38.86,39.15,37.78,38.1,344594,2020-01-24
37.6,37.94,37.26,37.36,566286,2020-01-27
37.31,37.48,36.78,36.8,381079,2020-01-28
36.77,37.11,35.87,35.98,457513,2020-01-29
35.91,36.12,35.57,36.02,323806,2020-01-30
35.84,35.99,35.43,35.69,354047,2020-01-31
35.86,36.16,35.53,36.05,464024,2020-02-03
36.46,36.82,35.89,35.97,358273,2020-02-04
36.17,36.825,36.07,36.66,449027,2020-02-05
36.59,36.8,36.04,36.74,229957,2020-02-06
36.63,36.81,36.32,36.79,185399,2020-02-07
36.9,37.45,36.85,37.32,215616,2020-02-10
37.44,37.92,37.14,37.28,213462,2020-02-11
37.4,37.52,36.73,36.9,244486,2020-02-12
36.77,37.45,36.55,37.39,162871,2020-02-13
37.55,37.7,37.24,37.62,220412,2020-02-14
37.44,37.72,37.1,37.33,198863,2020-02-18
37.35,37.4,36.86,37.31,184142,2020-02-19
37.24,37.82,37.17,37.78,219416,2020-02-20
37.72,37.76,37.26,37.59,799454,2020-02-21
36.85,37.35,36.46,37.31,250192,2020-02-24
37.24,37.41,35.64,36.12,270146,2020-02-25
36.34,36.77,36.13,36.2,326306,2020-02-26
35.76,36.57,35.26,36.02,426091,2020-02-27
35.65,35.83,34.63,34.89,516263,2020-02-28
34.94,36.43,34.82,36.39,373410,2020-03-02
36.32,36.84,35.24,35.91,381904,2020-03-03
36.35,37.33,36.18,37.27,226743,2020-03-04
36.62,37.36,36.58,37.23,274692,2020-03-05
36.64,37.49,36.23,37.27,283966,2020-03-06
35.46,37.5,35.27,36.43,536021,2020-03-09
37.05,37.24,34.69,36.57,741842,2020-03-10
35.94,35.94,34.26,34.55,444613,2020-03-11
33.22,33.22,30.74,30.95,788990,2020-03-12
31.97,35.74,31.28,35.62,953563,2020-03-13
31.08,39.94,31.08,37.39,1217887,2020-03-16
38.89,41.96,38.89,41.43,1499819,2020-03-17
40.39,43.04,37.19,37.92,1285560,2020-03-18
37.77,39.91,35.71,37.72,1315744,2020-03-19
36.89,40.63,36.29,40.05,1105199,2020-03-20
40.68,42.89,38.07,39.0,818862,2020-03-23
40.32,40.81,38.13,39.01,786360,2020-03-24
38.88,40.78,38.01,39.08,760838,2020-03-25
39.04,40.85,38.87,40.22,1030944,2020-03-26
39.78,43.2,39.6,42.42,922881,2020-03-27
44.7,46.65,40.01,42.44,845136,2020-03-30
42.41,44.02,41.26,43.98,958109,2020-03-31
43.11,44.39,41.09,41.45,587649,2020-04-01
40.9,41.76,38.79,39.48,630097,2020-04-02
39.32,40.66,38.53,40.49,419797,2020-04-03
41.08,41.95,40.36,41.05,474362,2020-04-06
41.22,41.49,38.33,38.36,661529,2020-04-07
38.62,39.65,37.43,39.35,592576,2020-04-08
39.44,40.69,38.95,39.62,507018,2020-04-09
39.32,41.07,38.56,40.29,456680,2020-04-13
40.78,41.13,38.94,39.06,554387,2020-04-14
38.86,40.23,37.99,40.09,573608,2020-04-15
40.14,41.61,39.43,41.17,456357,2020-04-16
41.58,41.76,40.45,41.54,319193,2020-04-17
41.07,41.54,40.71,40.95,239486,2020-04-20
40.31,41.49,40.28,40.61,248678,2020-04-21
41.17,41.46,40.37,40.91,192023,2020-04-22
41.11,42.21,41.1,41.92,338626,2020-04-23
42.18,42.38,41.53,41.67,247237,2020-04-24
42.06,43.9,41.91,43.62,451923,2020-04-27
44.0,44.9,43.71,43.83,354117,2020-04-28
44.55,44.82,42.89,43.04,405449,2020-04-29
42.75,42.87,41.51,41.51,305141,2020-04-30
41.13,42.45,40.94,42.45,364223,2020-05-01
42.3,43.59,41.79,43.47,337727,2020-05-04
43.59,43.96,43.05,43.08,228932,2020-05-05
43.04,43.66,42.63,43.2,235855,2020-05-06
43.38,44.54,43.38,44.04,271856,2020-05-07
44.34,44.64,43.98,44.36,297777,2020-05-08
44.03,44.51,42.81,42.96,350974,2020-05-11
43.06,43.99,42.84,43.25,294476,2020-05-12
43.2,43.59,42.16,42.7,227233,2020-05-13
42.6,43.41,42.04,43.16,313344,2020-05-14
43.22,44.72,42.99,43.9,667044,2020-05-15
44.1,44.69,43.13,43.86,274432,2020-05-18
43.89,44.19,42.49,42.55,233251,2020-05-19
42.92,43.61,41.9,43.59,206393,2020-05-20
43.52,43.96,42.59,43.72,244052,2020-05-21
43.86,44.4,42.83,43.77,215439,2020-05-22
44.44,44.97,43.91,44.2,350925,2020-05-26
44.66,45.55,44.14,45.46,312420,2020-05-27
45.55,45.85,44.55,44.76,356669,2020-05-28
44.73,44.97,43.35,44.56,377775,2020-05-29
44.68,44.85,44.11,44.25,265079,2020-06-01
44.22,44.27,43.38,44.22,228119,2020-06-02
44.46,44.63,42.84,42.91,313936,2020-06-03
43.07,44.34,42.81,43.75,279676,2020-06-04
44.04,45.41,43.93,45.24,321225,2020-06-05
44.96,45.68,44.08,45.61,215402,2020-06-08
45.56,45.85,44.52,45.3,251220,2020-06-09
45.06,45.06,41.64,42.65,516221,2020-06-10
41.93,42.56,41.29,41.96,345570,2020-06-11
42.61,42.67,41.61,41.95,283296,2020-06-12
41.52,42.67,40.73,42.58,371627,2020-06-15
43.13,43.3,42.28,42.74,189294,2020-06-16
42.91,43.15,41.63,41.84,265880,2020-06-17
41.72,42.19,41.13,41.84,220701,2020-06-18
42.02,42.19,41.01,41.24,582666,2020-06-19
41.09,41.66,40.6,41.65,266720,2020-06-22
41.92,42.6,41.84,41.93,340717,2020-06-23
41.48,42.42,41.42,42.06,643154,2020-06-24
41.93,43.9,41.56,43.71,594670,2020-06-25
43.9,45.0,42.88,43.3,987166,2020-06-26
43.27,44.95,43.27,43.98,428033,2020-06-29
44.01,45.3,44.01,44.48,434026,2020-06-30
44.82,45.17,43.77,43.94,329676,2020-07-01
44.27,44.88,43.82,44.51,185811,2020-07-02
44.82,45.15,44.55,45.09,175774,2020-07-06
44.93,45.37,44.52,45.29,218579,2020-07-07
45.3,45.3,44.14,44.51,201820,2020-07-08
44.31,44.5,43.63,43.74,236281,2020-07-09
44.16,45.25,44.07,45.18,224812,2020-07-10
45.25,45.98,44.81,44.87,544193,2020-07-13
45.19,45.42,44.45,45.02,344388,2020-07-14
45.32,45.99,44.83,44.88,358739,2020-07-15
44.9,45.0,44.14,44.47,238540,2020-07-16
44.38,44.61,43.71,44.22,327849,2020-07-17
44.61,45.0,42.96,43.87,465607,2020-07-20
44.14,44.36,43.17,44.0,492500,2020-07-21
43.84,43.98,43.32,43.93,692185,2020-07-22
43.98,44.36,43.63,43.93,348339,2020-07-23
44.07,44.3799,43.4189,44.05,458206,2020-07-24
43.95,44.9,43.68,44.89,413668,2020-07-27
44.81,45.4,44.63,44.7,313094,2020-07-28
44.87,45.0,44.335,44.47,236799,2020-07-29
43.98,44.44,43.66,44.16,246039,2020-07-30
44.5,44.79,43.26,43.945,441739,2020-07-31
44.03,44.65,43.71,44.51,204097,2020-08-03
44.34,45.59,43.97,44.89,324962,2020-08-04
45.0,45.045,43.89,43.99,369995,2020-08-05
43.96,44.35,43.68,43.87,151437,2020-08-06
43.81,45.45,43.81,45.44,247168,2020-08-07
45.36,46.27,45.34,45.68,209804,2020-08-10
45.95,46.5673,45.79,45.87,369982,2020-08-11
46.11,46.49,45.945,46.1,158827,2020-08-12
46.09,46.6576,45.13,46.1,176910,2020-08-13
45.9,46.62,45.76,46.45,179579,2020-08-14
46.37,46.62,46.01,46.05,148292,2020-08-17
43.75,43.81,41.23,41.24,1150166,2020-08-18
41.56,42.24,40.25,41.26,1081320,2020-08-19
40.905,42.54,40.81,41.98,5180578,2020-08-20
42.08,42.68,41.57,42.22,2260881,2020-08-21
42.75,42.75,41.2642,41.59,707250,2020-08-24
41.44,42.02,40.26,41.87,618693,2020-08-25
41.81,42.31,41.25,41.86,398137,2020-08-26
41.77,42.8132,41.7475,42.21,605585,2020-08-27
42.5,42.5899,40.85,41.12,565613,2020-08-28
41.07,41.2142,38.58,38.59,890369,2020-08-31
38.81,39.32,37.6015,38.74,528195,2020-09-01
38.72,39.53,38.67,39.44,344536,2020-09-02
39.4,40.28,38.85,39.3,422840,2020-09-03
39.42,39.56,38.3,38.78,321398,2020-09-04
38.52,39.11,37.96,38.75,389101,2020-09-08
38.94,39.35,38.47,38.63,307429,2020-09-09
38.62,38.9,38.21,38.23,237698,2020-09-10
38.22,39.1,37.8155,38.88,491532,2020-09-11
38.99,39.5899,38.96,39.14,425432,2020-09-14
39.43,39.78,38.9,39.01,397017,2020-09-15
39.15,40.53,38.98,40.25,847470,2020-09-16
40.03,40.21,39.171,39.35,603745,2020-09-17
39.58,40.07,38.77,39.03,880094,2020-09-18
38.79,39.375,37.89,38.14,579374,2020-09-21
38.34,39.81,38.34,38.67,603395,2020-09-22
38.65,39.63,38.445,38.66,602232,2020-09-23
38.73,39.52,38.44,38.86,613262,2020-09-24
38.74,39.56,38.65,38.94,664191,2020-09-25
40.59,41.485,38.66,39.23,711524,2020-09-28
39.61,39.95,38.3,38.57,528570,2020-09-29
38.5,39.25,38.18,38.37,521351,2020-09-30
37.96,38.68,37.77,38.4,446767,2020-10-01
38.2,38.6,37.83,38.41,321666,2020-10-02
38.52,38.835,37.86,38.05,271477,2020-10-05
38.28,38.5499,37.91,38.35,374224,2020-10-06
38.31,38.63,37.85,38.44,287593,2020-10-07
38.72,38.84,37.86,38.3,216787,2020-10-08
38.35,38.548,37.84,38.01,163590,2020-10-09
38.06,38.1001,37.65,37.78,183317,2020-10-12
37.6,37.85,37.24,37.78,225831,2020-10-13
37.62,37.97,37.41,37.63,215663,2020-10-14
37.6,38.28,37.21,38.17,220227,2020-10-15
38.0,38.74,38.0,38.45,362730,2020-10-16
38.64,38.87,37.92,38.17,248138,2020-10-19
38.71,38.995,37.84,38.14,226010,2020-10-20
37.94,38.69,37.725,38.33,234904,2020-10-21
38.25,39.18,38.0,39.14,263501,2020-10-22
39.29,39.81,38.81,39.75,220330,2020-10-23
39.5,39.82,38.7,38.97,239299,2020-10-26
38.9,39.2707,38.8,38.87,143139,2020-10-27
39.68,39.68,38.82,38.9,240987,2020-10-28
38.87,39.51,38.1576,39.29,246627,2020-10-29
39.15,39.19,38.08,38.35,238490,2020-10-30
38.27,38.89,37.48,38.08,328027,2020-11-02
38.37,38.9,37.87,38.01,267243,2020-11-03
37.74,38.67,37.59,38.18,254878,2020-11-04
38.11,39.22,38.0,39.05,255148,2020-11-05
39.05,39.48,38.76,39.21,217123,2020-11-06
40.3,41.09,38.72,38.74,423025,2020-11-09
38.93,39.845,38.54,39.58,443767,2020-11-10
39.68,40.2,39.22,40.07,261986,2020-11-11
39.87,40.25,39.66,39.9,244123,2020-11-12
39.91,40.25,39.7,40.2,260137,2020-11-13
40.56,40.77,40.17,40.71,248023,2020-11-16
40.67,40.67,39.7,39.81,354699,2020-11-17
39.89,40.19,38.795,38.92,395421,2020-11-18
