open,high,low,close,volume
21.25,22.1099,19.75,20.15,13577628
21.1,21.1,17.5,18.59,7173746
18.78,19.55,18.15,18.7,2272740
18.57,18.97,17.0,17.2,2626558
17.25,17.856,16.75,16.81,1531614
16.75,17.56,16.5,17.31,999478
17.45,17.49,16.95,17.11,984782
17.25,17.82,17.13,17.52,711669
17.46,18.245,17.36,17.99,951965
18.24,18.38,17.8,18.27,724915
18.25,18.35,17.9,18.03,807999
18.17,18.64,17.08,17.78,1005357
17.68,17.75,17.0,17.22,1300467
17.15,17.72,17.1035,17.7,872859
17.87,17.91,17.33,17.5,767795
17.42,17.95,17.42,17.62,420842
18.25,18.47,17.93,18.0,963115
17.85,18.1,17.67,18.0,571995
18.14,18.73,18.06,18.73,802090
19.14,19.4,18.73,18.83,998550
18.7,19.24,18.7,19.02,537924
19.37,19.3899,18.25,18.28,308855
18.26,18.4,17.25,17.61,721564
17.72,17.84,17.04,17.09,565500
17.07,17.1,16.14,16.5,1030236
16.58,17.04,16.57,16.91,439803
16.87,17.015,16.2,16.34,341874
16.04,16.08,15.11,15.43,1058817
15.43,15.43,14.19,14.45,1128319
16.13,16.2,13.51,13.66,3042618
13.92,14.75,13.857,14.15,940750
14.47,14.62,13.85,14.07,818618
14.13,14.6299,14.13,14.21,604719
14.16,14.42,13.65,14.42,599537
14.32,14.48,14.01,14.28,729426
14.23,14.23,13.81,13.87,313734
14.03,14.08,13.61,13.97,446100
13.99,14.1,13.375,13.48,636456
13.53,13.645,13.02,13.35,1079169
13.35,13.44,13.135,13.14,493302
13.22,13.9474,13.11,13.44,1455749
13.54,13.585,12.79,12.93,1107653
13.0,13.51,12.95,13.48,2228515
13.56,13.94,13.3,13.82,1294057
13.89,13.96,13.65,13.95,441709
13.86,13.95,13.5,13.86,613063
14.0,14.71,13.95,14.64,892850
14.7,15.04,14.65,14.92,579714
15.05,15.11,14.65,14.75,479815
14.76,14.92,14.52,14.54,268679
14.43,14.53,13.7,13.83,575537
13.72,13.86,13.315,13.5,433083
13.55,13.96,13.5,13.7,532549
13.7,14.16,13.54,13.95,503511
13.8,14.07,13.65,13.99,338842
14.0,14.05,13.58,13.59,349108
13.48,13.59,13.315,13.46,215959
13.54,14.04,13.531,13.97,324471
