open,high,low,close,volume,Date
5.14,5.44,5.14,5.29,62176,2020-01-02
5.29,5.37,5.04,5.31,9930,2020-01-03
5.25,5.28,5.02,5.12,7624,2020-01-06
5.2,5.4224,5.2,5.33,33840,2020-01-07
5.25,5.35,5.0601,5.11,51689,2020-01-08
5.15,5.15,4.9156,5.14,18614,2020-01-09
5.11,5.18,5.0027,5.0335,7541,2020-01-10
5.17,5.17,4.8,5.1,12739,2020-01-13
4.93,5.18,4.93,5.13,20957,2020-01-14
5.12,5.15,5.09,5.12,13180,2020-01-15
5.19,5.22,5.1555,5.19,9738,2020-01-16
5.17,5.22,5.0372,5.1,29619,2020-01-17
5.08,5.23,4.9788,5.15,14045,2020-01-21
5.12,5.12,5.04,5.04,1983,2020-01-22
5.02,5.02,4.99,5.02,781,2020-01-23
4.98,5.08,4.95,5.0,6132,2020-01-24
4.91,5.05,4.91,4.92,3935,2020-01-27
5.05,5.05,4.98,4.9918,1065,2020-01-28
4.9853,5.0,4.87,4.87,2804,2020-01-29
4.8944,4.95,4.8944,4.95,2660,2020-01-30
4.86,4.86,4.86,4.86,633,2020-01-31
5.02,5.02,4.88,4.89,3054,2020-02-03
4.88,4.9827,4.86,4.86,2968,2020-02-04
4.85,4.93,4.85,4.93,1154,2020-02-05
4.93,4.93,4.8,4.8,844,2020-02-06
4.8,4.8,4.6869,4.8,5282,2020-02-07
4.6712,4.8,4.6712,4.79,11786,2020-02-10
4.7118,4.7118,4.7118,4.7118,227,2020-02-11
4.68,4.68,4.52,4.56,10995,2020-02-12
4.45,4.56,4.27,4.53,23031,2020-02-13
4.3301,4.45,4.3301,4.45,388,2020-02-14
4.5,4.56,4.2,4.55,27066,2020-02-18
4.24,4.477,4.24,4.47,4560,2020-02-19
4.34,4.5,4.25,4.5,9331,2020-02-20
4.375,4.5,4.375,4.5,11449,2020-02-21
4.42,4.5,4.33,4.41,8425,2020-02-24
4.3,4.446,4.18,4.24,14366,2020-02-25
4.1291,4.25,4.1101,4.16,9343,2020-02-26
4.1526,4.2,4.1,4.1,3577,2020-02-27
3.83,4.0986,3.45,4.03,21120,2020-02-28
4.15,4.23,3.97,4.06,13736,2020-03-02
4.0,4.21,3.72,3.72,4694,2020-03-03
4.0,4.373,4.0,4.31,13334,2020-03-04
4.45,4.45,4.075,4.075,757,2020-03-05
4.2202,4.25,4.18,4.18,4508,2020-03-06
4.18,4.18,4.18,4.18,77,2020-03-09
4.19,4.3,3.77,4.3,30532,2020-03-10
4.0557,4.14,4.05,4.14,28633,2020-03-11
3.47,3.94,3.47,3.94,1135,2020-03-12
3.83,4.25,3.8,3.81,14712,2020-03-13
3.8,4.16,3.8,3.98,3018,2020-03-16
3.9468,3.9468,3.8,3.8,9619,2020-03-17
3.8,3.92,3.5,3.53,15607,2020-03-18
3.91,3.91,3.5931,3.6,5799,2020-03-19
3.47,3.695,3.47,3.6,3484,2020-03-20
3.9,3.9,3.32,3.56,17283,2020-03-23
3.95,3.95,3.4601,3.48,21727,2020-03-24
3.47,3.7381,3.47,3.52,8634,2020-03-25
3.5,3.7,3.5,3.7,17278,2020-03-26
3.6167,3.7,3.45,3.45,20783,2020-03-27
3.57,3.7,3.57,3.63,8301,2020-03-30
3.7,3.7,3.505,3.63,26617,2020-03-31
3.73,3.8,3.54,3.54,22095,2020-04-01
3.69,3.74,3.61,3.61,8390,2020-04-02
3.69,3.75,3.6,3.7,24154,2020-04-03
3.9,3.9,3.54,3.54,24677,2020-04-06
3.69,3.7394,3.56,3.56,19717,2020-04-07
3.9,4.1,3.7201,3.85,74787,2020-04-08
3.57,3.8928,3.56,3.86,17699,2020-04-09
3.91,4.18,3.9,3.98,36770,2020-04-13
4.06,4.06,3.94,4.0,48074,2020-04-14
3.93,4.17,3.85,4.0071,32450,2020-04-15
3.98,4.08,3.89,3.92,25776,2020-04-16
4.0,4.08,3.9,4.0,21379,2020-04-17
