open,high,low,close,volume
10.61,10.89,10.02,10.12,1439026
10.2,10.23,10.0,10.15,2208254
10.15,10.22,10.06,10.22,1901508
10.24,10.42,10.16,10.28,1598775
10.4,10.46,10.314,10.37,1271516
10.42,10.62,10.2197,10.26,1031687
10.32,10.37,10.22,10.3,1303172
10.29,10.34,10.23,10.26,1367315
10.24,10.3,10.22,10.28,877472
10.28,10.29,10.17,10.24,1046979
10.24,10.25,10.1,10.15,1212595
10.1,10.17,10.03,10.15,1160648
10.1,10.2,10.08,10.15,1181119
10.16,10.16,10.0,10.03,2012303
10.03,10.08,9.99,10.06,1138131
10.04,10.04,9.93,9.94,2006013
9.93,9.96,9.84,9.87,24772446
9.93,9.95,9.87,9.89,7942410
9.92,9.93,9.86,9.88,5742164
9.89,9.9425,9.865,9.9,7314938
9.92,9.92,9.87,9.89,1941479
9.89,9.91,9.86,9.87,1609903
9.85,9.88,9.85,9.85,1957789
9.84,9.89,9.84,9.88,2310347
9.94,9.94,9.86,9.89,4245593
9.9,9.91,9.86,9.87,1478587
9.86,9.9,9.85,9.89,1455758
9.88,9.89,9.85,9.89,2001958
9.89,9.89,9.86,9.88,757434
9.86,9.88,9.855,9.87,1343033
9.87,9.88,9.86,9.87,1188207
9.87,9.88,9.85,9.87,1101756
9.86,9.87,9.85,9.87,1033263
9.86,9.88,9.85,9.87,2787380
9.86,9.9,9.86,9.89,1802294
9.89,9.96,9.87,9.9,3059750
9.95,9.95,9.89,9.9,3760596
9.95,10.055,9.93,10.0,3732778
10.0,10.035,9.965,10.01,2838530
10.04,10.04,9.9,9.93,3207429
9.92,9.95,9.91,9.93,1685595
9.92,9.9399,9.9091,9.92,1028726
9.915,9.93,9.88,9.91,796644
9.91,9.91,9.88,9.9,805073
9.92,9.93,9.89,9.91,990450
9.91,9.92,9.89,9.91,773997
9.91,9.925,9.89,9.91,761247
9.92,9.9906,9.91,9.99,5563245
9.9817,10.0,9.91,9.93,1665816
9.95,9.98,9.91,9.93,2685132
9.94,9.99,9.925,9.98,4327248
9.99,9.99,9.95,9.96,810051
9.97,10.02,9.95,9.96,975527
9.99,10.05,9.98,10.03,3237439
10.04,10.05,9.99,10.01,1319547
10.01,10.01,9.96,9.98,857430
9.93,9.95,9.89,9.91,2434155
9.93,10.035,9.9,9.99,2620616
9.99,10.0,9.9401,9.95,824416
9.94,9.98,9.92,9.94,755974
9.93,9.95,9.9,9.91,2225651
9.91,9.97,9.89,9.93,3378815
9.92,9.939,9.89,9.91,1668578
9.8964,9.935,9.875,9.92,2235444
9.92,9.92,9.87,9.9,1507534
9.92,9.96,9.9,9.94,1119511
9.95,9.97,9.91,9.93,2294506
9.94,9.94,9.9,9.91,4894377
9.92,9.93,9.89,9.9,4291664
9.89,9.9,9.86,9.89,2695337
9.88,9.89,9.8586,9.86,1157545
9.87,9.88,9.8301,9.85,3325541
9.86,9.915,9.85,9.87,1648851
9.91,9.91,9.86,9.87,584431
9.88,9.9,9.87,9.89,1090518
9.88,9.94,9.87,9.9,11405546
9.95,9.97,9.92,9.95,9792859
9.96,10.01,9.95,10.01,13231228
10.01,10.01,9.98,10.0,22695166
10.04,10.06,10.01,10.05,13867894
10.0737,10.27,10.05,10.09,15342059
10.12,10.17,10.0,10.03,7220046
10.0356,10.04,9.97,9.98,7612838
10.0,10.02,9.96,9.96,5138090
9.98,10.005,9.95,9.97,5267450
9.98,10.0,9.96,9.97,4241709
9.96,9.99,9.95,9.97,6633020
9.96,9.98,9.94,9.95,2336301
9.96,9.975,9.94,9.95,4050090
9.95,9.98,9.95,9.95,4546458
9.97,9.98,9.95,9.98,4335541
9.98,9.98,9.96,9.97,1911747
9.965,9.98,9.96,9.97,8779248
9.96,9.98,9.96,9.96,2058605
9.96,9.98,9.96,9.97,6482554
9.98,9.98,9.96,9.97,4779474
9.97,9.98,9.97,9.975,1249794
9.98,10.05,9.97,9.98,6985288
9.98,10.0,9.96,9.96,9036106
9.96,10.02,9.74,9.93,15323393
9.9,10.01,9.8007,9.94,4318810
9.97,10.02,9.81,9.81,3661119
9.88,9.88,8.9,9.15,6504883
9.26,10.82,9.25,9.87,10614652
9.9,10.32,9.75,10.13,3320249
10.19,11.5,10.01,11.42,7596541
11.15,14.25,11.1,12.18,19584013
12.05,12.5,10.8,11.11,9354611
11.6,12.39,11.38,11.7,8749283
12.11,12.96,11.78,11.87,7678915
12.2,12.71,11.85,12.3,5887227
12.23,12.79,11.91,12.6,3967185
13.06,13.74,12.88,13.28,6148712
13.0,13.13,12.15,12.87,8053891
13.0,13.11,12.01,12.2,7505584
12.24,12.29,11.41,11.59,7126989
11.66,11.72,11.2,11.51,9818501
11.65,11.725,11.25,11.38,12101986
11.65,12.27,11.37,11.98,6833678
11.49,11.75,9.13,10.59,60428425
10.72,11.65,10.59,11.22,20946878
11.12,11.15,10.32,10.33,9224755
10.44,10.46,9.44,9.47,5234218
9.68,11.27,9.64,10.83,16754075
11.12,11.68,10.24,10.25,4779322
10.65,11.86,10.57,11.63,6221365
11.8,12.1863,11.31,11.91,7825021
11.79,12.42,11.4,12.32,6449732
12.33,14.88,12.17,14.81,15424778
14.59,14.7,13.11,13.77,6934466
