open,high,low,close,volume
16.0,16.0,16.0,16.0,100
21.22,23.88,20.56,23.0,14990219
22.84,23.63,19.75,20.58,4464606
20.76,21.0,18.95,19.08,2145379
19.52,19.52,16.5,16.67,3223037
16.65,16.7,15.0,15.08,4802142
14.905,15.7,14.905,15.45,2143744
15.45,15.83,14.91,14.91,1114442
15.36,16.23,15.17,15.97,2141671
16.21,16.21,15.55,15.93,519647
16.07,16.1,15.63,16.0,632603
15.95,16.0,15.7,15.71,357965
15.62,16.05,15.08,15.73,1005363
16.0,17.17,15.68,16.7,1370522
16.89,16.89,15.31,15.45,865016
15.65,15.7,14.965,14.98,804691
14.54,15.14,14.5356,14.66,649700
14.89,14.92,14.64,14.7,624063
14.95,16.4,14.88,15.78,1000208
16.49,17.0975,15.88,16.88,2810360
17.29,19.33,17.09,19.25,3838359
19.0784,19.94,17.68,18.31,1319669
18.31,18.415,16.8,17.03,1071091
17.09,17.27,15.96,16.09,957864
16.1,17.55,15.7,17.22,1652130
17.32,19.47,17.2501,18.76,2257527
18.67,19.558,18.51,19.11,1291486
19.3,19.37,18.18,18.38,1010075
18.45,19.0,18.36,18.39,785676
18.7,18.9458,17.88,18.28,912376
18.28,18.36,16.53,17.65,3498481
15.9,16.89,15.81,16.35,4651435
16.47,16.61,15.25,15.65,3697262
15.66,16.0,15.13,15.27,1309598
15.27,15.35,14.79,14.89,1577845
15.04,15.265,14.71,14.97,1489586
15.0,15.65,15.0,15.5,1798971
15.5,16.24,15.46,15.97,4490916
15.9,16.32,15.9,16.14,871410
16.28,16.69,16.101,16.43,855679
16.38,16.64,15.8566,16.19,1293913
16.07,16.1,14.83,14.93,2051544
15.1,15.25,14.8488,14.9,1304190
14.9,15.14,14.52,15.11,1019598
15.1,15.144,14.6528,14.81,840895
14.66,14.97,14.155,14.84,1509743
14.98,15.04,14.41,14.57,1044469
14.5,14.6,14.05,14.46,1103873
14.37,14.6699,13.56,13.6,2371284
13.74,14.09,13.365,13.98,1398325
14.19,15.05,13.69,14.65,3356152
15.19,15.3,14.71,14.99,1811083
14.66,14.7222,13.95,14.15,1387405
14.32,14.52,14.18,14.5,1039135
14.42,15.02,14.42,14.74,507150
14.63,14.73,14.39,14.51,475025
14.47,14.65,14.0101,14.22,403569
14.22,14.86,14.22,14.72,602060
14.6,15.1,14.4,14.89,656721
15.08,15.08,14.24,14.29,657887
14.33,14.77,14.25,14.68,419382
14.58,14.97,14.3095,14.37,403747
14.34,14.715,14.34,14.64,608519
14.55,14.585,13.87,14.17,1244927
14.07,14.33,13.0,13.34,1824220
13.31,13.73,13.29,13.4,719743
13.4407,13.82,13.34,13.57,493486
13.54,13.96,13.4405,13.77,385312
13.77,13.96,13.52,13.91,349951
13.87,14.0,13.56,13.85,628539
13.95,14.2,13.4675,14.05,1506636
11.36,11.709,10.0,10.07,10060405
10.28,10.28,9.57,9.75,5659987
9.85,10.08,9.23,9.71,3035791
9.84,9.9531,9.05,9.38,3854426
9.2141,9.52,9.05,9.16,2095427
9.186,9.75,9.15,9.53,1730319
9.66,9.829,9.49,9.57,714504
9.613,10.47,9.53,10.39,1488611
10.38,10.49,10.05,10.12,667710
10.13,10.2399,9.73,9.77,732322
9.8,10.14,9.651,10.0,815885
10.18,10.195,9.9,10.04,468432
10.03,10.26,10.02,10.18,482884
10.4,10.86,10.31,10.56,820703
10.67,10.72,10.51,10.59,515459
10.6,10.6368,10.27,10.57,405260
10.6,10.75,10.45,10.74,470575
10.72,10.799,10.19,10.38,523075
10.35,10.415,10.1473,10.27,440601
10.37,10.46,10.22,10.26,297969
10.67,11.3299,10.52,10.94,1437818
11.11,11.16,10.44,10.59,750966
10.6,10.6,10.27,10.55,797992
10.63,10.72,10.32,10.61,628904
10.64,10.76,10.52,10.72,653969
10.287,10.59,9.88,10.15,1537987
10.25,10.78,10.19,10.73,1105516
10.82,11.31,10.6,10.91,828491
11.17,11.65,11.03,11.45,1133760
11.39,11.4602,10.83,10.83,726737
10.92,11.3,10.73,10.82,778427
10.83,11.09,10.53,10.74,662141
10.71,10.715,10.35,10.49,562864
10.47,10.57,10.2196,10.38,587057
10.44,10.6043,10.16,10.22,786731
10.28,10.29,9.75,9.76,982963
9.85,9.9357,9.64,9.66,837809
9.58,9.6,9.32,9.52,1091100
9.6,9.88,9.51,9.55,846092
9.55,9.62,9.34,9.55,601071
9.59,9.73,9.31,9.33,548237
9.45,9.46,9.13,9.22,756078
9.25,9.49,9.17,9.48,453315
9.57,9.6,9.3,9.39,407021
9.46,9.57,9.21,9.24,439163
9.28,9.3035,9.02,9.14,844081
9.155,9.46,9.11,9.37,631131
9.38,9.679,9.3646,9.52,535012
9.46,9.63,9.31,9.56,435229
9.52,9.62,9.33,9.38,457789
9.41,9.7,9.35,9.5,826650
9.55,9.86,9.39,9.47,1009626
9.41,9.66,8.9501,8.99,1409559
9.11,9.17,8.79,8.89,1388325
8.9,9.35,8.9,9.15,781325
9.25,10.06,9.23,9.24,2443669
9.0,9.735,8.901,9.5,2696158
9.51,10.2,9.4,10.09,2038505
9.5,9.96,9.15,9.21,2515746
9.31,9.39,8.96,9.04,2849021
9.03,9.37,8.99,9.21,2515028
9.26,9.2865,8.85,8.94,1820737
9.1,9.241,8.82,8.9,4318626
9.8,10.41,9.52,9.81,6080332
9.8,10.27,9.75,10.1,2139785
9.99,10.01,9.49,9.53,2323690
9.45,10.0,9.4082,9.95,1951407
9.75,9.75,8.84,8.86,4213449
9.02,9.05,8.5,8.67,2823039
8.58,8.75,8.42,8.45,2613514
8.5,8.54,7.97,8.11,3392583
8.125,8.155,7.6,7.96,3194621
7.89,8.6,7.8,8.58,2082149
8.25,8.585,8.16,8.39,1178403
8.49,8.85,8.4,8.53,2009808
8.44,8.6,8.14,8.54,1998984
8.675,8.81,8.09,8.1,1998227
8.15,8.38,7.94,8.16,1884501
8.165,8.31,7.715,7.8,1468481
7.8,8.25,7.55,8.04,2300283
8.2,8.63,8.15,8.4,1772136
8.36,8.515,8.06,8.48,1812725
8.42,8.54,8.18,8.18,1152824
8.22,8.27,7.92,7.96,1677106
7.89,7.95,7.6009,7.85,1627637
7.79,8.035,7.72,7.81,1635620
7.8,7.94,7.505,7.86,2853643
8.0,8.2801,7.44,7.51,2599669
7.51,7.6782,7.205,7.51,9166241
7.28,7.57,7.27,7.47,2350026
8.0983,8.105,7.78,8.02,2857476
8.04,8.15,7.95,8.11,1303449
8.09,8.22,8.01,8.07,1491022
8.24,8.26,8.01,8.12,988009
8.06,8.2091,7.85,7.86,864729
7.86,7.99,7.61,7.73,1318393
7.71,8.15,7.62,8.0,1420200
7.97,8.39,7.95,8.09,1330798
8.16,8.28,8.03,8.24,1227197
8.26,8.26,7.69,7.79,1779975
7.75,7.905,7.4,7.4,1384773
7.4,7.5178,7.02,7.22,1496018
7.3,7.5,7.09,7.1,1213333
7.08,7.12,6.775,7.03,1597184
7.07,7.485,6.9,7.45,2096159
7.52,7.53,7.12,7.13,1203187
7.15,7.26,6.81,6.83,1435500
6.83,6.92,6.69,6.83,1602607
6.83,6.85,6.44,6.46,1708277
6.5,6.6,6.41,6.51,1949660
6.65,6.7,6.3,6.32,1761140
6.25,6.2701,5.95,5.95,2452324
5.65,6.14,5.54,6.05,5099302
6.0,6.215,5.91,6.13,2014272
6.35,6.57,6.11,6.14,2121602
6.22,6.24,5.78,5.83,1333337
5.8,5.97,5.64,5.94,1481935
5.98,6.515,5.98,6.49,1907593
6.65,6.85,6.43,6.78,1500424
6.77,6.82,6.51,6.63,1208803
6.44,6.59,6.1,6.13,1225158
6.15,6.18,5.9001,5.92,1410691
6.01,6.0891,5.9,5.93,803006
5.91,6.01,5.81,6.0,882733
6.12,6.21,5.92,6.14,2940842
5.96,6.34,5.95,6.02,1383656
6.02,6.1324,5.77,5.84,1335807
5.79,5.89,5.7,5.71,930823
5.84,6.09,5.83,6.06,1089447
6.0,6.04,5.85,5.99,1200753
5.9,5.93,5.755,5.78,886248
5.72,5.81,5.54,5.56,1298926
5.54,5.62,5.35,5.38,1445293
5.46,5.5199,5.34,5.36,831495
5.03,5.58,5.03,5.54,1388776
5.59,5.72,5.455,5.71,1052306
5.65,5.81,5.615,5.78,1013460
5.78,5.879,5.665,5.77,1145156
5.78,5.88,5.64,5.88,1897171
5.93,5.9841,5.7201,5.85,983139
5.76,5.84,5.41,5.44,1159414
5.5,5.53,5.15,5.18,1530007
5.16,5.43,5.055,5.24,957492
5.47,5.765,5.39,5.58,953703
5.47,5.5399,5.27,5.44,887713
5.47,5.4998,5.205,5.22,1096853
5.29,5.29,5.01,5.02,1320813
5.07,5.23,5.02,5.2,781978
5.28,5.53,5.25,5.52,1792394
5.47,5.7,5.43,5.65,702465
5.57,5.94,5.5508,5.89,1056504
5.85,6.06,5.82,5.96,1081216
6.02,6.145,5.99,6.14,754678
6.12,6.1599,5.95,5.96,967120
6.03,6.15,5.85,6.04,2915031
4.951,4.99,4.2,4.68,22535115
4.77,4.9,4.38,4.9,6806500
4.9,5.38,4.9,5.27,6076660
5.28,5.5389,5.12,5.26,1913916
5.27,5.32,5.06,5.21,1339087
5.23,5.28,4.91,4.94,1731620
4.98,5.105,4.95,5.05,1062402
5.05,5.05,4.855,4.89,1114571
4.77,4.795,4.64,4.72,1633149
4.72,4.7484,4.53,4.68,1223783
4.67,4.725,4.5319,4.62,913377
4.58,4.68,4.49,4.6,949894
4.68,4.745,4.46,4.52,1037186
4.49,4.67,4.48,4.62,1097299
4.62,4.71,4.5,4.52,797457
4.5,4.53,4.35,4.37,841986
4.35,4.58,4.3228,4.52,797050
4.53,4.56,4.31,4.32,768618
4.39,4.43,4.13,4.18,1331319
4.15,4.2593,4.07,4.18,1321089
4.17,4.35,4.095,4.32,1256738
4.28,4.28,4.05,4.06,1293160
4.06,4.22,4.03,4.07,1706051
4.11,4.14,3.89,4.06,1358496
4.0,4.11,3.95,3.96,1244355
3.95,4.04,3.87,4.02,1401792
4.04,4.23,4.0,4.14,1060989
4.15,4.31,4.005,4.3,916627
4.06,4.17,3.8301,3.85,2432013
3.83,3.83,3.63,3.67,1251571
3.58,3.72,3.48,3.53,1971116
3.53,3.67,3.28,3.31,2397297
3.26,3.32,2.83,2.85,3751288
2.8,3.07,2.66,2.93,3718077
3.22,3.49,3.14,3.17,5031050
3.19,3.595,3.06,3.43,2824583
3.54,3.58,3.395,3.57,2071685
3.57,3.58,3.16,3.17,1589234
3.09,3.23,2.99,3.14,2222801
3.23,3.24,3.08,3.22,1902475
3.21,3.24,3.07,3.15,1535597
3.1,3.125,2.95,3.01,1436676
3.0,3.15,2.985,3.0,2092261
3.04,3.37,3.01,3.34,1629975
3.39,3.535,3.36,3.49,1149043
3.54,3.63,3.37,3.44,2538285
3.45,3.5,3.24,3.28,2164960
3.28,3.4391,3.2389,3.4,1368564
3.34,3.38,3.22,3.26,817024
3.3,3.39,3.27,3.3,876125
3.25,3.269,3.14,3.23,1106763
3.23,3.43,3.23,3.3,1123634
3.15,3.2111,2.96,2.99,2342069
2.92,2.985,2.84,2.88,1531314
2.76,2.8689,2.68,2.69,1732945
2.74,2.765,2.645,2.67,1387878
2.72,2.765,2.64,2.71,1619340
2.65,2.7,2.54,2.56,1613397
2.62,2.72,2.59,2.66,1728981
2.78,2.8256,2.68,2.73,1252675
2.69,2.89,2.65,2.81,1532679
2.83,3.075,2.83,3.06,1116533
3.1,3.37,3.06,3.35,4910019
3.35,3.38,3.09,3.18,1751184
3.18,3.21,2.97,2.98,937528
2.96,2.99,2.83,2.93,1027488
2.91,2.93,2.7818,2.92,901335
2.89,3.06,2.875,3.05,1014881
3.01,3.3,2.96,3.29,1052073
3.3,3.3888,3.23,3.24,812340
