open,high,low,close,volume,Date
51.3,51.3,48.32,48.63,1406093,2020-01-02
48.15,49.2215,47.61,48.95,1397400,2020-01-03
48.46,48.46,46.69,48.15,1153272,2020-01-06
48.3,49.15,47.8636,48.24,525099,2020-01-07
48.33,48.79,47.13,48.5,813299,2020-01-08
48.62,50.81,48.19,50.6,1383213,2020-01-09
51.0,51.17,48.4338,48.98,1144255,2020-01-10
49.23,52.25,48.8801,52.19,1108156,2020-01-13
52.39,53.94,51.65,52.18,1360996,2020-01-14
52.2,55.11,52.13,53.4,1423231,2020-01-15
56.43,57.9,54.19,55.88,2882537,2020-01-16
56.25,56.79,54.5801,54.82,1345839,2020-01-17
54.82,55.63,53.85,55.23,1048439,2020-01-21
55.43,56.1,53.82,53.98,1250042,2020-01-22
54.0,55.56,52.75,55.26,877076,2020-01-23
55.36,55.65,53.84,54.78,1087083,2020-01-24
52.28,54.7049,51.25,53.78,1324569,2020-01-27
54.02,54.75,53.14,54.14,1184299,2020-01-28
54.84,55.0,51.11,51.15,1372077,2020-01-29
51.26,52.19,50.17,50.36,1230458,2020-01-30
50.36,50.425,47.02,47.05,1263146,2020-01-31
47.72,48.0768,46.885,46.91,1022537,2020-02-03
47.75,49.47,47.75,48.12,834573,2020-02-04
49.09,49.8,48.07,49.11,2926837,2020-02-05
51.39,58.75,51.33,57.82,7560699,2020-02-06
57.44,58.84,54.45,54.76,2915974,2020-02-07
54.59,55.24,51.66,51.79,1788004,2020-02-10
52.06,53.69,52.06,52.48,1106742,2020-02-11
52.98,54.09,52.55,53.11,792854,2020-02-12
52.83,53.42,51.8,52.48,833163,2020-02-13
52.83,54.5,52.52,54.4,1203797,2020-02-14
54.15,54.35,50.56,51.51,2088988,2020-02-18
52.17,53.46,51.29,51.31,1136900,2020-02-19
51.47,52.2,50.24,52.06,1067194,2020-02-20
51.68,52.28,50.85,52.14,964675,2020-02-21
49.29,50.1,48.29,48.29,1087690,2020-02-24
48.78,49.29,46.04,46.89,1258017,2020-02-25
46.99,48.56,46.54,47.01,996895,2020-02-26
45.69,48.45,44.71,46.7,1217044,2020-02-27
44.75,48.46,44.51,47.99,1785073,2020-02-28
47.94,48.06,45.5,47.35,1411281,2020-03-02
47.24,49.43,46.63,49.15,1611819,2020-03-03
49.69,50.0,47.79,49.78,883286,2020-03-04
48.54,49.5,47.43,48.04,671703,2020-03-05
46.43,47.53,45.47,46.77,831032,2020-03-06
43.38,43.65,39.8,39.81,1680246,2020-03-09
42.15,42.21,36.11,40.42,1705291,2020-03-10
39.15,42.0999,39.15,40.19,2016359,2020-03-11
36.24,40.29,35.37,36.92,1566470,2020-03-12
38.81,41.0,37.62,40.98,1706736,2020-03-13
36.94,40.58,35.47,35.88,2242874,2020-03-16
36.49,37.93,34.57,37.0,1788688,2020-03-17
34.86,37.1,32.82,33.91,1694230,2020-03-18
33.31,39.62,32.79,38.35,1530036,2020-03-19
38.59,42.55,36.99,38.67,2044493,2020-03-20
38.93,42.205,37.56,40.76,1820787,2020-03-23
42.76,45.7,41.9903,45.06,1135179,2020-03-24
44.88,46.82,42.94,45.16,1068423,2020-03-25
45.35,46.4,43.08,44.31,646696,2020-03-26
42.3,44.17,40.4,43.34,583426,2020-03-27
43.09,43.3471,40.3,41.14,797213,2020-03-30
41.11,43.31,40.4,40.9,782750,2020-03-31
39.57,40.36,37.008,39.39,938835,2020-04-01
39.3,40.53,38.58,39.82,721529,2020-04-02
39.85,40.67,37.4,38.02,1203605,2020-04-03
39.69,43.37,39.0224,42.35,1041899,2020-04-06
43.77,46.83,42.7059,43.38,1070826,2020-04-07
43.84,47.655,43.605,47.15,802411,2020-04-08
48.04,49.7,47.05,48.0,981639,2020-04-09
47.61,47.83,46.01,46.65,466589,2020-04-13
47.35,48.68,46.34,48.42,585569,2020-04-14
46.95,48.08,45.75,47.85,509758,2020-04-15
48.0,50.0,47.2001,49.93,945905,2020-04-16
50.65,50.99,48.95,50.04,1007706,2020-04-17
48.51,51.6,48.51,50.55,740744,2020-04-20
49.45,51.55,49.1471,50.9,670755,2020-04-21
50.0,50.49,48.0,50.12,1280220,2020-04-22
50.29,52.68,50.11,51.18,743969,2020-04-23
52.93,55.29,52.645,55.11,1717376,2020-04-24
55.59,57.17,55.0,57.1,1873740,2020-04-27
57.31,61.48,56.745,61.13,2426235,2020-04-28
56.65,60.66,52.72,60.29,3468752,2020-04-29
58.0,62.13,57.92,60.96,1325466,2020-04-30
59.35,60.4,58.32,59.4,814782,2020-05-01
58.3,59.49,57.75,59.24,440902,2020-05-04
59.6,60.49,58.68,59.0,640013,2020-05-05
59.43,62.5979,59.35,61.93,793466,2020-05-06
63.0,63.17,60.75,61.91,642788,2020-05-07
62.26,64.96,62.16,64.65,575568,2020-05-08
64.21,65.535,63.68,64.73,704489,2020-05-11
64.81,65.62,63.03,63.03,1019802,2020-05-12
62.77,63.55,61.06,63.04,652774,2020-05-13
61.68,63.46,61.04,63.41,478398,2020-05-14
62.98,63.635,62.12,62.92,571814,2020-05-15
65.47,69.62,65.15,68.65,1229931,2020-05-18
68.98,70.44,67.71,69.21,630203,2020-05-19
69.75,70.57,69.52,70.17,715645,2020-05-20
70.41,73.72,70.0,72.54,836665,2020-05-21
71.58,73.52,71.09,73.1,894507,2020-05-22
75.0,77.81,74.75,77.28,1115693,2020-05-26
77.13,78.42,72.87,73.49,1332828,2020-05-27
73.47,75.7061,72.01,72.11,674748,2020-05-28
72.12,74.4034,71.3787,73.72,489839,2020-05-29
73.76,76.8999,73.6725,74.95,912226,2020-06-01
75.17,76.615,74.21,76.04,450091,2020-06-02
76.72,81.505,76.5501,81.09,910063,2020-06-03
80.24,81.7,80.07,80.68,629951,2020-06-04
82.75,83.575,79.075,82.0,1383631,2020-06-05
81.83,82.55,80.19,80.37,658553,2020-06-08
79.63,81.59,78.365,80.75,566247,2020-06-09
80.51,81.9,79.41,80.03,697872,2020-06-10
77.4,78.535,73.81,74.59,942598,2020-06-11
76.79,77.66,73.64,75.2,537183,2020-06-12
80.95,87.2,78.5,82.39,4837191,2020-06-15
83.07,83.73,78.22,81.73,1235983,2020-06-16
82.35,86.2,82.01,84.27,968970,2020-06-17
84.12,84.12,81.56,82.26,676014,2020-06-18
83.75,84.06,80.46,81.4,1358834,2020-06-19
82.04,84.8992,81.0,83.05,664294,2020-06-22
84.05,85.2,83.55,83.74,461055,2020-06-23
83.39,84.26,79.6801,79.82,752609,2020-06-24
79.87,82.59,79.2503,82.15,565048,2020-06-25
79.38,82.77,79.38,82.23,717712,2020-06-26
82.6,84.73,81.1,83.81,689400,2020-06-29
83.54,85.47,83.46,83.9,719700,2020-06-30
84.0,85.21,82.17,84.77,535300,2020-07-01
86.0,87.34,85.39,85.58,441600,2020-07-02
86.88,87.63,84.74,86.16,652900,2020-07-06
85.55,89.26,85.2,85.9,665800,2020-07-07
86.82,88.16,85.51,87.98,600000,2020-07-08
87.39,87.97,85.24,86.15,586100,2020-07-09
86.36,86.91,83.12,83.51,635700,2020-07-10
84.14,85.57,81.66,81.78,675700,2020-07-13
80.19,84.32,79.88,84.28,616000,2020-07-14
85.0,86.22,83.0,85.38,514500,2020-07-15
84.05,85.81,83.88,84.72,474300,2020-07-16
85.02,86.35,84.0,84.4,434800,2020-07-17
83.54,87.15,83.04,86.07,787604,2020-07-20
86.86,86.86,83.88,85.77,853519,2020-07-21
82.66,82.87,78.66,79.35,2386538,2020-07-22
78.87,79.42,73.61,74.06,1721607,2020-07-23
73.37,74.2,71.11,71.55,1160078,2020-07-24
72.5,74.4,71.57,72.23,729606,2020-07-27
72.66,72.69,70.76,71.35,554741,2020-07-28
71.29,73.08,71.29,72.29,509047,2020-07-29
71.53,73.8,71.13,73.6,500653,2020-07-30
73.99,74.09,71.76,72.69,437453,2020-07-31
73.13,73.84,72.37,73.31,437739,2020-08-03
73.29,74.31,72.18,74.17,532145,2020-08-04
74.47,75.93,73.57,75.08,438610,2020-08-05
75.19,75.5,72.66,72.81,442033,2020-08-06
74.95,78.65,71.2,71.6,1469886,2020-08-07
71.62,72.38,69.2,70.39,966491,2020-08-10
71.0,72.66,70.22,70.24,735732,2020-08-11
70.43,71.1285,69.76,70.66,482187,2020-08-12
71.28,72.38,70.38,71.93,365252,2020-08-13
72.04,72.85,70.45,71.39,409100,2020-08-14
71.78,74.18,71.02,73.61,459084,2020-08-17
74.44,74.44,71.9,72.78,323347,2020-08-18
72.61,74.5,72.61,73.02,375861,2020-08-19
72.32,74.61,72.23,74.39,409393,2020-08-20
73.94,76.01,73.36,76.0,666397,2020-08-21
76.65,77.955,74.16,74.51,488242,2020-08-24
74.42,74.81,73.17,74.58,260935,2020-08-25
74.66,77.4609,74.66,76.46,468546,2020-08-26
76.68,76.99,74.18,74.68,309995,2020-08-27
74.78,75.47,73.62,74.26,342721,2020-08-28
74.04,74.79,73.35,74.03,362567,2020-08-31
74.03,77.4,73.9,77.08,463105,2020-09-01
77.94,78.92,76.51,78.34,566948,2020-09-02
77.62,77.63,71.05,72.21,982797,2020-09-03
72.27,73.23,67.55,71.41,593517,2020-09-04
68.83,73.08,68.14,71.56,498516,2020-09-08
72.02,74.62,71.84,74.26,588769,2020-09-09
74.04,79.71,74.04,77.64,1304679,2020-09-10
78.58,80.63,76.34,77.02,902244,2020-09-11
77.85,79.81,77.06,79.81,394570,2020-09-14
80.21,84.305,80.0,83.49,1084329,2020-09-15
83.98,86.86,81.3801,81.81,1165787,2020-09-16
80.16,80.545,76.24,77.85,600066,2020-09-17
78.5,79.96,76.48,78.23,786679,2020-09-18
76.76,77.62,75.55,76.06,638559,2020-09-21
76.14,77.91,75.2,76.75,390032,2020-09-22
77.01,77.18,75.05,75.22,410223,2020-09-23
74.45,76.48,73.0,75.93,420872,2020-09-24
76.02,76.76,75.295,76.6,272218,2020-09-25
77.88,78.95,77.07,77.2,344179,2020-09-28
77.26,78.2,76.68,77.64,236661,2020-09-29
77.75,78.84,75.66,75.9,508907,2020-09-30
76.75,79.49,75.4,79.31,766388,2020-10-01
77.27,79.96,76.7504,78.89,505025,2020-10-02
79.5149,81.04,79.0,80.99,417033,2020-10-05
81.19,83.46,80.55,80.83,477770,2020-10-06
81.2,83.79,81.2,83.08,445096,2020-10-07
84.01,86.97,83.4901,86.5,494925,2020-10-08
86.915,91.23,86.78,89.83,822049,2020-10-09
91.0,91.4,85.55,88.67,713615,2020-10-12
88.62,90.79,88.4,90.27,449592,2020-10-13
90.22,91.4,89.69,90.99,384895,2020-10-14
88.12,92.0,87.4997,90.25,503366,2020-10-15
90.44,92.31,89.21,89.28,535046,2020-10-16
89.97,94.82,89.96,91.38,841191,2020-10-19
91.75,98.55,91.75,96.0,2689165,2020-10-20
92.12,92.467,79.5,83.48,8409044,2020-10-21
84.5,86.42,80.93,82.29,2316399,2020-10-22
83.0,85.66,82.13,84.0,1203649,2020-10-23
83.06,85.92,80.535,81.95,847222,2020-10-26
82.64,85.83,82.2,85.18,791158,2020-10-27
82.5,84.465,81.1814,81.705,643776,2020-10-28
82.28,82.65,81.27,81.33,537742,2020-10-29
81.45,82.13,78.35,79.58,760478,2020-10-30
80.6,82.6,79.75,80.99,530825,2020-11-02
81.9,82.85,80.52,82.1,671040,2020-11-03
83.04,84.39,80.74,80.93,725347,2020-11-04
81.75,85.13,81.04,83.92,635573,2020-11-05
83.72,86.54,83.26,85.2,601316,2020-11-06
81.0,82.68,72.5,72.59,2650493,2020-11-09
74.57,74.57,71.1001,71.38,1279385,2020-11-10
72.61,77.06,72.0,76.39,1187332,2020-11-11
76.66,77.04,75.01,75.61,588932,2020-11-12
76.35,77.14,74.6,76.53,533173,2020-11-13
76.45,77.89,75.73,77.02,721412,2020-11-16
77.24,78.5,75.76,77.87,705296,2020-11-17
77.98,78.49,75.43,75.52,648529,2020-11-18
76.13,78.68,75.88,77.93,552077,2020-11-19
78.14,78.97,77.28,78.38,485615,2020-11-20
78.75,80.89,78.27,79.84,485633,2020-11-23
80.7,80.77,76.66,77.67,589118,2020-11-24
77.95,79.91,77.5552,78.32,584280,2020-11-25
78.98,79.4517,76.9003,79.13,295821,2020-11-27
79.19,79.6655,76.62,78.43,921035,2020-11-30
79.31,79.335,76.62,77.37,502560,2020-12-01
76.99,78.28,75.61,77.67,401695,2020-12-02
77.71,78.9897,77.03,78.15,292063,2020-12-03
78.36,79.5,77.0,77.09,468451,2020-12-04
77.0,77.55,75.56,76.54,564031,2020-12-07
76.25,78.34,75.6,78.1,704236,2020-12-08
78.49,79.67,75.71,76.71,353194,2020-12-09
76.26,77.18,75.07,76.51,268593,2020-12-10
76.5,77.3,74.01,74.32,448010,2020-12-11
75.36,78.16,74.67,76.16,540478,2020-12-14
77.01,78.33,76.12,78.23,361903,2020-12-15
78.66,81.924,77.76,79.54,721637,2020-12-16
80.0,81.72,79.51,80.83,409288,2020-12-17
81.18,83.4,80.69,83.05,1351343,2020-12-18
81.5,84.225,81.035,82.98,651257,2020-12-21
83.5,87.71,83.16,87.57,734302,2020-12-22
88.09,88.4534,86.05,86.61,495422,2020-12-23
86.74,88.2,85.62,85.85,241523,2020-12-24
86.75,87.42,85.6,87.08,310817,2020-12-28
87.52,87.59,82.11,83.64,561575,2020-12-29
84.0,85.18,83.165,83.46,232561,2020-12-30
83.46,83.46,80.13,80.29,461015,2020-12-31
80.47,82.77,78.8512,79.38,688954,2021-01-04
79.64,81.521,79.23,81.16,473119,2021-01-05
80.2,80.98,78.54,79.45,587302,2021-01-06
80.09,86.5126,79.53,84.97,726031,2021-01-07
85.32,86.2,83.23,83.92,533047,2021-01-08
83.65,87.41,82.28,87.06,496450,2021-01-11
87.42,87.94,85.63,85.95,653105,2021-01-12
86.35,88.7,84.02,87.29,487396,2021-01-13
87.73,89.23,86.68,88.12,561823,2021-01-14
87.75,93.799,87.23,89.21,1203485,2021-01-15
89.87,93.23,86.53,91.57,970311,2021-01-19
91.86,94.55,91.2,94.18,754921,2021-01-20
94.55,99.8,93.8,96.55,1069376,2021-01-21
95.52,99.07,94.2801,98.94,679264,2021-01-22
100.05,154.75,99.54,115.81,10042417,2021-01-25
115.63,126.7,111.45,126.4,2798971,2021-01-26
129.0,197.4,128.56,161.16,7410730,2021-01-27
136.59,150.96,115.082,122.0,3992558,2021-01-28
128.46,129.8,119.46,120.1,2012793,2021-01-29
120.0,126.61,114.0,122.39,1278974,2021-02-01
116.01,119.36,103.64,113.47,1547561,2021-02-02
112.08,116.61,110.6006,116.52,787158,2021-02-03
118.81,118.81,114.14,116.03,655329,2021-02-04
117.5,123.4527,115.38,118.97,744105,2021-02-05
121.15,125.65,117.23,124.67,880630,2021-02-08
125.0,126.35,120.325,126.2,909370,2021-02-09
127.0,129.71,122.0,127.24,1384425,2021-02-10
134.96,135.0,122.03,128.91,2891801,2021-02-11
130.0,137.79,129.0,133.4,1194466,2021-02-12
133.67,134.68,120.31,122.48,1463640,2021-02-16
122.0,123.89,119.45,121.74,965568,2021-02-17
118.5,123.53,117.3632,122.77,645043,2021-02-18
124.0,127.56,123.68,125.7,516784,2021-02-19
125.6,126.0,119.83,121.51,767627,2021-02-22
115.37,118.585,108.9418,118.14,788126,2021-02-23
119.14,122.45,116.4536,122.1,641423,2021-02-24
122.67,129.49,121.01,123.36,827923,2021-02-25
123.54,128.27,121.78,124.11,493840,2021-02-26
126.0,129.9,125.11,125.48,539633,2021-03-01
126.0,126.0,117.77,118.14,525722,2021-03-02
119.85,120.325,116.005,118.44,534212,2021-03-03
119.0,122.03,109.3,112.61,1318207,2021-03-04
112.2,120.96,107.02,120.5,700564,2021-03-05
118.7,123.36,116.33,117.37,511635,2021-03-08
120.0,122.37,113.82,114.11,682683,2021-03-09
115.64,118.395,113.87,115.87,409836,2021-03-10
116.4,122.1619,116.4,121.83,560513,2021-03-11
120.0,120.0,116.26,119.33,371211,2021-03-12
120.12,126.7159,119.27,126.0,569183,2021-03-15
127.0,134.5,124.67,127.95,678648,2021-03-16
126.78,127.73,121.5329,127.47,375506,2021-03-17
128.11,129.99,117.4319,118.47,433450,2021-03-18
118.61,123.5465,116.9801,119.15,966674,2021-03-19
121.22,124.49,118.785,123.82,357059,2021-03-22
124.17,125.375,117.15,117.96,407007,2021-03-23
119.0,119.33,111.51,111.77,525348,2021-03-24
110.0,114.06,107.33,112.97,456295,2021-03-25
114.26,115.17,109.0,112.75,350245,2021-03-26
112.85,114.45,109.46,110.64,302094,2021-03-29
110.28,117.21,109.44,116.56,449512,2021-03-30
118.76,124.54,117.1351,122.18,793246,2021-03-31
122.87,125.35,121.33,121.69,383533,2021-04-01
122.73,123.97,120.01,123.86,291666,2021-04-05
124.95,124.95,121.87,122.65,201440,2021-04-06
121.47,122.88,118.685,119.34,212058,2021-04-07
120.46,120.89,118.43,119.52,217452,2021-04-08
119.76,119.87,115.44,116.82,271330,2021-04-09
117.0,117.0241,112.3101,113.33,394094,2021-04-12
114.39,117.02,112.325,116.42,390218,2021-04-13
116.21,117.46,114.54,114.7,233467,2021-04-14
116.08,116.76,113.54,113.93,258340,2021-04-15
114.97,116.41,113.0,113.95,610742,2021-04-16
113.76,114.96,107.92,110.53,540944,2021-04-19
111.06,112.48,108.85,111.76,557215,2021-04-20
111.81,113.55,109.51,112.8,293448,2021-04-21
113.19,114.11,111.2795,112.56,356710,2021-04-22
113.22,114.83,112.295,113.4,274166,2021-04-23
114.6,116.5,113.83,116.05,417237,2021-04-26
116.32,117.45,114.42,114.89,218161,2021-04-27
113.31,113.54,110.69,111.97,402850,2021-04-28
113.0,113.05,109.6446,110.8,516173,2021-04-29
109.13,111.34,108.1328,108.8,506647,2021-04-30
109.43,110.81,103.5004,103.96,1410906,2021-05-03
91.3,96.17,89.05,96.17,3059801,2021-05-04
96.76,97.96,92.76,95.36,1116287,2021-05-05
95.29,99.05,94.2,98.46,1092437,2021-05-06
98.59,98.9,95.9,96.93,541870,2021-05-07
97.2,97.43,94.06,96.22,494615,2021-05-10
93.56,95.51,92.32,95.34,659859,2021-05-11
95.22,96.14,92.29,93.61,632074,2021-05-12
94.6,95.95,91.55,93.87,367576,2021-05-13
94.42,96.82,94.42,96.36,303907,2021-05-14
96.19,98.0999,95.6249,96.78,303049,2021-05-17
97.05,99.67,96.22,96.77,501954,2021-05-18
94.91,94.96,92.67,94.04,413192,2021-05-19
94.47,95.61,93.93,95.27,320267,2021-05-20
95.96,96.83,94.34,94.34,206288,2021-05-21
94.82,95.0291,92.69,93.46,351800,2021-05-24
94.05,95.05,93.42,94.0,260478,2021-05-25
94.5,95.29,93.75,94.73,469909,2021-05-26
95.2,98.535,94.13,97.63,685276,2021-05-27
98.52,99.67,97.33,97.7,414884,2021-05-28
98.77,100.87,97.4,98.51,621851,2021-06-01
98.99,106.65,96.075,105.93,1615346,2021-06-02
106.0,106.6399,99.1,99.99,711841,2021-06-03
100.0,100.6499,97.1,97.55,409131,2021-06-04
