open,high,low,close,volume,Date
27.5,27.58,27.05,27.56,507100,2020-01-02
27.31,27.5,27.11,27.35,257873,2020-01-03
27.12,27.14,26.28,26.34,250026,2020-01-06
26.46,26.73,26.15,26.66,188770,2020-01-07
26.71,26.99,26.5,26.61,147427,2020-01-08
26.88,26.9,26.16,26.51,183312,2020-01-09
26.52,26.57,26.13,26.29,173044,2020-01-10
26.38,26.66,26.35,26.64,127160,2020-01-13
26.67,27.06,26.62,26.91,221931,2020-01-14
26.89,27.55,26.84,27.18,287410,2020-01-15
27.36,27.7,27.18,27.69,243182,2020-01-16
27.75,27.86,27.56,27.63,220482,2020-01-17
27.4,27.48,27.13,27.38,313162,2020-01-21
27.47,27.58,27.02,27.17,247263,2020-01-22
27.21,28.2,27.02,28.18,813465,2020-01-23
28.25,28.45,27.6,28.02,832343,2020-01-24
27.42,27.42,26.65,27.26,569738,2020-01-27
27.42,28.36,27.18,28.27,555526,2020-01-28
28.27,28.66,27.99,28.28,358822,2020-01-29
27.74,28.25,26.42,27.28,818262,2020-01-30
27.09,27.26,25.84,25.89,808101,2020-01-31
26.04,26.32,25.6,25.94,454610,2020-02-03
26.44,26.84,26.25,26.77,574853,2020-02-04
27.23,27.6525,26.92,27.48,371215,2020-02-05
27.52,27.66,26.6,26.89,472928,2020-02-06
26.61,26.72,25.93,26.07,375564,2020-02-07
25.87,26.08,25.65,25.71,388945,2020-02-10
25.94,26.15,25.65,26.03,230147,2020-02-11
26.3,26.64,26.06,26.6,236276,2020-02-12
26.4,26.61,26.26,26.39,276046,2020-02-13
26.43,26.53,25.95,26.21,287384,2020-02-14
25.89,26.05,25.0,25.13,370117,2020-02-18
25.39,25.56,25.18,25.48,179912,2020-02-19
25.47,25.66,25.04,25.59,168463,2020-02-20
25.41,25.41,24.79,24.89,201694,2020-02-21
23.77,24.16,23.55,23.93,212393,2020-02-24
24.15,24.15,22.78,22.85,344798,2020-02-25
22.98,23.42,22.78,22.96,195784,2020-02-26
22.26,22.79,21.81,22.05,388310,2020-02-27
21.77,22.97,21.4,22.83,415801,2020-02-28
22.9,23.75,22.41,23.69,416326,2020-03-02
23.67,24.28,22.62,22.83,828901,2020-03-03
23.2,23.8,22.68,23.8,296035,2020-03-04
23.12,24.61,22.99,24.51,810987,2020-03-05
23.64,24.51,23.43,24.04,722636,2020-03-06
22.27,23.27,21.5,21.51,362689,2020-03-09
22.15,22.57,21.34,22.42,384684,2020-03-10
21.79,21.95,20.43,20.65,272749,2020-03-11
19.35,19.85,18.43,18.46,388518,2020-03-12
19.45,22.97,19.27,22.9,1074848,2020-03-13
18.25,21.19,18.0,19.73,713316,2020-03-16
20.25,21.3,19.15,21.3,482701,2020-03-17
19.9,21.52,19.55,20.28,1170552,2020-03-18
19.98,21.16,18.75,20.3,834026,2020-03-19
20.72,21.22,18.65,18.72,755293,2020-03-20
19.09,19.68,16.91,18.21,773912,2020-03-23
18.98,20.58,18.83,20.01,597290,2020-03-24
20.25,21.39,19.15,20.83,782605,2020-03-25
20.96,22.5,20.81,22.4,528737,2020-03-26
21.52,21.65,20.75,20.88,346614,2020-03-27
21.1,21.72,20.72,21.15,439215,2020-03-30
21.07,21.48,20.77,20.87,476878,2020-03-31
19.95,20.83,19.55,20.31,511823,2020-04-01
20.19,20.98,19.78,20.89,360109,2020-04-02
20.65,21.03,19.94,20.34,337873,2020-04-03
20.97,22.25,20.76,22.12,299810,2020-04-06
22.88,23.18,21.82,22.45,290437,2020-04-07
22.77,23.09,22.28,22.49,257259,2020-04-08
22.78,23.31,22.28,22.47,346570,2020-04-09
22.44,22.58,21.93,22.16,309420,2020-04-13
22.79,23.6,22.79,23.45,386053,2020-04-14
22.78,23.18,22.45,22.97,483671,2020-04-15
23.24,23.78,23.16,23.63,501830,2020-04-16
24.07,24.49,23.64,24.15,369613,2020-04-17
23.75,24.12,23.63,23.92,404442,2020-04-20
23.55,23.76,22.16,22.37,502696,2020-04-21
23.24,23.48,22.58,23.37,452013,2020-04-22
23.12,23.65,23.12,23.46,309348,2020-04-23
23.47,23.88,23.05,23.73,340315,2020-04-24
24.0,25.22,23.99,24.87,330300,2020-04-27
25.15,25.39,24.6,24.87,268283,2020-04-28
25.01,26.43,24.97,26.19,637619,2020-04-29
25.4,25.82,23.9,23.97,524833,2020-04-30
23.71,23.71,21.64,21.74,517751,2020-05-01
21.71,21.9,20.65,21.14,867984,2020-05-04
21.33,22.52,21.22,21.71,429439,2020-05-05
21.91,22.2,21.51,21.62,911130,2020-05-06
21.99,22.3,21.79,22.14,298659,2020-05-07
22.61,24.09,22.23,23.14,433182,2020-05-08
22.82,23.13,22.71,22.75,390613,2020-05-11
22.97,23.0,22.22,22.26,350614,2020-05-12
22.2,22.2,20.79,21.15,225114,2020-05-13
20.87,21.28,20.29,21.25,487920,2020-05-14
20.77,21.16,20.65,20.9,273997,2020-05-15
21.59,22.17,21.23,22.0,358724,2020-05-18
21.95,22.85,21.89,22.1,368595,2020-05-19
22.55,23.24,22.36,23.05,211559,2020-05-20
23.0,23.31,22.42,22.43,293796,2020-05-21
22.39,22.43,22.06,22.28,140328,2020-05-22
22.81,23.25,22.57,22.68,316998,2020-05-26
22.97,23.26,22.41,23.09,258662,2020-05-27
23.11,23.26,22.2,22.27,297246,2020-05-28
21.87,22.45,21.63,22.36,627021,2020-05-29
22.27,22.56,22.01,22.24,458549,2020-06-01
22.44,22.54,22.05,22.46,682482,2020-06-02
22.91,23.67,22.91,23.48,464893,2020-06-03
23.39,24.03,23.3,23.67,545778,2020-06-04
24.33,24.72,23.88,24.34,333737,2020-06-05
24.34,24.6,23.96,24.56,316737,2020-06-08
24.36,24.62,24.06,24.37,267028,2020-06-09
24.37,24.37,23.68,23.72,288250,2020-06-10
23.0,23.28,22.11,22.26,400621,2020-06-11
22.9,23.12,22.04,22.35,221798,2020-06-12
21.71,22.91,21.71,22.89,570148,2020-06-15
23.65,23.93,23.19,23.27,613464,2020-06-16
23.49,23.58,23.02,23.28,212523,2020-06-17
23.19,23.41,23.0,23.06,235747,2020-06-18
23.24,23.5,22.83,22.95,704946,2020-06-19
22.84,22.98,22.5,22.73,293043,2020-06-22
22.74,23.53,22.74,23.13,878959,2020-06-23
22.42,23.16,21.87,21.89,984589,2020-06-24
21.78,21.9,21.21,21.43,654458,2020-06-25
21.35,21.68,20.12,20.2,1735507,2020-06-26
20.3,21.1783,20.1,20.2,2008986,2020-06-29
20.27,21.26,20.27,20.83,3296931,2020-06-30
20.9,21.27,20.74,20.79,770928,2020-07-01
21.06,21.59,20.89,21.21,825260,2020-07-02
22.19,22.32,21.78,21.88,685511,2020-07-06
21.7,22.26,21.36,21.49,1172241,2020-07-07
21.65,21.82,21.32,21.76,1090594,2020-07-08
22.01,23.34,21.81,23.29,973857,2020-07-09
22.85,23.53,22.47,22.76,738575,2020-07-10
23.13,23.61,22.31,22.34,566326,2020-07-13
22.11,22.43,21.93,22.25,668098,2020-07-14
22.43,22.71,22.01,22.23,515644,2020-07-15
22.03,22.2,21.74,22.01,381773,2020-07-16
22.11,22.61,21.96,22.5,371865,2020-07-17
22.5,23.59,22.35,23.57,429750,2020-07-20
23.84,24.1,23.49,23.94,596064,2020-07-21
24.05,24.41,23.8575,24.25,432560,2020-07-22
24.18,24.86,24.09,24.21,480919,2020-07-23
23.96,23.96,23.06,23.43,476507,2020-07-24
23.66,25.565,23.59,25.41,936775,2020-07-27
25.23,25.62,24.99,25.11,857585,2020-07-28
25.29,25.76,25.17,25.58,496345,2020-07-29
25.35,25.829,24.29,25.28,776300,2020-07-30
25.51,25.51,23.5,23.7,802827,2020-07-31
23.86,24.4,23.49,23.6,550415,2020-08-03
23.58,24.17,23.21,24.15,1021774,2020-08-04
24.18,25.81,23.88,25.22,1714844,2020-08-05
25.47,26.6,24.6,24.72,1200264,2020-08-06
24.55,25.05,24.45,24.83,1010733,2020-08-07
24.84,25.08,24.725,24.93,662892,2020-08-10
24.9,25.805,24.89,24.925,826074,2020-08-11
25.12,25.39,24.68,24.81,811939,2020-08-12
24.86,25.51,24.33,24.52,543648,2020-08-13
24.45,24.72,23.8,23.89,452276,2020-08-14
24.15,24.3,23.63,24.1,551867,2020-08-17
24.2,24.39,23.75,24.34,646001,2020-08-18
24.23,24.58,24.135,24.46,667047,2020-08-19
24.37,24.37,23.65,23.83,525147,2020-08-20
23.71,24.01,23.6,23.97,487358,2020-08-21
24.2,24.66,24.18,24.63,498992,2020-08-24
24.72,25.175,24.55,25.11,248293,2020-08-25
25.15,25.18,24.79,25.16,245708,2020-08-26
25.14,25.2,24.4,24.42,357160,2020-08-27
24.57,24.89,24.24,24.68,241740,2020-08-28
24.6,24.67,23.96,23.98,313839,2020-08-31
24.0,24.58,23.9,24.45,612821,2020-09-01
24.8,26.05,24.79,26.0,367598,2020-09-02
25.53,25.53,24.65,24.82,386263,2020-09-03
24.89,24.98,23.77,24.22,309552,2020-09-04
23.53,23.92,23.1808,23.37,376581,2020-09-08
23.8,23.8,23.34,23.35,526607,2020-09-09
23.69,23.69,22.975,23.02,273269,2020-09-10
23.1,23.48,22.78,22.93,240403,2020-09-11
23.33,23.65,23.31,23.49,324344,2020-09-14
23.68,23.75,23.335,23.52,169042,2020-09-15
23.63,23.82,23.28,23.31,440137,2020-09-16
22.77,23.495,22.69,23.43,236429,2020-09-17
23.53,23.56,22.86,23.18,668237,2020-09-18
22.84,23.02,22.56,22.77,292380,2020-09-21
22.92,23.1,22.2,22.72,204229,2020-09-22
22.79,23.01,22.1,22.11,260876,2020-09-23
21.91,22.63,21.88,22.33,224805,2020-09-24
22.15,22.28,21.8625,22.09,255805,2020-09-25
22.3,23.04,22.13,22.54,473067,2020-09-28
22.61,22.97,22.61,22.64,688837,2020-09-29
22.58,22.8,22.22,22.4,400356,2020-09-30
22.53,22.79,22.5,22.7,280535,2020-10-01
22.1,22.4,21.87,21.89,532367,2020-10-02
22.04,23.23,22.04,23.2,466951,2020-10-05
23.29,24.46,23.26,23.92,587228,2020-10-06
24.11,24.46,23.64,23.88,493942,2020-10-07
24.0,24.59,23.85,24.55,362510,2020-10-08
24.83,25.5,24.55,25.08,554471,2020-10-09
25.2,25.32,24.72,25.18,327535,2020-10-12
25.13,27.66,25.1,27.47,797631,2020-10-13
27.48,27.59,26.45,26.92,526735,2020-10-14
26.39,26.99,26.0,26.93,348108,2020-10-15
26.82,27.07,26.71,26.85,306559,2020-10-16
26.91,27.35,26.89,27.01,331517,2020-10-19
27.16,27.325,26.79,27.0,448238,2020-10-20
27.005,27.325,26.4838,27.17,335380,2020-10-21
27.22,27.27,26.67,27.13,280255,2020-10-22
27.17,27.29,26.6,26.91,156432,2020-10-23
26.41,26.71,26.085,26.19,265037,2020-10-26
26.12,26.34,25.84,25.87,200087,2020-10-27
25.43,25.64,25.2001,25.45,199796,2020-10-28
25.42,26.09,25.3101,25.94,285609,2020-10-29
25.75,26.14,25.42,26.14,278059,2020-10-30
26.54,26.85,26.26,26.49,191497,2020-11-02
26.82,27.09,26.54,26.81,223202,2020-11-03
27.12,27.56,26.82,27.38,323547,2020-11-04
27.8,28.77,26.8,28.34,296358,2020-11-05
28.34,28.5752,27.82,28.47,248193,2020-11-06
29.5,29.9408,28.45,28.53,443081,2020-11-09
28.29,28.75,27.76,28.18,299901,2020-11-10
28.6,28.69,28.0,28.49,538851,2020-11-11
28.4,28.68,27.9,28.12,504948,2020-11-12
28.51,28.755,28.115,28.4,539368,2020-11-13
28.54,28.96,28.23,28.55,489817,2020-11-16
28.32,29.42,28.2738,29.31,1700339,2020-11-17
29.5,31.54,29.49,31.19,1891318,2020-11-18
32.01,32.5,29.32,30.03,1940605,2020-11-19
30.14,30.8515,29.94,30.05,1026975,2020-11-20
30.19,30.93,29.8,30.66,669916,2020-11-23
30.99,31.22,30.25,30.92,635079,2020-11-24
30.79,31.0,30.09,30.55,285235,2020-11-25
30.67,30.89,30.47,30.61,178941,2020-11-27
30.51,30.88,29.9,30.45,617313,2020-11-30
30.83,31.54,30.7687,31.29,397265,2020-12-01
31.24,31.4812,30.86,31.01,375387,2020-12-02
31.04,31.67,31.04,31.43,335678,2020-12-03
31.37,32.22,31.285,32.21,533922,2020-12-04
32.44,33.29,32.21,33.01,684647,2020-12-07
32.9,33.1889,32.56,33.01,574740,2020-12-08
33.02,33.41,32.13,32.44,1059282,2020-12-09
32.44,34.19,32.33,34.02,1803213,2020-12-10
33.93,34.2,33.095,33.67,1432775,2020-12-11
