open,high,low,close,volume
10.25,10.25,9.82,9.89,564328
9.9,9.96,9.86,9.86,762763
9.96,9.96,9.85,9.88,1280789
9.9,9.905,9.7901,9.85,192570
9.85,9.85,9.75,9.77,605537
9.77,9.85,9.77,9.81,692465
9.9,9.94,9.83,9.83,72303
9.88,9.88,9.76,9.78,189577
9.85,9.85,9.77,9.78,546245
9.85,9.85,9.74,9.7599,1068527
9.73,9.8,9.73,9.74,3925673
9.8,9.8,9.69,9.71,3147963
9.74,9.75,9.67,9.68,1902445
9.72,9.75,9.67,9.71,1325422
9.7,9.75,9.7,9.7166,550328
9.76,9.77,9.7216,9.75,2401524
9.82,9.82,9.73,9.73,172260
9.85,9.85,9.67,9.7,1623875
9.75,9.7699,9.68,9.68,2177911
9.67,9.72,9.6501,9.68,347983
9.69,9.705,9.67,9.68,304983
9.71,9.73,9.6765,9.68,348739
9.71,9.74,9.67,9.67,78163
9.73,9.73,9.65,9.66,292303
9.66,9.67,9.63,9.65,1441881
9.65,9.7,9.63,9.63,2067850
9.65,9.66,9.64,9.65,2394804
9.65,9.7,9.64,9.65,304143
9.74,9.74,9.63,9.65,1571479
9.66,9.7,9.62,9.65,1652882
9.65,9.69,9.6,9.63,1154338
9.63,9.64,9.6,9.63,716681
9.63,9.7,9.62,9.69,189840
9.7,9.73,9.68,9.69,509822
9.76,9.78,9.73,9.77,1534452
9.79,9.79,9.72,9.72,1443973
9.7,9.725,9.66,9.67,163474
9.66,9.8,9.66,9.7,714714
9.69,9.7395,9.66,9.68,724462
9.67,9.72,9.67,9.7,1501959
9.74,9.74,9.69,9.69,754783
9.7,9.73,9.685,9.7,151275
9.72,9.72,9.69,9.71,46038
9.74,9.74,9.67,9.74,301651
9.75,9.8,9.7,9.72,44545
9.71,9.735,9.69,9.71,995889
9.79,9.79,9.71,9.75,134369
9.78,9.78,9.7,9.76,51361
9.76,9.7662,9.7,9.76,1332376
9.8,9.85,9.77,9.83,416161
9.88,9.9,9.8261,9.88,1623718
9.87,9.88,9.82,9.88,1393800
9.88,9.885,9.84,9.87,1440953
9.88,9.88,9.86,9.87,513207
9.88,9.89,9.86,9.88,405431
9.88,9.98,9.87,9.94,2085323
9.94,9.98,9.83,9.86,2296411
9.89,9.97,9.84,9.92,3394259
9.93,9.93,9.88,9.91,7606766
9.96,9.96,9.91,9.94,899986
9.96,9.98,9.94,9.98,1982462
9.97,10.03,9.9,9.97,1162373
9.95,10.0,9.94,9.945,1191593
9.98,10.0,9.945,9.97,1483598
9.98,9.98,9.95,9.96,869000
9.98,10.0,9.96,9.97,532777
10.03,10.03,9.97,10.0,755643
10.03,10.03,9.995,10.03,2353666
10.08,10.1,10.01,10.04,2093012
10.11,10.18,10.04,10.08,4007382
10.1,10.11,10.03,10.06,1784646
10.04,10.08,10.02,10.07,3152683
10.07,10.07,10.01,10.01,1266224
10.03,10.08,10.02,10.04,1172658
10.04,10.04,10.0,10.02,685686
10.0,10.02,10.0,10.01,636614
10.0,10.04,10.0,10.03,1075509
10.05,10.05,10.02,10.03,738187
10.05,14.0,10.03,13.2,108167484
14.99,15.63,13.0,14.15,108859751
15.1,17.12,14.5,16.72,94091530
