open,high,low,close,volume,Date
8.43,9.05,8.41,9.04,2935539,2020-01-02
8.91,9.52,8.9,9.4,2435595,2020-01-03
9.4,9.79,9.37,9.73,2114248,2020-01-06
9.77,10.59,9.75,10.51,3040085,2020-01-07
10.47,10.77,10.27,10.52,2673118,2020-01-08
10.72,10.96,10.41,10.49,1816818,2020-01-09
10.4,10.45,9.53,10.39,2483091,2020-01-10
10.41,10.68,10.4,10.65,1430960,2020-01-13
10.7,10.9,10.56,10.76,1117304,2020-01-14
10.67,10.72,10.18,10.45,2214996,2020-01-15
10.35,10.5124,10.25,10.31,1271734,2020-01-16
10.39,10.46,9.89,10.13,1194420,2020-01-17
9.86,10.09,9.66,9.97,1183500,2020-01-21
10.08,10.13,9.33,9.48,1149623,2020-01-22
9.47,9.64,9.14,9.56,1523682,2020-01-23
9.52,9.69,8.93,8.96,2757298,2020-01-24
8.89,9.25,8.46,9.03,1681238,2020-01-27
9.15,9.79,9.15,9.7,1698669,2020-01-28
9.85,10.015,9.67,10.0,1159709,2020-01-29
9.91,10.13,9.75,10.11,1241079,2020-01-30
9.8,10.08,9.02,9.36,3349252,2020-01-31
9.5,9.56,9.08,9.22,1216088,2020-02-03
9.44,9.8,9.32,9.66,1156489,2020-02-04
9.83,9.93,9.57,9.9,1032072,2020-02-05
9.95,10.19,9.74,10.13,793859,2020-02-06
10.13,10.4,10.08,10.32,823588,2020-02-07
10.34,10.48,10.04,10.43,751391,2020-02-10
10.46,10.51,9.82,10.15,1438865,2020-02-11
10.27,10.4,10.07,10.24,894865,2020-02-12
10.14,10.5,10.128,10.38,1114844,2020-02-13
10.58,10.91,10.5,10.87,1455792,2020-02-14
11.0,11.93,10.97,11.84,2426413,2020-02-18
11.98,12.99,11.79,12.75,2880728,2020-02-19
12.75,13.11,12.48,13.06,2297009,2020-02-20
13.0,13.0,12.305,12.61,1866057,2020-02-21
11.76,12.38,11.59,12.08,1319158,2020-02-24
12.18,12.2999,11.54,11.64,1541083,2020-02-25
11.66,11.9266,10.81,11.04,2023150,2020-02-26
11.07,11.07,9.58,10.67,2994374,2020-02-27
10.19,11.35,10.08,11.35,1988826,2020-02-28
11.42,11.66,10.74,11.03,2207163,2020-03-02
11.05,11.18,10.25,10.6,2349985,2020-03-03
10.77,10.82,10.38,10.75,1441201,2020-03-04
10.43,10.58,10.125,10.35,1327684,2020-03-05
10.0,10.155,8.155,9.17,2697387,2020-03-06
8.44,8.56,7.88,7.9,2036281,2020-03-09
8.24,8.37,7.73,7.74,1626118,2020-03-10
7.5,7.7,6.79,7.11,2445571,2020-03-11
6.52,6.73,6.01,6.09,2242626,2020-03-12
6.54,6.6,5.48,6.02,2228839,2020-03-13
5.31,5.388,4.77,4.89,2191134,2020-03-16
5.25,5.96,4.51,5.88,2832837,2020-03-17
5.51,5.57,4.75,5.01,2317311,2020-03-18
4.97,5.74,4.9,5.6,1976640,2020-03-19
5.92,6.04,5.0,5.01,2068095,2020-03-20
5.01,5.31,4.55,4.99,1633436,2020-03-23
5.49,5.8516,5.335,5.63,2131185,2020-03-24
5.8,6.37,5.64,5.75,2098148,2020-03-25
5.74,6.14,5.62,6.06,2193825,2020-03-26
5.9,6.175,5.57,6.0,1628526,2020-03-27
6.1,6.22,5.56,5.82,1947500,2020-03-30
5.82,5.98,5.51,5.55,2671980,2020-03-31
5.47,5.71,5.17,5.28,2246004,2020-04-01
5.2,5.21,4.575,4.7,3646378,2020-04-02
4.77,4.88,4.09,4.15,3236014,2020-04-03
4.51,4.93,4.35,4.86,3789852,2020-04-06
5.3,5.62,5.04,5.24,3684112,2020-04-07
5.42,5.56,5.21,5.43,2353452,2020-04-08
5.7,5.97,5.57,5.69,3167049,2020-04-09
5.74,5.79,5.47,5.76,1964889,2020-04-13
6.02,6.25,5.95,6.02,2070452,2020-04-14
5.73,5.82,5.42,5.66,2219431,2020-04-15
5.7,5.79,5.2,5.38,2542412,2020-04-16
5.9,5.92,5.44,5.64,2066045,2020-04-17
5.5,5.6,5.36,5.55,1388289,2020-04-20
5.41,5.475,5.175,5.31,1356505,2020-04-21
5.47,5.6,5.385,5.44,1364899,2020-04-22
5.5,6.28,5.435,6.07,3082237,2020-04-23
6.1,6.22,5.87,6.03,1764193,2020-04-24
6.04,6.81,5.965,6.62,2678502,2020-04-27
6.98,6.98,6.41,6.59,1855257,2020-04-28
6.98,7.5,6.71,7.36,2837012,2020-04-29
7.4,7.55,7.11,7.17,2345535,2020-04-30
6.81,6.98,6.17,6.42,2371732,2020-05-01
6.05,6.45,6.05,6.4,1462807,2020-05-04
6.64,6.69,6.395,6.52,1956969,2020-05-05
6.56,6.855,6.452,6.62,2613014,2020-05-06
6.27,6.79,5.77,5.92,4645856,2020-05-07
6.08,6.37,5.96,6.34,2072379,2020-05-08
6.34,6.35,5.83,6.02,2550584,2020-05-11
6.07,6.3199,5.83,5.99,2864125,2020-05-12
5.95,6.06,5.0,5.05,5739064,2020-05-13
5.05,5.05,4.6025,4.92,4788491,2020-05-14
4.9,5.23,4.89,5.12,2667858,2020-05-15
5.47,5.74,5.3,5.44,2989579,2020-05-18
5.39,5.47,5.07,5.08,2913901,2020-05-19
5.15,5.24,5.05,5.21,2936386,2020-05-20
5.04,5.31,4.94,5.25,2363762,2020-05-21
5.28,5.39,5.03,5.17,2207562,2020-05-22
5.44,6.255,5.39,6.13,5518988,2020-05-26
6.31,6.57,6.01,6.46,4425820,2020-05-27
6.5,6.73,6.14,6.23,3056059,2020-05-28
6.21,6.35,5.95,6.27,2800671,2020-05-29
6.21,6.795,6.06,6.59,3089951,2020-06-01
6.62,6.82,6.41,6.6,2825634,2020-06-02
6.96,7.775,6.94,7.65,5744178,2020-06-03
7.65,7.73,7.03,7.16,3002633,2020-06-04
7.65,8.42,7.49,8.28,4668614,2020-06-05
8.69,8.9,8.12,8.25,3983507,2020-06-08
7.88,8.18,7.54,7.81,3143600,2020-06-09
8.0,8.08,7.23,7.47,2468781,2020-06-10
6.76,7.2,6.64,6.73,2429221,2020-06-11
7.02,7.46,6.61,6.98,2174889,2020-06-12
6.61,7.17,6.44,7.11,1959062,2020-06-15
7.59,7.65,7.11,7.315,1733377,2020-06-16
7.39,7.73,7.2,7.31,2126622,2020-06-17
7.11,7.35,7.01,7.25,1662284,2020-06-18
7.36,7.68,7.15,7.175,3655402,2020-06-19
7.53,7.55,7.21,7.36,1368010,2020-06-22
7.41,7.4475,7.06,7.2,2090893,2020-06-23
7.1,7.21,6.4501,6.59,2761272,2020-06-24
6.46,6.785,6.46,6.75,1728345,2020-06-25
6.8,6.83,6.22,6.22,3414838,2020-06-26
6.33,6.93,6.1,6.63,2719700,2020-06-29
6.83,6.83,6.52,6.67,2629000,2020-06-30
6.6,6.88,6.59,6.65,1017600,2020-07-01
6.8,7.03,6.61,6.81,2325100,2020-07-02
7.45,8.0,7.06,7.64,3343000,2020-07-06
7.4,7.65,7.0,7.02,2850000,2020-07-07
7.06,7.24,6.63,6.78,3416500,2020-07-08
7.13,7.13,6.32,6.56,2137400,2020-07-09
