open,high,low,close,volume,Date
4.1,4.1,3.61,3.72,103718958,2020-01-02
3.5,3.9,3.48,3.83,82884373,2020-01-03
4.19,4.24,3.66,3.68,106602995,2020-01-06
3.7,3.73,3.21,3.24,106557643,2020-01-07
3.14,3.49,3.13,3.39,65119460,2020-01-08
3.44,3.58,3.33,3.46,54632591,2020-01-09
3.49,3.575,3.4,3.51,35626740,2020-01-10
3.705,3.73,3.52,3.7,59739857,2020-01-13
3.7,3.82,3.61,3.76,55193434,2020-01-14
4.19,4.48,4.0,4.29,234552104,2020-01-15
3.99,4.4,3.91,4.37,99176742,2020-01-16
4.51,4.705,4.46,4.67,109385407,2020-01-17
4.6,5.29,4.52,5.17,181125581,2020-01-21
5.42,5.65,4.69,4.79,206949568,2020-01-22
4.57,4.95,4.31,4.92,102385147,2020-01-23
5.0,5.06,4.51,4.66,65433492,2020-01-24
3.985,4.35,3.84,4.01,101438582,2020-01-27
4.25,4.27,4.03,4.21,48746205,2020-01-28
4.23,4.33,4.02,4.27,53344806,2020-01-29
4.24,4.38,4.01,4.08,74852748,2020-01-30
4.02,4.04,3.67,3.78,77698912,2020-01-31
3.535,4.11,3.52,4.06,73844757,2020-02-03
4.2899,4.7,4.16,4.51,123430967,2020-02-04
4.37,4.48,4.13,4.39,73554169,2020-02-05
4.2,4.33,4.05,4.08,75460136,2020-02-06
4.02,4.02,3.74,3.81,80603454,2020-02-07
3.67,3.91,3.6187,3.87,67035329,2020-02-10
3.83,4.05,3.8,3.96,54033261,2020-02-11
4.0,4.2,3.98,4.07,50757706,2020-02-12
3.95,4.05,3.86,4.03,42234992,2020-02-13
4.02,4.035,3.75,3.77,69481541,2020-02-14
3.9,3.98,3.76,3.8,47696828,2020-02-18
3.93,4.1,3.86,4.08,72970041,2020-02-19
4.1,4.4,4.01,4.26,86788998,2020-02-20
4.2,4.2,4.02,4.08,40425711,2020-02-21
3.79,3.935,3.76,3.88,56025203,2020-02-24
5.18,5.19,4.24,4.4,205890156,2020-02-25
4.5,4.71,4.3,4.34,69556928,2020-02-26
4.09,4.3,3.92,4.14,77412788,2020-02-27
3.96,4.14,3.87,4.13,63621682,2020-02-28
4.15,4.19,3.9,4.11,55891795,2020-03-02
4.08,4.21,3.95,4.06,47501140,2020-03-03
4.03,4.07,3.77,3.87,49320453,2020-03-04
3.78,3.89,3.68,3.72,72596718,2020-03-05
3.62,3.66,3.42,3.55,61159830,2020-03-06
3.01,3.54,2.99,3.29,55002061,2020-03-09
3.49,3.54,3.29,3.5,34795271,2020-03-10
3.4,3.53,3.26,3.32,31094208,2020-03-11
3.06,3.23,2.98,3.13,52216838,2020-03-12
3.28,3.33,2.99,3.11,41674686,2020-03-13
2.87,3.11,2.75,2.94,41179891,2020-03-16
2.97,3.12,2.79,2.9,34718996,2020-03-17
2.4,2.58,2.11,2.43,94183702,2020-03-18
2.3,2.55,2.23,2.38,35441298,2020-03-19
2.49,2.64,2.35,2.4,50454804,2020-03-20
2.34,2.37,2.15,2.37,47296888,2020-03-23
2.55,2.75,2.4,2.6,64569680,2020-03-24
2.72,2.99,2.6,2.76,56486349,2020-03-25
2.81,3.07,2.78,2.93,43577079,2020-03-26
2.85,2.89,2.76,2.84,25045452,2020-03-27
2.81,2.83,2.7,2.71,20065723,2020-03-30
2.83,2.88,2.68,2.78,30216094,2020-03-31
2.63,2.76,2.6,2.65,17058829,2020-04-01
2.51,2.59,2.22,2.39,58748936,2020-04-02
2.45,2.4896,2.33,2.4,19404652,2020-04-03
2.48,2.55,2.4,2.47,34819869,2020-04-06
2.81,2.81,2.65,2.7,46032394,2020-04-07
2.76,2.8,2.71,2.74,18225435,2020-04-08
2.82,2.82,2.63,2.67,32671119,2020-04-09
2.67,2.97,2.63,2.97,38232188,2020-04-13
3.15,3.16,2.92,3.01,36367067,2020-04-14
2.95,3.2,2.88,3.2,27425283,2020-04-15
3.3,3.41,3.2,3.25,37409994,2020-04-16
3.36,3.36,3.15,3.21,22827576,2020-04-17
3.18,3.35,3.05,3.19,18635947,2020-04-20
3.1,3.22,3.01,3.02,19758338,2020-04-21
3.09,3.15,3.05,3.09,14493983,2020-04-22
3.2,3.2,3.05,3.06,17372610,2020-04-23
3.08,3.1,2.91,2.94,22069667,2020-04-24
3.0,3.26,2.95,3.24,35576753,2020-04-27
3.4,3.445,3.2,3.34,36164871,2020-04-28
3.83,3.98,3.59,3.61,88971412,2020-04-29
3.63,3.72,3.37,3.41,44389437,2020-04-30
3.3,3.33,3.12,3.18,31175024,2020-05-01
3.08,3.36,3.08,3.34,23323294,2020-05-04
3.44,3.48,3.28,3.28,22283744,2020-05-05
3.59,3.65,3.45,3.62,54209579,2020-05-06
3.63,3.67,3.52,3.63,26666125,2020-05-07
3.68,3.8,3.6,3.77,27705410,2020-05-08
3.72,3.77,3.66,3.74,16542095,2020-05-11
3.74,3.78,3.61,3.62,21720746,2020-05-12
3.64,3.68,3.32,3.44,33945576,2020-05-13
3.33,3.52,3.27,3.45,20891466,2020-05-14
3.37,3.45,3.36,3.37,13618530,2020-05-15
3.5,3.69,3.5,3.61,27771320,2020-05-18
3.62,3.75,3.59,3.69,21654002,2020-05-19
3.76,3.82,3.4,3.48,51576759,2020-05-20
3.4,3.44,3.2325,3.33,41491886,2020-05-21
3.33,3.34,3.18,3.27,22798211,2020-05-22
3.42,3.83,3.4,3.82,59622624,2020-05-26
4.01,4.2,3.9,4.17,70224324,2020-05-27
3.98,4.12,3.75,3.83,62756668,2020-05-28
3.82,4.0,3.73,3.98,50301733,2020-05-29
4.0,4.33,3.96,4.26,68951059,2020-06-01
4.36,4.73,4.35,4.7,81717678,2020-06-02
5.0,5.7,4.98,5.6,198303797,2020-06-03
6.01,6.2,5.61,5.97,172617852,2020-06-04
6.03,6.075,5.52,5.59,90517235,2020-06-05
5.81,6.08,5.68,5.97,85523884,2020-06-08
5.84,6.83,5.76,6.68,135060628,2020-06-09
6.72,6.95,6.16,6.3,99921419,2020-06-10
5.79,6.09,5.66,5.91,126114178,2020-06-11
6.2,6.32,5.92,6.1,59687107,2020-06-12
