open,high,low,close,volume
11.27,11.72,11.175,11.29,178992
11.35,11.84,11.348,11.5,214415
11.75,11.819,11.35,11.42,186527
11.44,11.89,11.42,11.52,181298
11.48,11.65,11.45,11.53,165158
11.6,11.635,11.31,11.37,121565
11.43,11.45,11.1,11.18,212583
11.28,11.43,11.23,11.27,85646
11.37,11.41,10.99,11.09,380802
11.16,11.505,11.137,11.39,194212
11.56,11.789,11.43,11.67,200947
11.74,12.4,11.61,12.32,216459
12.3,12.84,12.3,12.71,619970
12.75,12.91,12.5,12.89,808460
12.91,13.4,12.885,13.04,853540
13.15,13.66,13.01,13.15,772110
13.19,13.35,12.85,12.91,134474
13.07,13.33,12.96,13.2,250174
13.25,13.32,13.11,13.31,268408
13.35,13.91,13.27,13.68,1009610
13.74,13.92,13.43,13.58,567425
13.53,13.88,13.31,13.69,579766
13.78,14.18,13.713,14.0,293943
14.02,14.345,13.8902,13.97,325717
14.08,14.82,13.98,14.26,578585
14.39,14.5,14.0,14.15,524465
14.14,14.601,14.03,14.2,420335
14.35,15.17,14.34,14.7,356200
15.25,16.3,14.99,16.28,1096252
16.41,16.97,15.756,16.0,417912
16.01,16.28,15.49,16.21,291639
16.19,16.89,16.08,16.24,274950
16.5,18.265,16.5,18.04,696633
18.51,19.33,17.86,19.31,544298
19.04,19.06,17.56,17.86,463064
17.5,18.101,17.41,17.55,692258
18.43,19.765,16.77,17.94,1122171
18.14,18.395,17.419,17.67,452885
17.35,17.75,16.73,16.73,558891
15.71,17.3,15.03,17.3,503490
17.3,20.32,17.3,20.31,884754
20.38,20.49,18.91,19.63,622217
19.66,20.085,19.25,19.7,440960
19.25,20.87,19.2,19.46,316279
18.69,19.01,17.87,18.09,417506
15.09,16.9,15.09,16.82,625974
17.36,18.395,16.4,17.03,510658
16.7,16.72,15.38,15.89,905837
14.5,15.14,11.5,11.5,594612
12.16,12.3,10.21,11.15,641275
10.15,10.49,8.41,9.02,637870
9.23,9.46,8.12,9.33,673490
8.87,8.88,6.12,7.0,694655
7.0,8.21,6.57,7.43,969657
7.82,12.43,7.673,10.17,4998918
10.63,11.17,7.59,10.03,831752
10.51,11.92,10.04,10.9,874205
11.17,12.49,10.21,11.93,705543
11.97,13.6,11.93,12.61,604387
12.04,12.19,10.745,10.91,527200
10.83,10.83,9.82,10.14,690952
10.15,10.4,9.73,10.07,667156
9.52,10.06,9.152,9.8,504250
9.82,10.11,9.45,9.94,547946
9.77,9.92,8.655,9.06,750101
9.51,9.72,9.06,9.45,789570
10.4,10.86,9.95,10.68,758662
10.73,11.33,10.46,11.16,749063
11.21,12.28,11.21,11.76,786139
11.91,12.18,10.51,11.32,659330
11.53,13.405,11.53,12.88,1196229
12.51,12.61,11.125,11.71,995383
12.01,12.15,10.21,10.62,620436
11.12,11.35,10.88,10.99,569840
10.9,11.5,10.581,11.12,427058
10.95,11.07,9.98,10.69,671508
11.07,11.68,10.7,11.58,338392
11.64,12.54,11.599,12.3,459775
12.26,12.5,11.18,11.3,414167
11.39,12.22,11.39,12.09,333556
12.3,12.71,12.15,12.41,337600
12.67,14.25,12.445,13.92,854362
13.7,13.97,12.37,12.6,822887
12.31,12.59,11.18,11.53,649198
11.13,11.69,11.01,11.66,236023
11.87,12.1,11.29,11.33,234775
11.48,11.79,11.0,11.44,356557
11.65,12.71,11.473,12.71,408134
12.99,14.15,12.81,13.94,499827
13.33,13.77,12.81,13.7,380915
13.72,14.89,13.071,13.94,388600
13.78,14.66,12.605,13.13,518811
12.47,14.14,12.3,13.9,530810
13.94,14.5,12.84,14.12,560181
14.87,15.78,14.22,15.75,495633
14.94,15.74,14.85,14.9,521378
14.7,15.39,13.84,14.07,320383
14.03,14.18,13.456,13.57,258307
13.86,13.95,13.52,13.71,313689
14.64,14.9,14.18,14.64,486957
15.0,15.05,13.16,14.48,519905
14.93,15.301,14.29,14.74,368181
14.64,15.28,14.32,15.0,774711
15.19,16.58,14.9,16.44,639398
16.61,16.74,15.37,15.6,278146
15.99,16.98,15.86,16.4,361891
16.34,16.48,15.42,15.68,574839
16.28,16.45,15.55,15.99,434001
16.32,16.7,15.87,16.37,891393
16.03,16.7,15.74,16.38,404280
16.33,16.67,16.005,16.42,515396
15.59,16.0,13.85,13.93,507982
15.0,16.46,14.4,16.36,535242
16.72,18.41,16.42,18.08,817888
18.81,19.03,17.84,17.95,849458
17.91,19.003,17.49,17.79,641859
17.57,19.13,17.47,18.96,642465
19.13,20.09,18.84,19.83,1345426
19.9,20.01,19.12,19.4,713668
19.57,19.85,19.27,19.51,590995
19.18,19.52,18.6,19.21,467341
19.47,19.47,18.82,19.11,408422
19.0,19.11,18.4,18.85,671273
18.02,18.5,15.8901,17.55,1030435
17.2,17.24,16.11,17.07,1103685
17.81,18.46,17.01,17.51,2423271
17.93,18.27,17.522,17.58,607834
18.39,19.27,18.22,18.82,913995
18.91,19.79,18.87,18.97,778173
18.62,19.79,18.21,19.26,1053775
19.7,19.789,18.71,19.1,603028
19.31,19.35,18.27,19.03,525047
19.15,19.355,18.52,18.6,957598
18.71,19.69,18.71,19.51,1518198
20.37,20.93,19.34,19.4,1389795
19.18,20.12,17.5,19.72,1202452
19.68,21.0,19.13,20.94,1058730
20.95,22.48,20.36,20.79,1746556
21.26,21.57,20.44,20.51,789636
21.05,22.26,21.01,21.84,1661763
21.84,22.87,21.675,22.0,1212531
21.81,22.59,21.01,22.3,688055
23.22,24.7499,23.14,23.75,1467852
23.74,24.6,23.05,23.61,991499
23.6,24.13,23.3,23.74,1120821
24.12,25.55,22.86,24.45,1737518
24.58,25.67,24.09,25.01,893018
25.18,26.36,23.96,25.52,1207787
25.86,26.745,25.6501,26.55,1046006
26.44,27.72,25.25,27.5,1298828
27.45,28.6999,26.97,27.66,805822
27.25,28.73,27.18,27.73,697112
27.85,29.61,27.82,28.59,1160172
28.83,29.0,25.91,26.86,1622658
26.97,28.039,26.5616,26.98,807104
27.17,28.535,27.05,28.2,809346
26.24,26.35,23.9,24.29,7310165
24.98,25.09,23.8002,24.4,2366376
25.09,25.15,23.43,24.3,1818203
24.19,25.0,23.98,24.16,1155761
24.08,24.35,23.24,23.35,833258
23.35,24.55,23.07,23.76,957454
24.05,24.25,23.39,23.54,648431
23.5,25.05,23.31,25.04,1146443
24.94,26.11,23.89,24.2,1121162
24.61,25.66,24.3,24.75,1112534
24.77,25.07,24.35,24.54,987905
24.5,24.6199,23.13,23.72,1309246
23.58,23.9,23.1611,23.7,1287843
24.52,24.74,23.54,23.82,1089231
23.55,23.85,21.9101,22.35,1489166
22.12,22.37,18.82,21.44,2434160
21.04,22.4,20.51,22.09,1546034
22.33,24.08,22.33,23.6,2092118
23.57,24.255,23.28,23.45,2193822
23.59,23.93,23.06,23.26,797552
23.7,25.07,23.23,24.98,1109516
25.38,27.0,25.23,26.42,1101144
26.42,27.19,25.93,26.22,839579
25.7,26.23,24.52,24.69,1036935
25.23,26.3524,24.86,25.14,4949808
24.5,25.91,24.1577,25.85,824051
26.02,26.49,25.26,26.09,778589
26.39,26.9,25.41,25.89,1193735
25.45,26.33,24.37,25.46,1187850
25.52,26.62,25.151,26.52,1626755
27.01,28.29,26.58,26.79,1669311
26.05,26.99,23.46,26.93,3639499
27.42,30.6763,27.2001,30.41,3949437
30.7,31.26,29.67,30.11,3350600
29.25,33.01,28.0,28.57,4242273
28.93,29.56,28.6,28.73,1687951
29.05,29.42,27.68,28.05,2004275
28.98,30.45,28.87,28.99,2333604
29.75,30.3,27.26,28.02,2000724
28.14,29.54,28.14,29.36,1027654
30.17,30.64,28.02,28.35,2251088
28.39,29.81,28.39,28.44,1655144
29.27,29.91,28.7704,29.64,1634236
28.97,30.3,28.07,28.37,2896952
28.67,29.59,27.85,29.0,4944360
29.3,30.91,28.74,29.97,2528202
30.15,32.45,30.15,30.77,3064181
31.09,31.39,26.64,26.74,3209009
26.75,27.2,25.1906,26.57,2316788
27.25,27.69,26.11,26.86,1213500
26.23,27.48,25.5227,25.93,1063340
26.22,26.9,25.53,26.25,895480
26.0,26.87,25.42,26.54,1749184
26.17,26.25,24.81,25.56,2465912
25.12,25.3,23.65,24.06,1863579
24.25,26.11,24.24,26.02,1719639
26.23,28.74,26.23,28.31,2133214
27.0,28.89,25.83,28.72,2217141
29.72,33.07,29.72,31.93,2740726
32.36,35.95,32.25,33.2,2475606
35.0,36.48,32.01,32.44,2323227
33.02,33.2899,30.67,31.51,1768526
32.11,34.98,32.11,33.27,1764960
33.78,34.78,32.17,32.37,1921878
33.145,33.24,31.83,32.66,912306
32.61,34.36,32.38,34.1,1316752
34.11,35.5,33.5,35.14,1128233
35.64,36.2,32.84,32.9,1822601
33.13,33.925,31.61,31.98,1709364
32.22,35.24,31.79,34.78,1716297
35.32,38.56,35.32,38.21,2583318
39.85,41.51,38.59,39.79,2736014
39.83,42.66,39.0101,42.56,1865827
43.19,45.31,42.665,45.0,1987392
45.47,46.0,39.86,40.51,2707591
39.79,42.91,38.9,40.11,6011073
39.23,40.085,36.82,38.62,2105863
39.39,40.035,38.13,38.91,1950545
39.45,40.74,38.57,39.28,1296821
39.42,39.5,37.82,38.72,1069415
