open,high,low,close,volume
9.7,9.7,9.7,9.7,100
9.7,9.7,9.7,9.7,0
9.7,9.7,9.7,9.7,0
9.7,9.7,9.64,9.7,10410
9.7,9.7,9.7,9.7,60
9.7,9.7,9.7,9.7,0
9.6676,9.6676,9.6676,9.6676,101
9.65,9.69,9.6,9.69,366810
9.69,9.69,9.69,9.69,366810
9.69,9.69,9.69,9.69,10
9.7,9.7,9.6,9.65,401410
9.6721,9.6721,9.6201,9.6292,6364
9.65,9.65,9.63,9.63,17562
9.61,9.63,9.6,9.6,202984
9.6213,9.65,9.6213,9.65,344
9.635,9.635,9.54,9.6,203216
9.95,9.95,9.57,9.6,11450
9.59,9.64,9.59,9.62,1400
9.62,9.67,9.5972,9.67,50104
9.585,9.67,9.585,9.67,4302
9.665,9.665,9.61,9.62,3745
9.63,9.63,9.61,9.61,38976
9.689,9.71,9.6401,9.65,2806
9.6722,9.69,9.65,9.65,2611
9.65,9.65,9.65,9.65,0
9.79,9.79,9.65,9.65,930
9.685,10.0,9.66,10.0,364276
9.7,9.77,9.69,9.72,585271
9.7,9.7,9.66,9.69,3430
9.8,9.8,9.66,9.74,1064553
9.7,9.83,9.7,9.83,1100
9.83,9.83,9.83,9.83,21
9.7,9.73,9.65,9.719,1090
9.75,9.75,9.68,9.73,5990
9.69,9.75,9.69,9.75,2330
9.75,9.85,9.7305,9.85,67899
9.77,9.8,9.75,9.8,18267
9.85,9.85,9.75,9.76,24228
9.72,9.82,9.72,9.78,6923
9.77,9.82,9.76,9.8,33515
9.77,9.8,9.7,9.77,28521
9.84,9.99,9.8,9.85,149837
9.85,9.99,9.83,9.95,112152
9.99,10.0,9.95,9.99,45227
10.0,10.04,9.975,9.995,77200
10.05,10.19,10.04,10.12,238767
10.1702,10.26,10.05,10.07,117894
10.07,10.11,10.04,10.08,96067
10.2,10.2,10.07,10.07,4077
10.01,10.05,10.01,10.05,9047
10.11,10.14,10.03,10.08,117279
14.54,15.25,13.27,13.83,15252201
15.22,16.1,14.18,16.0,8666950
16.9397,17.73,15.42,16.25,4327868
16.79,16.96,14.78,14.93,3651410
14.93,14.93,13.55,14.01,2147209
14.2,14.67,13.91,13.99,1251868
13.95,13.98,13.11,13.5,1516684
13.85,13.95,12.26,13.0,2052539
12.81,13.43,12.7,13.27,1199473
13.05,14.2,13.05,13.61,1535201
14.0,14.2,13.6,13.86,1182249
13.8,13.98,13.25,13.33,1221373
13.33,13.7,13.15,13.2,1186991
13.34,13.58,13.21,13.35,1011263
13.5,14.4,13.5,14.15,1418344
14.15,14.77,13.71,13.75,1465969
13.9,13.9,13.1,13.51,984440
13.51,13.91,13.25,13.82,915403
13.64,13.8,13.36,13.45,713743
13.45,13.49,13.06,13.24,739158
13.27,13.39,12.9,13.33,696193
13.49,13.58,12.68,12.78,1167982
12.97,13.0,12.38,12.42,1365296
12.1,12.3,11.63,11.65,1549481
11.91,12.06,11.65,11.99,617229
11.85,12.0,11.48,11.74,1020311
11.98,12.36,11.55,12.27,1601780
12.25,13.38,12.13,13.36,938153
13.4,13.9501,13.18,13.27,1039455
13.69,14.27,13.58,13.98,1927967
14.12,14.25,13.81,14.19,864665
14.12,14.3,14.01,14.02,1022498
14.0,15.87,13.51,15.31,3245786
15.5,16.3,15.0,15.39,2269974
15.25,15.65,14.5,14.6,1254768
14.71,14.9213,14.3,14.68,476586
14.8,15.39,14.51,15.04,856354
15.0,15.042,14.0,14.65,1164712
14.22,15.01,13.53,14.8,1421368
15.0,15.35,14.625,14.74,940584
14.94,15.9,14.25,14.3,1742040
13.36,14.92,12.25,13.8,2263115
14.03,14.31,13.65,13.79,596049
13.8,14.0,13.02,13.33,679073
13.28,13.75,11.78,13.52,1842055
13.73,13.9,12.7,12.95,1160847
13.0,13.25,12.16,12.25,1066593
12.41,12.75,11.55,11.99,2218765
11.86,11.9899,10.55,11.38,2389856
11.2,12.25,10.11,12.03,1950312
11.99,12.12,10.31,10.47,2179546
10.69,11.19,10.62,10.7,887075
10.7,10.85,10.08,10.35,1733911
10.79,12.12,10.56,12.0,1514698
11.38,12.1,10.96,11.19,1919892
11.78,11.89,11.15,11.23,884168
11.5,11.5,10.41,10.63,1447015
10.3,10.4062,9.81,10.03,1645598
10.23,10.25,9.67,9.71,1586569
9.8,10.04,9.21,9.96,2143434
10.28,10.44,9.75,10.02,1193804
10.21,10.27,9.44,9.59,1520386
9.77,9.89,7.8,8.15,3194475
8.0,8.55,7.8,8.53,1554748
8.75,9.09,8.6,8.99,947069
8.78,9.01,8.11,8.33,1605056
8.26,8.505,7.95,8.37,816662
8.59,8.72,8.085,8.5,818998
8.84,8.88,8.5,8.75,463853
8.99,8.99,7.55,7.63,1434313
7.86,8.015,7.56,7.85,1370281
8.6,11.23,8.57,9.87,33795184
9.95,10.21,8.95,9.84,4804169
9.62,9.79,9.1,9.33,1983607
9.32,9.32,8.62,8.86,1391176
8.82,8.98,8.72,8.9,703736
8.82,9.05,8.27,8.4,1178755
8.4,8.6699,8.03,8.2,973362
8.35,8.94,8.15,8.7,1007093
8.71,9.0,8.23,8.35,994745
8.35,8.75,8.21,8.43,953829
8.25,9.17,8.25,9.04,1166338
9.09,9.663,8.9,9.05,1172244
9.24,9.64,9.15,9.61,788106
9.7,10.35,9.69,10.21,1609124
10.23,11.17,10.2231,11.1,1397677
10.99,11.62,10.75,11.46,1460880
11.6,11.7,10.31,10.86,1319598
10.67,11.29,10.599,10.9,719475
10.93,11.02,10.51,10.65,744758
10.37,10.7499,9.55,10.73,1452109
11.18,11.61,10.91,11.0,691117
11.02,11.28,10.01,10.88,2121662
10.9,11.1983,10.23,10.26,1320545
10.18,10.25,9.34,9.42,1149554
9.02,9.72,8.5,9.63,1211930
9.26,9.58,9.11,9.17,562502
9.32,9.3521,8.275,8.42,1283461
8.7,9.25,8.55,9.06,686760
9.09,9.85,9.06,9.73,640524
9.71,9.94,9.22,9.5,1072977
9.16,9.65,9.0611,9.64,486253
9.66,10.08,9.51,9.63,652582
9.82,10.36,9.55,10.16,680202
10.29,10.41,10.0,10.33,712531
10.43,10.75,9.95,10.33,820205
10.37,11.15,10.37,10.91,923331
11.0,11.34,10.68,11.31,725360
11.27,11.5133,11.04,11.16,625214
11.4,11.85,11.16,11.77,981828
11.6,12.11,11.26,11.97,919744
11.92,12.37,11.64,12.07,969933
12.12,13.08,12.12,12.61,1389367
12.8,13.92,12.8,13.45,2210176
13.57,14.99,13.27,14.48,2037295
14.46,14.5,12.68,12.78,1795284
12.99,13.0999,12.35,13.01,1239317
12.82,12.98,12.1,12.69,781665
13.09,13.18,11.17,11.33,1736543
11.47,11.67,11.05,11.33,832465
11.29,11.69,11.035,11.14,2732548
11.03,11.84,10.99,11.45,2830322
11.29,12.2789,11.29,12.13,6594973
12.21,12.98,11.82,12.89,2742593
13.0,13.36,12.4,13.32,1715023
13.35,13.44,12.49,13.17,1125292
13.3,13.83,12.86,13.02,979660
13.14,13.2602,12.53,12.62,4288890
12.65,12.93,12.25,12.4,556092
12.57,13.32,12.2,12.61,1281868
12.5,12.6429,12.31,12.49,536245
12.6,12.74,12.07,12.35,898358
12.35,12.48,11.75,12.33,755959
12.4,12.4,11.85,11.98,532977
12.06,12.1495,11.56,11.95,484260
11.5,12.14,11.5,11.9,472364
11.96,12.52,11.78,12.34,431564
12.35,12.58,12.02,12.49,451182
12.44,12.44,11.85,12.0,1147576
12.03,12.03,10.94,11.23,1674622
11.03,11.75,10.85,11.13,603755
11.13,11.32,10.75,10.86,499710
10.5,10.73,10.02,10.24,999358
10.28,10.44,9.67,10.19,1435566
10.22,10.5342,10.15,10.24,478268
10.19,10.24,9.61,9.66,509845
9.67,9.67,9.16,9.41,652271
9.41,9.69,8.91,9.37,547577
9.4,9.5,8.75,8.93,761390
8.9,9.49,8.8801,9.42,563225
9.51,9.5273,9.21,9.49,528320
9.43,9.6,9.14,9.19,324160
9.19,9.38,9.07,9.08,296870
9.08,9.08,8.61,8.81,643644
8.9,9.4,8.62,9.33,755334
9.43,9.9,9.161,9.89,596745
9.99,10.05,9.6,9.64,626786
9.81,9.9,9.44,9.86,794712
10.29,10.64,9.63,9.83,815890
10.09,10.23,9.67,10.21,555990
10.32,10.58,10.0,10.46,583687
10.34,10.35,9.75,9.76,546643
9.76,9.76,8.97,8.99,795650
8.88,8.9,8.21,8.34,1272976
8.44,8.48,7.98,8.07,1303597
8.07,8.19,7.6901,7.86,1529660
7.78,8.5,7.4,8.35,3269290
8.39,9.15,8.32,9.11,1458348
9.08,9.45,8.91,9.18,2166199
9.19,9.21,8.68,8.74,1787527
8.68,8.95,8.42,8.74,1310447
8.71,9.13,8.5,9.1,1938347
9.15,9.24,8.29,8.35,1590214
8.35,8.75,8.13,8.4,1486890
8.46,8.8,8.26,8.73,891173
8.72,8.78,8.4,8.49,1039257
8.41,8.6406,8.27,8.32,1196484
8.31,8.39,7.83,7.89,1756000
7.9,8.06,7.68,7.83,1431208
7.8,8.15,7.61,8.04,1131026
8.07,8.0897,7.78,7.81,720372
7.86,8.06,7.59,7.71,1245310
7.75,7.8,7.534,7.6,884986
7.55,7.94,7.41,7.78,1079659
7.7,7.9599,7.43,7.95,1383762
7.97,8.02,7.73,7.91,1605917
7.6,7.65,7.421,7.56,960410
7.63,7.7,7.49,7.56,696933
7.6,7.805,7.475,7.51,1024430
7.56,7.56,7.37,7.54,1138554
7.44,7.54,7.27,7.29,739936
7.28,7.74,7.18,7.7,930489
7.62,7.755,7.43,7.52,669472
7.54,7.59,7.36,7.38,639571
7.44,7.48,7.1,7.32,643876
7.33,7.47,7.16,7.31,424067
7.3,7.3,7.03,7.16,777934
7.33,7.59,7.29,7.31,1152822
7.28,7.3994,7.16,7.2,582044
7.23,7.37,7.09,7.1,1113244
7.13,7.17,6.7198,6.77,937514
6.82,7.04,6.71,6.77,1993893
6.82,6.95,6.76,6.78,578019
6.82,6.96,6.72,6.96,614559
7.0,7.29,6.94,6.96,828892
7.05,7.1883,6.92,6.94,612488
7.0,7.0,6.49,6.72,1780097
6.77,7.105,6.77,7.04,1505268
7.0,7.04,6.77,6.83,657267
6.81,7.01,6.78,6.9,571305
6.83,6.9,6.45,6.55,1825677
6.59,7.12,6.59,7.0,1965209
7.14,7.35,6.7,6.7,2682633
6.72,6.85,6.35,6.47,2252298
6.54,6.655,6.33,6.38,2725154
6.44,6.46,6.15,6.16,1765096
6.32,6.75,6.2,6.75,2016803
6.79,7.03,6.63,7.02,1719462
7.0,7.22,6.94,7.12,1609091
7.07,7.1957,6.86,6.93,1090663
7.0,7.0,6.7522,6.8,1338063
6.83,7.28,6.83,7.14,1897999
7.71,7.95,7.05,7.71,4247682
7.56,7.56,6.81,6.83,2656959
6.98,7.12,6.78,6.96,1504362
7.1,7.1478,6.96,7.08,1242723
7.13,7.715,7.1,7.58,3411006
7.445,7.59,7.13,7.21,1370691
7.18,7.22,6.67,6.71,1731416
6.71,6.75,6.34,6.52,1534976
6.43,6.97,6.43,6.61,2287007
6.63,6.68,6.03,6.17,2730873
6.3,6.51,5.97,6.2,2401340
6.04,6.32,6.01,6.32,1360275
6.1,6.63,6.07,6.59,2591931
6.65,6.93,6.47,6.78,2992789
6.7,7.065,6.51,6.8,2435478
6.86,7.16,6.51,6.53,2099842
6.49,6.63,6.27,6.43,1355187
6.43,6.519,6.005,6.28,2185733
6.08,6.305,5.89,6.14,2185164
6.25,6.66,6.23,6.5,2324152
6.48,6.66,6.35,6.52,1582334
6.42,6.63,6.09,6.09,1474989
6.175,6.195,5.77,5.81,2581418
5.88,6.085,5.76,5.97,2847862
5.84,6.1413,5.8,5.91,2054221
5.95,6.24,5.77,6.19,2913221
6.2,6.43,5.86,5.92,3477568
5.85,5.87,5.51,5.56,20608771
5.4,5.53,5.28,5.31,1895031
5.42,5.49,5.27,5.42,1940874
5.36,5.41,5.22,5.31,2351843
5.32,5.45,5.23,5.38,2714862
5.38,5.58,5.325,5.51,2140877
