open,high,low,close,volume,Date
8.77,9.37,8.71,9.19,302534,2020-01-02
9.02,9.6,9.01,9.16,243536,2020-01-03
9.23,9.53,9.18,9.46,520099,2020-01-06
9.41,10.33,9.38,9.94,564269,2020-01-07
9.92,10.45,9.72,10.43,337386,2020-01-08
10.35,10.35,10.05,10.14,407546,2020-01-09
10.17,10.63,9.91,10.61,528951,2020-01-10
10.5,10.73,10.11,10.7,489928,2020-01-13
11.03,11.05,10.44,10.7,388120,2020-01-14
10.71,11.6,10.51,11.27,507298,2020-01-15
11.59,11.74,10.93,11.12,387620,2020-01-16
11.17,11.2,10.84,10.97,322658,2020-01-17
10.98,11.23,10.75,11.175,351830,2020-01-21
11.2,11.92,11.18,11.38,392072,2020-01-22
11.49,11.63,10.986,11.16,283386,2020-01-23
11.29,11.6,10.82,11.15,284224,2020-01-24
11.13,11.38,10.74,11.19,296433,2020-01-27
11.38,12.03,11.38,11.98,494281,2020-01-28
12.0,12.4,11.78,12.17,665407,2020-01-29
11.99,12.46,11.7,12.34,437211,2020-01-30
12.35,12.75,12.29,12.57,584570,2020-01-31
12.64,12.95,12.2,12.88,527927,2020-02-03
12.85,13.7,12.84,13.66,988803,2020-02-04
13.56,13.56,12.51,13.32,785238,2020-02-05
13.32,13.395,12.9,13.34,364788,2020-02-06
13.33,13.44,13.1,13.24,327185,2020-02-07
13.28,13.75,13.11,13.5,336686,2020-02-10
13.59,13.69,13.4,13.66,187968,2020-02-11
13.55,14.28,13.53,14.2,404201,2020-02-12
14.24,14.83,14.1,14.82,353012,2020-02-13
15.11,15.3,14.17,14.25,583425,2020-02-14
14.27,14.38,13.68,14.21,378905,2020-02-18
14.3,15.14,14.26,14.88,341730,2020-02-19
14.89,15.84,14.63,15.55,441661,2020-02-20
15.56,15.85,15.18,15.76,309063,2020-02-21
15.14,15.45,14.2,15.1,585085,2020-02-24
15.05,15.43,14.3,14.89,603942,2020-02-25
14.77,15.96,14.75,15.58,475228,2020-02-26
15.1,15.236,12.75,13.99,640202,2020-02-27
13.36,14.0,13.25,13.58,387343,2020-02-28
13.72,14.38,13.552,13.86,305192,2020-03-02
13.94,14.18,12.7,13.03,313879,2020-03-03
13.4,13.59,12.66,12.99,264548,2020-03-04
12.75,13.19,12.66,12.85,347080,2020-03-05
12.58,12.97,12.1,12.77,375308,2020-03-06
11.88,13.0,11.11,11.78,641220,2020-03-09
12.06,12.06,10.0,10.27,880987,2020-03-10
10.23,10.23,8.28,8.29,941689,2020-03-11
7.71,8.2,7.39,7.51,494369,2020-03-12
7.79,8.603,7.775,8.02,461761,2020-03-13
7.32,7.495,6.8,7.03,506535,2020-03-16
7.17,7.195,6.09,6.49,530896,2020-03-17
6.19,6.5,4.42,4.96,642286,2020-03-18
5.01,6.5,4.99,6.13,419765,2020-03-19
6.29,6.73,5.96,6.25,353575,2020-03-20
6.28,6.58,5.76,6.3,229635,2020-03-23
6.73,7.24,6.51,7.21,333019,2020-03-24
7.2,7.76,6.697,6.93,414491,2020-03-25
7.03,7.35,6.13,7.35,630476,2020-03-26
7.14,7.44,6.835,7.07,491951,2020-03-27
7.14,7.22,5.575,6.47,753610,2020-03-30
6.17,6.535,5.445,5.68,559500,2020-03-31
5.38,5.55,5.01,5.07,455882,2020-04-01
5.17,5.25,5.01,5.02,321510,2020-04-02
5.02,5.19,4.5,4.52,431992,2020-04-03
4.84,5.39,4.74,5.24,498305,2020-04-06
5.53,6.18,5.36,5.63,458579,2020-04-07
5.79,6.24,5.47,6.19,340026,2020-04-08
6.39,7.2,6.21,7.05,483407,2020-04-09
7.06,7.4,6.551,7.32,495785,2020-04-13
7.36,7.9,6.73,7.79,718157,2020-04-14
7.51,7.77,7.06,7.66,384436,2020-04-15
7.68,8.74,7.68,8.69,707192,2020-04-16
9.3,9.6,9.0,9.44,562431,2020-04-17
9.31,9.589,9.01,9.43,375079,2020-04-20
9.25,9.39,8.31,9.23,398702,2020-04-21
9.44,9.498,9.03,9.35,341054,2020-04-22
9.54,10.25,9.22,10.01,470452,2020-04-23
10.06,10.5,9.881,10.48,660874,2020-04-24
10.5,11.79,10.47,11.41,712659,2020-04-27
11.66,12.23,11.31,11.48,490038,2020-04-28
11.64,11.7,10.3,10.73,394104,2020-04-29
10.52,10.7,9.78,10.06,302450,2020-04-30
10.0,10.74,9.44,10.67,353407,2020-05-01
10.49,10.67,9.99,10.21,206930,2020-05-04
