open,high,low,close,volume
35.0,38.45,33.49,35.1,8893413
37.9,42.88,35.55,39.12,2841975
40.51,42.74,38.2,38.2,1366793
37.87,40.21,37.8,40.21,1027799
39.98,44.6,39.76,43.5,2932957
42.75,44.49,40.28,43.2,841061
43.14,43.14,39.23,39.87,316050
40.66,41.5,37.3,38.78,346445
39.11,39.38,34.053,35.0,620667
34.22,35.75,33.12,35.2,397058
35.55,37.44,35.1,35.33,496855
35.5,38.74,34.5,37.85,504936
36.69,36.69,31.57,32.51,525353
33.49,35.9,33.05,34.65,341277
34.7,34.83,31.72,32.05,246276
32.26,32.7299,29.99,30.74,374345
31.28,34.45,30.05,33.26,390624
33.4,33.97,29.79,29.86,399766
30.21,30.69,24.41,24.48,674066
24.93,25.32,21.21,23.04,1523812
23.49,25.16,21.22,23.9,820727
24.01,26.395,22.1,23.6,501017
24.13,28.5,24.125,27.7,871102
28.51,30.2,26.24,26.71,507453
27.11,28.32,26.19,27.07,364672
27.5,31.41,27.0,30.87,530493
31.31,31.31,28.88,29.37,610484
29.51,30.27,28.04,29.68,838841
29.47,32.72,28.315,31.9,450492
31.51,31.66,29.35,29.87,333058
30.38,33.3654,30.2287,32.21,2947059
32.0,33.19,31.566,33.03,169228
32.84,32.84,31.6601,32.35,217020
32.35,32.35,30.83,32.0,362631
30.22,31.4999,29.45,30.51,708448
30.13,31.64,30.13,31.16,359055
31.02,31.52,30.25,31.01,318390
30.36,32.07,30.0,31.57,350200
31.64,33.6516,31.12,33.47,247097
33.8,33.8,31.8,32.0,285760
32.39,32.55,31.75,32.04,205798
32.39,32.68,31.51,32.0,333719
31.88,32.37,31.4,32.03,208886
32.24,32.37,31.74,32.14,203364
32.03,32.03,30.59,31.38,856266
31.22,31.22,26.06,26.41,453389
26.72,27.09,24.1501,24.2,428926
24.5,26.6499,24.3,25.04,437991
25.42,25.9542,23.71,24.48,258112
24.64,25.73,23.91,25.2,229033
24.94,25.48,23.04,23.9,275564
23.83,24.235,22.91,23.23,164430
23.15,25.2,22.88,24.1,241421
24.11,26.27,23.8,25.4,275486
25.61,25.73,24.02,24.67,322838
25.18,25.92,24.68,25.73,513335
26.02,26.455,25.585,25.98,216750
25.82,26.12,24.76,25.1,193300
25.48,25.48,23.2,23.47,188430
23.06,23.58,21.33,21.5,404545
21.29,21.68,20.1,20.43,621209
20.19,20.24,18.52,19.16,455473
19.5,19.5,16.56,16.67,586954
17.46,17.98,16.28,16.65,937921
17.0,18.28,16.3,18.17,727787
17.91,19.2,17.0,18.8,623668
17.5,19.39,17.28,19.05,529323
18.53,19.58,18.48,19.09,468829
19.27,20.0,18.73,19.34,742504
19.7,20.26,19.155,20.0,481258
20.07,20.2373,18.8,19.18,377479
19.38,20.49,19.38,20.17,400413
19.9,20.49,19.34,19.63,231160
19.74,20.97,19.5165,19.89,212487
20.03,20.77,19.29,20.26,691507
20.41,20.72,19.73,19.91,125987
19.97,20.38,19.63,20.31,161546
20.32,21.035,20.18,20.87,186386
20.94,22.02,20.7901,21.34,269675
21.65,22.39,20.76,20.97,224676
21.16,21.4,20.59,21.13,229705
21.2,21.615,20.57,21.01,167753
21.0,21.27,20.43,21.0,181700
21.09,21.43,20.9,21.06,201906
20.94,23.14,20.57,22.79,457833
22.82,25.25,22.52,25.03,413540
25.13,25.73,24.213,25.12,445661
25.62,25.71,24.67,25.07,637341
24.99,25.3219,23.41,23.56,393289
23.75,25.01,23.75,24.67,385951
24.99,25.0,22.5,22.94,437944
23.07,23.25,21.78,22.38,338494
22.33,23.93,22.2547,22.85,386342
22.69,22.85,21.3,22.5,2397756
22.83,22.83,20.31,20.52,472001
20.43,20.78,19.36,19.92,318480
19.71,20.41,19.6,19.66,426397
19.93,20.77,19.76,20.66,415650
20.6,21.115,18.79,19.14,3447161
19.46,19.85,18.8,19.06,349762
19.07,19.49,18.1,18.2,453831
18.14,19.81,18.02,19.66,745203
