open,high,low,close,volume
45.0,46.4657,44.66,45.84,2112110
45.0,46.16,44.8,45.81,1113391
45.03,46.23,45.0,45.81,2197819
45.89,46.18,45.12,45.14,1777082
45.48,45.5,44.64,45.16,1370537
45.72,45.72,44.84,45.39,1283594
45.5,45.99,44.88,45.16,958862
45.39,45.88,44.26,45.24,2090751
45.18,45.825,44.37,44.44,1052050
44.31,45.14,43.82,43.97,873060
44.54,46.34,44.54,46.09,1866612
46.57,46.7385,45.16,45.26,716010
45.12,46.75,45.11,46.33,1579734
46.98,48.39,46.89,47.3,2703493
47.33,47.4,46.15,46.78,1028322
47.2,48.57,46.02,46.55,1756759
45.25,45.84,44.71,45.25,684125
45.29,46.92,45.04,46.62,554616
47.0,47.92,46.23,47.45,580097
47.04,49.37,46.98,49.08,1564690
49.48,49.88,47.336,48.48,1189312
48.39,50.76,48.3,50.51,1232504
50.9,52.29,50.8,51.77,1763607
52.2,52.285,48.01,48.84,1658963
48.84,49.28,47.5,48.55,797107
48.43,49.23,47.8,48.24,975095
48.04,49.93,47.1,49.64,1466196
49.91,50.09,48.86,49.3,446945
49.68,49.83,48.39,49.14,1197043
48.67,50.15,48.6,49.64,1108688
49.96,50.34,49.47,50.04,1159024
49.96,51.28,49.62,50.84,1214297
51.0,51.55,50.18,50.29,1009513
50.2,50.675,47.72,49.6,1025710
49.15,49.18,46.69,48.75,1340918
45.72,47.4,45.3,46.69,2953341
47.31,47.43,44.5,45.98,1659041
46.21,48.75,46.11,48.69,1735204
47.33,47.37,44.23,45.55,1810034
43.96,46.73,43.48,46.3,1362072
46.67,47.31,45.46,47.18,907263
46.84,47.69,44.44,45.52,1128656
46.54,47.52,45.6,47.4,942605
46.17,47.635,46.04,46.51,729892
45.26,45.61,42.18,43.21,1681925
39.64,40.6701,36.75,39.31,1349202
40.61,42.24,38.86,42.13,996938
40.47,41.26,37.87,38.4,1276735
34.53,38.1,34.01,36.81,1615866
38.78,39.31,35.02,38.31,1248258
35.0,35.255,30.91,32.05,2188690
32.82,37.35,31.06,36.6,2070455
34.46,41.1499,34.46,37.66,2859581
37.36,42.72,36.79,40.37,1745957
40.97,44.99,40.5,42.1,4493341
41.52,44.5,40.01,42.68,1711359
44.76,45.56,42.38,43.52,1794048
43.57,46.99,41.81,43.34,2269164
43.13,47.63,42.9622,46.33,1264863
44.57,45.15,42.6,43.5,1029793
44.1,44.93,42.93,43.97,1295826
43.5,45.0,41.17,41.51,1621591
40.28,41.57,38.66,40.53,1680943
39.92,41.615,37.94,39.34,1666159
39.09,40.765,37.91,39.4,1487458
40.82,45.06,40.2,44.52,1572654
45.5,46.16,42.77,43.47,1369318
43.8,45.18,42.83,44.86,1229224
44.85,47.4,44.0,44.63,1641321
44.16,44.365,42.68,43.61,1145726
45.37,47.46,45.195,46.69,1476490
45.98,48.19,45.86,48.01,1494841
49.5,51.38,49.0098,49.96,2492708
50.71,50.91,49.205,50.56,1588725
50.4,54.0399,50.06,53.68,2431592
52.94,54.24,49.86,51.57,2276916
