open,high,low,close,volume
11.0,13.94,10.1,10.48,186696
10.6,10.74,10.46,10.6,435476
10.65,10.705,10.4,10.55,318208
10.55,10.56,10.4,10.42,448261
10.65,10.65,10.37,10.41,536546
10.69,10.8,10.44,10.62,824228
10.8,11.0,10.7,10.87,1540954
11.04,11.25,10.75,10.99,1475932
11.0,11.13,10.75,10.91,643193
11.05,11.27,10.8,11.06,1334182
11.2,11.36,10.9,11.11,1408807
11.15,11.2,10.81,11.08,1132415
11.06,11.06,10.81,10.99,1137143
11.07,11.1,10.9477,11.03,397311
11.11,11.415,10.9944,11.22,773792
11.58,11.59,11.13,11.4,2660583
11.95,12.1389,11.4,11.62,2068909
11.98,12.2,11.74,12.05,2239358
12.42,12.45,12.05,12.4,1038732
12.89,13.04,12.45,12.66,2562690
12.77,12.78,12.07,12.3,1752490
12.0,12.52,11.9,12.46,1220662
12.45,12.5,12.16,12.44,828380
12.59,12.59,11.8,12.2,1371365
12.15,12.28,12.09,12.15,1303969
12.15,12.2,11.89,12.12,1105655
12.2,22.0,12.05,19.14,62703142
21.46,22.0,17.89,18.74,35656955
19.37,19.75,18.65,18.99,11702228
18.98,19.19,18.25,18.45,7010423
18.9,19.59,18.53,19.11,8226365
19.4,19.45,18.92,19.16,7705092
19.32,21.05,19.11,20.16,13024851
21.9,24.22,21.06,22.59,22266241
23.86,24.62,22.11,22.37,10236079
23.0,23.05,21.5,22.39,6971452
22.09,22.99,21.19,21.65,6727266
22.16,22.85,20.0,20.48,9701774
20.4,21.32,19.5,19.57,9172375
19.0,19.25,17.9,18.18,16297554
20.42,20.92,19.1,20.28,12032102
23.19,26.97,21.8,25.14,36434550
25.85,28.26,25.14,25.78,18319125
26.01,26.18,23.85,24.33,8854809
24.8,25.75,24.51,24.95,4251461
24.07,25.12,23.42,25.06,8449840
24.29,24.52,22.9,23.1,12226842
23.4,24.39,22.8,23.0,7344517
22.93,24.0,22.75,23.12,6281337
23.7,23.79,22.25,22.99,6213655
23.0,23.95,22.32,23.07,8551071
22.84,24.48,22.8101,23.9,5847433
24.45,24.7,23.56,24.3,6134893
24.27,24.3,23.0,23.88,4658890
22.6,23.32,22.26,23.23,5747048
23.5,23.6,22.6,22.69,5138751
22.5,22.8374,21.02,21.29,6245573
19.99,20.5999,16.84,20.12,12561903
20.0,20.3,19.0,19.41,7947324
20.43,21.0,18.525,18.72,7770704
18.85,19.22,17.7672,18.43,9013967
19.74,19.85,19.05,19.34,4422187
19.4,19.61,18.62,18.77,3808951
18.78,19.0,17.1,17.22,7175490
17.3,17.58,14.75,16.06,15322890
16.41,17.88,13.14,17.72,18226605
16.84,17.7,15.76,16.11,7871834
17.25,18.39,16.55,17.48,8573200
18.28,19.48,17.8,19.06,7508230
19.5,19.82,18.7001,19.36,4959650
18.38,19.29,18.14,19.02,2859058
19.02,19.58,18.47,19.48,3515913
19.27,19.48,18.01,18.45,3023710
17.61,19.355,17.5,19.15,3651446
18.5,19.1,18.05,18.14,2999232
17.77,18.43,17.06,18.25,3667400
18.28,18.49,17.82,18.27,2316971
17.96,18.18,17.27,17.9,2939043
17.56,17.8189,16.25,16.48,4642127
15.7,16.79,15.11,16.63,5364400
17.14,17.72,16.52,17.1,4598666
16.98,17.09,16.22,16.44,2827866
16.27,17.22,15.9,16.5,2634355
16.97,17.36,16.68,17.15,2665288
17.51,17.64,16.91,17.27,2322619
17.74,17.84,16.66,16.72,2506596
16.51,17.3031,16.5,17.26,1849475
17.25,17.37,16.9,17.2,1988120
17.03,18.64,17.02,18.14,2527735
17.96,18.26,17.6,17.77,1654956
17.87,17.96,16.85,17.0,2309270
16.66,17.05,16.51,16.83,2234993
