open,high,low,close,volume,Date
38.06,38.06,36.07,36.24,334801,2020-01-02
35.8,36.12,35.43,36.08,276407,2020-01-03
35.54,36.505,35.295,36.02,267249,2020-01-06
36.23,37.26,35.57,37.215,157090,2020-01-07
37.07,37.8286,36.9,37.08,297076,2020-01-08
36.33,36.85,33.82,34.48,369406,2020-01-09
34.55,34.71,31.08,31.23,592182,2020-01-10
31.33,31.84,30.33,30.65,535448,2020-01-13
30.59,31.4628,30.12,30.92,216151,2020-01-14
30.98,32.2,30.92,31.73,333431,2020-01-15
31.95,32.2,31.56,32.2,174835,2020-01-16
32.39,32.87,32.2,32.79,227328,2020-01-17
33.0,33.19,31.81,31.97,376648,2020-01-21
32.0,33.47,31.8,33.345,280272,2020-01-22
33.29,33.87,33.195,33.585,201171,2020-01-23
33.53,34.31,33.42,33.82,152907,2020-01-24
33.26,33.74,31.91,32.0,401933,2020-01-27
32.26,32.74,32.05,32.19,208733,2020-01-28
32.45,32.75,32.11,32.32,214036,2020-01-29
32.48,32.98,31.75,32.54,145713,2020-01-30
32.36,32.36,31.74,31.92,138613,2020-01-31
32.1,32.775,32.01,32.47,243122,2020-02-03
32.92,33.83,31.65,33.09,240138,2020-02-04
33.45,34.5123,33.45,33.81,219069,2020-02-05
33.95,34.51,33.265,33.47,216640,2020-02-06
33.39,33.63,32.71,33.0,172423,2020-02-07
33.0,34.3,32.61,34.1,216487,2020-02-10
34.16,35.855,34.16,35.16,276254,2020-02-11
35.3,35.61,34.74,35.6,217589,2020-02-12
35.41,37.23,34.9313,36.27,508590,2020-02-13
34.4,34.5,28.5,29.4,2012058,2020-02-14
29.7,32.4,29.7,32.285,983460,2020-02-18
32.29,33.93,32.29,33.25,419365,2020-02-19
33.47,33.81,32.3,33.755,231953,2020-02-20
33.69,34.34,32.72,32.9,282239,2020-02-21
31.92,33.39,31.92,32.6,235410,2020-02-24
32.63,32.7615,30.53,31.27,298457,2020-02-25
31.12,32.38,31.07,31.65,321297,2020-02-26
31.06,31.48,29.82,29.82,715473,2020-02-27
29.02,30.75,28.65,30.74,363056,2020-02-28
31.12,32.27,29.17,31.52,507262,2020-03-02
31.68,33.665,31.09,31.52,359485,2020-03-03
32.07,32.89,31.75,32.2,377087,2020-03-04
31.33,32.24,30.56,30.95,242356,2020-03-05
29.83,31.6,29.47,31.1,378290,2020-03-06
29.22,30.27,28.82,29.88,532470,2020-03-09
30.83,30.9866,27.76,28.67,423079,2020-03-10
27.96,28.46,25.65,26.04,454220,2020-03-11
25.46,26.635,23.52,25.47,709765,2020-03-12
26.69,27.87,25.47,27.54,614664,2020-03-13
25.05,28.29,24.73,28.05,424058,2020-03-16
28.05,32.53,26.87,27.7,1017720,2020-03-17
25.5,28.49,24.64,26.61,586239,2020-03-18
26.03,27.92,23.4001,25.85,534609,2020-03-19
26.08,26.86,23.43,23.84,478517,2020-03-20
24.1,27.29,22.4752,26.01,773017,2020-03-23
