open,high,low,close,volume
40.25,41.5,32.13,40.0,23695530
37.948,40.67,36.11,39.95,6225761
39.47,39.4873,34.585,34.94,4260800
35.51,36.19,33.5,33.65,3651913
34.39,39.51,33.76,38.0,6036552
37.85,38.48,37.2012,38.05,1223505
38.05,40.0,38.05,39.55,1371327
39.76,41.27,39.325,40.03,1067370
40.25,40.42,38.42,39.53,1182431
39.74,40.41,38.91,40.35,500259
40.34,40.35,39.2187,39.7,866370
38.5,39.2,37.45,38.43,705945
38.93,38.985,36.46,37.08,568472
36.68,36.98,34.1,35.29,744179
35.59,36.09,34.46,35.44,596835
35.05,35.93,34.175,35.84,1064266
36.98,38.84,36.274,37.29,727254
37.63,38.96,36.2,37.09,929868
35.78,39.36,35.5,38.07,1055358
38.17,38.17,35.14,36.08,1624445
36.62,37.39,34.59,34.73,1235219
34.96,36.82,34.96,36.77,1009713
36.8,36.89,34.52,36.0,648529
36.08,36.7584,35.62,35.94,607925
34.99,36.12,34.42,35.23,297818
35.53,37.01,35.53,36.34,411935
36.69,37.79,36.44,36.9,274930
36.9,37.06,35.675,36.59,262486
36.9,37.6871,36.54,36.78,385561
37.03,38.16,36.86,38.08,333943
38.5,38.58,37.1,37.86,334534
37.93,38.5,37.5432,38.34,274781
38.8,39.88,36.75,38.13,437714
38.28,39.47,38.15,39.09,443479
39.02,39.02,37.9414,38.5,569865
38.81,39.46,38.65,39.23,384084
39.23,39.23,38.18,38.83,240106
38.78,45.75,38.5101,45.44,1684762
45.94,48.13,43.68,47.92,1109630
47.92,48.5,43.845,45.02,772188
45.21,50.0,45.1,49.87,990447
50.0,65.98,49.99,59.36,3751173
58.9,59.23,51.615,55.53,2206536
54.58,54.7,49.9001,50.28,1395909
50.18,56.21,50.135,52.55,1738495
52.36,54.25,51.9665,53.19,3746712
53.14,53.14,49.54,51.09,903322
51.5,52.73,50.21,50.91,584043
50.44,57.29,50.42,56.79,1145342
57.01,60.74,53.38,54.04,1144780
55.145,57.28,53.75,56.31,3129024
56.91,65.57,56.41,65.3,1840802
64.36,74.25,62.86,70.55,2989955
70.33,79.8391,69.01,71.24,5972586
71.51,73.89,61.0206,63.08,2047188
63.38,69.98,61.31,62.58,1362110
60.89,64.83,59.85,63.13,814119
63.43,63.815,55.1,55.2,1292773
53.36,57.29,52.6601,54.12,1038750
54.76,55.47,53.57,55.01,586225
55.6,56.88,53.82,54.18,688367
54.62,55.45,51.6,52.0,885355
51.87,52.7,48.3,48.4,855277
48.11,49.65,46.5,48.0,800897
48.21,48.25,46.12,46.62,844268
45.35,46.47,43.32,45.23,1104670
45.23,48.61,45.23,47.79,875430
48.23,50.4,47.99,49.43,665568
50.0,50.17,45.6023,45.76,834717
44.92,45.0,42.22,43.48,842795
41.5,42.9,39.83,41.19,1094130
40.61,41.18,39.04,39.98,1830756
