open,high,low,close,volume
26.0,30.01,22.61,29.47,13459751
28.6431,39.85,28.25,35.77,7042150
38.02,48.66,37.06,44.09,7266463
44.0,47.99,40.0,41.1,2833826
43.1,48.08,40.65,47.84,3731347
47.5,51.3984,43.02,46.32,3142408
46.59,47.47,42.5051,43.96,873425
44.31,45.0,38.05,42.63,1876812
42.04,42.49,39.51,40.75,646398
41.2,41.5,38.1101,38.87,1049533
38.2,40.95,36.26,40.75,969034
40.34,45.0,38.05,43.99,1347052
45.1,53.63,44.2001,48.37,3590669
47.05,57.0,45.14,52.14,2903194
55.99,61.26,55.04,55.39,1518920
58.0,58.0,50.28,52.73,1407739
51.0,56.0,50.53,54.71,1338175
56.11,63.5,55.53,62.48,1828232
60.61,69.48,57.7,57.88,1785613
60.92,67.4297,59.49,60.64,1288652
60.64,62.6,55.6,56.0,1409538
58.13,61.63,53.0,54.28,1872415
54.51,56.22,53.25,55.22,935527
55.05,65.29,55.05,63.77,1702374
62.4,64.88,58.53,64.47,1241616
65.0,72.67,64.01,67.36,1781029
67.71,68.69,63.3,64.45,1506598
60.07,70.8,58.0,64.7,1398431
64.54,67.4125,63.52,65.15,617802
64.56,67.4,60.12,62.19,721699
63.0,70.85,61.9,70.25,812960
71.04,80.0,71.04,75.47,1058596
76.93,81.91,76.51,79.75,854626
80.55,81.09,74.19,75.75,720152
76.14,79.78,74.01,75.24,542316
77.34,78.34,74.1,76.0,713307
75.92,82.75,75.5166,80.25,900418
80.91,91.39,78.71,91.04,1076068
93.5,105.58,92.55,95.13,1432969
93.0,102.21,92.62,102.18,646025
104.77,105.0,90.2702,92.28,1053900
91.75,92.2686,84.1351,87.24,938501
84.0,84.52,78.5,82.32,1016577
83.75,93.0,83.5,89.73,753732
87.3,89.49,75.06,77.01,1073238
72.95,75.38,61.01,73.06,1703111
73.74,83.29,72.01,74.51,985584
74.08,79.62,66.08,68.52,1411365
68.79,71.88,63.35,65.64,1551729
66.78,73.46,65.87,66.65,1315048
67.21,67.76,58.29,60.36,1772288
61.7,63.005,55.6001,57.58,1610341
56.15,59.545,49.09,54.92,2218934
54.54,55.29,42.5105,51.16,2322120
50.6663,52.2227,45.1423,46.87,1382279
49.395,55.45,49.05,53.24,2035157
57.3,58.55,52.12,52.99,1540877
54.75,59.55,54.05,59.24,1260699
53.5,58.5,53.5,58.0,1130195
58.89,63.01,56.83,62.93,1434831
62.27,64.5,56.85,60.05,1266420
56.775,62.26,54.5,60.79,2762873
83.54,124.75,81.96,115.09,20944102
108.0,128.8,106.5971,125.28,8696401
127.94,165.66,124.0544,164.87,8566559
159.9743,164.06,115.58,118.48,11899112
121.8787,134.16,110.11,112.28,5499431
106.3,130.359,105.95,123.73,3820893
125.0,144.86,118.25,142.95,3260354
140.8,156.93,132.5301,134.49,2652448
133.48,137.61,122.6,129.28,1521903
131.63,137.7878,128.0,128.86,1137727
133.94,147.4799,133.0,144.28,1871593
147.708,156.2699,136.0,140.52,2029189
140.29,145.78,138.06,144.3,1018706
136.55,138.97,123.81,126.07,2674534
128.51,128.98,119.1801,123.33,2548890
122.0,134.0,118.0,127.29,4545446
127.75,127.95,111.2,112.46,2891054
111.88,114.27,102.69,110.46,3733059
110.23,115.5599,104.3,104.51,2062503
109.29,116.96,105.69,110.4,2347314
111.08,111.2299,103.0001,104.65,1584794
104.42,104.42,93.6224,97.55,2723645
96.33,101.0,90.3753,91.79,1626178
91.4,101.34,89.33,100.61,1713111
102.5,108.3,99.23,101.44,2104563
102.98,111.95,102.46,107.38,2120344
108.8093,114.8,108.01,111.24,1936438
114.94,123.0879,112.3,116.33,2629879
116.93,120.46,111.239,113.75,1648323
115.7,116.0,103.0,108.56,2145302
103.9,112.5,103.68,109.02,1199530
111.12,117.99,105.73,114.2,1773481
115.0,115.0,101.1,107.36,2081743
109.1478,109.1478,97.5,98.19,1387381
97.26,98.0,88.38,92.04,2312447
96.4687,100.8599,94.2,95.97,1648158
93.05,94.5699,86.21,88.21,2291282
83.43,89.49,81.2,89.44,3806655
115.28,115.4765,88.88,91.82,12764673
96.25,97.87,80.8501,84.05,5638182
87.76,103.95,86.2501,103.36,4400689
100.01,115.8999,96.01,115.0,4924951
111.69,124.9,111.41,119.49,5006076
110.75,136.7445,108.41,132.91,6595343
135.0,145.4,129.26,139.08,4889219
140.6,156.24,137.3846,153.85,4072529
152.07,164.64,138.0,139.77,4718622
141.76,146.7206,132.56,133.7,2304354
135.18,149.5899,133.0,146.58,3491440
145.16,171.87,138.62,166.83,5054138
164.0,164.49,143.71,148.22,5253135
150.0,155.2132,136.0,144.49,3523095
145.49,159.8,138.08,157.14,2793497
150.5,172.2499,145.15,164.83,6058748
167.221,191.89,160.11,164.04,6401361
169.7217,178.0,164.2,170.0,3840486
171.0,182.0,161.92,162.01,3756258
164.07,167.4999,150.28,152.43,4171125
150.39,155.8699,144.0,146.42,3922069
143.28,143.64,125.0,125.505,10197659
120.26,134.82,120.0,124.69,16323875
125.77,126.9699,117.43,123.03,7099302
119.5268,122.0,114.2,119.01,8809212
120.9496,128.3,119.36,126.31,9289259
126.8,128.4599,120.42,123.86,5368486
125.5,125.72,118.426,121.35,4223314
120.6,123.3499,115.69,119.65,5954865
120.3,125.75,119.4074,125.14,5762243
128.6319,134.5,122.28,123.42,8849813
124.3958,125.0,117.77,122.2,4327959
123.5331,126.99,120.26,123.89,4050954
125.0,125.5,120.77,122.93,2995538
122.0,134.38,120.11,124.9,10763535
126.0,130.88,122.68,123.92,5060789
125.5481,127.8847,118.165,121.21,4133606
122.04,123.48,115.8938,120.0,3391593
120.5,121.54,114.22,117.4,2895235
112.57,121.68,110.82,119.75,2991350
122.95,123.2041,117.22,120.0,3218369
123.6214,130.9,122.76,129.9,6942325
128.12,129.0,118.5301,119.38,5274179
120.995,120.995,112.02,113.13,3835977
111.965,114.2999,107.26,113.09,3463275
115.29,115.9,109.5149,113.79,2148650
109.83,115.3899,109.2,115.28,2504073
116.92,118.3,113.14,117.63,1894488
118.05,121.99,116.58,119.15,2123855
120.0,120.7464,115.3,116.91,1440150
116.92,118.7658,113.81,116.57,1327318
116.79,123.5,115.6,121.82,1962100
121.65,123.69,112.6038,115.75,2360296
117.31,122.64,116.3768,121.79,1829233
123.0,127.4,122.99,123.87,2813405
121.05,125.25,120.36,120.76,1317666
122.0,134.15,121.0,133.41,4736552
133.8134,139.41,125.06,128.68,3793934
128.01,133.46,125.76,127.98,1862066
128.14,137.4,124.3,133.17,5132253
135.29,139.56,130.66,132.13,4449963
134.9,140.03,133.4782,137.19,3915585
139.49,140.6099,135.1001,135.68,5022979
166.82,172.0,156.77,171.2,17993626
167.68,186.14,166.25,178.12,14108167
187.815,205.1899,184.5,203.29,14168487
198.2,213.8999,188.28,200.89,10656052
190.65,208.49,190.16,200.18,7450227
204.6,220.11,203.6,212.27,8752041
210.15,213.99,192.51,193.87,7321658
197.15,208.6,192.51,195.64,6125590
201.2416,206.47,198.884,202.96,4427818
206.06,220.6999,204.2001,219.45,5521843
218.85,223.8222,214.09,214.14,3929423
214.77,219.9799,211.25,216.75,2380652
218.0558,224.49,212.09,223.18,2938482
226.87,228.0,215.33,215.64,3462527
215.5357,230.38,215.3181,229.12,3614317
228.3272,228.69,222.75,226.81,2525794
227.52,245.3899,227.52,239.8,4264196
240.0,254.13,240.0,247.29,4565239
250.3529,271.0,249.0993,262.7,5062165
275.25,276.57,260.93,274.33,6904140
270.6006,291.25,262.09,289.6,6710594
289.01,294.23,268.25,270.46,6401786
270.79,280.0,259.01,278.0,4412363
274.755,282.25,264.2,269.04,3986809
268.0966,279.47,261.28,279.09,4649087
278.1395,296.82,278.0,293.26,5304198
298.0,308.78,292.86,303.32,9988850
290.0,303.99,288.27,293.47,5458302
297.64,329.47,294.42,320.77,8816717
324.0,334.44,311.67,323.51,6209433
328.7728,346.54,324.0,336.34,5852626
332.05,337.23,323.59,327.88,3796854
328.5,342.27,319.18,331.99,4048030
326.91,326.95,304.0,313.4,5090233
319.01,332.1,317.33,320.0,4826713
323.6823,327.6415,313.5001,316.44,3398756
311.8335,315.5677,285.55,298.77,5595676
293.0749,296.84,281.1301,289.77,3515365
294.6138,303.99,288.6523,296.3,3037538
289.25,313.6,286.78,307.7,4922333
315.5,323.59,304.0,307.38,3390003
308.64,316.17,304.81,311.23,2258639
309.51,319.0,305.26,310.92,2892767
316.23,337.52,310.93,333.05,4692116
337.7,345.69,328.36,344.89,4122592
351.91,380.2184,347.57,379.68,6764001
385.0,401.4899,380.6,390.0,8525467
369.23,389.2999,357.4717,383.21,7331648
388.31,394.98,362.8,367.08,4634205
364.5,368.9794,351.5,355.82,3842943
356.71,370.2599,352.82,354.34,2845060
351.78,353.88,336.66,342.56,3695909
348.6569,362.6999,345.5,359.81,3226546
352.5609,355.7199,310.02,327.08,7312937
320.0,334.81,311.5,314.5,3677034
328.17,336.76,321.4601,330.0,3087693
329.37,340.99,318.48,322.04,2804819
323.78,346.88,323.02,344.73,3500821
348.0,355.42,332.88,344.09,2595493
343.281,343.3,320.2,330.11,3148671
328.25,337.0,320.3301,321.71,2233367
325.0,334.99,320.25,331.56,2469534
340.9,342.51,321.3,334.6,3152321
334.0,338.5,307.86,313.71,5280365
242.75,270.8699,239.98,256.59,14442647
264.49,265.9899,243.5,246.02,5351441
246.4604,265.7,244.8,264.18,5350988
260.518,261.99,232.5,233.78,7801638
230.69,241.0,227.1,236.01,4008370
235.69,247.7,231.32,232.02,2974969
234.64,238.45,223.01,226.37,3495231
227.52,228.63,205.29,206.97,6476804
210.74,215.29,197.551,205.49,5857508
203.83,205.9899,189.0,197.36,5666837
191.2856,210.01,190.23,207.6,4320503
200.08,212.67,200.08,209.41,2185140
214.93,217.4123,201.7208,212.51,3665120
213.11,220.21,204.15,204.89,4677505
206.29,209.03,176.0035,179.65,6304101
179.65,185.0,159.66,177.0,10661260
187.68,191.7599,167.67,171.59,7713525
166.9,180.71,157.26,176.16,4783662
183.21,198.02,181.12,193.88,4981413
193.21,199.8,182.83,194.37,4457701
192.0,197.18,176.83,179.6,4463835
180.8027,183.1737,159.04,160.75,7049853
160.79,163.7899,149.435,151.06,6843274
147.0,147.89,137.85,144.95,8425948
144.8749,156.3899,141.0,154.23,6309170
158.078,159.7,138.11,140.64,6866153
136.7076,140.8648,128.45,139.18,6523630
134.015,136.47,129.5,131.5,4792528
135.43,150.83,134.2,149.48,5556147
145.4467,150.8199,142.22,145.28,4402235
145.75,149.56,142.57,148.14,2565861
151.52,163.2,150.81,160.04,5085168
162.11,162.8144,147.8,148.97,5138978
148.91,150.5273,141.06,147.9,3769886
147.27,162.7644,146.4,155.43,5677738
153.23,156.9,151.07,151.3,2496395
153.62,155.6,144.12,144.66,3554680
144.91,146.83,133.34,136.58,5711668
135.122,142.74,123.1,123.82,6367836
122.5,124.3,113.32,118.43,7782471
119.03,125.25,114.5767,116.95,5847460
113.51,114.6099,107.29,114.42,8062185
113.35,124.65,112.1,121.06,5287755
125.6,128.2899,117.1975,118.41,5298826
119.28,120.97,108.56,109.25,4647158
107.85,114.2811,107.6285,111.11,4903488
107.5,115.28,105.3,109.91,5926028
110.53,112.88,105.49,106.01,3918535
108.0,117.76,106.6,107.15,5544075
105.002,106.2799,91.83,92.72,9072056
86.4011,92.15,75.15,91.36,12901358
88.64,98.27,88.34,94.2,7108285
98.23,106.0696,94.0,96.05,9932891
100.5,103.0,87.03,90.13,9377020
89.04,96.69,87.26,95.0,6893487
96.17,110.01,95.0,109.01,6743996
111.3,120.748,106.4,117.33,11496993
115.04,116.4,103.11,105.79,7537776
99.63,105.2,97.1,97.93,5422846
99.57,101.4,93.22,98.63,6249869
99.49,105.1499,95.28,96.04,4936260
95.0,100.91,94.67,99.97,4141273
102.893,113.2438,102.765,112.29,6599656
107.84,120.04,102.18,106.0,11233226
106.12,108.88,98.25,100.02,6731495
100.03,108.78,97.5487,104.6,7228030
107.5,109.8736,98.8,109.11,18893985
137.2,150.1,133.03,148.01,33837962
157.2,157.3899,136.561,139.63,21890329
139.38,144.28,126.42,130.05,12845912
127.3,134.78,119.325,120.51,10403837
123.94,126.04,111.71,112.43,9434580
104.0,132.49,101.8,131.55,13921342
134.0,139.539,126.43,135.88,11202397
136.84,158.66,136.6,157.99,17160938
160.0,161.0,144.13,145.4,12414166
148.69,157.75,139.5,156.935,11287884
153.6,156.92,143.58,150.06,10955683
151.4,151.67,126.001,128.27,17433378
129.2,134.94,111.81,112.5,14597325
113.51,121.0,107.03,112.0,15815249
120.79,123.431,113.83,117.14,13439423
115.39,119.3698,107.0,112.7,11410724
114.47,114.6661,100.0,100.08,13305985
98.0,98.4699,85.8,89.34,16966278
90.57,98.8,85.0,97.48,17654291
101.0,108.45,97.78,106.95,18429549
105.0,118.3499,102.55,116.57,14887014
114.3,126.35,113.91,125.47,14807030
124.04,133.8,122.7535,125.85,14420562
113.0,130.31,112.0,127.23,24344790
123.25,127.3316,118.0,118.67,11116956
120.0,120.83,111.41,115.45,11260560
114.255,114.74,99.75,103.77,13347800
104.3,109.62,101.0834,108.16,10223961
111.95,122.97,110.28,120.17,16719395
117.12,125.4,112.65,114.14,12155227
113.797,116.0,108.88,109.09,9253048
109.26,111.99,105.5601,109.03,8758793
110.95,116.9,110.3065,113.85,8407607
113.61,114.2999,102.41,103.72,9942163
101.67,101.67,93.75,97.3,13593123
97.59,99.5,91.12,95.3,9989958
93.82,96.4499,90.4401,91.17,8988444
88.66,91.35,86.68,89.73,8731866
93.77,95.36,83.51,83.96,11783144
83.87,88.8,82.08,88.02,8371860
87.61,88.62,82.34,82.61,9169016
82.29,83.88,79.01,81.72,8451402
81.59,88.02,81.28,87.5,7136254
87.9,88.72,78.44,79.63,10096193
81.76,83.0899,72.5,75.3,11187398
75.22,77.55,72.95,74.93,9213425
74.83,80.65,74.31,79.59,8505359
77.84,79.29,73.8,75.49,6421827
74.58,77.38,71.09,71.84,6507631
74.23,80.28,71.54,78.1,9306866
77.47,83.97,74.69,75.02,7514625
73.14,83.62,72.45,83.6,7461269
82.235,86.0549,80.16,85.46,5908726
83.725,94.43,83.5,93.57,11207065
90.5138,92.17,86.72,89.04,6928779
88.34,89.7,79.57,83.89,7899569
80.85,85.76,76.23,77.13,18088517
33.98,38.47,29.02,33.61,68534964
31.64,32.47,25.43,28.0,28747828
27.41,33.65,26.78,32.78,17912412
35.25,38.2899,33.16,38.13,16614754
37.38,40.33,36.99,37.79,8817813
38.89,46.87,38.68,46.66,17297676
43.65,52.9999,43.35,48.34,24315631
49.0,54.75,44.05,51.58,19498753
48.43,50.44,40.13,44.7,23575263
43.52,45.1,41.04,41.95,8816624
40.2,40.6,35.5,37.15,10413570
37.3901,41.15,36.6201,40.47,7670662
38.64,44.37,38.6,43.1,6699772
44.21,51.41,43.37,50.33,12756655
51.66,54.69,48.2,50.4,12798381
52.14,54.15,45.25,45.96,10214041
45.0,53.11,43.48,51.71,8730274
49.27,50.7674,46.44,48.54,6496786
50.34,51.11,45.65,46.1,5305336
45.38,46.6978,43.9,45.54,6649629
45.155,47.46,42.85,43.35,6034293
44.09,44.5,38.81,39.67,8168941
38.695,39.73,36.35,37.49,6885027
34.6503,35.92,32.48,33.61,7887705
34.1,35.64,33.354,34.27,5108618
34.7,36.35,33.6,34.99,5933853
33.185,33.7094,30.61,32.08,6175164
32.19,35.3,32.15,35.14,5901884
36.8,39.68,36.31,38.23,6189485
36.94,39.29,35.78,36.05,4351203
36.8,38.915,35.7204,38.74,4707113
39.72,41.3,38.8,40.95,7497030
40.84,41.2,37.65,38.78,4753255
38.86,39.28,35.37,35.85,4766654
31.49,34.24,31.4,32.19,9706159
31.07,32.11,29.89,31.62,5781602
32.06,33.37,31.27,32.82,4344594
32.38,35.48,30.95,35.46,5203698
34.96,36.25,32.65,33.09,5702359
33.4,34.4,32.12,33.74,9352077
26.83,27.61,26.0,27.09,28769344
25.95,28.63,25.91,27.03,13430529
26.8,27.3299,25.51,26.6,7623372
25.44,26.01,24.82,25.13,9058984
24.93,25.25,23.78,24.18,5940600
24.57,26.38,24.17,25.73,6529127
26.48,28.63,26.08,26.1,6760801
27.63,28.73,26.26,28.29,6853212
28.3,31.2,28.1,28.68,9280449
28.68,29.2886,27.0,28.45,7444121
28.13,28.31,25.55,26.03,5431486
25.9,26.025,24.5,24.6,5095837
23.9,24.1,22.4155,22.66,6510594
23.28,25.21,22.76,24.77,6911240
24.46,25.21,23.1,24.37,6808201
24.13,24.77,23.62,24.33,3907613
24.03,24.57,23.17,23.94,5652082
23.34,26.7,23.28,25.44,10618673
26.67,30.42,26.41,29.06,12024319
28.98,30.88,27.73,28.33,7733098
27.405,30.37,26.83,29.6,11041156
31.21,34.99,31.06,32.27,23751959
28.24,33.49,27.52,28.45,21850434
29.955,33.9144,28.51,33.5,18630148
34.375,35.46,30.9296,31.71,12420082
32.37,35.1856,31.72,34.76,8940681
