open,high,low,close,volume
11.41,13.1499,11.3,11.5,646279
11.5,12.29,11.39,12.25,78767
12.25,12.35,11.7601,12.35,11896
12.57,16.11,11.88,15.26,75331
15.0,26.97,14.88,19.36,592522
18.39,20.05,18.3879,19.75,69726
20.2,21.4999,19.01,19.97,93319
20.0,20.31,19.5,19.74,37855
19.62,20.0,19.1801,19.5,12927
19.5,19.5,16.35,18.42,76373
18.78,18.85,16.22,17.25,28633
17.25,17.54,15.4901,15.55,32896
15.6,16.13,15.53,15.72,23093
15.0,15.9115,14.15,14.85,11915
14.35,15.3,14.35,14.71,11521
15.07,15.07,13.01,13.45,22393
14.76,18.75,14.58,14.97,176722
15.41,15.9732,14.6359,15.25,43810
15.15,15.5,14.66,14.97,13439
15.29,15.29,14.6,14.61,15589
14.9,15.5734,14.64,15.43,36113
15.06,16.0223,14.99,16.0,80295
15.86,16.0,15.26,15.77,38435
15.41,15.8299,15.2601,15.42,17816
15.37,15.7,14.06,14.09,85958
14.26,14.8,14.0,14.25,40466
15.33,16.4693,14.0499,15.84,21703
15.43,15.85,15.3,15.85,14009
15.37,15.495,14.53,14.66,16207
14.79,15.195,14.52,14.65,4229
14.51,15.17,14.4,14.4,31479
14.5,14.8,13.51,13.7,30883
13.9,13.9951,13.01,13.26,28153
13.28,14.3424,13.15,13.71,18522
14.14,14.43,13.5,14.06,6207
14.0,14.45,13.7,14.29,3047
14.5,15.1,14.07,14.2,9413
13.5,15.0,13.5,14.5,10067
14.55,14.55,13.51,13.92,2298
14.0,14.97,14.0,14.89,4042
14.2322,14.97,14.2322,14.87,7869
14.47,14.9571,13.6601,14.44,6786
14.87,14.9,14.675,14.8999,5082
14.95,15.58,14.5035,14.85,8149
15.0,15.98,14.8,15.98,9341
15.9,16.67,15.7944,16.5,13254
16.7,17.01,16.25,16.5,9975
17.04,17.55,16.1278,16.58,5300
17.33,17.91,17.0,17.6,4256
17.6,18.0,17.0288,17.85,5754
17.53,18.0,17.0,17.63,11246
17.5,18.0,17.25,17.9,29707
17.8722,18.0,17.625,18.0,17982
17.58,18.0,17.0901,18.0,4846
17.99,17.99,17.19,17.4,3556
17.1401,17.35,16.75,17.25,9674
17.23,17.5,16.51,17.07,27236
17.1,17.5,16.935,17.1,23406
17.2,17.49,16.68,17.49,6688
17.3331,17.49,16.67,16.67,13952
16.82,17.3912,16.51,17.06,2901
16.86,17.43,16.51,16.7,26663
16.63,17.0,16.56,16.76,2231
16.538,17.0,16.538,16.94,6466
17.0,17.0,16.53,17.0,3032
16.68,17.0,16.52,16.99,14193
16.94,17.86,16.71,17.5,9873
16.6837,17.0,16.5101,17.0,7648
18.0,18.99,17.0,18.9,10287
19.0,19.5,18.29,18.29,11552
