open,high,low,close,volume,Date
0.495,0.51,0.481,0.508,389991,2020-01-02
0.51,0.554,0.491,0.534,761509,2020-01-03
0.542,0.615,0.511,0.563,1412836,2020-01-06
0.59,0.598,0.541,0.548,562442,2020-01-07
0.54,0.58,0.54,0.559,392075,2020-01-08
0.59,0.76,0.541,0.629,2827227,2020-01-09
0.65,0.838,0.648,0.72,3910642,2020-01-10
0.723,0.809,0.639,0.677,1531613,2020-01-13
0.7,0.77,0.669,0.716,806242,2020-01-14
0.733,0.77,0.665,0.678,751416,2020-01-15
0.666,0.72,0.611,0.69,668047,2020-01-16
0.664,0.715,0.65,0.66,352985,2020-01-17
0.68,0.69,0.56,0.607,699215,2020-01-21
0.61,0.625,0.55,0.594,306710,2020-01-22
0.66,0.695,0.64,0.68,1223979,2020-01-23
0.746,1.45,0.734,0.97,21350037,2020-01-24
1.08,1.63,1.02,1.46,11537230,2020-01-27
1.47,1.97,1.3,1.58,12369017,2020-01-28
1.51,1.88,1.44,1.69,5676423,2020-01-29
2.2,2.27,1.9,2.04,27960914,2020-01-30
1.98,2.03,1.72,1.75,4686480,2020-01-31
1.64,1.65,1.43,1.435,3744130,2020-02-03
1.38,1.405,1.1,1.19,4650554,2020-02-04
1.28,1.57,1.25,1.33,4608946,2020-02-05
1.35,1.43,1.21,1.28,2621750,2020-02-06
0.9,0.93,0.76,0.795,10976623,2020-02-07
0.81,0.855,0.79,0.816,2103085,2020-02-10
0.82,0.877,0.76,0.835,2777791,2020-02-11
0.81,0.837,0.781,0.795,1449035,2020-02-12
0.79,0.791,0.72,0.75,2216474,2020-02-13
0.74,0.742,0.69,0.7,2932467,2020-02-14
0.714,0.849,0.701,0.83,4131297,2020-02-18
0.8,0.88,0.765,0.86,2961849,2020-02-19
0.87,0.97,0.86,0.91,2832574,2020-02-20
0.89,0.95,0.828,0.831,2116350,2020-02-21
0.798,0.82,0.781,0.795,1003094,2020-02-24
0.806,0.83,0.75,0.764,1485507,2020-02-25
0.764,0.8,0.75,0.768,847792,2020-02-26
0.75,0.75,0.63,0.665,2179735,2020-02-27
0.652,0.79,0.62,0.743,1587877,2020-02-28
0.74,0.79,0.69,0.76,738988,2020-03-02
0.749,0.76,0.72,0.727,550545,2020-03-03
0.76,1.04,0.721,0.918,5979535,2020-03-04
0.905,0.922,0.742,0.813,2732969,2020-03-05
0.78,0.79,0.73,0.754,1301377,2020-03-06
0.708,0.73,0.68,0.683,936363,2020-03-09
0.7,0.74,0.64,0.668,775274,2020-03-10
0.66,0.69,0.57,0.612,957612,2020-03-11
0.49,0.58,0.47,0.51,1531058,2020-03-12
0.5,0.58,0.46,0.49,915640,2020-03-13
0.47,0.47,0.38,0.42,886947,2020-03-16
0.4,0.44,0.39,0.398,894694,2020-03-17
0.42,0.42,0.338,0.37,970892,2020-03-18
0.346,0.39,0.311,0.363,1115364,2020-03-19
0.38,0.44,0.38,0.395,1112198,2020-03-20
0.447,0.447,0.371,0.42,715098,2020-03-23
0.435,0.44,0.367,0.398,723195,2020-03-24
0.41,0.55,0.39,0.483,1703666,2020-03-25
0.5,0.62,0.49,0.56,1582290,2020-03-26
0.52,0.52,0.471,0.497,656297,2020-03-27
0.46,0.482,0.44,0.466,357271,2020-03-30
0.449,0.47,0.44,0.446,305193,2020-03-31
0.438,0.479,0.43,0.452,223334,2020-04-01
0.45,0.45,0.41,0.422,313105,2020-04-02
0.42,0.45,0.38,0.392,335759,2020-04-03
0.43,0.43,0.369,0.403,287164,2020-04-06
0.42,0.443,0.403,0.41,327324,2020-04-07
0.43,0.452,0.38,0.42,401018,2020-04-08
0.421,0.49,0.42,0.461,583012,2020-04-09
0.484,0.5,0.45,0.495,287104,2020-04-13
0.522,0.67,0.48,0.598,1685474,2020-04-14
0.579,0.6,0.48,0.55,598227,2020-04-15
0.557,0.58,0.5,0.529,158408,2020-04-16
0.55,0.583,0.52,0.539,341663,2020-04-17
0.558,0.579,0.52,0.55,380295,2020-04-20
0.54,0.55,0.5,0.53,274451,2020-04-21
0.54,0.54,0.5,0.521,177514,2020-04-22
0.514,0.585,0.51,0.56,318629,2020-04-23
0.557,0.641,0.54,0.581,790145,2020-04-24
0.61,0.649,0.6,0.642,387033,2020-04-27
0.662,0.71,0.642,0.684,506143,2020-04-28
0.69,0.716,0.603,0.61,676243,2020-04-29
0.64,0.64,0.58,0.622,367206,2020-04-30
0.57,0.622,0.56,0.59,335139,2020-05-01
0.59,0.591,0.531,0.55,482104,2020-05-04
0.56,0.58,0.54,0.577,366653,2020-05-05
0.585,0.585,0.545,0.57,335883,2020-05-06
0.57,0.57,0.55,0.55,485858,2020-05-07
0.58,0.594,0.55,0.59,599973,2020-05-08
0.6,0.674,0.6,0.66,609536,2020-05-11
0.7,0.75,0.65,0.685,1226095,2020-05-12
0.71,0.746,0.6,0.66,999609,2020-05-13
0.65,0.696,0.6,0.658,562060,2020-05-14
0.63,0.665,0.61,0.615,435713,2020-05-15
0.649,0.67,0.62,0.64,679876,2020-05-18
0.655,0.68,0.635,0.65,422808,2020-05-19
0.65,0.69,0.621,0.633,476314,2020-05-20
